OGs,AM-AD-1,AM-AD-2,AM-F10-T1,AM-F10-T2,DA-AD-1,DA-AD-1T,DA-AD-2,DA-AD-3,DA-AD-3T,DA-AD-4,ES-AD-1,ES-AD-2,ES-AD-3,ES-AD-4,FR-AD-1,FR-AD-2,FR-AD-3,FR-AD-4,FR-AD-5,FR-AD-6,FR-AD-7,FR-AD-8,IT-AD-1,IT-AD-2,IT-AD-3,IT-AD-4,IT-AD-5,IT-AD-6,JP-AD-1,JP-AD-2,JP-AD-3,JP-AD-4,JP-AD-5,JP-AD-6,JP-AD-7,JP-AD-8,JP-AD-9,JP-IN-1,JP-IN-2,JP-IN-3,JP-IN-4
COG0001,0.000268045,0.000333116,0.00028072,0.000182409,0.0000533,0.000073,0.000186896,0.000123691,0.000179238,0.0000969,0.0000578,0.000102081,0.0000816,0.000202562,0.000317945,0.000244645,0.000115082,0.000143398,0.0000906,0.000328058,0.000432687,0.000241439,0.000218605,0.000200254,0.000133514,0.0000425,0.000167414,0.000222814,0.0000735,0.000381903,0.000296993,0.000457046,0.0000879,0.0000602,0.000100002,0.0000634,0.0000574,0.000241292,0,0.000128314,0.0000969
COG0002,0.00053145,0.00035501,0.000625695,0.000634341,0.000465308,0.0005426,0.000249557,0.000474815,0.00022642,0.000412891,0.000345885,0.00051636,0.000414857,0.000467753,0.000531531,0.000449093,0.000484136,0.000268822,0.000479282,0.000543171,0.000430902,0.000429886,0.000529505,0.000421758,0.000376175,0.000604904,0.0002814,0.000621675,0.000420389,0.000399463,0.000327071,0.000372307,0.000131146,0.000436622,0.000266648,0.000485444,0.000232798,0.000272508,0.00027949,0.00027221,0.000361095
COG0003,0.0000607,0.0000595,0.0000416,0.0000112,0.0000309,0.00000423,0.0000219,0.00000238,0.0000304,0,0.0000667,0,0,0,0.00000938,0.0000259,0.0000197,0.0000106,0.0000256,0.00004,0.0000236,0.0000608,0,0.0000435,0,0.00000925,0.0000581,0.00000659,0.0000223,0.000106042,0.000126586,0,0,0.0000339,0,0.0000492,0.0000945,0.0001113,0,0.0000956,0
COG0004,0.000471963,0.000458018,0.000908202,0.000628487,0.000467874,0.000766393,0.00016035,0.000238712,0.000158531,0.000383864,0.000189366,0.000537423,0.000383681,0.000154362,0.000585706,0.000262831,0.000261108,0.000382021,0.000442213,0.000530411,0.000398907,0.000401056,0.000411521,0.000193018,0.00055443,0.000880321,0.000232196,0.000480097,0.000159694,0.000342461,0.00039747,0.000278894,0.000280505,0.000194909,0.000211095,0.000308815,0.00029571,0.000183376,0.000690627,0.000299312,0.000294132
COG0005,0.000181553,0.000309183,0.000554596,0.0000997,0.000386781,0.000361691,0.000263875,0.000332514,0.000219338,0.000215868,0.000319385,0.000294113,0.000300442,0.000280005,0.000217444,0.000317002,0.000225399,0.000352645,0.000261577,0.000172646,0.000319306,0.000141609,0.000313557,0.000191588,0.000197602,0.000253782,0.000194184,0.000234292,0.0002558,0.000225004,0.000367264,0.000415487,0.00013503,0.000224771,0.000349075,0.000149895,0.000150342,0.0000226,0.0000437,0.000109086,0.000339229
COG0006,0.00100158,0.000937636,0.000891946,0.000839796,0.000923024,0.001010285,0.00059008,0.000889358,0.000771176,0.000894978,0.00106857,0.000986697,0.000751972,0.000737434,0.000930951,0.001090697,0.000841757,0.001073686,0.000720857,0.000970794,0.000897495,0.000960435,0.000818287,0.000832121,0.00109826,0.000738171,0.000828241,0.000769142,0.000621348,0.000771067,0.000731721,0.001617962,0.000959965,0.000986485,0.000924604,0.000990662,0.001334999,0.000472227,0.000532712,0.000629711,0.000715387
COG0007,0.000111877,0.000165619,0.000153982,0.0000772,0.0000297,0.0000197,0.0000169,0.0000881,0.0000385,0.0000213,0.0000189,0.0000363,0.0000419,0.0000793,0.0000876,0.0000313,0.0000353,0.0000729,0.0000238,0.000136714,0.0000446,0.000108623,0.0001331,0.000155145,0.0000645,0.0000565,0.0000763,0.0000889,0.0000646,0.0000915,0.0000182,0,0.0000914,0.00000951,0.0000909,0.0000292,0.0000319,0.000129308,0,0.0000542,0.000129475
COG0008,0.001259191,0.000791317,0.001506919,0.001654732,0.001234552,0.001453748,0.00115017,0.001692729,0.001652051,0.001320071,0.000601597,0.001004955,0.001062077,0.001061621,0.001516442,0.00139053,0.000970985,0.001285994,0.001571488,0.000926202,0.001325678,0.001184394,0.001049349,0.001168388,0.001394003,0.001245467,0.001769977,0.001539831,0.001368407,0.001081738,0.001408628,0.001115782,0.001024634,0.001213039,0.00038238,0.000846432,0.000805073,0.000605322,0.002564379,0.000877877,0.0008743
COG0009,0.000479131,0.000521033,0.00049086,0.000620508,0.000700125,0.000641485,0.000563634,0.000717868,0.000388427,0.000334754,0.000531502,0.000487486,0.00050694,0.000610041,0.000588264,0.000559761,0.000535966,0.000510087,0.000662776,0.000441209,0.000394653,0.00029612,0.000505732,0.000590523,0.000590216,0.000536024,0.000339537,0.000686773,0.000340865,0.000787242,0.000889199,0.00041872,0.000222033,0.000775645,0.000616369,0.000518812,0.000700773,0.000410774,0.00047448,0.000398823,0.000418708
COG0010,0.000175447,0.00015433,0.000276671,0.000100248,0.000110002,0.000033,0.00031375,0.000167615,0.00013325,0.00020232,0.0000996,0.000084,0.00013468,0.000256266,0.00020757,0.0000886,0.000227093,0.000126388,0.000183832,0.000152761,0.000436553,0.000424007,0.000143006,0.000443327,0.000233954,0.000106021,0.000224902,0.000127615,0.000133875,0.0000715,0.000216794,0.0000962,0.00017405,0.000204755,0.00014846,0.0000893,0.0000815,0.000599347,0,0.000209255,0.000252289
COG0011,0.000326111,0.0000632,0.0000155,0.0000442,0,0.00000549,0.0000148,0.0000128,0.000011,0.000016,0.0000211,0.00000998,0,0.00000235,0.0000298,0.0000146,0.0000148,0,0.000177684,0.0000141,0.0000356,0.0000529,0.0000238,0.0000248,0.0000446,0.0000483,0,0.0000712,0,0.0000847,0.0000912,0.0000362,0.000022,0,0.00000798,0.0000186,0,0,0.000195107,0.000363651,0.0000123
COG0012,0.000474056,0.000371797,0.000784839,0.000546477,0.000536009,0.000655181,0.000554009,0.000371484,0.00096568,0.000615155,0.00032636,0.000565771,0.000386777,0.000452775,0.000820702,0.000472443,0.000482402,0.000310415,0.000536002,0.000412997,0.000508517,0.000317008,0.00049451,0.000282122,0.000552797,0.00057454,0.000537757,0.000600536,0.00068061,0.000427451,0.000593119,0.000450658,0.000385102,0.000383528,0.000268817,0.000576038,0.000338925,0.000150397,0.000295735,0.000302619,0.000193198
COG0013,0.000990779,0.000734077,0.001347315,0.001013259,0.000876531,0.00085055,0.001005391,0.00125592,0.001544155,0.001084468,0.000821612,0.000587061,0.000547304,0.000854586,0.001151796,0.001252451,0.000751879,0.000834379,0.001124066,0.000908792,0.000707625,0.00082177,0.000970916,0.000872227,0.000664564,0.00067078,0.00127724,0.000973603,0.000704878,0.000877069,0.0013132,0.000686028,0.00053329,0.000867961,0.000525487,0.000769838,0.000916988,0.000362715,0.000464191,0.000449205,0.000384382
COG0014,0.000815573,0.000583327,0.000495726,0.000366195,0.000502723,0.000475368,0.000405619,0.000334596,0.00038633,0.000412457,0.000304311,0.000569435,0.000525086,0.000251195,0.000525658,0.000372631,0.000278211,0.00054914,0.000346927,0.000530838,0.000418957,0.000338265,0.00059342,0.000413117,0.000399787,0.000419825,0.000380508,0.000565375,0.00053338,0.000587347,0.00040283,0.000542077,0.000396165,0.000446414,0.000429976,0.000535476,0.000392102,0.000165397,0.000447246,0.000249748,0.00028607
COG0015,0.000725122,0.000818269,0.000773148,0.000612134,0.000466521,0.000725378,0.000456754,0.000720524,0.000548619,0.000401104,0.000192758,0.000425388,0.000410613,0.000459077,0.00063507,0.000570387,0.00051337,0.000406184,0.000450363,0.000453697,0.00047693,0.000639652,0.000692478,0.000591263,0.000438788,0.000442385,0.000565991,0.000740913,0.000585514,0.000982838,0.000612171,0.000585721,0.000452523,0.000479226,0.000820246,0.000444899,0.000591584,0.000369815,0.000865638,0.001119719,0.000379688
COG0016,0.000590672,0.000318666,0.000453123,0.000343181,0.000450377,0.000325306,0.000506234,0.000616664,0.000471547,0.000618211,0.000464493,0.000542896,0.000409276,0.000509402,0.000610048,0.000524182,0.00064775,0.000425,0.00032242,0.000481012,0.000446901,0.000331654,0.00056816,0.000391059,0.000495082,0.000448481,0.000569309,0.000674065,0.00051096,0.000580267,0.000370676,0.000337205,0.000482385,0.000315294,0.000527253,0.000451994,0.000193831,0.000182892,0.000507702,0.000629334,0.000124236
COG0017,0.000503569,0.000554746,0.000940992,0.000646639,0.000396789,0.00078062,0.001004185,0.000361315,0.000879565,0.000802734,0.000273272,0.00057851,0.000307419,0.000459169,0.000531616,0.000534392,0.000360795,0.00034293,0.000565283,0.000534346,0.000544125,0.000596863,0.00019998,0.00041257,0.000412764,0.000406908,0.000517832,0.00067054,0.000503225,0.000592082,0.000341945,0.000432987,0.000260325,0.000471193,0.000607782,0.000594982,0.000706053,0.000180056,0.0000255,0.000072,0.00012613
COG0018,0.000855918,0.000625241,0.000949583,0.000618215,0.000522893,0.000518525,0.000903561,0.000765959,0.000953443,0.000869304,0.000474338,0.000443164,0.000561199,0.000793163,0.000647047,0.000732007,0.000680944,0.000640508,0.000814261,0.000663569,0.000584226,0.00076141,0.000508489,0.000614638,0.000606108,0.000486179,0.000717616,0.000763079,0.000458661,0.000693044,0.000685654,0.000487293,0.000802141,0.000410068,0.000718394,0.000540809,0.000521214,0.000227565,0.000745276,0.0006514,0.000388709
COG0019,0.000557477,0.000683567,0.001064092,0.000795585,0.000719442,0.000973658,0.000488872,0.00044532,0.000648156,0.00067179,0.000601659,0.000705873,0.000655428,0.000727842,0.000968388,0.000523457,0.000500396,0.000793698,0.00108864,0.000901946,0.000747415,0.000632155,0.000575864,0.000611043,0.000520514,0.000529621,0.000802688,0.000923426,0.000597176,0.00070981,0.000812172,0.00119767,0.000664608,0.000487321,0.00069757,0.000859113,0.000992422,0.0004025,0.000449801,0.000696593,0.000256247
COG0020,0.00043304,0.000559366,0.000514476,0.000411764,0.000321467,0.000408412,0.00058251,0.0003977,0.000460131,0.000441136,0.000194115,0.000197901,0.000263974,0.000413381,0.000329109,0.000277586,0.000270642,0.000236412,0.000331639,0.000296263,0.000280916,0.000300794,0.000443695,0.000277177,0.000284103,0.000362929,0.00026471,0.00036566,0.000244827,0.000286368,0.000269154,0.000422513,0.000220759,0.000360892,0.000175603,0.000339462,0.000248776,0.000193922,0.000569063,0.000508025,0.000285049
COG0021,0.000172881,0.0000316,0.000318976,0.000259746,0.000445591,0.000435899,0.000421855,0.000247639,0.000315977,0.000291124,0.000373516,0.000379594,0.000387516,0.000307595,0.000399431,0.000326391,0.000407559,0.000469079,0.000346736,0.000464056,0.00021278,0.000282862,0.000738979,0.00069046,0.000353126,0.000325963,0.000422674,0.000387131,0.000305165,0.000197462,0.000364666,0.000382044,0.000116917,0.000245791,0.000137135,0.000273332,0.000221049,0.001033635,0.000537627,0.000299689,0.000356152
COG0022,0.0000527,0.0000341,0.0000598,0.0000391,0.0000235,0.0000391,0.00015526,0.000359551,0.0000769,0.000120049,0.0000354,0.0000354,0.0000365,0.000112525,0.0000402,0.000114885,0.0000871,0.0000661,0.000101346,0.0000828,0.0000378,0.0000937,0.000109925,0.000132208,0.0000579,0.0000107,0.000116481,0.00013704,0.0000623,0.00000507,0.0000453,0.0000264,0.0000157,0.000110726,0.0000821,0.000021,0.00000698,0.0000358,0,0.0000393,0.0000177
COG0023,0.0000525,0.0000436,0,0.0000268,0.0000798,0.0000636,0.0000565,0.000115896,0.0000432,0.0000316,0.00019609,0.00004,0.0000716,0.0000353,0.0000343,0.000117104,0.00014302,0.0000224,0.0000213,0.00000744,0.000116859,0.0000166,0.0000517,0.0000938,0.000211757,0,0.0000916,0.0000627,0.000117083,0.0000786,0.0000257,0.000196387,0.0000212,0.0000757,0.000176001,0.000256053,0.0000699,0.000214236,0,0,0.0000841
