,TS1_V2_turnbaugh,TS10_V2_turnbaugh,TS100_V2_turnbaugh,TS101.2_V2_turnbaugh,TS103_V2_turnbaugh,TS104_V2_turnbaugh,TS105_V2_turnbaugh,TS106_V2_turnbaugh,TS107_V2_turnbaugh,TS109_V2_turnbaugh,TS11_V2_turnbaugh,TS110_V2_turnbaugh,TS111_V2_turnbaugh,TS115_V2_turnbaugh,TS116_V2_turnbaugh,TS117_V2_turnbaugh,TS118_V2_turnbaugh,TS119_V2_turnbaugh,TS12_V2_turnbaugh,TS120_V2_turnbaugh,TS124_V2_turnbaugh,TS125_V2_turnbaugh,TS126_V2_turnbaugh,TS127_V2_turnbaugh,TS128_V2_turnbaugh,TS129_V2_turnbaugh,TS13_V2_turnbaugh,TS130_V2_turnbaugh,TS131_V2_turnbaugh,TS132_V2_turnbaugh,TS133_V2_turnbaugh,TS134_V2_turnbaugh,TS135_V2_turnbaugh,TS136_V2_turnbaugh,TS137_V2_turnbaugh,TS138_V2_turnbaugh,TS139_V2_turnbaugh,TS14_V2_turnbaugh,TS140_V2_turnbaugh,TS141_V2_turnbaugh,TS142_V2_turnbaugh,TS143_V2_turnbaugh,TS144_V2_turnbaugh,TS145_V2_turnbaugh,TS146_V2_turnbaugh,TS147_V2_turnbaugh,TS148_V2_turnbaugh,TS149_V2_turnbaugh,TS15_V2_turnbaugh,TS150_V2_turnbaugh,TS151_V2_turnbaugh,TS152_V2_turnbaugh,TS153_V2_turnbaugh,TS154.2_V2_turnbaugh,TS155_V2_turnbaugh,TS156_V2_turnbaugh,TS16_V2_turnbaugh,TS160_V2_turnbaugh,TS161_V2_turnbaugh,TS162_V2_turnbaugh,TS163_V2_turnbaugh,TS164_V2_turnbaugh,TS165_V2_turnbaugh,TS166_V2_turnbaugh,TS167_V2_turnbaugh,TS168_V2_turnbaugh,TS169_V2_turnbaugh,TS17_V2_turnbaugh,TS170_V2_turnbaugh,TS178_V2_turnbaugh,TS179_V2_turnbaugh,TS180_V2_turnbaugh,TS181_V2_turnbaugh,TS182_V2_turnbaugh,TS183_V2_turnbaugh,TS184_V2_turnbaugh,TS185_V2_turnbaugh,TS186_V2_turnbaugh,TS19_V2_turnbaugh,TS190_V2_turnbaugh,TS191_V2_turnbaugh,TS192_V2_turnbaugh,TS193_V2_turnbaugh,TS194_V2_turnbaugh,TS195_V2_turnbaugh,TS2_V2_turnbaugh,TS20_V2_turnbaugh,TS21_V2_turnbaugh,TS22_V2_turnbaugh,TS23_V2_turnbaugh,TS25_V2_turnbaugh,TS26_V2_turnbaugh,TS27_V2_turnbaugh,TS28_V2_turnbaugh,TS29_V2_turnbaugh,TS3_V2_turnbaugh,TS30_V2_turnbaugh,TS31_V2_turnbaugh,TS32_V2_turnbaugh,TS33_V2_turnbaugh,TS34_V2_turnbaugh,TS35_V2_turnbaugh,TS37_V2_turnbaugh,TS38_V2_turnbaugh,TS39_V2_turnbaugh,TS4_V2_turnbaugh,TS43_V2_turnbaugh,TS44_V2_turnbaugh,TS49_V2_turnbaugh,TS5_V2_turnbaugh,TS50_V2_turnbaugh,TS51_V2_turnbaugh,TS55_V2_turnbaugh,TS56_V2_turnbaugh,TS57_V2_turnbaugh,TS6_V2_turnbaugh,TS61_V2_turnbaugh,TS62_V2_turnbaugh,TS63_V2_turnbaugh,TS64_V2_turnbaugh,TS65_V2_turnbaugh,TS66_V2_turnbaugh,TS67_V2_turnbaugh,TS68_V2_turnbaugh,TS69_V2_turnbaugh,TS7_V2_turnbaugh,TS70_V2_turnbaugh,TS71_V2_turnbaugh,TS72_V2_turnbaugh,TS73_V2_turnbaugh,TS74_V2_turnbaugh,TS75_V2_turnbaugh,TS76_V2_turnbaugh,TS77_V2_turnbaugh,TS78_V2_turnbaugh,TS8_V2_turnbaugh,TS82_V2_turnbaugh,TS83_V2_turnbaugh,TS84_V2_turnbaugh,TS85_V2_turnbaugh,TS86_V2_turnbaugh,TS87_V2_turnbaugh,TS88_V2_turnbaugh,TS89_V2_turnbaugh,TS9_V2_turnbaugh,TS90_V2_turnbaugh,TS91_V2_turnbaugh,TS92_V2_turnbaugh,TS94_V2_turnbaugh,TS95_V2_turnbaugh,TS96_V2_turnbaugh,TS97_V2_turnbaugh,TS98_V2_turnbaugh,TS99.2_V2_turnbaugh
Sporobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papillibacter,0.00035794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.45E-05,0.00011743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00039195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00063458,0,0,0,0
Coprobacillus,0.0115684,0.0695715,0.00107261,0,0.00903753,0,0.00266561,0.00967908,0.00364955,0.01249802,0.00419297,0.03689594,0.01072591,0,0,0.03168939,0.0032388,0.01347816,0.00061149,0,0.00200418,0.00084034,0,0.00156115,0.00073983,0.04206984,0.01317091,0.00068994,0.00030954,0.01964244,0.00156959,0.00083587,0.01275203,0.00876864,0.00441601,0.00596725,0.00039523,0.0484088,0.00523953,0.00289617,0.00044903,0.00030257,0.00076044,0.03397634,0.00167137,0.00032575,0.0034898,0.00650716,0.00461702,0.00092503,0.00128396,0.00039543,0.00089822,0,0.00173711,0,0,0.01017173,0.00659078,0.00227367,0.00493028,0.00102003,0.00177371,0.00409147,0.00948129,0.01210912,0,0.00221472,0.00476685,0.00035454,0.00038437,0.00108912,0,0.00068518,0,0.0100439,0.01446956,0.00073672,0.03377676,0.01146102,0.00041908,0.00984395,0.03235293,0.00359735,0.03159975,0.0013455,0.02159203,0.06740904,0.05684799,0.0574611,0.02601266,0.00835803,0.00412971,0.00082591,0,0.05190741,0.00245655,0.02298453,0.00179299,7.63E-05,0.02679369,0.00324986,0.00805711,0.01962557,0.0062363,0.00079766,0.04125608,0,0.00181816,0.14098276,0.0342778,0.00791911,0.00058981,0.01034433,0.00746173,0.01231068,0.00379471,0.00185146,0.04256212,0.00604451,0.01303654,0.00728197,0.03853509,0.01060429,0.03983937,0.00526966,0.00062012,0.00928577,0.00670408,0.00250674,0.00177836,0.00713599,0.00333317,0.00097005,0.00204947,0.00604648,0.00591668,0.00917,0,0.03275331,0.00165147,0.00055883,0.00046412,0.0122014,0.00422959,0.0004597,0.00598362,0.00824814,0,0.00042003,0.00090208,0.00809326,0.00176544,0.00297975
Collinsella,0,0.04033723,0.00187206,0,0.01314939,0.00338995,0,0.02172731,0.08122461,0,0.01341975,0.00508677,0.00290676,0.08256945,0.07580499,0.06738179,0.00706763,0.04385525,0.03677584,0.14701475,0.00918226,0.04836308,0.02789713,0.02942097,0.05998725,0.01857071,0,0,0,0.02786534,0.04382198,0.03279935,0,0.01263057,0.00743443,0.03021104,0.05369124,0.00351785,0.00748462,0.00303404,0.13846322,0.05370919,0.0169075,0,0,0.01275888,0.00456967,0.01599234,0.00153967,0.03710877,0,0,0.0141001,0.11484087,0.03410311,0.00199768,0,0.00507484,0.01006871,0,0,0,0.02631033,0.00494552,0.03267117,0.01812199,0.00970703,0,0.03177332,0.13333567,0.06928237,0.00142592,0.01689471,0.00851258,0.00433253,0.07117339,0,0.00192788,0.01061026,0.01445235,0.00219094,0.00322339,0.01078498,0.00353313,0,0.05552939,0.008453,0.0086077,0.0268117,0,0.00033332,0.00139384,0.04151006,0,0.00322975,0.00444608,0,0,0.00303785,0.00276183,0.09356277,0.05786157,0.02447624,0.01179719,0,0,0.12769528,0.459589,0.02015778,0.00390221,0.0957425,0.10336131,0,0,0,0.00653055,0.04471254,0.00242422,0,0.00791512,0.00505888,0.00100464,0.01484256,0.01551982,0.00255832,0.01295506,0.00486555,0.0130949,0,0.00843871,0.03258601,0,0.00654634,0.20557851,0.03219121,0,0.00172249,0.05003029,0.00440726,0,0.0397694,0.04090838,0.00727866,0.0138938,0.00051611,0.00480639,0.03133852,0.01620074,0.03528386,0,0.01652079,0.02260794,0,0.00433516
Anaerovorax,0.00028953,0,0.00043758,0.0010758,0.02454467,0.00079176,0.00054379,0,0,0,0,0.00059434,0.00045301,0.0016763,0.00204188,0,0.00066055,0.00249677,0,0,0.00061308,0.00205272,0.00229833,0.00305196,0,0.00057872,0.0010741,0,0,0,0.00064006,0.00102139,0.00047326,0.0016084,0.00154275,0.00097328,0,0.00213455,0.00174718,0,0.00164377,0.00073817,0,0,0,0.00198556,0.00091473,0.00024568,0.00112936,0.00075391,0.00196107,0.00144724,0,0.01461698,0.00212291,0,0.00075934,0.00059295,0,0,0,0.00311472,0.00072322,0.00077015,0.00061084,0.00105806,0.00075591,0,0.00211915,0,0.00328099,0,0,0.00083723,0.0016181,0,0.00057144,0,0,0,0,0.00075289,0,0.00109988,0.00051594,0.00316115,0.00220791,0.00060347,0.00026721,0,0.00124166,0.00055814,0.00276827,0.00025306,0.00050325,0.00034673,0.00013742,0.00215004,0.00051634,0.0010133,0.00084066,0.00039808,0,0.00039421,0.00025503,0,0.00203829,0.00072558,0.00222198,0.00053646,0,0.00253563,0,0,0,0.00838058,0,0,0.00479224,0.001344,0.00059109,0.00046937,0,0,0,0.00065809,0.00151442,0.00087393,0.0024588,0.00306358,0.00217333,0,0.00203733,0.0005932,0,0.00040587,0,0,0,0,0.00242169,0.00340995,0,0.00259432,0,0.00112226,0,0.01176081,0,0.00256173,0.00110232,0.01121027,0.00172623,0.00040552
Parasporobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00045698,0,0,0,0,0,0.00015235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.85E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00085783,0,0,0,0,0.00027098,0,0,0,0,0.0003159,0,0,6.36E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00081671,0,0
Granulicatella,0,0.00060414,0,0,0,0,0,0,0.00041536,0.00050788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00053782,0,0,0,0.00046572,0,0,0,0,0,0,0,7.73E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00023389,0,0.00051154,0,0,8.83E-05,9.43E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019357,0,0,0,0,0,0,0,0,0,0,0,0,0.00040656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrysiogenes,0.00038058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulleidia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00918495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118369,0,0.00238215,0.00115907,0.00179311,0,0,0,0,0,0,0,0,0,0,0,0.00777687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01308194,0.01150225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.70E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00921963,0.01171503,0,0,0
