genus,phylum
Abiotrophia,Firmicutes
Acetivibrio,Firmicutes
Acetobacter,Proteobacteria
Acholeplasma,Firmicutes
Achromobacter,Proteobacteria
Acidaminococcus,Firmicutes
Acidimicrobium,Actinobacteria
Acidiphilium,Proteobacteria
Acidithiobacillus,Proteobacteria
Acidobacteria_Gp1_Gp1,Acidobacteria
Acidobacteria_Gp3_Gp3,Acidobacteria
Acidothermus,Actinobacteria
Acidovorax,Proteobacteria
Acinetobacter,Proteobacteria
Actinobacillus,Proteobacteria
Actinomyces,Actinobacteria
Actinomycetales,Actinobacteria
Actinosynnema,Actinobacteria
Aerococcus,Firmicutes
Aeromicrobium,Actinobacteria
Aeromonas,Proteobacteria
Aeropyrum,Crenarchaeota
Afipia,Proteobacteria
Aggregatibacter,Proteobacteria
Akkermansia,Verrucomicrobia
Alcanivorax,Proteobacteria
Alicyclobacillus,Firmicutes
Aliivibrio,Proteobacteria
Alistipes,Bacteroidetes
Alkalilimnicola,Proteobacteria
Alkaliphilus,Firmicutes
Allochromatium,Proteobacteria
Alphaproteobacteria,Proteobacteria
Alteromonas,Proteobacteria
Aminobacterium,Synergistetes
Aminomonas,Synergistetes
Ammonifex,Firmicutes
Anaerobaculum,Synergistetes
Anaerococcus,Firmicutes
Anaerofustis,Firmicutes
Anaeromyxobacter,Proteobacteria
Anaerosporobacter,Firmicutes
Anaerostipes,Firmicutes
Anaerotruncus,Firmicutes
Anaplasma,Proteobacteria
Anoxybacillus,Firmicutes
Aquifex,Aquificae
Arcanobacterium,Actinobacteria
Archaeoglobus,Euryarchaeota
Arcobacter,Proteobacteria
Arsenophonus,Proteobacteria
Arthrobacter,Actinobacteria
Atopobium,Actinobacteria
Azoarcus,Proteobacteria
Azorhizobium,Proteobacteria
Azospirillum,Proteobacteria
Azotobacter,Proteobacteria
Bacillales,Firmicutes
Bacillus,Firmicutes
Bacteria,Bacteria
Bacteroides,Bacteroidetes
Bartonella,Proteobacteria
Bdellovibrio,Proteobacteria
Beijerinckia,Proteobacteria
Beutenbergia,Actinobacteria
Bifidobacterium,Actinobacteria
Blautia,Firmicutes
Bordetella,Proteobacteria
Borrelia,Spirochaetes
Brachybacterium,Actinobacteria
Brachyspira,Spirochaetes
Bradyrhizobiaceae,Proteobacteria
Bradyrhizobium,Proteobacteria
Brevibacillus,Firmicutes
Brevibacterium,Actinobacteria
Brucella,Proteobacteria
Bulleidia,Firmicutes
Burkholderia,Proteobacteria
Caldanaerobacter,Firmicutes
Caldicellulosiruptor,Firmicutes
Caldivirga,Crenarchaeota
Campylobacter,Proteobacteria
