,rss_lognormal,mu_lognormal,sigma_lognormal,scale_lognormal,rss_powerlaw,index_powerlaw,amp_powerlaw,rss_logseries,p_logseries
plankton_bacteria,,,,,,,,,
plankton_eukarya,2697736.21613,1.16198796573,0.895025359753,29748.9315217,16631918.9137,-0.919238898822,7225.29630063,111075106.128,[-1.03E+00]
David_stool_A,,,,,,,,,
David_stool_B,,,,,,,,,
Caporaso_F4_feces_L2,,,,,,,,,
Caporaso_F4_feces_L3,,,,,,,,,
Caporaso_F4_feces_L4,,,,,,,,,
Caporaso_F4_feces_L5,,,,,,,,,
Caporaso_F4_feces_L6,,,,,,,,,
Caporaso_M3_feces_L2,,,,,,,,,
Caporaso_M3_feces_L3,,,,,,,,,
Caporaso_M3_feces_L4,,,,,,,,,
Caporaso_M3_feces_L5,,,,,,,,,
Caporaso_M3_feces_L6,,,,,,,,,
Caporaso_F4_L_palm_L2,,,,,,,,,
Caporaso_F4_L_palm_L3,,,,,,,,,
Caporaso_F4_L_palm_L4,,,,,,,,,
Caporaso_F4_L_palm_L5,,,,,,,,,
Caporaso_F4_L_palm_L6,,,,,,,,,
Caporaso_M3_L_palm_L2,,,,,,,,,
Caporaso_M3_L_palm_L3,,,,,,,,,
Caporaso_M3_L_palm_L4,,,,,,,,,
Caporaso_M3_L_palm_L5,,,,,,,,,
Caporaso_M3_L_palm_L6,,,,,,,,,
Caporaso_F4_R_palm_L2,,,,,,,,,
Caporaso_F4_R_palm_L3,,,,,,,,,
Caporaso_F4_R_palm_L4,,,,,,,,,
Caporaso_F4_R_palm_L5,,,,,,,,,
Caporaso_F4_R_palm_L6,,,,,,,,,
Caporaso_M3_R_palm_L2,,,,,,,,,
Caporaso_M3_R_palm_L3,,,,,,,,,
Caporaso_M3_R_palm_L4,,,,,,,,,
Caporaso_M3_R_palm_L5,,,,,,,,,
Caporaso_M3_R_palm_L6,,,,,,,,,
Caporaso_F4_tongue_L2,,,,,,,,,
Caporaso_F4_tongue_L3,,,,,,,,,
Caporaso_F4_tongue_L4,,,,,,,,,
Caporaso_F4_tongue_L5,,,,,,,,,
Caporaso_F4_tongue_L6,,,,,,,,,
Caporaso_M3_tongue_L2,,,,,,,,,
Caporaso_M3_tongue_L3,,,,,,,,,
Caporaso_M3_tongue_L4,,,,,,,,,
Caporaso_M3_tongue_L5,,,,,,,,,
Caporaso_M3_tongue_L6,,,,,,,,,
