"time","species_1","species_2","species_3","species_4","species_5","species_6","species_7","species_8","species_9","species_10","species_11","species_12","species_13","species_14","species_15","species_16","species_17","species_18","species_19","species_20","species_21","species_22","species_23","species_24","species_25","species_26","species_27","species_28","species_29","species_30","species_31","species_32","species_33","species_34","species_35","species_36","species_37","species_38","species_39","species_40","species_41","species_42","species_43","species_44","species_45","species_46","species_47","species_48","species_49","species_50","species_51","species_52","species_53","species_54","species_55","species_56","species_57","species_58","species_59","species_60","species_61","species_62","species_63","species_64","species_65","species_66","species_67","species_68","species_69","species_70","species_71","species_72","species_73","species_74","species_75","species_76","species_77","species_78","species_79","species_80","species_81","species_82","species_83","species_84","species_85","species_86","species_87","species_88","species_89","species_90","species_91","species_92","species_93","species_94","species_95","species_96","species_97","species_98","species_99","species_100"
1,0,1,1,1,3,2,2,1,0,2,0,0,0,3,0,1,3,3,6,2,0,0,3,6,1,2,2,4,1,2,6,0,4,0,0,0,2,0,3,0,2,3,0,1,2,2,0,2,3,2,0,6,0,3,2,5,0,2,2,1,1,0,0,0,3,0,1,1,0,4,5,5,4,3,2,3,4,5,6,2,2,4,0,0,2,2,1,1,2,1,0,4,3,1,1,2,1,1,4,0
2,0,3,2,1,5,3,2,2,0,2,0,0,1,5,1,2,4,6,6,3,0,1,5,7,2,3,3,8,2,4,6,0,4,2,2,0,3,2,4,1,2,5,0,2,2,2,0,4,5,2,0,9,0,3,4,6,0,5,2,1,5,0,0,0,6,2,2,1,0,6,6,6,4,3,2,4,7,4,7,6,2,6,1,2,2,2,4,0,2,1,0,4,3,1,1,2,1,1,6,0
3,1,3,2,1,5,3,3,2,0,2,0,0,2,6,2,4,7,4,10,2,1,1,5,7,2,2,4,8,2,5,6,0,4,3,2,0,3,5,6,3,3,7,0,2,2,3,0,5,7,3,3,12,2,2,5,9,1,7,2,1,5,0,0,2,7,2,4,1,0,8,7,9,5,3,3,4,8,8,8,7,4,8,1,2,2,3,4,0,2,1,0,8,3,2,1,2,1,1,7,1
4,2,3,2,1,5,3,2,2,0,2,0,0,2,7,2,4,9,5,12,2,3,1,5,7,3,2,6,10,1,6,7,0,5,3,2,0,5,5,6,4,3,5,0,2,2,3,1,6,10,3,3,11,2,2,6,10,2,8,2,2,7,0,0,3,8,2,6,1,1,9,6,9,6,4,4,4,11,9,9,9,5,9,1,2,2,3,5,2,2,1,0,11,3,2,2,3,1,1,7,1
5,2,4,2,1,5,3,2,2,0,3,0,1,2,8,4,4,10,7,15,3,3,1,9,7,4,4,6,11,1,8,12,0,5,3,2,0,5,5,7,6,4,6,2,3,2,5,1,7,9,4,3,11,2,2,6,11,2,11,3,2,9,0,0,5,8,3,7,1,1,9,9,8,7,4,4,7,14,9,8,8,5,10,1,5,2,3,7,3,4,2,0,12,3,2,2,4,0,2,8,1
6,2,5,2,1,7,3,2,2,0,6,1,1,2,7,4,5,11,6,14,4,4,1,10,8,4,4,8,11,1,8,13,0,6,3,2,0,5,7,7,6,6,6,2,3,2,5,1,10,11,4,3,13,3,3,8,12,3,10,2,2,8,0,0,5,10,3,8,1,2,11,10,9,9,4,6,8,16,11,9,8,6,10,2,5,3,4,7,4,5,3,0,12,3,2,2,4,0,2,7,1
7,2,5,2,1,10,3,2,3,0,7,1,1,4,7,5,5,10,7,16,3,6,1,10,10,4,4,8,13,1,9,14,0,10,4,2,0,8,8,8,7,7,6,3,3,3,6,1,12,12,5,3,14,4,3,8,12,3,11,2,2,8,0,1,5,10,5,9,1,3,12,10,10,11,4,7,9,17,12,11,10,8,12,2,5,3,9,9,4,7,3,0,11,4,1,4,4,0,2,10,1
8,2,5,2,1,12,3,2,3,0,7,1,0,4,11,6,6,11,9,22,5,6,1,11,10,4,3,8,13,1,10,14,0,10,4,2,0,9,8,8,7,7,7,3,2,3,7,1,12,11,5,4,16,5,3,9,14,3,12,2,2,8,0,1,5,9,5,12,1,3,14,10,12,14,4,7,9,18,14,13,10,8,13,2,7,3,9,10,4,8,3,0,10,7,1,4,4,0,2,11,1
9,3,5,2,1,11,4,3,4,0,8,1,1,4,13,6,7,11,13,26,5,6,1,12,11,4,2,8,15,1,10,13,0,11,8,2,0,9,10,8,8,7,9,4,1,3,7,2,14,12,5,4,17,5,4,11,16,3,12,2,2,9,0,1,5,9,6,15,1,5,15,12,13,15,5,6,11,20,16,14,9,9,13,2,8,3,11,11,4,9,3,0,10,8,2,4,4,0,2,14,1
10,4,5,2,1,13,4,2,4,0,10,1,2,3,13,7,7,12,16,28,6,6,1,12,12,4,2,10,15,1,8,15,0,12,8,2,0,10,12,8,9,10,10,5,1,3,7,2,15,14,5,4,20,5,3,11,15,3,14,2,2,8,0,1,7,8,10,16,2,5,17,13,13,16,6,7,12,21,17,17,10,9,13,2,9,3,15,11,4,9,3,0,10,9,2,4,5,0,3,15,1
