"time","species_1","species_2","species_3","species_4","species_5","species_6","species_7","species_8","species_9","species_10","species_11","species_12","species_13","species_14","species_15","species_16","species_17","species_18","species_19","species_20","species_21","species_22","species_23","species_24","species_25","species_26","species_27","species_28","species_29","species_30","species_31","species_32","species_33","species_34","species_35","species_36","species_37","species_38","species_39","species_40","species_41","species_42","species_43","species_44","species_45","species_46","species_47","species_48","species_49","species_50","species_51","species_52","species_53","species_54","species_55","species_56","species_57","species_58","species_59","species_60","species_61","species_62","species_63","species_64","species_65","species_66","species_67","species_68","species_69","species_70","species_71","species_72","species_73","species_74","species_75","species_76","species_77","species_78","species_79","species_80","species_81","species_82","species_83","species_84","species_85","species_86","species_87","species_88","species_89","species_90","species_91","species_92","species_93","species_94","species_95","species_96","species_97","species_98","species_99","species_100"
1,7,0,1,8,7,5,4,8,2,3,3,6,4,10,4,4,6,4,3,1,3,8,5,2,1,1,0,11,1,4,2,0,2,0,6,5,6,0,0,7,2,1,2,1,0,2,6,0,4,6,2,2,2,4,6,8,4,0,2,3,2,1,8,5,6,7,8,13,1,7,8,0,1,4,1,3,2,4,6,5,1,0,7,6,6,7,1,7,4,4,2,0,8,0,7,6,4,1,2,3
2,10,0,1,12,11,5,6,12,4,5,4,8,4,10,4,6,8,7,6,1,3,13,5,2,1,2,0,14,1,6,6,0,2,0,7,8,7,2,0,9,2,3,2,4,1,1,8,0,5,13,1,3,3,4,11,9,7,0,3,3,6,2,11,5,7,8,11,14,2,8,8,2,2,4,2,4,3,6,8,7,3,2,9,7,7,10,3,9,5,4,3,3,9,0,9,13,8,4,5,3
3,14,0,1,13,12,9,6,14,5,7,9,11,7,12,10,8,8,8,8,2,3,15,6,2,1,3,0,17,2,12,8,0,2,0,6,14,9,2,0,10,3,6,2,7,3,1,10,0,8,17,3,3,5,4,14,11,7,0,4,3,8,4,13,6,8,9,11,18,2,10,10,3,3,6,2,4,4,10,12,8,5,5,12,7,9,10,3,12,9,6,4,4,12,0,13,11,11,3,6,4
4,16,0,1,14,14,10,9,17,8,7,12,14,12,16,14,11,9,6,9,2,3,15,8,3,1,3,0,18,2,15,9,0,3,0,7,17,11,2,0,12,6,8,3,8,4,5,13,1,9,19,7,5,8,4,16,14,8,0,4,7,8,5,16,7,7,10,13,20,2,10,10,3,4,7,2,4,7,15,12,11,5,7,14,9,10,15,3,13,10,6,4,4,16,0,16,15,13,4,6,6
5,20,0,1,14,18,14,10,18,8,9,14,19,16,16,20,11,11,7,11,3,2,19,10,3,1,3,0,20,1,17,12,0,5,0,7,20,15,3,0,14,10,13,4,10,4,5,16,2,9,23,8,5,9,5,16,15,11,0,4,8,10,6,17,8,9,12,16,23,2,12,12,2,5,7,2,4,10,17,11,13,8,7,17,10,12,16,3,14,10,6,6,4,19,0,18,16,14,4,5,7
6,22,0,1,17,19,15,14,20,9,8,15,22,18,17,21,12,12,8,14,3,3,24,9,3,1,2,0,22,1,19,16,2,4,1,6,22,13,4,0,16,11,14,4,11,4,6,17,1,10,25,7,4,10,7,17,15,13,0,4,7,14,6,20,10,12,11,18,25,3,12,10,4,5,7,4,5,9,17,11,13,8,7,19,10,13,17,4,16,12,8,6,6,22,0,19,22,17,6,6,7
7,25,2,2,18,21,16,12,23,9,8,17,23,18,16,23,12,14,8,19,3,5,27,10,3,1,3,0,23,1,18,17,4,3,1,8,22,14,5,0,17,11,17,6,13,5,6,18,1,9,26,4,5,11,10,19,18,14,0,4,10,12,7,21,11,11,11,18,30,3,13,11,4,5,10,4,6,9,17,12,14,10,8,19,10,14,17,4,19,12,8,7,6,23,0,19,25,17,8,9,8
8,26,3,2,22,20,17,10,27,9,9,20,26,20,18,23,14,15,8,21,4,5,26,12,4,1,4,0,23,1,19,17,5,3,1,8,27,13,6,0,15,10,18,5,16,5,7,22,1,9,28,6,5,10,10,22,22,14,1,5,12,11,7,22,14,10,14,19,31,4,14,13,4,5,9,3,6,8,19,15,14,11,7,23,10,16,16,8,23,14,9,7,6,22,0,21,25,18,10,8,8
9,25,3,1,23,23,17,13,30,8,10,21,29,21,18,22,16,17,10,24,5,6,25,12,5,1,3,0,25,1,21,18,5,2,2,8,26,13,8,0,16,12,19,8,16,7,8,23,1,12,32,9,6,10,10,19,24,15,1,5,14,12,6,25,17,11,15,18,31,5,14,16,4,4,8,3,7,8,20,15,14,12,6,23,14,17,16,10,28,12,10,7,8,24,0,24,24,17,9,8,8
10,29,4,1,25,25,20,12,33,9,10,25,32,21,20,24,19,19,9,27,6,9,26,14,6,2,4,0,27,1,24,19,4,2,2,10,26,12,7,0,13,16,19,8,18,7,7,25,1,14,35,12,6,11,12,18,24,17,2,8,15,13,5,25,18,11,17,18,32,6,15,18,6,5,9,3,8,11,19,15,16,13,6,27,15,16,17,10,28,13,10,7,10,24,0,25,22,18,11,7,8
