"time","species_1","species_2","species_3","species_4","species_5","species_6","species_7","species_8","species_9","species_10","species_11","species_12","species_13","species_14","species_15","species_16","species_17","species_18","species_19","species_20","species_21","species_22","species_23","species_24","species_25","species_26","species_27","species_28","species_29","species_30","species_31","species_32","species_33","species_34","species_35","species_36","species_37","species_38","species_39","species_40","species_41","species_42","species_43","species_44","species_45","species_46","species_47","species_48","species_49","species_50","species_51","species_52","species_53","species_54","species_55","species_56","species_57","species_58","species_59","species_60","species_61","species_62","species_63","species_64","species_65","species_66","species_67","species_68","species_69","species_70","species_71","species_72","species_73","species_74","species_75","species_76","species_77","species_78","species_79","species_80","species_81","species_82","species_83","species_84","species_85","species_86","species_87","species_88","species_89","species_90","species_91","species_92","species_93","species_94","species_95","species_96","species_97","species_98","species_99","species_100"
1,5,6,1,2,3,4,5,1,7,1,0,11,7,5,6,3,0,8,3,9,3,1,7,4,14,1,9,8,5,0,7,3,5,1,1,0,2,4,2,0,1,5,6,0,6,3,2,4,9,0,7,7,1,12,6,5,2,0,1,7,2,2,1,1,3,2,2,1,3,8,6,0,5,1,3,5,4,2,4,6,4,3,2,3,3,7,3,1,0,4,1,3,6,1,1,5,1,1,2,3
2,4,7,6,5,3,9,6,1,7,1,1,13,7,9,9,4,1,10,3,12,4,3,8,7,13,6,8,11,8,1,11,4,7,1,1,1,2,5,5,0,1,5,7,1,9,3,3,8,14,0,8,12,1,14,7,6,6,2,2,11,2,4,0,1,3,2,3,3,3,12,11,1,7,2,7,7,7,5,8,7,4,5,3,2,3,8,4,1,0,6,0,5,10,2,2,10,1,1,4,3
3,5,9,6,6,3,9,7,1,9,1,1,15,9,10,11,8,3,12,3,16,10,4,13,10,14,8,9,12,11,4,11,8,9,2,1,1,3,6,5,0,1,9,10,5,10,4,6,8,17,0,8,16,1,16,7,8,5,2,4,12,5,4,1,1,4,2,2,3,5,16,17,1,7,6,10,6,9,10,8,9,7,5,4,3,4,9,5,1,1,7,0,6,13,2,3,13,1,3,7,4
4,5,6,7,7,3,13,11,1,10,1,1,16,12,12,11,8,4,14,4,18,12,4,12,10,16,7,12,13,17,6,15,8,9,2,2,1,5,6,6,0,3,13,11,5,11,4,6,11,19,0,9,16,2,19,7,9,6,2,5,12,9,4,1,1,5,2,2,5,6,17,17,1,8,7,10,7,10,15,9,8,8,6,5,6,4,10,6,1,1,9,0,7,14,3,3,15,1,5,7,4
5,5,6,8,7,4,14,13,1,11,1,1,21,13,12,14,9,5,15,5,22,12,4,12,10,22,11,16,13,20,6,17,9,10,2,3,1,6,6,6,1,3,11,15,5,11,6,7,13,21,0,11,18,2,19,6,9,10,2,7,16,7,5,1,2,6,3,4,7,6,22,17,1,14,9,14,9,12,15,10,10,8,5,6,7,5,14,6,2,1,13,1,8,16,1,2,16,2,7,8,3
6,6,11,7,7,4,15,14,1,10,1,1,20,13,14,15,11,5,17,6,27,12,4,13,9,25,11,18,13,18,6,21,11,11,3,3,1,7,8,6,1,3,12,15,8,12,7,9,14,19,0,14,20,3,19,9,11,13,2,9,20,7,5,1,3,8,2,4,9,6,23,21,1,16,10,19,9,12,17,13,13,9,5,7,7,7,15,9,2,1,15,2,8,20,2,2,18,2,8,9,3
7,7,11,9,9,4,15,14,2,11,1,1,21,14,11,15,14,6,18,6,33,12,5,17,12,27,12,19,14,21,5,22,12,13,3,3,0,9,8,6,1,3,10,16,8,16,8,8,15,21,0,16,20,2,19,10,12,10,2,10,22,8,5,1,4,10,3,4,9,5,26,22,2,15,9,21,11,21,21,15,15,9,5,6,9,7,16,9,3,1,16,3,11,21,3,2,21,2,10,9,3
8,6,14,10,8,5,18,16,2,12,1,1,23,19,14,15,16,6,18,7,36,15,5,21,13,30,11,19,15,26,6,25,13,13,3,3,2,10,9,6,1,5,7,17,11,19,8,10,14,24,0,16,23,2,21,11,13,13,2,12,26,8,5,1,4,12,3,4,9,6,31,26,2,17,8,22,16,21,21,15,17,8,5,7,8,10,19,10,3,1,18,4,11,22,4,2,21,2,13,11,3
9,7,18,10,8,6,18,15,2,14,2,1,22,21,17,19,19,6,20,10,39,17,5,22,14,33,16,23,16,28,6,29,13,16,3,3,2,12,9,9,1,7,6,18,10,21,8,11,17,25,0,15,26,2,23,10,13,11,2,13,29,9,6,0,4,13,4,4,11,6,36,29,2,17,8,21,17,20,20,18,20,8,4,8,8,10,20,10,3,1,20,4,13,26,5,2,24,2,15,10,4
10,7,16,11,8,7,16,16,2,13,2,1,21,18,14,20,20,7,20,10,42,17,7,23,15,35,16,26,16,28,8,30,13,16,3,5,2,15,10,10,1,6,6,19,10,22,9,10,16,23,0,15,27,3,24,13,14,11,1,14,31,14,5,0,4,12,4,4,11,8,37,31,2,17,8,21,17,20,22,19,20,9,6,9,8,12,23,11,3,3,21,3,15,27,5,2,24,2,16,10,4
11,6,17,15,6,7,16,14,2,14,3,1,21,20,13,22,19,8,22,12,46,17,7,23,17,37,16,24,19,29,10,26,12,17,3,5,2,15,11,11,2,6,6,20,10,24,10,10,19,20,0,17,30,3,25,13,16,11,2,16,33,13,5,0,4,13,5,4,10,7,39,32,2,18,9,25,17,21,26,21,22,8,7,8,9,12,28,12,3,4,20,3,17,28,7,3,24,2,15,11,5
12,6,18,14,7,8,19,17,2,17,1,1,18,23,14,24,19,9,20,13,48,19,6,25,18,38,17,22,20,25,9,29,11,16,3,5,2,15,9,9,2,6,6,22,10,26,10,10,22,17,0,17,31,5,23,16,16,12,1,16,33,14,5,0,4,13,5,4,11,7,38,32,2,19,8,25,19,20,30,22,24,8,9,7,11,11,28,13,3,4,20,5,17,31,8,3,23,1,15,12,5
13,6,18,14,7,9,22,18,2,18,1,1,18,24,13,28,22,9,20,16,47,19,8,25,19,37,17,24,22,25,9,31,11,16,3,5,2,15,8,10,2,8,7,25,10,27,11,10,23,17,0,17,34,6,22,16,17,14,1,17,31,13,6,0,5,14,5,5,12,7,39,31,2,18,8,25,18,21,32,22,22,8,11,7,11,8,26,14,3,4,20,4,18,31,8,3,25,1,14,11,5
14,5,20,14,7,10,24,17,2,19,1,1,18,24,12,29,23,11,24,17,51,19,8,26,22,43,17,21,23,24,10,32,11,19,4,5,2,16,8,12,2,11,7,25,11,28,12,13,22,15,0,19,35,6,24,16,19,13,1,15,32,14,8,0,4,14,6,5,14,8,37,30,1,20,8,29,18,23,37,22,21,8,12,7,12,8,32,15,3,4,21,4,18,32,9,3,27,1,15,12,3
15,6,19,14,7,8,27,19,2,18,1,0,20,22,12,30,23,11,28,16,58,19,8,25,24,48,22,23,22,23,13,33,14,20,4,5,2,15,8,11,1,12,7,28,11,28,14,15,22,15,0,16,35,5,25,19,19,13,1,14,31,13,7,0,3,14,6,6,14,8,38,30,1,18,8,30,18,23,35,24,26,8,14,10,13,9,35,14,3,4,23,4,17,33,10,3,26,2,15,11,3
16,7,21,15,7,7,27,24,2,20,2,0,20,23,11,32,23,11,29,17,59,21,5,26,25,44,23,22,22,22,16,31,12,21,3,5,2,14,8,10,1,15,10,28,11,27,14,16,24,15,0,17,37,5,24,20,20,13,1,14,32,11,5,0,3,14,6,7,16,10,41,30,1,17,9,33,18,20,36,26,26,8,14,9,12,8,37,14,4,3,23,3,21,33,11,3,26,2,13,10,4
17,7,19,15,8,7,27,26,2,20,3,0,20,21,11,33,23,10,28,19,62,17,5,26,26,43,25,23,24,22,18,34,9,22,2,5,2,13,10,11,2,13,10,30,12,27,14,16,25,15,0,18,37,5,19,19,19,12,1,13,34,12,4,0,3,14,6,9,18,9,44,31,1,16,11,30,16,17,37,27,27,8,14,9,12,7,40,13,4,5,23,3,24,33,13,3,27,2,11,11,4
18,5,17,14,8,8,26,29,2,20,3,0,19,20,11,34,22,11,29,20,67,19,4,29,26,43,25,24,29,25,17,34,8,22,3,5,1,14,10,12,3,14,9,31,12,30,13,17,25,15,0,17,38,5,20,21,19,10,1,13,32,12,4,0,3,14,7,9,18,9,46,33,1,16,14,27,17,18,39,28,28,7,16,8,11,7,41,14,2,5,24,3,24,33,13,3,28,2,14,11,4
19,7,16,15,8,8,29,28,2,21,3,0,18,17,12,36,23,12,28,20,68,19,4,30,27,41,24,24,35,28,17,34,8,23,3,5,1,14,10,12,3,14,9,31,10,34,13,18,23,15,0,18,41,9,19,23,20,10,0,13,33,12,4,1,3,13,7,9,17,10,41,33,1,18,12,25,19,20,41,28,30,9,16,8,11,8,46,13,2,5,24,3,24,33,13,3,27,2,15,11,4
20,7,15,15,8,8,29,28,2,24,4,1,17,20,12,34,22,13,28,18,69,19,4,29,30,43,23,23,35,30,17,36,8,24,3,5,1,13,11,12,4,15,9,30,13,36,12,21,23,16,0,19,41,10,17,24,20,11,0,14,36,14,6,2,3,11,7,10,15,9,42,35,1,17,15,27,22,19,43,28,31,8,16,7,13,8,46,13,2,7,24,3,22,35,13,3,26,2,16,10,4
21,6,19,16,7,7,31,27,2,25,5,1,19,16,10,33,25,14,28,21,72,18,4,30,32,46,23,24,37,31,16,38,6,25,3,3,1,13,12,13,4,17,12,32,14,36,12,21,23,16,0,19,45,12,16,23,20,10,0,16,33,13,7,2,2,10,6,10,15,8,43,36,1,14,15,26,22,19,43,32,33,6,15,9,12,8,50,11,2,7,22,2,23,35,13,3,29,2,18,9,4
22,6,22,17,7,6,35,26,2,27,5,2,21,18,10,36,24,13,28,17,74,18,4,29,29,46,27,24,38,32,15,41,7,24,4,2,3,14,11,15,3,16,11,34,15,37,9,22,24,16,0,20,47,11,17,20,19,11,0,18,32,16,7,3,2,10,6,10,14,10,46,40,1,16,15,27,25,17,45,34,34,5,16,7,12,8,49,9,2,10,23,2,23,36,14,2,29,3,18,8,4
23,5,21,18,7,5,37,28,2,28,3,1,24,20,10,38,23,14,28,19,79,20,4,28,31,45,28,24,38,33,14,41,9,25,4,2,3,14,8,18,3,17,12,35,17,39,7,22,24,19,0,20,47,12,14,22,19,13,0,18,30,17,7,2,1,10,7,9,16,9,43,44,1,15,17,27,25,18,46,33,35,5,16,7,15,9,53,10,2,10,24,3,24,38,13,1,27,4,20,8,4
24,5,22,16,6,7,35,27,2,28,4,1,29,20,10,39,23,16,26,23,83,19,4,24,30,42,27,26,38,31,15,43,9,25,4,2,4,14,8,17,4,16,12,37,17,41,8,26,26,19,1,17,48,12,14,22,18,13,0,20,31,19,10,2,0,10,8,12,18,10,44,49,1,16,19,27,26,17,47,33,36,5,14,6,15,10,52,11,1,11,23,3,27,40,14,1,24,5,20,9,3
25,5,21,16,6,7,36,25,2,30,4,3,29,20,11,38,22,17,29,26,86,20,4,24,31,47,27,23,38,31,15,43,9,26,5,2,4,14,9,12,5,14,13,39,16,45,7,27,27,19,1,18,48,11,15,20,18,15,1,18,31,21,9,3,0,11,9,12,20,9,44,51,1,15,18,26,22,19,49,33,38,4,15,7,14,13,52,11,2,11,23,4,26,42,14,1,30,5,19,12,2
26,7,26,17,5,6,37,26,2,30,5,3,28,20,10,41,20,18,28,27,91,21,4,28,33,46,30,23,38,34,18,41,8,26,4,2,3,14,9,12,5,13,14,40,16,46,7,27,27,19,1,21,48,11,14,20,17,15,1,17,31,21,8,3,0,11,10,12,20,9,43,50,1,15,19,28,20,20,46,34,42,4,15,8,12,13,50,10,3,11,27,3,27,43,14,1,31,5,19,12,2
27,6,26,17,3,6,38,26,2,30,5,1,29,17,9,41,21,18,30,26,93,24,5,28,33,46,31,25,41,33,19,40,8,27,4,3,3,14,9,12,5,14,14,41,14,45,7,28,24,19,1,20,49,9,14,19,18,16,1,18,30,18,8,3,0,11,10,12,22,10,42,51,0,14,19,27,19,18,48,35,44,4,15,8,11,16,49,10,3,11,24,3,28,43,11,1,28,5,18,12,2
28,6,30,18,3,5,39,25,2,29,5,1,29,18,12,41,22,19,29,26,95,24,5,24,33,52,30,24,44,32,19,40,8,29,4,2,3,14,11,11,3,15,13,42,14,45,7,26,24,20,1,23,50,8,15,19,19,18,1,19,31,18,7,3,0,10,10,10,22,10,42,49,0,14,18,25,19,18,50,38,44,4,16,8,10,15,49,12,4,11,24,3,28,43,10,0,28,5,18,12,4
29,6,31,18,4,5,44,24,2,29,5,1,32,17,13,42,24,20,29,28,93,21,4,21,34,52,30,24,47,34,19,39,10,29,4,2,4,14,12,12,3,17,12,44,10,46,8,26,23,19,1,21,49,6,15,20,20,20,2,16,34,21,8,2,0,10,10,10,24,11,42,54,0,16,20,26,18,17,51,42,43,4,16,8,11,15,48,12,4,11,26,4,29,44,10,0,26,5,16,12,4
30,6,29,16,3,6,46,25,2,28,5,0,30,16,12,42,24,21,27,32,96,21,4,22,32,51,29,27,46,34,19,39,9,29,3,2,4,16,12,11,3,16,11,45,11,46,8,26,23,17,0,21,54,5,17,23,20,18,2,15,34,20,9,2,0,12,10,9,24,10,43,54,0,18,19,28,19,18,55,43,48,5,19,9,12,15,48,10,4,11,29,3,29,46,10,0,29,5,16,13,5
31,6,31,17,3,6,43,27,2,27,5,1,30,15,12,39,26,23,26,32,100,22,4,23,30,49,27,26,46,34,19,39,8,29,3,2,4,15,13,12,3,14,8,45,10,47,9,27,23,18,0,20,54,6,17,24,21,17,1,15,34,19,9,2,0,13,11,10,24,9,46,56,0,21,18,28,20,14,56,48,49,7,21,11,12,15,49,11,4,11,28,3,29,48,11,0,27,5,18,13,5
32,5,29,19,2,5,43,25,3,26,5,1,30,11,11,40,26,24,25,30,101,20,4,23,31,48,26,25,46,34,19,40,7,30,3,1,4,14,13,11,2,14,9,44,12,47,8,27,23,19,1,19,54,5,19,23,22,16,2,13,34,18,8,2,0,13,11,11,24,7,49,59,0,23,18,28,19,14,56,49,50,9,20,10,13,15,50,9,3,11,31,3,26,51,10,0,26,5,20,13,2
33,6,27,19,0,5,44,26,3,26,5,1,27,11,14,41,26,24,25,30,103,20,3,20,31,44,27,27,46,36,20,42,7,32,3,1,3,16,13,13,3,12,7,46,11,45,9,29,26,20,1,22,57,6,19,23,22,14,2,14,35,21,7,2,0,14,10,10,25,7,47,62,0,19,19,28,22,10,58,51,54,9,20,11,12,13,50,10,3,12,28,3,23,52,9,0,23,5,18,13,2
34,7,28,17,0,6,47,25,3,25,6,1,28,12,14,41,25,24,22,29,103,21,3,21,30,43,31,27,48,36,19,39,6,32,3,1,2,17,14,11,4,10,8,47,10,45,8,29,27,20,1,18,55,7,20,22,21,12,3,14,35,22,6,2,0,13,11,10,27,8,47,60,0,19,18,30,22,10,58,50,58,9,19,13,13,16,52,9,4,13,28,3,24,53,9,0,22,5,21,13,3
35,7,29,19,0,5,48,22,3,25,7,1,26,15,12,41,27,24,18,29,107,21,3,21,34,45,31,28,49,36,21,42,6,32,2,1,2,17,14,8,3,9,9,49,7,47,9,32,28,19,1,18,54,8,18,22,22,12,3,12,36,22,7,3,0,13,10,9,27,7,46,58,0,19,18,29,21,12,60,51,60,9,19,13,13,15,54,7,4,13,30,4,24,54,8,0,25,5,21,12,3
36,7,28,17,0,6,48,24,3,24,7,1,28,13,12,39,25,26,17,28,110,20,3,23,33,43,31,25,51,37,20,39,6,34,3,1,1,18,14,12,3,8,9,50,6,48,8,30,29,17,1,20,54,8,16,21,24,11,3,12,37,21,9,3,1,14,11,10,27,7,43,58,0,20,16,29,21,11,58,52,63,9,19,15,14,15,58,7,3,13,30,3,26,54,7,0,26,5,22,11,5
37,7,26,19,0,6,50,22,3,22,7,1,26,14,10,38,25,25,18,29,113,18,3,21,32,42,31,23,54,39,20,39,7,35,3,1,1,18,13,12,1,8,9,51,5,52,7,34,28,17,1,19,52,6,16,21,25,11,1,11,36,18,7,2,1,15,11,12,29,7,40,55,0,22,17,30,20,8,55,54,62,11,19,14,13,13,59,7,3,13,29,3,24,55,7,0,24,5,22,10,5
38,6,26,19,0,6,51,22,3,21,7,1,28,14,11,40,23,26,18,30,116,20,3,19,32,43,29,24,57,42,21,41,7,35,2,1,2,18,12,11,2,10,9,50,7,53,8,33,26,19,1,17,53,6,14,21,23,12,1,10,37,17,6,2,1,12,10,12,32,8,42,57,0,21,21,29,19,8,59,55,62,11,19,14,13,15,59,7,3,14,31,3,22,57,8,0,24,7,21,10,4
39,6,26,20,0,5,47,22,4,18,8,1,26,14,13,42,21,26,20,32,117,22,3,20,31,45,30,25,57,43,20,39,8,36,2,1,2,19,13,14,2,11,7,50,8,55,7,34,27,19,1,17,54,7,12,20,22,12,0,10,36,14,7,2,1,11,9,12,31,7,41,61,0,20,22,25,20,7,61,58,59,12,20,14,13,14,61,7,3,14,33,2,22,57,9,0,22,6,19,10,4
40,6,26,21,0,5,50,21,4,18,7,1,25,13,14,41,20,26,18,30,118,26,4,22,32,43,29,21,57,45,20,44,6,36,3,1,2,20,13,14,2,11,8,51,10,55,6,33,26,20,1,15,54,6,13,21,24,12,0,9,35,14,7,2,2,10,9,12,32,9,44,62,0,17,22,23,19,8,62,59,57,11,20,15,14,14,62,6,4,14,34,2,22,57,10,2,21,6,18,8,4
41,5,24,20,0,4,46,24,3,19,8,1,25,14,12,42,20,26,18,28,121,24,4,25,33,43,28,21,60,46,21,40,7,37,4,1,2,20,11,12,1,11,8,54,10,54,7,37,24,19,1,16,54,6,14,20,26,12,0,8,39,14,7,2,2,9,8,12,29,9,44,61,0,18,23,25,18,10,62,61,58,10,21,15,13,14,61,6,4,14,34,3,21,60,11,2,24,6,21,9,3
42,6,21,20,0,4,45,24,3,22,8,1,26,15,13,42,21,27,19,28,122,24,4,25,29,42,29,22,58,44,21,38,6,38,5,2,2,20,11,13,1,10,7,56,12,54,6,35,25,21,1,16,57,5,17,19,26,13,0,7,38,10,7,2,2,10,8,12,33,9,45,60,0,21,24,26,20,9,60,61,61,11,21,15,12,14,65,6,3,13,32,3,21,62,12,2,23,7,21,9,2
43,6,23,19,0,3,45,25,3,23,7,1,28,14,13,42,22,27,18,29,120,25,5,24,32,37,30,23,57,43,20,39,5,38,3,1,2,19,10,12,1,9,10,53,12,56,7,35,26,26,1,17,58,6,14,19,26,14,1,6,39,11,7,2,2,11,7,12,32,9,43,58,0,23,24,28,20,8,58,64,61,11,21,15,13,12,66,7,3,13,33,4,21,63,13,1,23,9,22,9,2
44,6,22,19,0,4,42,25,4,24,7,1,28,16,14,41,22,27,14,29,122,25,5,21,33,39,28,22,58,45,21,36,6,39,2,2,1,19,12,13,1,8,8,54,11,56,8,34,25,21,1,18,57,5,16,18,27,12,1,8,41,12,7,2,3,11,7,11,31,10,45,57,0,21,23,26,18,10,59,65,61,12,22,15,12,13,67,7,3,13,36,4,20,64,13,2,23,8,24,10,2
45,6,22,17,0,4,43,25,4,21,8,1,28,17,11,43,23,27,12,25,123,22,5,20,33,34,30,23,58,44,18,35,6,40,2,1,1,17,13,11,1,7,7,56,10,57,8,34,24,20,1,19,57,5,14,16,27,11,2,8,37,13,10,2,2,9,7,11,32,10,47,54,0,25,19,25,16,8,62,67,64,12,21,14,11,14,68,7,3,12,35,4,22,65,14,2,24,8,24,10,1
46,7,22,18,1,5,41,25,4,18,8,1,28,18,13,46,24,28,15,24,127,22,5,20,31,35,31,24,64,44,17,36,7,42,2,1,1,18,10,11,1,7,5,56,10,57,7,33,24,18,1,19,57,6,15,14,27,13,2,8,37,13,9,2,0,9,7,11,30,9,46,54,0,25,20,24,15,8,63,67,63,12,21,12,13,16,68,6,3,13,36,5,22,68,15,2,24,7,25,9,1
