"time","species_1","species_2","species_3","species_4","species_5","species_6","species_7","species_8","species_9","species_10","species_11","species_12","species_13","species_14","species_15","species_16","species_17","species_18","species_19","species_20","species_21","species_22","species_23","species_24","species_25","species_26","species_27","species_28","species_29","species_30","species_31","species_32","species_33","species_34","species_35","species_36","species_37","species_38","species_39","species_40","species_41","species_42","species_43","species_44","species_45","species_46","species_47","species_48","species_49","species_50","species_51","species_52","species_53","species_54","species_55","species_56","species_57","species_58","species_59","species_60","species_61","species_62","species_63","species_64","species_65","species_66","species_67","species_68","species_69","species_70","species_71","species_72","species_73","species_74","species_75","species_76","species_77","species_78","species_79","species_80","species_81","species_82","species_83","species_84","species_85","species_86","species_87","species_88","species_89","species_90","species_91","species_92","species_93","species_94","species_95","species_96","species_97","species_98","species_99","species_100"
1,6,4,1,9,1,15,7,0,7,9,3,0,5,7,12,12,7,2,8,4,1,2,6,9,2,3,3,2,4,0,8,4,1,1,0,5,3,7,3,5,10,13,14,0,15,6,1,3,5,3,12,1,6,1,2,6,15,8,14,0,9,8,6,0,3,6,4,3,1,3,16,7,5,10,2,11,12,5,6,3,5,0,10,11,8,11,2,9,9,11,8,3,3,9,7,7,4,3,2,4
2,7,6,4,11,2,16,9,0,8,10,5,0,6,8,16,13,8,4,7,4,2,4,9,12,5,3,4,2,5,0,15,4,2,2,0,5,3,9,3,7,14,20,14,1,16,7,2,3,8,5,14,3,9,2,4,9,20,10,18,0,13,7,11,0,2,11,4,4,1,6,17,13,8,9,3,11,13,11,7,4,9,0,14,14,11,17,2,13,11,16,14,4,3,15,8,9,5,4,4,6
3,7,9,4,17,2,23,14,0,8,11,7,2,8,10,19,15,11,3,9,6,3,7,9,13,7,9,6,1,8,1,18,6,3,3,0,7,4,12,3,8,18,20,19,1,17,14,3,3,11,4,15,4,16,2,2,10,20,14,24,0,15,9,12,0,2,10,5,4,1,10,16,15,10,13,5,15,14,14,9,5,9,0,18,16,12,20,4,17,14,19,18,8,3,15,9,7,6,3,6,6
4,8,13,7,21,1,21,15,0,8,16,8,2,11,9,19,18,14,6,6,7,3,9,9,15,9,10,8,1,9,2,19,6,3,5,0,8,3,11,4,8,23,22,22,1,17,19,3,1,14,4,17,5,16,3,4,13,18,17,26,0,15,12,16,0,2,12,4,4,1,15,19,16,12,13,5,18,15,18,10,4,10,0,20,21,14,20,4,21,18,20,22,12,4,22,13,10,8,5,8,7
5,12,16,7,23,1,23,17,0,8,23,8,3,11,8,20,20,15,5,8,6,6,9,7,16,7,11,12,2,12,2,25,10,3,7,1,9,3,14,4,9,31,23,24,1,15,21,4,2,19,4,17,5,17,4,8,14,17,22,29,1,18,14,20,0,3,15,6,5,2,19,21,16,12,15,7,21,19,23,10,3,10,0,22,23,16,20,4,21,23,25,23,13,4,26,13,13,9,8,8,9
6,13,20,6,29,1,26,19,0,7,21,12,3,11,9,20,25,16,6,13,8,7,10,7,14,11,13,11,2,10,5,27,10,3,10,1,9,4,16,5,10,36,23,24,1,18,26,5,3,23,4,15,5,18,6,9,20,20,25,26,1,19,18,22,0,2,19,7,6,2,22,24,18,12,18,8,20,16,24,12,6,11,0,27,28,17,20,3,22,23,27,24,14,4,26,15,18,14,9,9,11
7,17,20,4,31,4,24,22,1,10,22,12,3,14,10,22,26,20,6,16,13,6,11,8,17,12,12,16,1,13,5,31,10,3,10,2,8,6,18,5,8,40,26,25,2,23,27,6,4,24,4,18,4,17,8,9,25,20,28,25,2,20,21,26,1,4,22,8,5,4,20,22,18,12,19,9,21,19,25,11,8,13,1,29,30,17,20,3,22,27,27,25,17,5,26,16,18,13,9,8,12
8,16,25,5,37,4,27,25,1,10,21,12,3,17,12,27,25,20,6,12,13,5,12,7,17,15,14,19,1,13,6,32,12,3,10,2,10,6,17,6,12,42,25,27,2,26,30,6,3,28,5,19,4,17,8,8,32,22,28,27,2,23,21,29,1,3,19,7,5,4,22,22,18,11,19,10,19,19,26,10,6,11,1,30,29,19,18,5,27,29,30,26,17,7,24,18,18,13,9,12,14
9,19,29,6,39,4,26,30,1,12,21,15,2,18,15,28,28,23,5,15,12,7,13,9,15,13,12,21,1,13,6,36,13,4,12,2,11,6,19,7,9,47,27,25,2,27,31,7,3,25,3,17,4,15,7,10,35,23,33,29,2,21,21,32,1,5,25,10,4,4,24,24,18,12,20,9,18,19,27,11,5,14,1,33,27,23,19,7,28,30,34,28,23,7,27,21,19,18,10,14,15
10,19,29,7,40,4,27,31,1,12,18,16,2,19,14,29,28,28,6,16,14,7,13,11,16,12,12,24,2,12,8,40,13,4,11,2,10,6,14,7,7,49,27,26,2,29,29,7,3,27,2,16,4,15,5,11,36,20,33,30,2,22,26,31,1,3,28,9,4,5,25,28,16,13,23,10,26,23,31,12,5,17,2,32,30,21,18,7,31,24,37,28,24,7,30,23,24,16,15,14,15
