"time","species_1","species_2","species_3","species_4","species_5","species_6","species_7","species_8","species_9","species_10","species_11","species_12","species_13","species_14","species_15","species_16","species_17","species_18","species_19","species_20","species_21","species_22","species_23","species_24","species_25","species_26","species_27","species_28","species_29","species_30","species_31","species_32","species_33","species_34","species_35","species_36","species_37","species_38","species_39","species_40","species_41","species_42","species_43","species_44","species_45","species_46","species_47","species_48","species_49","species_50","species_51","species_52","species_53","species_54","species_55","species_56","species_57","species_58","species_59","species_60","species_61","species_62","species_63","species_64","species_65","species_66","species_67","species_68","species_69","species_70","species_71","species_72","species_73","species_74","species_75","species_76","species_77","species_78","species_79","species_80","species_81","species_82","species_83","species_84","species_85","species_86","species_87","species_88","species_89","species_90","species_91","species_92","species_93","species_94","species_95","species_96","species_97","species_98","species_99","species_100"
1,4,4,7,2,0,6,4,0,0,1,1,1,1,2,0,5,4,4,3,3,2,4,0,1,0,2,3,1,2,5,2,1,4,0,4,0,0,9,7,3,2,2,0,2,0,2,5,0,1,0,2,2,3,4,5,5,1,2,2,0,1,2,0,1,1,2,0,0,1,0,2,0,1,2,1,1,1,0,0,2,2,1,5,0,1,4,5,0,3,2,5,3,11,0,1,0,1,4,2,0
2,6,4,8,2,0,6,6,0,1,1,1,4,4,4,0,5,6,5,5,6,3,6,1,0,2,3,3,1,2,7,3,2,6,0,6,0,0,11,7,4,3,5,0,3,0,5,5,1,1,1,3,3,4,5,6,6,1,3,4,0,1,4,0,1,1,3,0,0,1,2,3,0,2,2,1,1,3,0,0,3,4,3,5,1,1,8,7,0,4,2,6,3,13,0,1,0,1,6,2,0
3,7,4,9,3,0,6,9,1,1,1,1,4,5,5,0,5,9,7,6,8,4,8,1,1,2,4,3,1,2,8,3,3,10,0,7,0,0,12,9,5,3,5,0,3,0,7,7,1,2,2,3,4,6,9,6,8,0,2,6,0,1,5,0,1,3,3,0,0,2,2,6,0,2,7,1,1,4,0,0,4,5,4,14,2,1,10,8,0,7,3,6,3,14,0,1,1,0,7,4,0
4,7,5,12,3,0,7,12,1,1,1,1,5,7,6,0,6,10,8,6,8,4,11,1,1,2,5,3,1,3,9,5,4,11,0,7,0,1,14,10,6,3,6,0,3,1,9,10,2,5,3,3,6,8,10,7,8,0,6,7,0,1,7,0,1,5,3,0,1,2,2,6,0,4,10,1,2,5,0,0,5,6,4,16,3,1,11,9,1,9,4,7,4,16,0,1,1,0,11,4,0
5,7,8,12,3,1,10,14,1,1,1,1,6,8,7,0,8,10,9,7,10,5,13,1,1,4,7,4,1,3,9,8,4,10,0,7,0,1,14,10,6,4,8,0,4,1,10,11,2,7,4,6,6,9,12,8,9,0,6,9,0,2,8,0,2,9,3,0,1,2,2,11,0,4,10,1,2,5,0,0,5,7,8,16,3,1,11,12,1,10,4,9,4,17,1,2,1,0,11,5,0
6,9,8,11,3,2,12,14,3,1,2,3,5,7,7,0,8,11,11,8,11,7,17,1,1,11,7,4,1,3,10,11,4,10,0,8,0,3,15,14,7,6,10,0,7,1,12,11,2,7,4,7,6,11,13,11,9,0,8,10,0,2,10,0,2,12,5,0,2,3,2,13,0,6,11,1,2,5,0,0,8,11,11,19,4,1,13,14,0,10,5,10,5,18,1,3,1,0,15,5,0
7,12,9,14,4,2,13,13,4,1,3,3,6,9,8,0,8,13,12,10,11,6,17,3,2,11,7,4,1,3,11,11,4,13,0,9,0,3,16,16,8,6,13,0,7,2,12,12,3,8,5,7,8,11,15,11,11,1,8,12,1,2,13,0,3,15,6,0,2,3,3,15,0,6,15,1,3,6,0,0,13,12,13,20,4,1,13,13,1,9,7,11,5,21,1,3,1,1,15,8,0
8,13,11,14,4,2,13,14,4,1,3,3,6,10,7,0,9,14,12,10,12,6,17,3,1,15,10,5,1,3,13,11,4,15,0,8,0,3,16,16,8,9,12,0,9,3,16,15,4,11,5,10,9,14,15,12,12,2,8,12,1,2,14,0,3,15,7,0,2,3,3,15,0,6,18,2,3,8,0,0,15,14,13,20,4,1,13,15,1,10,8,10,5,22,1,4,1,1,16,10,0
9,14,14,15,6,2,10,15,3,1,4,2,6,11,7,0,9,16,14,14,16,8,19,3,1,13,11,5,1,3,13,10,4,18,0,11,1,5,17,16,10,9,11,0,9,6,17,15,4,11,5,11,10,15,16,12,13,2,8,12,2,2,14,0,3,15,7,0,2,3,3,17,0,8,19,2,4,11,0,0,14,16,17,21,4,2,14,17,1,12,8,11,7,24,1,4,1,1,18,12,0
10,14,13,18,7,2,12,14,4,2,5,3,9,11,7,0,9,20,13,15,16,7,19,3,1,13,12,7,1,3,14,14,4,21,0,14,1,6,20,18,11,12,11,0,11,6,17,15,3,13,5,13,9,15,16,14,15,4,10,12,3,2,15,0,5,17,7,0,2,4,4,18,0,8,20,2,4,13,0,0,14,18,21,24,5,2,17,18,1,11,8,12,7,26,1,4,1,1,19,13,0
