"time","species_1","species_2","species_3","species_4","species_5","species_6","species_7","species_8","species_9","species_10","species_11","species_12","species_13","species_14","species_15","species_16","species_17","species_18","species_19","species_20","species_21","species_22","species_23","species_24","species_25","species_26","species_27","species_28","species_29","species_30","species_31","species_32","species_33","species_34","species_35","species_36","species_37","species_38","species_39","species_40","species_41","species_42","species_43","species_44","species_45","species_46","species_47","species_48","species_49","species_50","species_51","species_52","species_53","species_54","species_55","species_56","species_57","species_58","species_59","species_60","species_61","species_62","species_63","species_64","species_65","species_66","species_67","species_68","species_69","species_70","species_71","species_72","species_73","species_74","species_75","species_76","species_77","species_78","species_79","species_80","species_81","species_82","species_83","species_84","species_85","species_86","species_87","species_88","species_89","species_90","species_91","species_92","species_93","species_94","species_95","species_96","species_97","species_98","species_99","species_100"
1,1,0,4,2,2,1,4,2,1,0,3,2,2,1,2,0,3,1,0,0,4,3,3,4,1,0,1,0,3,2,3,1,0,3,2,0,2,1,6,7,1,3,3,4,3,2,2,3,3,2,3,3,6,3,1,1,7,0,1,2,8,1,3,3,0,1,1,3,0,1,1,5,0,6,5,0,3,2,6,0,1,4,0,2,4,1,2,2,2,3,0,0,1,2,0,2,2,0,1,5
2,3,0,4,2,2,3,8,3,3,3,6,5,3,2,3,1,5,1,0,0,5,4,3,6,1,0,1,0,4,5,4,1,1,4,2,0,4,1,8,9,1,5,5,7,3,3,4,7,4,2,4,5,7,4,1,2,7,1,2,3,11,2,7,4,0,1,2,4,0,2,3,6,0,8,9,0,6,2,7,0,2,4,2,3,5,2,2,4,4,3,1,0,1,2,0,4,2,0,2,4
3,3,0,5,3,2,5,8,4,4,3,9,4,5,5,5,1,5,1,0,1,5,5,4,7,2,0,2,0,6,5,6,1,1,5,5,1,4,1,10,11,3,5,5,11,3,4,5,9,5,3,5,6,6,5,2,2,7,1,3,4,13,3,10,7,0,2,4,7,2,2,4,7,1,11,11,0,8,3,10,0,2,4,2,4,6,5,1,5,4,4,2,3,1,2,1,5,2,0,3,5
4,3,0,4,5,4,7,9,4,5,4,12,4,5,8,6,1,10,3,0,4,7,5,5,7,4,0,2,0,7,6,6,1,1,6,8,1,5,1,10,11,3,5,4,11,4,6,5,11,7,5,5,7,8,7,5,2,8,1,10,5,15,3,10,10,0,2,4,9,2,2,4,7,4,10,12,0,8,4,11,0,4,6,2,5,6,5,1,5,6,5,6,5,1,2,1,6,2,1,4,6
5,4,0,5,6,5,6,9,4,8,7,12,5,6,10,6,1,11,3,0,6,7,6,10,8,5,0,4,1,9,9,10,2,2,7,7,1,5,1,10,12,4,7,6,12,6,8,8,12,7,6,6,7,12,9,6,2,10,1,13,6,17,3,11,13,0,2,4,10,2,3,6,9,4,13,13,0,10,5,11,0,5,8,3,6,7,6,1,6,8,5,7,5,1,2,1,7,4,3,5,6
6,5,0,7,12,5,7,11,5,10,10,18,6,7,13,8,1,11,3,0,7,7,6,11,7,6,0,6,1,11,10,12,2,2,7,7,1,6,2,12,13,5,8,7,13,6,9,8,12,8,7,8,7,13,10,6,2,12,2,13,6,21,5,12,13,0,2,5,12,2,3,9,9,4,13,14,1,12,7,12,0,7,11,6,4,8,7,2,7,10,7,9,5,1,3,1,9,6,4,5,6
7,7,1,7,16,5,9,10,5,9,10,20,4,7,15,8,1,11,3,0,7,8,6,13,6,7,0,9,1,11,11,14,1,2,7,10,4,7,3,12,15,5,9,8,15,8,10,8,14,11,7,10,9,14,12,6,2,12,2,14,6,23,5,13,13,0,2,7,13,3,3,9,9,5,14,16,1,14,7,13,0,11,12,7,5,9,9,2,7,11,8,11,6,1,5,1,11,7,7,5,6
8,6,1,6,17,5,10,9,5,11,12,20,5,9,17,8,1,11,4,0,8,8,6,13,4,7,0,10,1,14,12,15,1,3,8,12,4,7,4,13,18,5,10,7,16,9,9,7,13,14,8,11,9,15,14,8,2,12,3,15,8,24,6,14,15,0,2,6,13,3,3,9,9,5,13,16,1,14,8,14,1,11,14,8,4,10,13,4,9,12,8,14,8,1,5,2,12,8,8,6,5
9,6,2,7,19,7,11,12,6,11,12,21,5,9,19,8,1,14,4,0,8,8,7,15,9,7,0,10,1,16,14,14,1,3,9,12,4,7,4,15,18,5,10,7,15,9,10,11,15,14,8,12,8,18,14,10,2,12,3,15,10,25,6,15,16,0,2,7,13,4,5,11,10,6,15,18,1,15,8,15,1,12,14,8,4,12,16,8,12,13,11,14,8,1,6,2,13,9,9,7,6
10,7,2,9,18,8,11,14,7,11,11,23,5,10,20,7,2,18,4,0,9,8,7,15,10,8,0,11,1,16,16,15,1,3,10,13,4,7,6,16,18,5,12,7,18,9,11,12,15,15,8,12,6,18,13,11,2,14,6,17,11,27,7,14,16,0,2,9,14,4,3,12,11,7,15,20,2,16,8,15,1,12,18,9,4,14,15,8,13,13,13,15,9,0,7,2,14,10,11,6,6
11,7,2,8,21,10,15,14,7,12,9,22,6,10,22,7,2,18,4,0,10,9,6,16,9,8,0,11,1,17,16,15,2,5,10,15,5,7,6,17,18,6,13,7,19,9,12,15,16,18,9,13,6,16,14,12,2,14,5,18,12,26,6,15,16,0,4,11,15,5,3,12,11,7,14,21,3,16,9,18,1,13,20,8,4,14,15,8,14,12,14,17,10,0,8,1,14,10,11,6,7
12,9,2,7,20,12,16,14,6,13,9,23,9,10,22,7,3,18,4,0,8,11,6,17,8,9,0,11,4,18,16,18,2,5,12,15,5,6,7,17,21,6,14,8,20,10,12,15,17,16,8,14,7,17,15,13,3,14,6,20,12,26,6,16,16,0,4,13,16,5,3,13,11,7,14,21,3,17,11,19,1,14,22,7,4,14,18,10,11,12,14,18,12,0,7,3,15,10,11,6,8
