"time","species_1","species_2","species_3","species_4","species_5","species_6","species_7","species_8","species_9","species_10","species_11","species_12","species_13","species_14","species_15","species_16","species_17","species_18","species_19","species_20","species_21","species_22","species_23","species_24","species_25","species_26","species_27","species_28","species_29","species_30","species_31","species_32","species_33","species_34","species_35","species_36","species_37","species_38","species_39","species_40","species_41","species_42","species_43","species_44","species_45","species_46","species_47","species_48","species_49","species_50","species_51","species_52","species_53","species_54","species_55","species_56","species_57","species_58","species_59","species_60","species_61","species_62","species_63","species_64","species_65","species_66","species_67","species_68","species_69","species_70","species_71","species_72","species_73","species_74","species_75","species_76","species_77","species_78","species_79","species_80","species_81","species_82","species_83","species_84","species_85","species_86","species_87","species_88","species_89","species_90","species_91","species_92","species_93","species_94","species_95","species_96","species_97","species_98","species_99","species_100"
1,2,1,2,2,0,1,3,3,2,2,0,0,2,1,1,0,1,1,1,0,2,0,2,1,0,5,5,3,2,0,5,3,3,2,1,2,4,2,2,1,3,1,4,1,3,0,1,1,2,0,3,4,2,4,1,0,1,5,0,3,1,0,0,1,0,6,3,4,4,0,1,2,2,5,1,3,0,3,3,4,2,1,0,3,1,0,1,0,0,1,5,0,5,4,3,1,3,5,2,6
2,5,1,2,2,0,1,4,7,2,4,0,0,3,1,1,0,3,2,1,2,2,1,4,1,0,5,7,3,2,0,5,3,4,3,3,4,4,2,5,1,6,5,6,1,5,0,3,1,1,0,7,5,6,6,1,0,3,9,0,4,2,0,0,2,2,8,3,4,5,0,2,2,3,7,2,5,0,3,6,5,4,1,0,5,3,0,2,0,1,6,8,1,5,6,4,2,7,6,3,8
3,6,1,6,2,2,1,4,7,2,5,0,0,4,1,1,0,4,2,1,2,3,1,8,2,1,5,8,3,3,0,5,4,5,5,3,4,6,4,5,2,7,5,7,1,8,1,3,2,4,0,8,5,8,7,2,0,4,9,0,4,2,0,0,2,3,9,4,8,6,1,2,2,5,9,4,5,3,6,8,9,4,2,0,6,3,0,2,1,1,6,9,1,6,8,5,2,7,7,6,10
4,6,2,8,3,2,1,6,8,2,5,0,1,5,3,2,0,5,3,1,2,3,1,10,2,2,5,8,6,3,0,6,5,6,5,6,4,8,4,8,2,7,5,8,1,11,1,4,3,4,0,9,4,7,9,2,0,4,8,0,4,3,0,0,3,5,12,4,12,6,2,2,3,4,11,3,6,4,7,12,11,3,2,0,8,5,1,2,2,1,6,11,2,6,9,4,2,8,7,6,13
5,7,2,9,5,3,1,7,7,2,5,0,3,4,5,5,0,5,4,1,2,3,1,12,2,2,6,9,6,3,0,8,6,7,5,8,7,8,4,9,3,9,7,10,1,13,1,5,3,4,0,11,6,8,11,2,0,5,8,0,4,2,0,0,5,6,13,6,13,6,2,2,1,5,11,3,7,4,9,13,13,3,3,1,9,4,1,2,2,1,6,12,2,9,10,4,2,8,8,6,15
6,8,4,10,6,3,1,7,7,2,6,0,3,4,5,6,0,5,4,1,2,3,1,14,2,3,9,11,9,4,2,8,7,6,5,9,6,9,4,10,3,10,5,11,1,15,1,5,2,4,0,11,9,9,13,2,0,7,9,0,4,1,0,0,5,6,14,10,16,6,2,2,1,6,13,3,8,5,9,13,17,3,2,1,8,4,1,2,3,2,9,13,2,10,10,5,3,10,7,6,14
7,8,4,9,6,5,1,7,10,2,6,0,3,4,4,6,0,6,4,1,2,3,1,14,2,3,11,12,9,5,2,8,7,10,5,10,6,9,4,12,3,11,6,13,1,15,1,4,2,5,0,10,10,9,18,3,0,10,9,0,6,2,0,0,5,7,14,10,15,6,2,2,1,6,14,3,8,5,10,15,19,3,2,1,8,4,2,2,4,3,10,15,2,10,14,6,4,10,8,6,17
8,9,4,8,7,5,1,7,10,2,6,0,3,5,4,7,0,7,5,1,2,4,1,14,2,3,12,13,11,7,3,8,8,12,6,13,7,11,4,13,3,13,7,14,1,16,1,4,3,5,1,11,10,10,18,3,0,12,10,0,6,2,1,0,6,8,18,10,14,7,2,2,2,7,15,4,8,5,11,15,19,3,2,1,10,5,3,4,4,2,11,19,2,9,15,6,5,11,9,7,19
9,9,4,8,7,5,2,7,10,2,5,0,3,9,4,9,0,7,4,1,4,6,1,15,2,3,13,13,11,7,3,9,10,13,8,14,6,13,5,13,3,13,8,16,1,18,2,5,4,7,2,11,9,13,17,3,0,15,10,0,6,2,1,0,5,11,21,11,14,11,2,2,3,8,12,5,9,6,12,15,21,4,4,1,11,5,3,4,4,4,12,20,3,11,17,7,5,10,10,5,21
10,10,4,8,8,5,1,7,11,2,5,0,3,10,4,9,1,7,4,1,4,6,2,17,2,3,13,13,12,7,4,7,15,15,8,17,6,13,5,13,3,13,8,17,2,18,2,5,4,7,2,12,11,15,19,4,0,16,11,0,6,4,1,0,7,14,23,11,14,11,4,3,5,8,12,6,9,6,13,14,22,5,4,1,12,5,3,4,5,4,13,20,3,14,18,8,5,10,13,5,26
