"time","species_1","species_2","species_3","species_4","species_5","species_6","species_7","species_8","species_9","species_10","species_11","species_12","species_13","species_14","species_15","species_16","species_17","species_18","species_19","species_20","species_21","species_22","species_23","species_24","species_25","species_26","species_27","species_28","species_29","species_30","species_31","species_32","species_33","species_34","species_35","species_36","species_37","species_38","species_39","species_40","species_41","species_42","species_43","species_44","species_45","species_46","species_47","species_48","species_49","species_50","species_51","species_52","species_53","species_54","species_55","species_56","species_57","species_58","species_59","species_60","species_61","species_62","species_63","species_64","species_65","species_66","species_67","species_68","species_69","species_70","species_71","species_72","species_73","species_74","species_75","species_76","species_77","species_78","species_79","species_80","species_81","species_82","species_83","species_84","species_85","species_86","species_87","species_88","species_89","species_90","species_91","species_92","species_93","species_94","species_95","species_96","species_97","species_98","species_99","species_100"
1,1,3,0,6,4,3,3,6,2,3,2,6,1,5,1,1,4,1,0,3,4,2,1,1,5,2,4,0,1,1,4,5,4,4,4,2,0,5,1,2,1,2,1,0,0,1,1,4,3,0,1,0,0,1,3,3,7,1,0,0,6,3,0,4,2,4,2,0,2,2,0,1,0,1,1,1,2,1,0,1,1,1,0,4,0,1,6,3,0,0,1,4,1,0,4,2,2,2,4,1
2,1,2,0,9,5,4,4,7,5,4,3,7,1,7,4,1,6,1,0,5,5,2,1,2,5,4,5,0,1,3,5,6,7,4,4,3,0,5,2,2,1,2,2,1,0,2,1,6,4,0,1,0,0,1,5,4,7,3,0,0,8,5,1,7,2,5,4,0,4,5,1,1,0,1,1,3,2,1,0,1,1,2,0,7,0,1,9,6,4,0,1,6,1,0,7,2,3,2,6,1
3,2,2,0,12,7,5,5,9,8,5,5,9,2,9,6,1,10,1,0,7,7,4,2,2,5,4,6,0,1,3,7,7,10,4,7,4,0,6,4,2,1,5,6,1,0,2,1,8,4,1,1,0,0,2,6,9,14,4,0,1,8,8,2,6,2,8,4,1,8,7,1,1,0,1,1,5,3,1,0,1,4,4,0,9,0,1,10,9,5,0,2,6,1,0,8,3,3,2,9,2
4,2,2,0,14,9,9,6,12,9,6,6,11,4,8,6,2,11,1,0,8,7,5,1,2,5,6,11,0,1,5,8,6,10,4,7,8,1,6,4,2,2,5,10,1,0,4,0,11,5,1,2,0,0,4,9,10,16,5,0,3,10,10,3,7,2,9,6,2,9,9,2,1,0,1,1,5,6,1,0,1,6,5,0,13,0,1,11,9,7,0,2,7,1,0,9,4,3,2,10,2
5,3,2,0,15,9,11,9,12,8,6,9,12,6,9,6,4,11,1,0,8,8,6,1,3,6,8,12,0,1,6,9,6,11,4,8,11,2,6,4,2,2,8,10,1,0,7,1,12,5,1,3,0,0,4,9,12,16,8,0,6,11,10,4,9,3,10,6,2,9,12,3,2,0,1,1,6,7,2,0,1,6,6,1,12,0,1,12,11,7,1,2,10,1,0,11,4,5,2,12,2
6,4,4,0,16,8,11,11,14,10,6,10,13,7,10,7,5,12,1,0,8,10,6,1,3,8,8,11,0,1,7,11,9,11,6,10,11,2,7,6,5,2,11,12,1,0,8,2,15,5,1,3,0,0,6,11,13,17,9,0,5,12,10,5,11,4,11,7,3,11,13,5,2,0,1,1,7,8,2,0,2,6,7,1,16,0,1,14,11,7,1,3,11,1,0,13,4,6,2,13,2
7,5,4,1,18,11,10,12,16,10,7,10,13,8,11,8,6,12,1,0,10,17,6,2,3,8,9,13,0,1,7,12,10,11,6,10,12,2,7,6,6,2,10,12,1,2,11,3,15,5,1,3,0,0,7,11,14,19,10,0,5,17,10,5,12,4,11,7,2,11,15,5,2,0,1,0,7,9,2,0,2,9,6,1,17,0,2,15,14,10,1,4,11,2,0,16,4,9,2,16,2
8,4,6,1,20,11,11,12,17,11,7,12,15,8,12,8,6,13,1,1,11,18,5,2,3,9,10,13,0,1,7,13,10,13,6,8,14,2,8,5,7,2,14,15,1,2,11,4,17,5,1,2,0,1,8,12,14,18,11,0,6,17,10,5,11,4,11,6,2,13,16,7,2,1,1,0,8,10,1,0,3,9,6,1,18,0,2,15,14,11,1,4,13,2,0,18,3,9,2,17,2
9,4,7,1,20,13,11,13,18,16,8,12,16,8,12,8,7,12,1,2,15,20,7,2,5,11,11,14,0,1,9,12,12,13,6,10,15,1,9,5,7,2,13,15,1,2,13,5,20,5,1,4,0,2,9,12,14,19,13,0,7,22,11,6,16,4,12,8,3,14,18,7,2,1,1,0,10,10,2,0,3,9,6,3,18,0,2,15,16,12,1,5,14,2,0,20,5,11,3,17,3
10,4,8,2,21,12,10,12,20,16,9,13,17,9,13,8,10,12,1,2,18,20,10,2,4,12,12,13,0,1,10,14,12,12,5,9,15,1,11,5,8,2,13,14,1,4,13,7,20,7,1,5,0,2,11,14,18,21,13,0,9,22,12,6,17,4,15,7,3,18,16,7,2,1,1,0,9,13,2,0,3,9,7,3,17,0,2,15,17,14,1,5,16,3,0,21,6,11,3,19,4
11,4,8,3,23,11,11,14,21,16,9,13,19,9,15,8,10,13,1,2,19,22,10,3,4,13,15,13,0,1,12,18,13,12,7,11,15,1,12,6,9,2,12,17,1,5,13,7,20,8,2,5,0,4,10,15,21,22,15,0,8,21,11,6,15,4,18,6,2,20,16,7,2,1,1,0,9,15,2,0,3,10,8,2,17,0,2,17,15,16,1,7,20,4,0,21,5,13,2,19,4
12,4,7,3,24,11,11,15,21,17,9,15,19,9,17,8,11,14,3,2,20,22,12,4,4,14,15,13,0,1,13,18,13,12,8,11,15,1,12,8,10,2,14,18,1,5,13,7,20,8,2,6,0,5,11,15,22,21,15,0,8,22,11,6,14,4,20,6,2,22,18,7,2,0,1,0,9,13,2,0,4,12,8,2,17,0,2,18,16,16,1,7,24,4,0,25,4,13,2,19,4
13,4,7,3,25,12,10,17,23,19,9,15,20,9,18,8,13,16,4,2,22,23,11,4,4,14,16,12,0,1,14,18,13,12,10,11,15,1,12,8,10,2,14,18,1,5,12,7,23,8,2,7,0,5,11,15,20,23,18,1,8,21,12,7,13,5,20,6,2,24,19,8,2,0,1,0,10,14,2,0,5,13,8,2,18,0,2,18,17,15,1,7,27,4,0,28,4,13,2,18,4
14,4,8,3,26,9,11,17,23,18,11,17,20,9,19,8,13,15,4,2,22,23,12,5,3,14,18,13,0,1,14,18,13,12,10,12,17,1,13,9,11,3,15,21,1,5,14,6,22,8,2,9,0,6,11,15,20,24,20,1,8,21,13,8,15,6,20,7,3,27,19,8,2,0,1,1,11,13,4,0,7,14,9,2,19,0,2,16,18,16,1,7,32,4,0,29,6,14,2,18,6
15,4,9,3,28,9,12,17,24,18,13,18,20,10,22,10,14,18,4,2,22,26,14,4,3,14,20,14,0,1,16,21,16,12,8,11,20,1,14,9,12,4,14,22,1,6,16,5,23,8,2,8,0,5,11,17,21,26,22,1,7,22,11,7,14,8,20,8,3,29,19,11,2,0,1,1,10,13,4,0,7,14,9,2,21,0,2,19,19,18,1,8,31,4,0,30,6,15,2,16,7
16,4,9,3,28,9,11,17,25,17,16,22,22,9,22,10,14,17,4,2,22,28,15,4,3,13,22,16,0,1,16,22,18,12,8,13,20,1,15,7,13,5,14,23,1,6,16,8,24,9,2,9,0,6,13,17,21,25,22,1,8,25,10,6,17,8,23,8,4,28,19,11,2,0,1,1,12,14,4,0,7,15,9,2,22,0,2,19,21,19,1,8,31,4,0,31,5,17,2,17,8
17,4,9,3,27,9,11,16,27,17,15,21,23,9,23,11,15,18,5,2,21,29,15,3,2,13,23,17,0,2,17,22,19,12,8,13,20,1,16,7,13,4,15,26,1,6,16,10,22,9,3,10,0,6,13,18,22,25,24,0,10,25,9,6,18,8,25,9,4,29,20,11,2,0,1,1,12,14,4,0,7,15,10,2,23,0,2,18,21,19,1,11,32,4,0,33,4,17,2,17,9
18,3,9,3,28,9,11,14,27,17,16,23,25,8,25,12,15,20,5,2,21,29,15,2,2,14,25,18,0,2,18,22,19,14,8,13,21,1,17,7,14,3,15,28,2,7,16,10,23,12,4,12,1,6,14,21,24,25,25,0,10,26,9,7,20,9,25,9,4,29,21,12,2,0,1,1,11,14,3,0,7,15,10,2,24,0,2,16,21,20,1,11,34,5,0,34,5,18,2,16,9
