"time","species_1","species_2","species_3","species_4","species_5","species_6","species_7","species_8","species_9","species_10","species_11","species_12","species_13","species_14","species_15","species_16","species_17","species_18","species_19","species_20","species_21","species_22","species_23","species_24","species_25","species_26","species_27","species_28","species_29","species_30","species_31","species_32","species_33","species_34","species_35","species_36","species_37","species_38","species_39","species_40","species_41","species_42","species_43","species_44","species_45","species_46","species_47","species_48","species_49","species_50","species_51","species_52","species_53","species_54","species_55","species_56","species_57","species_58","species_59","species_60","species_61","species_62","species_63","species_64","species_65","species_66","species_67","species_68","species_69","species_70","species_71","species_72","species_73","species_74","species_75","species_76","species_77","species_78","species_79","species_80","species_81","species_82","species_83","species_84","species_85","species_86","species_87","species_88","species_89","species_90","species_91","species_92","species_93","species_94","species_95","species_96","species_97","species_98","species_99","species_100"
1,6,1,2,3,8,1,6,5,8,8,10,2,3,0,1,6,1,4,5,8,10,1,1,8,3,2,8,7,0,0,0,2,2,0,2,4,3,1,2,6,0,7,0,0,2,12,4,9,0,0,1,0,2,12,2,5,1,4,8,5,4,3,0,8,0,1,3,10,1,6,5,10,9,3,6,1,8,2,9,7,4,2,1,8,1,4,4,5,1,9,8,4,6,11,2,8,2,1,9,0
2,8,2,3,5,10,1,9,6,9,11,14,2,4,0,1,9,1,7,5,11,13,5,1,13,6,4,12,8,0,0,0,2,7,1,2,6,5,1,3,8,0,7,0,1,3,15,5,16,2,2,4,1,2,18,4,5,1,6,11,7,7,3,0,13,0,1,4,15,1,10,8,16,10,4,8,1,10,2,10,14,7,2,2,11,1,7,6,8,1,12,11,4,8,13,2,12,3,2,16,0
3,12,2,5,6,12,1,9,8,11,16,16,3,5,1,3,10,1,11,5,13,16,5,3,18,11,4,13,8,0,0,1,6,12,2,2,9,6,1,3,12,0,9,0,1,4,23,7,19,3,2,5,4,3,21,5,6,1,9,14,9,11,8,1,14,0,2,5,16,1,11,10,20,15,6,9,1,12,3,12,15,11,3,3,13,1,9,10,13,1,15,16,4,8,14,2,12,4,6,16,2
4,13,2,6,11,11,1,12,11,15,20,18,5,7,2,5,11,3,12,7,16,17,7,4,19,11,5,13,11,0,0,1,9,16,3,2,12,6,1,3,14,0,9,0,1,4,26,8,20,6,2,8,5,6,23,6,7,1,11,18,9,12,11,1,17,0,5,5,20,1,15,13,23,18,7,12,2,16,4,16,15,14,4,4,15,1,9,12,16,1,18,19,8,10,15,4,14,5,8,18,3
5,17,1,7,12,14,1,14,12,17,21,21,5,7,2,5,14,4,14,8,19,18,7,7,20,13,5,16,14,0,2,2,10,18,3,2,16,9,1,3,15,0,10,0,2,6,28,8,23,6,4,10,6,8,28,7,9,1,16,19,11,12,13,1,17,0,6,5,21,1,19,16,24,20,7,13,4,18,4,15,16,16,6,5,16,2,13,15,19,1,18,19,8,13,18,5,15,6,10,18,3
6,21,1,8,16,15,1,15,12,21,22,26,6,8,3,6,16,4,15,12,19,20,11,8,20,13,6,17,14,1,2,3,12,23,3,2,19,10,1,3,20,0,10,0,2,7,31,8,25,7,4,12,7,11,33,8,9,1,20,21,15,13,15,1,21,0,6,5,24,1,19,21,26,20,8,15,5,20,7,17,17,17,6,5,20,2,14,16,22,1,21,19,8,13,18,5,19,6,12,18,3
7,26,1,10,17,20,1,17,17,21,25,29,7,9,4,6,18,5,20,14,21,22,13,10,23,14,6,18,15,1,4,3,12,27,4,2,21,11,1,3,22,0,10,0,2,7,32,9,25,8,4,15,7,13,35,8,10,1,24,26,18,15,17,1,20,0,6,5,24,1,20,23,30,23,8,17,7,22,8,17,18,18,7,7,21,3,16,19,23,1,23,22,11,16,19,5,20,6,13,19,3
8,28,1,11,20,20,1,19,17,22,26,32,7,11,4,6,19,6,21,14,23,26,13,11,25,15,6,21,15,1,4,3,13,33,5,2,23,12,1,4,23,0,10,0,2,7,33,12,30,10,4,18,9,14,36,8,12,1,28,30,20,17,20,1,23,0,6,5,25,1,22,26,32,25,11,17,7,23,10,17,18,22,13,8,24,4,17,21,24,1,25,23,14,16,20,5,21,7,15,24,3
9,30,3,11,20,23,1,21,17,26,27,34,7,12,4,7,19,6,21,15,26,28,13,14,26,18,6,22,15,1,4,4,15,34,5,2,28,13,1,5,23,0,11,0,2,7,39,12,31,12,5,21,9,17,41,9,13,1,28,34,23,17,22,2,25,0,6,5,28,1,22,26,34,27,13,18,8,24,10,20,18,26,14,8,25,5,18,21,26,1,30,23,14,17,21,6,21,7,16,29,4
10,33,3,11,22,25,1,23,18,27,31,39,7,14,4,7,19,7,24,16,28,30,14,18,26,18,6,23,15,1,4,4,15,40,6,2,30,14,2,5,25,0,11,0,2,7,39,14,33,13,6,23,10,19,43,10,13,2,29,36,25,20,26,2,29,0,9,5,32,1,24,30,38,28,15,18,10,29,10,20,18,28,16,9,26,6,20,26,28,2,31,25,16,17,22,8,21,7,16,30,4
