"time","species_1","species_2","species_3","species_4","species_5","species_6","species_7","species_8","species_9","species_10","species_11","species_12","species_13","species_14","species_15","species_16","species_17","species_18","species_19","species_20","species_21","species_22","species_23","species_24","species_25","species_26","species_27","species_28","species_29","species_30","species_31","species_32","species_33","species_34","species_35","species_36","species_37","species_38","species_39","species_40","species_41","species_42","species_43","species_44","species_45","species_46","species_47","species_48","species_49","species_50","species_51","species_52","species_53","species_54","species_55","species_56","species_57","species_58","species_59","species_60","species_61","species_62","species_63","species_64","species_65","species_66","species_67","species_68","species_69","species_70","species_71","species_72","species_73","species_74","species_75","species_76","species_77","species_78","species_79","species_80","species_81","species_82","species_83","species_84","species_85","species_86","species_87","species_88","species_89","species_90","species_91","species_92","species_93","species_94","species_95","species_96","species_97","species_98","species_99","species_100"
1,14,2,11,2,2,3,3,2,5,4,12,1,8,0,7,8,1,6,5,4,8,10,12,6,11,2,5,0,9,6,3,4,2,3,1,0,7,9,5,4,7,2,11,1,8,0,8,4,0,3,7,6,8,1,12,0,4,8,5,7,11,10,3,3,1,11,8,3,0,2,4,0,2,0,5,0,10,4,1,6,5,3,6,11,11,2,13,7,11,8,16,7,3,0,2,4,4,7,3,11
2,15,4,16,3,5,3,4,3,9,6,14,3,9,0,8,12,1,8,5,5,10,13,16,8,18,3,4,4,11,10,7,6,4,3,1,1,11,10,5,7,9,1,14,1,10,5,13,7,1,7,10,6,13,1,18,2,7,11,9,8,14,12,4,4,1,18,10,3,0,3,11,0,3,0,5,0,13,6,2,10,7,5,11,13,16,2,17,9,15,10,18,10,5,0,5,5,7,13,4,14
3,18,5,16,3,7,5,5,3,10,7,16,3,11,1,10,19,1,12,9,5,14,16,20,9,22,5,6,5,11,11,8,6,5,4,3,1,11,14,6,12,9,1,18,1,14,5,15,11,1,8,18,7,18,2,20,2,7,15,10,11,16,16,5,7,1,27,16,4,0,4,16,1,3,0,5,0,14,9,4,13,7,5,11,16,21,2,21,10,18,18,20,16,9,0,9,5,13,15,4,16
4,21,6,24,4,8,8,8,3,9,8,19,4,12,1,13,26,2,12,11,5,15,18,23,11,29,8,6,5,13,11,10,8,9,6,3,3,13,17,7,14,11,1,20,3,19,8,19,12,2,9,19,7,24,3,22,3,9,16,12,12,19,17,6,10,1,30,19,4,0,3,20,2,3,0,8,0,16,13,4,17,7,5,13,20,25,4,26,14,20,20,22,17,9,0,9,6,16,18,5,20
5,24,6,31,5,9,8,9,5,9,9,20,5,16,1,15,29,3,14,11,5,21,21,27,12,35,10,8,7,14,12,12,8,10,7,3,4,13,18,8,15,14,1,22,4,23,9,22,13,2,10,26,8,27,5,22,4,9,18,16,13,21,20,6,10,1,33,26,5,0,3,21,2,5,0,10,0,16,14,6,20,7,7,18,23,27,5,27,17,23,23,28,21,12,0,12,7,19,21,7,21
6,27,6,34,5,9,10,10,6,14,10,24,6,21,1,17,33,4,14,11,6,23,27,30,13,38,12,12,8,16,12,13,10,12,13,4,4,15,20,10,17,17,1,24,4,25,11,22,17,2,11,28,11,28,6,24,4,10,21,18,15,21,25,6,11,1,37,28,5,0,3,25,2,7,0,12,0,19,16,7,25,7,8,23,24,27,5,30,22,28,28,32,24,18,0,13,7,20,23,7,27
7,28,7,39,5,11,9,11,6,15,13,28,6,25,1,17,34,4,14,12,7,26,30,39,15,40,13,13,9,18,12,13,11,13,15,6,5,23,20,10,18,22,2,26,8,28,14,25,18,2,11,32,13,30,5,26,5,10,24,20,16,25,27,6,13,1,38,32,5,0,3,27,2,8,0,13,0,23,17,7,28,7,8,28,27,30,5,30,24,29,29,33,25,18,0,13,8,23,30,7,31
8,30,7,43,5,11,9,12,6,18,14,31,8,28,1,20,38,6,14,12,6,27,31,44,15,41,15,13,10,18,12,13,12,13,15,7,6,25,22,10,18,23,2,27,8,29,18,30,18,2,11,34,16,33,5,29,5,10,26,23,17,25,28,6,14,1,42,35,5,0,3,28,1,10,0,14,0,25,19,7,33,9,8,31,29,34,7,33,27,35,32,34,28,21,0,13,9,25,30,8,34
9,31,8,47,6,10,9,13,7,18,15,34,9,31,2,20,42,6,15,13,6,30,33,44,15,46,17,14,11,22,13,14,15,17,18,7,5,25,24,11,18,26,2,30,9,33,20,31,20,2,11,36,17,36,5,32,5,10,28,23,17,31,29,6,16,1,47,36,5,0,4,30,1,10,0,16,0,27,19,7,33,10,11,34,38,40,8,35,29,38,34,40,29,21,0,15,12,26,30,9,36
10,32,8,47,6,11,9,15,6,19,16,36,10,35,2,23,41,6,14,14,6,32,35,47,15,48,17,15,13,26,14,15,16,17,18,8,6,28,26,11,19,29,2,32,9,35,22,33,21,2,11,42,19,38,5,35,5,10,32,24,18,33,31,6,17,1,50,38,6,0,5,32,2,10,0,17,0,27,22,9,33,10,11,36,41,42,8,38,32,39,37,45,35,22,0,16,14,28,30,10,38
