"time","species_1","species_2","species_3","species_4","species_5","species_6","species_7","species_8","species_9","species_10","species_11","species_12","species_13","species_14","species_15","species_16","species_17","species_18","species_19","species_20","species_21","species_22","species_23","species_24","species_25","species_26","species_27","species_28","species_29","species_30","species_31","species_32","species_33","species_34","species_35","species_36","species_37","species_38","species_39","species_40","species_41","species_42","species_43","species_44","species_45","species_46","species_47","species_48","species_49","species_50","species_51","species_52","species_53","species_54","species_55","species_56","species_57","species_58","species_59","species_60","species_61","species_62","species_63","species_64","species_65","species_66","species_67","species_68","species_69","species_70","species_71","species_72","species_73","species_74","species_75","species_76","species_77","species_78","species_79","species_80","species_81","species_82","species_83","species_84","species_85","species_86","species_87","species_88","species_89","species_90","species_91","species_92","species_93","species_94","species_95","species_96","species_97","species_98","species_99","species_100"
1,8,6,4,9,5,0,4,3,12,4,10,6,3,1,7,1,9,6,0,4,1,2,0,2,0,3,7,4,0,4,4,3,6,5,6,6,9,0,0,6,3,9,3,4,4,1,8,9,4,8,1,9,7,2,12,3,3,0,0,4,4,2,3,2,11,3,6,3,7,4,0,8,5,11,7,5,1,3,7,4,11,1,6,2,8,3,3,0,0,1,0,4,1,10,0,2,0,13,3,0
2,13,9,5,11,6,0,6,9,13,7,11,9,5,4,8,2,11,9,1,6,4,2,0,2,0,5,13,5,0,4,8,3,8,5,6,8,13,0,0,12,4,12,10,5,6,1,8,10,7,13,1,11,12,3,15,2,6,0,0,7,4,3,6,5,15,5,8,4,7,5,1,10,8,12,9,5,3,4,11,6,11,2,7,2,9,6,3,0,2,1,0,5,1,11,1,2,0,15,5,0
3,18,10,6,12,7,0,7,10,17,7,14,11,5,5,13,3,18,9,1,5,5,3,0,6,0,6,17,6,0,4,8,4,10,7,8,12,13,1,0,16,5,14,12,7,7,2,10,11,7,15,2,11,14,3,17,7,6,0,0,8,6,6,8,11,15,6,10,5,8,6,2,11,10,14,12,9,4,8,16,8,18,3,9,2,10,9,3,0,4,1,0,7,1,17,2,2,0,17,6,0
4,18,11,8,14,8,0,8,9,18,10,16,11,9,5,16,4,21,9,2,5,5,7,0,8,0,6,18,6,0,5,10,5,14,7,10,14,15,1,0,20,8,15,16,9,7,2,11,11,8,17,2,12,17,5,18,8,11,0,0,8,9,7,11,11,19,8,12,6,11,7,2,12,17,16,16,12,6,9,18,10,20,4,12,2,12,9,4,0,4,1,0,10,2,18,3,2,0,19,6,0
5,23,11,9,16,8,0,10,9,20,12,17,11,10,6,23,5,24,9,2,9,6,8,1,9,0,7,23,7,0,7,14,5,15,10,13,17,19,2,0,22,11,20,17,9,8,2,13,12,10,20,3,12,20,6,21,13,11,0,0,9,10,8,12,12,20,9,13,9,13,8,2,15,18,20,18,16,6,9,18,14,23,5,14,2,15,13,4,0,5,2,0,11,3,18,3,2,0,21,6,0
6,24,15,12,19,8,0,11,9,23,16,21,13,11,6,25,6,29,9,2,11,6,13,1,10,0,7,26,10,0,7,14,5,18,10,13,17,21,2,0,24,11,21,21,9,9,5,16,14,10,21,4,12,23,7,24,13,13,0,0,10,11,9,14,15,23,11,14,9,13,9,2,16,21,23,18,17,7,11,20,19,24,5,17,3,17,16,4,0,6,2,0,12,3,19,3,3,0,26,6,0
7,25,17,12,20,11,0,10,9,25,17,22,13,13,6,27,7,33,11,3,12,7,13,1,10,0,8,27,10,0,8,16,5,21,13,13,20,22,3,0,25,12,24,24,9,9,5,15,17,10,22,6,13,23,8,24,14,14,0,0,10,12,10,14,17,26,12,15,9,19,13,2,16,21,24,22,19,8,14,21,20,29,7,16,4,18,17,4,0,7,2,0,15,4,21,4,6,0,28,7,0
8,26,20,12,20,14,0,11,9,27,18,23,14,14,6,29,7,38,13,3,14,8,15,1,10,0,8,28,13,0,8,17,6,25,13,14,22,26,3,0,28,12,26,24,10,10,5,16,20,11,26,6,15,24,8,31,16,15,0,0,11,13,10,16,17,31,14,15,10,22,15,2,17,25,26,22,19,11,15,22,21,34,8,20,4,20,19,4,0,7,2,0,16,4,22,6,7,0,29,7,0
9,28,24,13,22,15,0,12,10,29,20,24,15,17,7,30,9,37,13,3,16,8,18,1,11,0,9,30,13,0,8,18,8,25,13,15,23,29,3,0,29,12,30,28,11,12,6,17,24,11,27,8,17,28,8,32,19,16,0,0,12,15,10,17,17,33,16,20,10,27,17,2,17,29,28,24,21,13,16,26,23,39,8,21,5,21,20,4,0,10,2,0,16,4,25,6,8,0,31,7,0
10,30,25,13,26,16,0,13,12,31,21,26,15,20,7,31,9,41,14,3,18,9,20,1,16,0,11,33,15,0,8,20,10,26,13,15,24,31,4,0,30,13,33,28,10,14,7,18,26,13,29,8,18,30,10,34,19,16,0,0,12,16,10,18,19,35,17,23,11,29,17,2,20,33,30,26,22,16,17,26,25,40,10,21,6,21,22,5,0,11,2,0,17,4,29,6,8,0,33,7,0
