,ss,sigma_0.01_width_mean,sigma_0.01_width_std,sigma_0.01_pval,sigma_0.10_width_mean,sigma_0.10_width_std,sigma_0.10_pval,sigma_0.20_width_mean,sigma_0.20_width_std,sigma_0.20_pval,sigma_0.25_width_mean,sigma_0.25_width_std,sigma_0.25_pval,sigma_0.30_width_mean,sigma_0.30_width_std,sigma_0.30_pval,sigma_0.50_width_mean,sigma_0.50_width_std,sigma_0.50_pval,sigma_0.70_width_mean,sigma_0.70_width_std,sigma_0.70_pval,sigma_0.80_width_mean,sigma_0.80_width_std,sigma_0.80_pval,sigma_1.00_width_mean,sigma_1.00_width_std,sigma_1.00_pval
0,0.001,0.00223639,1.46E-05,0.788609273,0.022364172,0.0001654,0.793759773,0.044779791,0.000377095,0.711422957,0.055944281,0.000400633,0.686067356,0.067212059,0.000498817,0.632036303,0.112107567,0.000567142,0.595099635,0.157523394,0.001015741,0.313219619,0.180388869,0.00151394,0.274735216,0.226572811,0.001641848,0.1140871
1,0.001264855,0.002239301,1.27E-05,0.823284724,0.022360958,0.000153204,0.767583265,0.044745162,0.000271602,0.744141569,0.055997432,0.000389708,0.633402709,0.067156278,0.000392722,0.614971971,0.112068225,0.000864184,0.515465704,0.157332323,0.000991164,0.323262967,0.180281382,0.001294096,0.247902531,0.226259862,0.001650951,0.117270739
2,0.001599859,0.002233432,1.34E-05,0.746019453,0.022382384,0.000148641,0.770194451,0.044776937,0.000359548,0.746574234,0.055895634,0.000418564,0.712172868,0.06718901,0.000362324,0.653252032,0.112159184,0.00091309,0.45430334,0.157626852,0.001115959,0.307882533,0.180302056,0.00133267,0.213367395,0.226665537,0.001691402,0.132181905
3,0.00202359,0.002236139,1.59E-05,0.811079912,0.022371566,0.000137842,0.806316314,0.044715398,0.000246569,0.77403412,0.056029528,0.000380186,0.727146356,0.06716629,0.000501833,0.643206248,0.11209699,0.000658423,0.447035728,0.157335752,0.001094742,0.353135692,0.180588151,0.001316801,0.312239773,0.226677043,0.001573884,0.128151587
4,0.002559548,0.002236801,1.65E-05,0.793058987,0.022363174,0.000166138,0.705437962,0.044789867,0.00034389,0.74319687,0.056065307,0.000306254,0.657089349,0.067169419,0.000363134,0.739139226,0.112096518,0.000802893,0.493467787,0.157407046,0.001032717,0.294755814,0.180490974,0.00113849,0.229378453,0.226248045,0.00151326,0.152616502
5,0.003237458,0.002235238,1.46E-05,0.800741227,0.02232723,0.000159059,0.749997816,0.044704373,0.000268051,0.777185851,0.055998534,0.000402044,0.696879536,0.067259143,0.000480148,0.674596445,0.112130403,0.00071973,0.473639717,0.157476118,0.001036359,0.245873528,0.180220123,0.001257089,0.236026281,0.226684344,0.001478225,0.134564173
6,0.004094915,0.002239147,1.52E-05,0.742533201,0.02233027,0.000156016,0.767835797,0.044746817,0.000321846,0.792401374,0.055976807,0.00048177,0.728348794,0.067199305,0.000403304,0.639060484,0.112151673,0.000848941,0.480637602,0.157247603,0.001266263,0.326010782,0.180073839,0.001227492,0.275362141,0.226238317,0.001531447,0.160385883
7,0.005179475,0.002233694,1.68E-05,0.793517349,0.022349988,0.0001446,0.775426587,0.044753658,0.000331278,0.745796431,0.0559919,0.000415295,0.679889225,0.067183852,0.000471706,0.673188321,0.112136556,0.000822372,0.381022292,0.157579547,0.001101899,0.324544303,0.18030996,0.001051173,0.258373104,0.226044534,0.001558072,0.116267267
8,0.006551286,0.002236241,1.77E-05,0.738356365,0.022377197,0.000155915,0.766751256,0.044708404,0.000325988,0.730342553,0.05604363,0.000367084,0.658412708,0.06718471,0.000454738,0.667225366,0.112161319,0.000714548,0.486001763,0.157620389,0.001008939,0.307411751,0.180102853,0.00116866,0.225386827,0.226413484,0.001421958,0.121454425
9,0.008286428,0.002234155,1.64E-05,0.817479744,0.022340918,0.000182445,0.771633783,0.044754682,0.000314284,0.684966943,0.055918209,0.000427163,0.681884012,0.067200292,0.000444565,0.671756592,0.112111726,0.000991794,0.451567664,0.157529521,0.001207743,0.344241729,0.180243993,0.001251568,0.236546946,0.226146472,0.001318435,0.101722393
10,0.010481131,0.002237282,1.53E-05,0.746908622,0.022392645,0.000169689,0.794892424,0.044683302,0.000365023,0.73264358,0.055892992,0.00054461,0.666332472,0.067081144,0.000490157,0.669906996,0.112250506,0.000841005,0.498839425,0.157579496,0.001289218,0.331308279,0.18018321,0.001335557,0.251727246,0.226394274,0.001723486,0.154577776
11,0.013257114,0.002234802,1.50E-05,0.842011958,0.022334122,0.000172659,0.762369108,0.044764853,0.000284407,0.695090025,0.055890847,0.000387425,0.649908468,0.067243201,0.000487532,0.683930931,0.11222296,0.000809822,0.499066758,0.157663926,0.001037657,0.300817304,0.180340171,0.001332284,0.267295636,0.226308602,0.001815987,0.110883817
