,ss,sigma_0.01_width_mean,sigma_0.01_width_std,sigma_0.01_pval,sigma_0.10_width_mean,sigma_0.10_width_std,sigma_0.10_pval,sigma_0.20_width_mean,sigma_0.20_width_std,sigma_0.20_pval,sigma_0.25_width_mean,sigma_0.25_width_std,sigma_0.25_pval,sigma_0.30_width_mean,sigma_0.30_width_std,sigma_0.30_pval,sigma_0.50_width_mean,sigma_0.50_width_std,sigma_0.50_pval,sigma_0.70_width_mean,sigma_0.70_width_std,sigma_0.70_pval,sigma_0.80_width_mean,sigma_0.80_width_std,sigma_0.80_pval,sigma_1.00_width_mean,sigma_1.00_width_std,sigma_1.00_pval
0,0.001,0.002235475,1.79E-05,0.77289516,0.02237119,0.00016782,0.7816972,0.044718124,0.00031955,0.726621735,0.056022199,0.000339277,0.716662094,0.067100215,0.000521601,0.612906344,0.112121563,0.000817269,0.506351603,0.157673715,0.001211074,0.299351039,0.180294083,0.001363384,0.238595568,0.226256224,0.001387569,0.150571034
1,0.001264855,0.002235932,1.72E-05,0.786596342,0.022321397,0.000144939,0.816910972,0.044809721,0.00028623,0.733931811,0.055978837,0.000344041,0.738314139,0.067215071,0.000536608,0.634848106,0.112245471,0.000834101,0.525718003,0.157490654,0.001233818,0.30992472,0.180091824,0.001186738,0.200678573,0.226480476,0.001350286,0.128115149
2,0.001599859,0.002240252,1.55E-05,0.755066623,0.022400291,0.00014249,0.766204504,0.044667443,0.000376556,0.743506014,0.055854449,0.000401463,0.727162167,0.067291845,0.000395229,0.640303932,0.1120656,0.000771495,0.519109889,0.157397681,0.001264717,0.346462442,0.180150357,0.001247702,0.260575533,0.226427669,0.00172246,0.13691107
3,0.00202359,0.002238546,1.90E-05,0.787612218,0.022359158,0.000154204,0.811229397,0.044733592,0.000310728,0.676453394,0.055860163,0.000408272,0.682950015,0.067166369,0.000404789,0.652676735,0.112142624,0.000815572,0.544471528,0.15757757,0.001089636,0.270393451,0.179918945,0.001371672,0.242140352,0.227009896,0.00138457,0.101525426
4,0.002559548,0.002236268,1.45E-05,0.796328097,0.022371085,0.000162364,0.775801945,0.044800752,0.000383447,0.760325891,0.055919133,0.000397151,0.723426571,0.067157598,0.000502304,0.657429424,0.111967588,0.000926141,0.505649634,0.157605648,0.001084005,0.329647893,0.180290007,0.001526021,0.244411164,0.226400023,0.00171371,0.140343417
5,0.003237458,0.002232892,1.48E-05,0.804356819,0.022326969,0.000170361,0.773803684,0.044743693,0.00028169,0.707605949,0.055953361,0.000442958,0.688068878,0.067140712,0.000527451,0.655877823,0.112243747,0.000772676,0.512225159,0.157457974,0.001193724,0.28318384,0.180557754,0.001329713,0.270837417,0.22662394,0.001660023,0.1390062
6,0.004094915,0.00223739,1.65E-05,0.75594842,0.022387539,0.000142255,0.780509521,0.044768823,0.000291301,0.65967633,0.055887531,0.000370658,0.685906643,0.067098145,0.000543999,0.638982099,0.111987909,0.000754067,0.488008758,0.157501596,0.001058937,0.271718783,0.180277021,0.001290863,0.257326225,0.226322145,0.001448251,0.099692796
7,0.005179475,0.0022344,1.58E-05,0.774653666,0.022387766,0.000172452,0.756565036,0.044721599,0.000337043,0.724324555,0.056005449,0.000426294,0.675205715,0.067214163,0.000503984,0.709567082,0.112294951,0.000825717,0.484623264,0.157526331,0.000989552,0.3320195,0.180416807,0.001141738,0.245965525,0.226234635,0.001592642,0.120565923
8,0.006551286,0.002236284,1.69E-05,0.752823343,0.022385722,0.000184093,0.756349753,0.044678951,0.000292833,0.695531104,0.055880856,0.000374565,0.693734975,0.067230256,0.000400422,0.631421143,0.11219517,0.000908934,0.468822312,0.157383373,0.00095614,0.334460355,0.180221084,0.001215772,0.281848851,0.226578594,0.001678959,0.118465015
9,0.008286428,0.002234232,1.82E-05,0.802904866,0.022349272,0.00017524,0.820322051,0.044725634,0.000312874,0.712523856,0.055870583,0.000381338,0.643144236,0.06710481,0.000457147,0.670856241,0.11228267,0.000825118,0.51905533,0.157512997,0.000986342,0.281767977,0.180073202,0.001276348,0.24806446,0.226177807,0.001538455,0.149146801
