,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
ts 1.000E-03 mean,6.20901420954948e-06,9.927668200440652e-07,1.136596850885875e-06,6.48521314439324e-06,1.205584214393702e-06,4.414729019903029e-07,2.739277923208969e-06,1.386856249905266e-06,4.6152420787024316e-06,3.5294132367980775e-07,1.2924961279389089e-05,3.934900814325424e-06,6.346945375978273e-07,7.675213521390985e-07,3.042660667032716e-06,1.0270701041279128e-06,3.4722323709730455e-07,3.171196065906541e-06,2.5459269778608874e-06,9.897023187951858e-07,8.600255530949135e-07,5.07614507662522e-07,1.0198991701392146e-05,2.406633059601246e-06,1.4641426729006204e-05,9.595571879666756e-07,4.5957134263928406e-07,1.1489264614117142e-06,2.2600218450121578e-06,1.0234707890233118e-05,2.040584906960936e-06,3.122192868761353e-07,6.554275716671915e-07,9.044599212379273e-07,6.733379919338388e-07,3.7946855673207025e-06,4.395107469609671e-07,1.2643301169647903e-06,4.839811646824188e-07,1.0970560601413921e-06,1.2058207570531593e-06,1.6269373310832992e-06,1.1741051706670262e-06,2.0868291599196597e-06,1.5178595098682684e-06,2.2540993073036743e-06,2.210793386758032e-06,4.92790573658632e-07,1.0527884655347741e-06,2.623084102385908e-06
ts 1.000E-03 slope,-1.626394631194406,-0.07343831493930623,-0.6875387636921256,-0.3238842605484526,-0.028013008498723152,-0.018083968412333846,-0.8813167093730456,-0.28871544164392865,-1.0177017854484032,-0.020831882537385354,-0.6755016963980441,-0.8983791632845671,-0.27346973755844783,-0.19659669021167053,-0.5164402933463847,-0.13236346424883194,-0.029522661535132996,-1.2248895375950186,-1.6860602163471274,-1.0446926716889462,-0.19936536715701367,-0.08798503404341508,-1.2225516214283798,-0.08014359868952538,-0.579299495761063,-0.055554014434683614,-0.28767684237430646,-0.06608918540296249,-0.5453434966574333,-0.6277206796561271,-0.3282889169935373,-0.07697426302065151,-0.13011343397707326,-0.4975070965547942,-0.05856744282127027,-1.1387741100376718,-0.07980084968855061,-0.03076069078036594,-0.10354415408258329,-0.08183150277772451,-0.09364448774441964,-0.2365148354374823,-0.34132737541848734,-0.19773587814007604,-0.30782840266439293,-0.9301210847360417,-0.1618881151739221,-0.014927570678609375,-0.3768375408874917,-0.5952770691023785
ts 1.000E-03 std,0.0022845854155925972,1.7181137652522953e-05,0.0005944172626620117,0.00038489533707615785,1.6211516201145562e-07,6.516805999407648e-08,0.0009190068556449094,8.35955120667121e-05,0.0011710455841194489,2.5218339154163775e-07,0.00013625280247174453,0.015112325092492118,4.736409030728966e-05,1.7843706500021295e-05,0.000277651468936301,4.399586272465371e-06,1.6213589690829348e-07,0.003579484237686867,0.00590166808141794,0.001977542653160673,0.0005144792818848395,4.893896558765815e-06,0.006550063220832886,2.2540475701131763e-05,0.0002820654152661415,1.2999165603235782e-06,6.51921182410899e-05,2.7969391938941018e-06,0.00032750195469538254,0.0003313958459576003,0.0001580271183110631,3.3039718924441825e-06,7.098116139448308e-06,0.0002371169360695575,1.985727898331599e-06,0.002006526472403287,2.2054917494044505e-06,1.54324020602018e-05,6.892535451385628e-06,4.072392322155681e-06,2.718584680865858e-06,0.00035137605587626805,0.00012078953361849794,1.0481667994321036e-05,4.238519902842417e-05,0.0014321928533447875,1.2921560282799141e-05,6.000982976583647e-08,0.0013617581260818932,0.0004662888980222442
ts 3.594E-03 mean,8.984778880806223e-06,2.825503999185383e-06,2.833621687966226e-06,2.7009197125822716e-05,3.304015086558584e-06,3.458352370553746e-06,1.10452211183484e-05,0.00027942978804599406,6.766575694317706e-06,7.503637624072365e-05,2.177505818969625e-06,1.8439240403574204e-06,2.1609054652136536e-06,1.4907373300830233e-06,2.4582447800963816e-06,6.862598173573465e-06,1.011484611371012e-05,3.6190073002597874e-05,1.2230457545469016e-06,1.8426995979440064e-06,3.09936113337104e-06,1.4440642913498392e-06,2.2085842669203168e-06,3.0844494240241788e-06,2.9774343436845553e-06,2.789164008506584e-06,1.8444053123009214e-05,2.580611139952563e-06,6.398367454017025e-06,2.276207101797155e-06,2.4270775639798046e-06,2.7512209857413883e-06,7.52816863392371e-06,4.818186594615308e-06,8.153694327547485e-06,6.191085645704588e-06,5.880631619978869e-05,1.3174410969711918e-06,1.756962581589194e-06,2.6790928188840893e-06,5.021487210863552e-06,4.663293686524214e-06,2.86722272831216e-06,2.1405111437135536e-06,5.749919292790019e-05,3.359296141040117e-05,4.5010551063330165e-05,1.142501535064704e-06,7.847419726859413e-06,3.1765504328143332e-06
ts 3.594E-03 slope,-1.0342912842130323,-0.15023185133334363,-0.06346967558125305,-0.9504057878026887,-0.5871650448452965,-0.16490216708464814,-0.33748336376569416,-0.8321507708916813,-0.08948519566068641,-1.0838384501986036,-0.01642126730962749,-0.0799976853006171,-0.038940126573689206,-0.027857844751447845,-0.15882774960610963,-0.16336632979097085,-0.6449484392411012,-0.6879677555132939,-0.0020624920808605517,-0.04754768211422059,-0.5769750298130133,-0.028946366527243812,-0.2539920157807343,-0.1816749845734672,-0.18240290602222822,-0.09921628473687559,-1.1857056835923978,-0.07422326490495597,-1.330044260915794,-0.062142775080459504,-0.05260861272692235,-0.10874163462858387,-0.6203909371346693,-0.3584863222193812,-0.6010746045243728,-0.5638006532234681,-0.30303411282312204,-0.004826124457767302,-0.04931442570016404,-0.10423223825973173,-0.2165996425516896,-0.13649345931640317,-0.015490267495593771,-0.016434493529358506,-0.653697238198434,-0.37583538629978125,-0.768466942803701,-0.02923632369357161,-0.2324078518294472,-0.058294585744640304
ts 3.594E-03 std,0.001439702513558336,1.4320245519055976e-05,7.822525091350485e-07,0.0009384245521533651,0.00038994339159523206,1.1507980312071123e-05,0.005714053192111462,0.0007137706343355042,5.231695673163445e-06,0.0002738397103769453,7.837536304804476e-08,7.753484106505599e-07,2.2485141633011264e-05,2.9738227299342146e-06,1.4648422196830196e-05,1.5464077097169712e-05,0.000497977112284735,0.0018427683755317403,1.1908873697646498e-09,8.08549141689869e-07,0.0003819051419191685,2.742066677798841e-05,5.074820447093535e-05,1.9488860978878006e-05,2.263617629520567e-05,6.084019960158837e-06,0.0009447120837864027,2.7707270433642694e-05,0.0047268894082737245,1.5042083504733283e-06,1.1600383026528165e-06,3.2413347623082165e-06,0.00021852877895659728,0.0021506140417738157,0.0003266193558368991,0.00011900760386976667,5.323876888416994e-05,1.0497700047616177e-08,1.3143536333218697e-06,2.9192381389861043e-06,0.0004202049993110914,1.1450475193014492e-05,1.493837447350526e-07,4.066463767258775e-08,0.00020974270191900993,0.0001645275808878628,0.00040726715558614087,4.87933641298615e-07,0.00019292609146028775,1.7549500136722265e-06
ts 1.292E-02 mean,5.878022768550062e-06,6.518104680366838e-06,1.543886686692488e-05,2.5877207435179202e-05,8.751306477723674e-06,3.217227759547889e-05,7.037952925207833e-06,4.742171231023769e-06,0.00018108094141504116,8.251729985835496e-06,0.0001117031114436144,8.26600826935836e-06,4.611021610930811e-06,0.0004483401992626649,1.1120540754410453e-05,1.3662979535399928e-05,8.940348839644143e-06,0.0004868785726690518,2.4592750975177532e-05,7.501865184431291e-06,5.028640056338654e-06,0.00015191264254204613,7.973596819368066e-05,5.64966844815319e-06,5.5391440391440985e-05,9.622755426217266e-06,7.79936066841982e-05,9.64104832350678e-06,9.603155190532094e-06,1.4501182733501105e-05,2.137198303152145e-05,4.40520581370507e-06,1.0322602542180472e-05,1.5083102154225575e-05,1.768438123209037e-05,7.833235217192116e-06,9.329954934493681e-06,2.626640219228205e-05,0.00010315611836171926,5.227934216270446e-05,9.849712229878092e-06,3.81112167861095e-06,2.2988067010071168e-05,6.403442601487026e-05,3.680638822804477e-05,1.5635116817892567e-05,7.242796091975422e-05,3.213930293766342e-05,1.032656128799944e-05,8.331071985729744e-05
ts 1.292E-02 slope,-0.10543437359162897,-0.032975942877402346,-0.14375744463528617,-0.1778924297506509,-0.03208856878929732,-0.9536715012334983,-0.19717391329378678,-0.04019160363455437,-0.789267330254343,-0.0679283292581489,-0.3335487032032455,-0.04363084571084963,-0.014783029062458607,-0.6778724213305134,-0.3951788038883079,-0.2728301915798819,-0.08116230558508372,-1.1645378381221085,-0.17826040381019922,-0.41590154116935996,-0.007500820305756814,-1.3078166688146389,-0.9590044244671074,-0.1006852250789658,-0.8421448737336268,-0.08955692514831701,-1.589297103893267,-0.14024066153471243,-0.04859957152438911,-0.2018071264775317,-0.34884205883469105,-0.01577349862804957,-0.12268914795352802,-0.07826604787972412,-0.31764340703879895,-0.1562567569236875,-0.24300203560792477,-0.3937074552617408,-0.6016631755212395,-0.802199254362702,-0.26262248093726487,-0.0024650690618258702,-0.19241443584928283,-0.7846572879812762,-0.7973234407679352,-0.17863991510900126,-0.8883871678412942,-0.5922154998165566,-0.03945730432342334,-0.4567666204307543
ts 1.292E-02 std,3.885928167151979e-06,4.962981497740433e-07,7.758500379119877e-06,1.4718019447883772e-05,6.416951851788923e-07,0.0014045320494461444,2.3736312699819862e-05,6.721547050806112e-07,0.009647474342496989,3.0626971161677778e-06,8.410217195430426e-05,1.160674219993919e-06,9.49197726991529e-08,0.00015017190387996008,0.00011962609246384564,4.99355669272607e-05,5.111560281270335e-05,0.004483436451408407,0.0007648849496834828,0.00014060453436937474,3.473720211262698e-08,0.008240509231935016,0.002564731396999934,6.077382526387956e-06,0.0007763624347274072,1.6840960565421422e-06,0.00453618435148831,1.0992377033328248e-05,8.374591704620593e-07,6.1470646783166285e-06,0.0003105407004794665,1.3669216198071353e-07,9.307955323309457e-06,0.0002580878799668253,7.124979182576073e-05,5.593186871211848e-06,5.438494073780258e-05,0.005586286547482598,0.0002870678625922464,0.0008354897080602071,3.8496324107250124e-05,3.2325935764584127e-09,9.72621255126255e-06,0.0005191656902861701,0.0009291516553375855,1.3484849544362103e-05,0.000805344484223197,0.00015307520706604275,0.00018751313648408856,0.00021061536916107065
ts 4.642E-02 mean,0.00013990436956121994,0.00016832278928252214,3.953299641765889e-05,0.00010993606965776064,2.731762478447148e-05,0.00016891203798450208,8.390087616824739e-05,3.0031689742850337e-05,0.0001464108691128322,0.00030355188197375775,4.406240350232199e-05,6.560212959335817e-05,1.7691033863118453e-05,0.00018866515843539888,5.238134496022649e-05,2.583030456294143e-05,0.0002007236928412606,4.982873916849478e-05,0.0001680772584325966,1.866313709427787e-05,2.7123448489840363e-05,2.738485270102371e-05,7.687206592511723e-05,1.7453217670702383e-05,2.5558729474072346e-05,1.5708695411982155e-05,0.0003990031955511962,0.00014038370747085173,0.000413666558096923,1.766604537089672e-05,0.0001318275760341654,8.918362411152455e-05,5.274411538165284e-05,3.449765475005444e-05,0.00017714934826566604,4.58046748629863e-05,0.0001096759127170422,1.7688653156107363e-05,4.128076776061244e-05,0.00016456907601141655,8.163289993028324e-05,0.00011600522043599171,3.577795282452908e-05,1.6147865279089078e-05,3.272610581711388e-05,2.30675396721533e-05,9.916773793764034e-05,3.1769862531415107e-05,0.00011880978875484618,0.00019134018687397064
