time,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_50,species_51,species_52,species_53,species_54,species_55,species_56,species_57,species_58,species_59,species_60,species_61,species_62,species_63,species_64,species_65,species_66,species_67,species_68,species_69,species_70,species_71,species_72,species_73,species_74,species_75,species_76,species_77,species_78,species_79,species_80,species_81,species_82,species_83,species_84,species_85,species_86,species_87,species_88,species_89,species_90,species_91,species_92,species_93,species_94,species_95,species_96,species_97,species_98,species_99,species_100,species_101,species_102,species_103,species_104,species_105,species_106,species_107,species_108,species_109,species_110,species_111,species_112,species_113,species_114,species_115,species_116,species_117,species_118,species_119,species_120,species_121,species_122,species_123,species_124,species_125,species_126,species_127,species_128,species_129,species_130,species_131,species_132,species_133,species_134,species_135,species_136,species_137,species_138,species_139,species_140,species_141,species_142,species_143,species_144,species_145,species_146,species_147,species_148,species_149,species_150
0.000E+00,4.184E-01,4.303E-01,7.453E-01,3.627E-01,3.744E-01,5.418E-01,4.672E-01,2.828E-01,3.390E-01,4.799E-01,5.095E-01,7.138E-01,4.994E-01,3.228E-01,4.660E-01,4.843E-01,4.432E-01,3.890E-01,4.345E-01,4.933E-01,2.507E-01,4.449E-01,5.991E-01,5.058E-01,4.284E-01,4.629E-01,2.827E-01,3.167E-01,5.739E-01,7.250E-01,2.082E-01,5.994E-01,3.379E-01,1.360E-01,6.147E-01,5.040E-01,3.733E-01,6.679E-01,6.337E-01,3.465E-01,3.261E-01,4.097E-01,4.932E-01,5.308E-01,6.667E-01,5.883E-01,3.227E-01,3.383E-01,4.820E-01,4.354E-01,5.485E-01,5.245E-01,5.652E-01,5.148E-01,6.295E-01,6.485E-01,5.269E-01,3.158E-01,6.276E-01,6.173E-01,8.085E-01,5.245E-01,8.054E-01,2.567E-01,5.722E-01,2.355E-01,3.182E-01,5.385E-01,6.836E-01,5.665E-01,6.393E-01,5.335E-01,7.444E-01,3.500E-01,3.148E-01,5.933E-01,5.738E-01,8.626E-01,5.505E-01,2.404E-01,4.390E-01,8.135E-01,2.857E-01,4.064E-01,3.452E-01,6.448E-01,4.467E-01,8.339E-01,4.448E-01,9.753E-01,1.864E-01,4.428E-01,7.166E-01,5.781E-01,5.937E-01,3.749E-01,4.409E-01,4.262E-01,4.328E-01,3.391E-01,2.700E-01,3.408E-01,5.319E-01,3.561E-01,4.398E-01,4.169E-01,6.750E-01,5.518E-01,1.115E+00,5.736E-01,2.298E-01,7.480E-01,6.060E-01,3.368E-01,4.437E-01,3.982E-01,3.436E-01,5.083E-01,4.887E-01,3.505E-01,7.046E-01,5.592E-01,5.393E-01,4.858E-01,5.140E-01,4.645E-01,3.385E-01,4.828E-01,5.747E-01,7.084E-01,8.926E-01,6.422E-01,4.452E-01,3.968E-01,4.452E-01,5.400E-01,4.988E-01,5.535E-01,4.843E-01,5.386E-01,5.538E-01,3.002E-01,7.065E-01,5.781E-01,5.746E-01,4.864E-01,6.057E-01,5.310E-01,4.342E-01,5.048E-01
5.00000E-02,4.31525E-01,4.35437E-01,7.30907E-01,3.59271E-01,3.83574E-01,5.51738E-01,4.76598E-01,2.90794E-01,3.37703E-01,4.83373E-01,4.99413E-01,7.15336E-01,5.01831E-01,3.26020E-01,4.67031E-01,4.94670E-01,4.43030E-01,3.89601E-01,4.41092E-01,4.95454E-01,2.40405E-01,4.36844E-01,5.99766E-01,4.98739E-01,4.29528E-01,4.62889E-01,2.79220E-01,3.20088E-01,5.69931E-01,7.00963E-01,2.08215E-01,6.17333E-01,3.31562E-01,1.27639E-01,6.17214E-01,5.28642E-01,3.60623E-01,6.85299E-01,6.14205E-01,3.55694E-01,3.32586E-01,4.12244E-01,4.92453E-01,5.07739E-01,6.56018E-01,6.05618E-01,3.17642E-01,3.30269E-01,4.94021E-01,4.49725E-01,5.70044E-01,5.07523E-01,5.64051E-01,5.12263E-01,6.17784E-01,6.47335E-01,5.04363E-01,3.26949E-01,6.18681E-01,6.00004E-01,8.04761E-01,5.18412E-01,8.02657E-01,2.58570E-01,5.89964E-01,2.36321E-01,3.33468E-01,5.27772E-01,6.79985E-01,5.75726E-01,6.49284E-01,5.39139E-01,7.48409E-01,3.52810E-01,3.17046E-01,5.83256E-01,5.87577E-01,8.55012E-01,5.57145E-01,2.32672E-01,4.38732E-01,8.04725E-01,2.96999E-01,4.16708E-01,3.49700E-01,6.78956E-01,4.36343E-01,8.33221E-01,4.32016E-01,9.65757E-01,1.86487E-01,4.30239E-01,7.02267E-01,5.75924E-01,5.82284E-01,3.76474E-01,4.39433E-01,4.29037E-01,4.30739E-01,3.34512E-01,2.62511E-01,3.37355E-01,5.29788E-01,3.56334E-01,4.50077E-01,4.04718E-01,6.73267E-01,5.30149E-01,1.04389E+00,5.63289E-01,2.29116E-01,7.34325E-01,5.87914E-01,3.40612E-01,4.49603E-01,3.99562E-01,3.48540E-01,5.26171E-01,4.87548E-01,3.49979E-01,7.01170E-01,5.64133E-01,5.39034E-01,5.08867E-01,5.17597E-01,4.48548E-01,3.46027E-01,4.74638E-01,5.91183E-01,7.15410E-01,9.04310E-01,6.48289E-01,4.12627E-01,3.97432E-01,4.51340E-01,5.44318E-01,4.86993E-01,5.49857E-01,4.90842E-01,5.40971E-01,5.78929E-01,2.91360E-01,7.37289E-01,5.97874E-01,5.87967E-01,4.89914E-01,6.13612E-01,5.26589E-01,4.40193E-01,5.07229E-01
1.00000E-01,4.46501E-01,4.32498E-01,7.34396E-01,3.66391E-01,3.91590E-01,5.52789E-01,4.80114E-01,2.79521E-01,3.32864E-01,4.81366E-01,5.07414E-01,6.87569E-01,5.03574E-01,3.21740E-01,4.63460E-01,4.84337E-01,4.27290E-01,3.91848E-01,4.51789E-01,4.95926E-01,2.34628E-01,4.55314E-01,6.07303E-01,4.97116E-01,4.45051E-01,4.82803E-01,2.85937E-01,3.17614E-01,5.68823E-01,6.82317E-01,1.97077E-01,6.25604E-01,3.39005E-01,1.29494E-01,6.02909E-01,5.32971E-01,3.60281E-01,6.97246E-01,5.98735E-01,3.57630E-01,3.43508E-01,4.03231E-01,4.88429E-01,4.90102E-01,6.37732E-01,5.76700E-01,3.10336E-01,3.28483E-01,4.89057E-01,4.47169E-01,5.65257E-01,5.02470E-01,5.53143E-01,5.22748E-01,6.20898E-01,6.35235E-01,5.04403E-01,3.30084E-01,5.97330E-01,5.96561E-01,8.20749E-01,5.42540E-01,7.86414E-01,2.58355E-01,5.86977E-01,2.36556E-01,3.41885E-01,5.30041E-01,6.85625E-01,5.91046E-01,6.45852E-01,5.25624E-01,7.46256E-01,3.48436E-01,3.24936E-01,5.83486E-01,6.07019E-01,8.06753E-01,5.50234E-01,2.30381E-01,4.36770E-01,7.96087E-01,2.84351E-01,4.12158E-01,3.50830E-01,6.84465E-01,4.30183E-01,8.32787E-01,4.34103E-01,9.28618E-01,1.82309E-01,4.31380E-01,7.01110E-01,5.54210E-01,5.84160E-01,3.73673E-01,4.36502E-01,4.25148E-01,4.36719E-01,3.24063E-01,2.65781E-01,3.35410E-01,5.18522E-01,3.68337E-01,4.36888E-01,3.95319E-01,6.55001E-01,5.20615E-01,1.03528E+00,5.56913E-01,2.30656E-01,7.12885E-01,5.85442E-01,3.44372E-01,4.47446E-01,4.07389E-01,3.56389E-01,5.25698E-01,4.81196E-01,3.67304E-01,7.29414E-01,5.66872E-01,5.45665E-01,4.88536E-01,5.24008E-01,4.46255E-01,3.42081E-01,4.79048E-01,5.97874E-01,7.20654E-01,9.27777E-01,6.19847E-01,4.07448E-01,3.87627E-01,4.42673E-01,5.41855E-01,4.92980E-01,5.25419E-01,5.04080E-01,5.39098E-01,5.76406E-01,2.80814E-01,7.53351E-01,5.95974E-01,5.85167E-01,4.86032E-01,6.04203E-01,5.37251E-01,4.51721E-01,5.04581E-01
1.50000E-01,4.50322E-01,4.46224E-01,7.74437E-01,3.59682E-01,3.89246E-01,5.47219E-01,4.74737E-01,2.77029E-01,3.24888E-01,4.74722E-01,5.01587E-01,6.79043E-01,5.06945E-01,3.23140E-01,4.65656E-01,4.70234E-01,4.37689E-01,4.03911E-01,4.46918E-01,4.81181E-01,2.36900E-01,4.44771E-01,6.13276E-01,5.00466E-01,4.46172E-01,4.90036E-01,2.87912E-01,3.14861E-01,5.31990E-01,7.06223E-01,2.04123E-01,6.29840E-01,3.41415E-01,1.33801E-01,6.02633E-01,5.38719E-01,3.57356E-01,7.10144E-01,5.86378E-01,3.56956E-01,3.44358E-01,4.07806E-01,4.81938E-01,4.74783E-01,6.30099E-01,5.61661E-01,3.15728E-01,3.23983E-01,4.99704E-01,4.41479E-01,5.46601E-01,4.90643E-01,5.55305E-01,5.37666E-01,6.07933E-01,6.56666E-01,5.11029E-01,3.40453E-01,5.99556E-01,5.86761E-01,8.07310E-01,5.40201E-01,7.62132E-01,2.52962E-01,5.70590E-01,2.32566E-01,3.53406E-01,5.19468E-01,7.06603E-01,5.70014E-01,6.67483E-01,5.26301E-01,7.47777E-01,3.55942E-01,3.31049E-01,5.80470E-01,6.08134E-01,7.70685E-01,5.72572E-01,2.23038E-01,4.29691E-01,8.26064E-01,2.82942E-01,4.36644E-01,3.51540E-01,6.84047E-01,4.36155E-01,8.29717E-01,4.55420E-01,9.00630E-01,1.80122E-01,4.36445E-01,6.77143E-01,5.59637E-01,5.84033E-01,3.84434E-01,4.57967E-01,4.34335E-01,4.47513E-01,3.18849E-01,2.69029E-01,3.39632E-01,5.14133E-01,3.60850E-01,4.56500E-01,3.89236E-01,6.43374E-01,5.07151E-01,1.03482E+00,5.63050E-01,2.25173E-01,7.02489E-01,5.74476E-01,3.42028E-01,4.48193E-01,4.10666E-01,3.54631E-01,5.11742E-01,4.85855E-01,3.74848E-01,7.35906E-01,5.77272E-01,5.35866E-01,4.77931E-01,5.14555E-01,4.42063E-01,3.47597E-01,4.82073E-01,5.86128E-01,7.11797E-01,8.94893E-01,6.10044E-01,4.09058E-01,3.76313E-01,4.43141E-01,5.45772E-01,5.12778E-01,5.39575E-01,5.18951E-01,5.21713E-01,5.82708E-01,2.85827E-01,7.57355E-01,5.98833E-01,5.47412E-01,4.98359E-01,6.05778E-01,5.30605E-01,4.52943E-01,5.13227E-01
2.00000E-01,4.49014E-01,4.34616E-01,7.64859E-01,3.60160E-01,3.85373E-01,5.50712E-01,4.63410E-01,2.74404E-01,3.22889E-01,4.88257E-01,4.90358E-01,7.00900E-01,5.07978E-01,3.35610E-01,4.64148E-01,4.58296E-01,4.52288E-01,4.04386E-01,4.53085E-01,4.69039E-01,2.36927E-01,4.32163E-01,5.95690E-01,5.12927E-01,4.57018E-01,4.83887E-01,2.87392E-01,3.26481E-01,5.32609E-01,7.14372E-01,2.00850E-01,6.50979E-01,3.43577E-01,1.36686E-01,6.12285E-01,5.27099E-01,3.67381E-01,6.88660E-01,5.79995E-01,3.54545E-01,3.46524E-01,4.11545E-01,4.85586E-01,4.75628E-01,6.19118E-01,5.52535E-01,3.00002E-01,3.32081E-01,5.14958E-01,4.55372E-01,5.56321E-01,4.95367E-01,5.50892E-01,5.29179E-01,5.98476E-01,6.45114E-01,5.15275E-01,3.46485E-01,5.98407E-01,5.67770E-01,7.97702E-01,5.54283E-01,7.45671E-01,2.48119E-01,5.66503E-01,2.47096E-01,3.56294E-01,5.07927E-01,7.16167E-01,5.81397E-01,6.68398E-01,5.20373E-01,7.60316E-01,3.58122E-01,3.38225E-01,5.96567E-01,5.88129E-01,7.80987E-01,5.57486E-01,2.22565E-01,4.26412E-01,8.35113E-01,2.87415E-01,4.56827E-01,3.49799E-01,6.89277E-01,4.42814E-01,8.22093E-01,4.39532E-01,8.92959E-01,1.79400E-01,4.37926E-01,6.69137E-01,5.74612E-01,5.76222E-01,3.88955E-01,4.62755E-01,4.49601E-01,4.55090E-01,3.12943E-01,2.64512E-01,3.49869E-01,5.09040E-01,3.65847E-01,4.65860E-01,3.99307E-01,6.34287E-01,5.05531E-01,1.03669E+00,5.44258E-01,2.24572E-01,7.01299E-01,5.76203E-01,3.45241E-01,4.27264E-01,4.05976E-01,3.57578E-01,5.31698E-01,4.60099E-01,3.67323E-01,7.34605E-01,5.57127E-01,5.29777E-01,4.90302E-01,5.08284E-01,4.45318E-01,3.69325E-01,4.70944E-01,5.74854E-01,7.15990E-01,8.87455E-01,5.95964E-01,4.07201E-01,3.86587E-01,4.45420E-01,5.39144E-01,5.25986E-01,5.30307E-01,5.19335E-01,5.44511E-01,5.68447E-01,2.91456E-01,7.39722E-01,5.80659E-01,5.48651E-01,4.73654E-01,6.22929E-01,5.30755E-01,4.81636E-01,5.19559E-01
2.50000E-01,4.45260E-01,4.18583E-01,7.80451E-01,3.46476E-01,3.83930E-01,5.28230E-01,4.39676E-01,2.76641E-01,3.30327E-01,4.99661E-01,4.80522E-01,7.08044E-01,4.96871E-01,3.41899E-01,4.51564E-01,4.65369E-01,4.65372E-01,3.92241E-01,4.62791E-01,4.80048E-01,2.22721E-01,4.42375E-01,5.94137E-01,5.03307E-01,4.43753E-01,5.08080E-01,2.89617E-01,3.18538E-01,5.21901E-01,7.20001E-01,2.06775E-01,6.76054E-01,3.49414E-01,1.38782E-01,6.28073E-01,5.14627E-01,3.64006E-01,7.05217E-01,5.86676E-01,3.55721E-01,3.61045E-01,4.16661E-01,5.02868E-01,4.78352E-01,5.98504E-01,5.72127E-01,3.00687E-01,3.31492E-01,5.18322E-01,4.59524E-01,5.44436E-01,4.92499E-01,5.50387E-01,5.31436E-01,5.96983E-01,6.59911E-01,5.25357E-01,3.33333E-01,5.86346E-01,5.73278E-01,7.96533E-01,5.61983E-01,7.50495E-01,2.49135E-01,5.64390E-01,2.48098E-01,3.47709E-01,5.02668E-01,7.03027E-01,5.66186E-01,6.70720E-01,5.15390E-01,7.73495E-01,3.66546E-01,3.27800E-01,5.88163E-01,5.99285E-01,8.01194E-01,5.39968E-01,2.21878E-01,4.27390E-01,8.33885E-01,2.93461E-01,4.57426E-01,3.39151E-01,6.90655E-01,4.55669E-01,8.14196E-01,4.32277E-01,8.81430E-01,1.80722E-01,4.15027E-01,6.79430E-01,5.71245E-01,5.72457E-01,3.81493E-01,4.38212E-01,4.60443E-01,4.56539E-01,3.14523E-01,2.74154E-01,3.57030E-01,5.13276E-01,3.63876E-01,4.70482E-01,4.11191E-01,6.36276E-01,5.04583E-01,1.04004E+00,5.18222E-01,2.22214E-01,7.03552E-01,5.95418E-01,3.51646E-01,4.20650E-01,3.95022E-01,3.50060E-01,5.16899E-01,4.40197E-01,3.59980E-01,7.32828E-01,5.66109E-01,5.52792E-01,5.08478E-01,5.04407E-01,4.60466E-01,3.68787E-01,4.70769E-01,5.66172E-01,7.01701E-01,8.81752E-01,6.10356E-01,4.08391E-01,3.93247E-01,4.43382E-01,5.32307E-01,5.26865E-01,5.34834E-01,5.36910E-01,5.48074E-01,5.77179E-01,2.97157E-01,7.34707E-01,5.83744E-01,5.46610E-01,4.75764E-01,6.21572E-01,5.26900E-01,5.01825E-01,5.13851E-01
3.00000E-01,4.40388E-01,4.19616E-01,7.89117E-01,3.54106E-01,3.77938E-01,5.12641E-01,4.53797E-01,2.76191E-01,3.32714E-01,4.90128E-01,4.58178E-01,7.05123E-01,4.80844E-01,3.40034E-01,4.42044E-01,4.57021E-01,4.57256E-01,3.92068E-01,4.60356E-01,4.91321E-01,2.22256E-01,4.59735E-01,5.73335E-01,4.97862E-01,4.44206E-01,5.01741E-01,2.88201E-01,3.17691E-01,5.24075E-01,7.37704E-01,2.11813E-01,6.78341E-01,3.40666E-01,1.37828E-01,6.41096E-01,5.01164E-01,3.57256E-01,6.95850E-01,5.96521E-01,3.69597E-01,3.51925E-01,4.07826E-01,5.16168E-01,4.72707E-01,6.12882E-01,5.67287E-01,3.02329E-01,3.31068E-01,5.24766E-01,4.44317E-01,5.46865E-01,5.02358E-01,5.47425E-01,5.34610E-01,5.87645E-01,6.42909E-01,5.22918E-01,3.39817E-01,5.86382E-01,5.61660E-01,8.16521E-01,5.47828E-01,7.49061E-01,2.50632E-01,5.43589E-01,2.45511E-01,3.54246E-01,4.79439E-01,7.09047E-01,5.73789E-01,6.52612E-01,5.13539E-01,7.86356E-01,3.83537E-01,3.31359E-01,5.93333E-01,6.30976E-01,8.12280E-01,5.33503E-01,2.19679E-01,4.18168E-01,8.17398E-01,2.89813E-01,4.57107E-01,3.54856E-01,7.16943E-01,4.69511E-01,8.06925E-01,4.14015E-01,8.70344E-01,1.84610E-01,4.22228E-01,7.20247E-01,5.70641E-01,5.68889E-01,3.78729E-01,4.36854E-01,4.56293E-01,4.58142E-01,3.07355E-01,2.74942E-01,3.56582E-01,5.26034E-01,3.60802E-01,4.66447E-01,4.11031E-01,6.48406E-01,4.97245E-01,1.04691E+00,5.26423E-01,2.28365E-01,7.27501E-01,6.02529E-01,3.56311E-01,4.20400E-01,3.99614E-01,3.46920E-01,5.11485E-01,4.39108E-01,3.47961E-01,7.45031E-01,5.64871E-01,5.46347E-01,5.12816E-01,4.96825E-01,4.57230E-01,3.73508E-01,4.53635E-01,5.68144E-01,7.13109E-01,8.57874E-01,6.15398E-01,4.01067E-01,3.98029E-01,4.60961E-01,5.56732E-01,5.37559E-01,5.27249E-01,5.51482E-01,5.57076E-01,5.64714E-01,2.94150E-01,7.18405E-01,5.94271E-01,5.52555E-01,4.84256E-01,6.03551E-01,5.32263E-01,5.10535E-01,5.34626E-01
3.50000E-01,4.29835E-01,4.13805E-01,8.01764E-01,3.53996E-01,3.65460E-01,5.21360E-01,4.64859E-01,2.79662E-01,3.21655E-01,4.92656E-01,4.67331E-01,7.25547E-01,4.57868E-01,3.47600E-01,4.47658E-01,4.51035E-01,4.66255E-01,3.88888E-01,4.54258E-01,4.91412E-01,2.17082E-01,4.35579E-01,5.79907E-01,5.16862E-01,4.36421E-01,5.01034E-01,2.90270E-01,3.07194E-01,5.14688E-01,7.36104E-01,2.08946E-01,6.65100E-01,3.31381E-01,1.35483E-01,6.49436E-01,4.98951E-01,3.65811E-01,7.09654E-01,6.22690E-01,3.72734E-01,3.53798E-01,4.14119E-01,5.08759E-01,4.69991E-01,6.06096E-01,5.74779E-01,2.98121E-01,3.25652E-01,5.16016E-01,4.53077E-01,5.55859E-01,5.08024E-01,5.46169E-01,5.27685E-01,5.63807E-01,6.43032E-01,5.17474E-01,3.30713E-01,5.73947E-01,5.71565E-01,8.45651E-01,5.43150E-01,7.68104E-01,2.52112E-01,5.41950E-01,2.50885E-01,3.64722E-01,4.78054E-01,6.80731E-01,5.71535E-01,6.37962E-01,5.37198E-01,8.06644E-01,3.91960E-01,3.45261E-01,6.20894E-01,6.20273E-01,8.21180E-01,5.20145E-01,2.28841E-01,4.29770E-01,8.48721E-01,2.83741E-01,4.52660E-01,3.65250E-01,7.13448E-01,4.54976E-01,8.10116E-01,3.98135E-01,8.73460E-01,1.78888E-01,4.32813E-01,7.10784E-01,5.46190E-01,5.83140E-01,3.84780E-01,4.37633E-01,4.57456E-01,4.47810E-01,3.17445E-01,2.68978E-01,3.56810E-01,5.25722E-01,3.71234E-01,4.78681E-01,4.29518E-01,6.43482E-01,4.96364E-01,1.09361E+00,4.92586E-01,2.15489E-01,7.52025E-01,6.06545E-01,3.50946E-01,4.28437E-01,3.96686E-01,3.52551E-01,5.04442E-01,4.23760E-01,3.38911E-01,7.29857E-01,5.54826E-01,5.70570E-01,5.06298E-01,4.98387E-01,4.56516E-01,3.79567E-01,4.63515E-01,5.48691E-01,7.08344E-01,8.45099E-01,6.37626E-01,3.95009E-01,4.06918E-01,4.72267E-01,5.55577E-01,5.38306E-01,5.45643E-01,5.48342E-01,5.69434E-01,5.72835E-01,2.90766E-01,7.46436E-01,6.05334E-01,5.13067E-01,4.58025E-01,6.00057E-01,5.29772E-01,5.27130E-01,5.12909E-01
4.00000E-01,4.21055E-01,4.11542E-01,7.98098E-01,3.42404E-01,3.72181E-01,5.02027E-01,4.55499E-01,2.85894E-01,3.26606E-01,4.96109E-01,4.75292E-01,7.10213E-01,4.51951E-01,3.65158E-01,4.51113E-01,4.69032E-01,4.58993E-01,3.83382E-01,4.52237E-01,5.00795E-01,2.17195E-01,4.35960E-01,5.69315E-01,5.06761E-01,4.41880E-01,4.89357E-01,2.87192E-01,3.05396E-01,4.99615E-01,7.33056E-01,2.11709E-01,6.39584E-01,3.34714E-01,1.35074E-01,6.48360E-01,5.06336E-01,3.53260E-01,7.15245E-01,6.36938E-01,3.72891E-01,3.50171E-01,4.07878E-01,5.23368E-01,4.50576E-01,6.05588E-01,5.67630E-01,2.96578E-01,3.23488E-01,5.27153E-01,4.61826E-01,5.59542E-01,5.21326E-01,5.35641E-01,5.39232E-01,5.46766E-01,6.32008E-01,5.09839E-01,3.10575E-01,5.90976E-01,5.64547E-01,8.45186E-01,5.30672E-01,7.95116E-01,2.53728E-01,5.43644E-01,2.58351E-01,3.58760E-01,4.88898E-01,6.94762E-01,5.55584E-01,6.46313E-01,5.50809E-01,8.04247E-01,3.85611E-01,3.48414E-01,6.29287E-01,6.31273E-01,8.16453E-01,5.25241E-01,2.34322E-01,4.39892E-01,8.67118E-01,2.85514E-01,4.31769E-01,3.69467E-01,7.25531E-01,4.54835E-01,8.44036E-01,4.03877E-01,8.61448E-01,1.75440E-01,4.27094E-01,6.98084E-01,5.65288E-01,5.90523E-01,3.74170E-01,4.32449E-01,4.56942E-01,4.56360E-01,3.13822E-01,2.68685E-01,3.49170E-01,5.09946E-01,3.77281E-01,4.70350E-01,4.21844E-01,6.49046E-01,4.87348E-01,1.07706E+00,4.86695E-01,2.14257E-01,7.61599E-01,6.14196E-01,3.65850E-01,4.41909E-01,3.99711E-01,3.54193E-01,5.19850E-01,4.42470E-01,3.23705E-01,7.35112E-01,5.48770E-01,5.74177E-01,5.05569E-01,5.19609E-01,4.60300E-01,3.60419E-01,4.84208E-01,5.66158E-01,6.98592E-01,8.27151E-01,6.33297E-01,3.97954E-01,4.07349E-01,4.84815E-01,5.61340E-01,5.58680E-01,5.54469E-01,5.50904E-01,5.80091E-01,5.70480E-01,2.85351E-01,7.52056E-01,6.03431E-01,5.01116E-01,4.44471E-01,5.72262E-01,5.36714E-01,5.28137E-01,5.02424E-01
4.50000E-01,4.13965E-01,4.07643E-01,8.20079E-01,3.39004E-01,3.62785E-01,4.78853E-01,4.75766E-01,2.98404E-01,3.27746E-01,4.98102E-01,4.72806E-01,7.21214E-01,4.38450E-01,3.54644E-01,4.50530E-01,4.50512E-01,4.63662E-01,3.91356E-01,4.48962E-01,5.08643E-01,2.12350E-01,4.32563E-01,5.68683E-01,5.22778E-01,4.52176E-01,5.07781E-01,2.80688E-01,3.18593E-01,5.10494E-01,7.62289E-01,2.09727E-01,6.54509E-01,3.27556E-01,1.35767E-01,6.44804E-01,5.02911E-01,3.59102E-01,7.11043E-01,6.38298E-01,3.62143E-01,3.51749E-01,4.24359E-01,5.14996E-01,4.65043E-01,5.90858E-01,5.67697E-01,2.89085E-01,3.19917E-01,5.12387E-01,4.72423E-01,5.63466E-01,5.26758E-01,5.25512E-01,5.50935E-01,5.42773E-01,6.36552E-01,5.03547E-01,3.05104E-01,5.78178E-01,5.74345E-01,8.22079E-01,5.39304E-01,7.63298E-01,2.45138E-01,5.42387E-01,2.53178E-01,3.60292E-01,4.97960E-01,6.89940E-01,5.73340E-01,6.42203E-01,5.63800E-01,8.16294E-01,3.98765E-01,3.62686E-01,6.28073E-01,6.08247E-01,8.04656E-01,5.31824E-01,2.34359E-01,4.39181E-01,8.53611E-01,2.76683E-01,4.39198E-01,3.51817E-01,7.36896E-01,4.72123E-01,8.20247E-01,4.14587E-01,8.40891E-01,1.72673E-01,4.10029E-01,7.05895E-01,5.56052E-01,5.74020E-01,3.72912E-01,4.23095E-01,4.51612E-01,4.59068E-01,3.07694E-01,2.72681E-01,3.60575E-01,5.04582E-01,3.81733E-01,4.76657E-01,4.34862E-01,6.16532E-01,4.88311E-01,1.08534E+00,4.98983E-01,2.20197E-01,7.32908E-01,5.89486E-01,3.69435E-01,4.50563E-01,3.84919E-01,3.56486E-01,5.31086E-01,4.61936E-01,3.19718E-01,7.51766E-01,5.40106E-01,5.66087E-01,5.15674E-01,5.05386E-01,4.59875E-01,3.68390E-01,4.87729E-01,5.68727E-01,7.37898E-01,8.06106E-01,6.36365E-01,3.96898E-01,4.03998E-01,4.71537E-01,5.67845E-01,5.59549E-01,5.64584E-01,5.58610E-01,5.85322E-01,5.70523E-01,2.86453E-01,7.73443E-01,5.82958E-01,5.02268E-01,4.48880E-01,5.73880E-01,5.46526E-01,5.47281E-01,4.91809E-01
