time,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_50
0.000E+00,9.934E+01,1.063E+02,9.918E+01,1.015E+02,1.279E+02,9.347E+01,9.819E+01,9.646E+01,9.972E+01,1.019E+02,1.093E+02,1.120E+02,9.390E+01,8.774E+01,1.027E+02,9.526E+01,1.011E+02,1.047E+02,9.635E+01,9.258E+01,9.881E+01,1.072E+02,9.270E+01,1.043E+02,1.159E+02,9.997E+01,1.015E+02,1.114E+02,9.982E+01,1.000E+02,1.015E+02,1.028E+02,1.181E+02,1.022E+02,1.102E+02,1.113E+02,7.431E+01,1.160E+02,7.937E+01,9.263E+01,8.800E+01,9.999E+01,1.022E+02,9.341E+01,9.892E+01,9.317E+01,9.194E+01,1.049E+02,8.917E+01,1.032E+02
1.00000E-01,9.96996E+01,9.99948E+01,9.97198E+01,9.87519E+01,1.01290E+02,9.95193E+01,9.89415E+01,9.61668E+01,9.75273E+01,9.90251E+01,1.00333E+02,1.00101E+02,9.99685E+01,9.91261E+01,1.01668E+02,9.70374E+01,9.93979E+01,1.00297E+02,9.81269E+01,9.89608E+01,1.00091E+02,9.79123E+01,9.93195E+01,9.84352E+01,1.00395E+02,1.00469E+02,1.00120E+02,1.00392E+02,1.00230E+02,9.80335E+01,1.00149E+02,1.00005E+02,1.00302E+02,9.81067E+01,9.75187E+01,1.00991E+02,9.93899E+01,9.79691E+01,9.72631E+01,1.00990E+02,9.84245E+01,9.81022E+01,9.96981E+01,1.03289E+02,1.00630E+02,1.02548E+02,9.82528E+01,9.85469E+01,1.00303E+02,9.72240E+01
2.00000E-01,9.74388E+01,1.00400E+02,1.02438E+02,9.80823E+01,9.92788E+01,9.73369E+01,9.99259E+01,9.95076E+01,9.89759E+01,1.03005E+02,1.00269E+02,1.00519E+02,9.85241E+01,9.82499E+01,1.00179E+02,1.01938E+02,9.99089E+01,9.89615E+01,1.00977E+02,1.00370E+02,1.00970E+02,9.85523E+01,9.95345E+01,1.00586E+02,9.90100E+01,1.01267E+02,9.96351E+01,1.00795E+02,1.00910E+02,9.76571E+01,1.01553E+02,1.00216E+02,9.89099E+01,9.97623E+01,9.92879E+01,1.00753E+02,1.00700E+02,9.92149E+01,1.01417E+02,1.02626E+02,1.01546E+02,9.81370E+01,1.02420E+02,9.95426E+01,9.91709E+01,9.95592E+01,9.88709E+01,9.82486E+01,1.00522E+02,1.00730E+02
3.00000E-01,9.99703E+01,9.76931E+01,1.00466E+02,9.78453E+01,1.00525E+02,1.00909E+02,9.84357E+01,1.00818E+02,9.91409E+01,9.92591E+01,1.00104E+02,9.96136E+01,1.02267E+02,1.01823E+02,9.88680E+01,9.96788E+01,1.00116E+02,9.93469E+01,1.01095E+02,9.88620E+01,1.00727E+02,1.02056E+02,9.78891E+01,1.00882E+02,1.01246E+02,9.89497E+01,1.01527E+02,9.93379E+01,1.01625E+02,9.97092E+01,9.95208E+01,1.00550E+02,1.00116E+02,9.89220E+01,1.01430E+02,9.96624E+01,9.85561E+01,1.00307E+02,1.00024E+02,9.64366E+01,1.02008E+02,1.02815E+02,9.97199E+01,1.01676E+02,9.86458E+01,9.84688E+01,9.90593E+01,9.97892E+01,1.01521E+02,9.95485E+01
4.00000E-01,1.00690E+02,1.01208E+02,9.90172E+01,1.01404E+02,1.02043E+02,9.90433E+01,9.93764E+01,9.87885E+01,9.88051E+01,1.00599E+02,9.96038E+01,9.93397E+01,9.88488E+01,1.00261E+02,9.94182E+01,9.70444E+01,1.00340E+02,9.97603E+01,9.96651E+01,9.84285E+01,1.00239E+02,1.00046E+02,9.89216E+01,1.00465E+02,1.00605E+02,1.00641E+02,9.98787E+01,1.00617E+02,9.77336E+01,9.89525E+01,1.01863E+02,9.76647E+01,9.59464E+01,1.00685E+02,1.00770E+02,1.00883E+02,1.02056E+02,9.92800E+01,1.02488E+02,9.96596E+01,1.01703E+02,9.86151E+01,9.84913E+01,9.72318E+01,9.95772E+01,9.83162E+01,1.01043E+02,9.85218E+01,9.77223E+01,1.01836E+02
5.00000E-01,9.91635E+01,1.02205E+02,1.00548E+02,1.00069E+02,1.01029E+02,1.00729E+02,9.89491E+01,1.02153E+02,1.01931E+02,9.90011E+01,1.01869E+02,1.01552E+02,9.97706E+01,1.00766E+02,1.02069E+02,1.03764E+02,9.86257E+01,9.90230E+01,1.00038E+02,9.97196E+01,9.98120E+01,9.90204E+01,9.94628E+01,1.01876E+02,1.01972E+02,1.03171E+02,1.00958E+02,9.95282E+01,1.02474E+02,9.97791E+01,1.01461E+02,9.75291E+01,9.96209E+01,9.98555E+01,1.00213E+02,1.00732E+02,1.02226E+02,9.86270E+01,9.79083E+01,9.98091E+01,9.97650E+01,9.80450E+01,9.69748E+01,9.95055E+01,1.01382E+02,1.01685E+02,9.99373E+01,9.99570E+01,1.01330E+02,9.95122E+01
6.00000E-01,9.68555E+01,1.01835E+02,9.89553E+01,1.00470E+02,9.87322E+01,1.00194E+02,9.97979E+01,1.00730E+02,9.92527E+01,1.00620E+02,1.01638E+02,1.01183E+02,1.00384E+02,1.00226E+02,1.01301E+02,1.00018E+02,1.01519E+02,1.02631E+02,1.01295E+02,1.02844E+02,1.02695E+02,9.98900E+01,1.00616E+02,1.01503E+02,1.00528E+02,9.86293E+01,9.97772E+01,9.87433E+01,1.00922E+02,1.00601E+02,1.00774E+02,1.01836E+02,9.93073E+01,9.97842E+01,9.96034E+01,1.00674E+02,1.01550E+02,1.00317E+02,1.02220E+02,9.74807E+01,9.93075E+01,9.98824E+01,1.02606E+02,1.01341E+02,9.99921E+01,1.00814E+02,9.81870E+01,9.84954E+01,9.77553E+01,9.94608E+01
7.00000E-01,9.84941E+01,1.00215E+02,1.03210E+02,1.00768E+02,9.74918E+01,1.01436E+02,1.00143E+02,9.83725E+01,1.01094E+02,1.02504E+02,9.87165E+01,1.00006E+02,1.00252E+02,9.93416E+01,9.85618E+01,9.85258E+01,9.90303E+01,9.74653E+01,1.00197E+02,1.01432E+02,1.00313E+02,9.82888E+01,9.88234E+01,1.00153E+02,9.96446E+01,9.85817E+01,1.00460E+02,1.02104E+02,1.00787E+02,9.90249E+01,1.03244E+02,9.95031E+01,1.00973E+02,9.71345E+01,9.98282E+01,9.91497E+01,1.01860E+02,1.01557E+02,1.00945E+02,1.01571E+02,9.94259E+01,9.88279E+01,9.92434E+01,1.02416E+02,9.77571E+01,9.78557E+01,9.84599E+01,1.00346E+02,9.93637E+01,9.93979E+01
8.00000E-01,1.00083E+02,1.00666E+02,9.90093E+01,9.91765E+01,9.85926E+01,1.01105E+02,1.01572E+02,9.99658E+01,1.00519E+02,1.00797E+02,1.00781E+02,9.70245E+01,9.90941E+01,9.86585E+01,9.98128E+01,1.00270E+02,9.86065E+01,1.01633E+02,1.00855E+02,9.96796E+01,9.86348E+01,9.92714E+01,9.90898E+01,1.01147E+02,9.99046E+01,9.90759E+01,9.92541E+01,1.00289E+02,1.01346E+02,1.00039E+02,1.00678E+02,9.99838E+01,1.00072E+02,1.01671E+02,1.00498E+02,9.97861E+01,1.00977E+02,9.74770E+01,9.92389E+01,9.79390E+01,9.83239E+01,1.00023E+02,9.94216E+01,1.00993E+02,1.02792E+02,1.00511E+02,9.87079E+01,9.92122E+01,1.00873E+02,9.87477E+01
9.00000E-01,1.01268E+02,9.73476E+01,1.00844E+02,9.89847E+01,9.96313E+01,1.00527E+02,9.89985E+01,9.88374E+01,1.00023E+02,1.02133E+02,9.91496E+01,9.90576E+01,9.87243E+01,9.82419E+01,9.82100E+01,1.01274E+02,1.00472E+02,1.00260E+02,1.01390E+02,1.00648E+02,9.96879E+01,1.00060E+02,1.00823E+02,1.02813E+02,9.99554E+01,9.88145E+01,9.92218E+01,1.00022E+02,1.00222E+02,9.96590E+01,9.85332E+01,1.00626E+02,9.93172E+01,9.95673E+01,1.00252E+02,1.01166E+02,9.87491E+01,1.01335E+02,1.00505E+02,1.00778E+02,9.97452E+01,1.00319E+02,9.90233E+01,9.89955E+01,1.01607E+02,9.89110E+01,9.98896E+01,9.82608E+01,1.00430E+02,9.74145E+01
1.00000E+00,1.00068E+02,1.00038E+02,9.88664E+01,1.01627E+02,1.02007E+02,1.01109E+02,1.00193E+02,9.91517E+01,1.02374E+02,9.82387E+01,1.01093E+02,9.93230E+01,1.00526E+02,9.91883E+01,9.94348E+01,9.75560E+01,9.84006E+01,1.00031E+02,9.81014E+01,1.00124E+02,1.00893E+02,9.88361E+01,9.83187E+01,1.01741E+02,1.01414E+02,1.02009E+02,1.00090E+02,1.00908E+02,1.00144E+02,9.95670E+01,9.98297E+01,1.00440E+02,1.02776E+02,9.96043E+01,1.01925E+02,9.84861E+01,9.77875E+01,9.83047E+01,1.00552E+02,1.01476E+02,9.99882E+01,9.88042E+01,1.00509E+02,9.82423E+01,9.99694E+01,1.01933E+02,9.74327E+01,9.75821E+01,1.02201E+02,9.94494E+01
1.10000E+00,1.02344E+02,9.97331E+01,9.77260E+01,9.77338E+01,9.89129E+01,1.00949E+02,1.02605E+02,9.74051E+01,1.01210E+02,1.00139E+02,1.00454E+02,1.01000E+02,9.88614E+01,1.00296E+02,9.95784E+01,1.00839E+02,1.01313E+02,1.00954E+02,1.00549E+02,9.72593E+01,9.78578E+01,1.00893E+02,9.84668E+01,1.01023E+02,1.01763E+02,1.00682E+02,1.00942E+02,9.98331E+01,9.93089E+01,1.01367E+02,9.96135E+01,1.03696E+02,9.90995E+01,1.01070E+02,1.00980E+02,9.99127E+01,1.00195E+02,1.00285E+02,9.69283E+01,9.98948E+01,1.01309E+02,1.00529E+02,1.00556E+02,9.89495E+01,9.86628E+01,9.78622E+01,9.95500E+01,9.83922E+01,1.01506E+02,1.01582E+02
1.20000E+00,9.92933E+01,1.00492E+02,1.00143E+02,1.00004E+02,9.89243E+01,9.97530E+01,9.88953E+01,9.66518E+01,1.00966E+02,1.02366E+02,9.89127E+01,1.00297E+02,1.03142E+02,1.00291E+02,9.95753E+01,9.87815E+01,9.93171E+01,1.00795E+02,9.89292E+01,1.01058E+02,9.89901E+01,1.03188E+02,9.93339E+01,9.94398E+01,9.89684E+01,1.01428E+02,1.00161E+02,9.94506E+01,1.02460E+02,1.01663E+02,1.00780E+02,9.93694E+01,1.00828E+02,1.02816E+02,9.93911E+01,9.74100E+01,1.00066E+02,9.89061E+01,1.00401E+02,1.01370E+02,9.94521E+01,1.00685E+02,1.03052E+02,1.01298E+02,9.90405E+01,1.00088E+02,9.86415E+01,9.92864E+01,9.82914E+01,1.00445E+02
1.30000E+00,1.01853E+02,1.02211E+02,1.00093E+02,1.00761E+02,1.02028E+02,9.96972E+01,9.92027E+01,1.02919E+02,1.03087E+02,9.86781E+01,1.01817E+02,1.01277E+02,9.94074E+01,1.00317E+02,1.00958E+02,9.97011E+01,1.01158E+02,1.01786E+02,1.01691E+02,9.83557E+01,9.81372E+01,9.98492E+01,1.01113E+02,9.96031E+01,1.00431E+02,1.02995E+02,9.92813E+01,1.00645E+02,9.99876E+01,9.99222E+01,9.98658E+01,9.86912E+01,9.98360E+01,9.94600E+01,1.01617E+02,9.97933E+01,1.03091E+02,1.01194E+02,1.00850E+02,9.89543E+01,1.01241E+02,1.02178E+02,9.93515E+01,9.90402E+01,1.01316E+02,9.83265E+01,1.02200E+02,1.02831E+02,1.00794E+02,9.95440E+01
1.40000E+00,1.01249E+02,9.98173E+01,9.82611E+01,1.04030E+02,1.00054E+02,9.96379E+01,1.00005E+02,9.89658E+01,9.89295E+01,1.01549E+02,1.00137E+02,1.01795E+02,1.00777E+02,9.87321E+01,9.94507E+01,9.73446E+01,1.02326E+02,9.89743E+01,1.02592E+02,1.02564E+02,9.91341E+01,1.01473E+02,9.98417E+01,9.90442E+01,1.01269E+02,9.86807E+01,1.01892E+02,9.79911E+01,1.00695E+02,9.73526E+01,1.01365E+02,1.00207E+02,1.01593E+02,9.83329E+01,1.01251E+02,1.01033E+02,9.85665E+01,9.95147E+01,1.00201E+02,9.99697E+01,9.94045E+01,9.58093E+01,9.99389E+01,9.87186E+01,1.01798E+02,1.01285E+02,1.00736E+02,9.95242E+01,9.89942E+01,1.00287E+02
1.50000E+00,9.84674E+01,9.84478E+01,1.01075E+02,9.91820E+01,1.00490E+02,9.98398E+01,1.01491E+02,9.97097E+01,1.01038E+02,1.00612E+02,9.98838E+01,1.00129E+02,9.93062E+01,1.01739E+02,1.00067E+02,1.01207E+02,1.03106E+02,1.01011E+02,1.00029E+02,1.01896E+02,9.97768E+01,1.00646E+02,1.01893E+02,9.83506E+01,9.97916E+01,1.01243E+02,1.01145E+02,9.82781E+01,9.89862E+01,9.70070E+01,9.98342E+01,9.98995E+01,1.01301E+02,1.00268E+02,9.53335E+01,1.02692E+02,9.91707E+01,9.97731E+01,1.01875E+02,9.87872E+01,1.00533E+02,9.78739E+01,1.01467E+02,1.00297E+02,1.00076E+02,1.00731E+02,9.96983E+01,1.00275E+02,1.01371E+02,9.99650E+01
1.60000E+00,1.00368E+02,9.84051E+01,1.01256E+02,9.97511E+01,1.02073E+02,1.02115E+02,9.90125E+01,9.97730E+01,9.93490E+01,9.86438E+01,1.01134E+02,9.95993E+01,1.00149E+02,1.02801E+02,1.01092E+02,1.02089E+02,1.00562E+02,9.92081E+01,1.01485E+02,9.87389E+01,9.99753E+01,9.99084E+01,9.73160E+01,1.01929E+02,9.99836E+01,1.01162E+02,1.01800E+02,1.01046E+02,1.02055E+02,1.00264E+02,9.84553E+01,9.71085E+01,9.87026E+01,9.84214E+01,9.80589E+01,9.95982E+01,9.94026E+01,9.87295E+01,1.00745E+02,9.81773E+01,1.01134E+02,1.00597E+02,1.01226E+02,1.01827E+02,1.00275E+02,9.88722E+01,9.89659E+01,9.98143E+01,9.77473E+01,9.92158E+01
1.70000E+00,1.00614E+02,9.97325E+01,9.87837E+01,1.00096E+02,9.94673E+01,9.81703E+01,9.87607E+01,9.84419E+01,9.79852E+01,9.94643E+01,1.01718E+02,1.01992E+02,1.02889E+02,1.01014E+02,9.85501E+01,1.00444E+02,9.93253E+01,1.00418E+02,1.01090E+02,9.83847E+01,9.91470E+01,9.75115E+01,1.03189E+02,1.01998E+02,1.01007E+02,1.02590E+02,1.00158E+02,9.80156E+01,1.01499E+02,1.02229E+02,9.83278E+01,1.00100E+02,1.02576E+02,9.99034E+01,1.01131E+02,9.97710E+01,9.90373E+01,9.89282E+01,9.99261E+01,1.00707E+02,1.02921E+02,9.98653E+01,1.00665E+02,1.00971E+02,9.97625E+01,9.90549E+01,1.00260E+02,9.85320E+01,9.96446E+01,9.99647E+01
1.80000E+00,1.00702E+02,1.01741E+02,9.91052E+01,1.02364E+02,1.01098E+02,9.98498E+01,1.01002E+02,9.76505E+01,9.98259E+01,1.01007E+02,1.00446E+02,9.96828E+01,1.01367E+02,9.76549E+01,9.84975E+01,9.96091E+01,9.90960E+01,9.99298E+01,9.99931E+01,1.02595E+02,1.01435E+02,9.97740E+01,9.92591E+01,9.68536E+01,9.99659E+01,9.90662E+01,9.89777E+01,1.00717E+02,9.96358E+01,1.00755E+02,9.76419E+01,9.94437E+01,9.94643E+01,9.90213E+01,1.01567E+02,1.02459E+02,9.90148E+01,1.00658E+02,9.91610E+01,9.98509E+01,1.00700E+02,9.81907E+01,1.00460E+02,9.89808E+01,1.01035E+02,1.01327E+02,9.89733E+01,1.01867E+02,9.92908E+01,1.00535E+02
1.90000E+00,1.01459E+02,9.84678E+01,9.86720E+01,1.01986E+02,9.93739E+01,1.00110E+02,9.93070E+01,9.75044E+01,1.01529E+02,9.86319E+01,1.02263E+02,9.94197E+01,1.02021E+02,9.97623E+01,1.00938E+02,9.91082E+01,9.97925E+01,9.91241E+01,9.95126E+01,9.91050E+01,1.00856E+02,9.97051E+01,1.02125E+02,9.77208E+01,9.86545E+01,1.00242E+02,1.02177E+02,9.99331E+01,9.71006E+01,9.97217E+01,9.91820E+01,9.88609E+01,1.00787E+02,1.00741E+02,9.80303E+01,9.97315E+01,1.00309E+02,9.88637E+01,9.98718E+01,1.02068E+02,9.77944E+01,9.83097E+01,1.01436E+02,1.02146E+02,1.01085E+02,9.87207E+01,1.02141E+02,1.03879E+02,1.00288E+02,1.00044E+02
2.00000E+00,9.99343E+01,9.87485E+01,1.00126E+02,1.03153E+02,9.88232E+01,1.00965E+02,1.01492E+02,1.00124E+02,9.93752E+01,9.98084E+01,9.79811E+01,1.03132E+02,1.01358E+02,9.80758E+01,9.84987E+01,9.93283E+01,9.82793E+01,9.68730E+01,1.00139E+02,1.02151E+02,1.00003E+02,1.00326E+02,9.98699E+01,1.00471E+02,9.90281E+01,9.75988E+01,1.02495E+02,9.89110E+01,9.94798E+01,1.00304E+02,1.01286E+02,1.01545E+02,1.05436E+02,9.89774E+01,1.00081E+02,1.01230E+02,1.00369E+02,1.01062E+02,1.00510E+02,1.02736E+02,1.01049E+02,1.02723E+02,1.00499E+02,9.62730E+01,9.98785E+01,9.98285E+01,1.00104E+02,9.84746E+01,9.79410E+01,1.00265E+02
2.10000E+00,9.95246E+01,9.89072E+01,9.70573E+01,9.73707E+01,1.00560E+02,9.99407E+01,9.85698E+01,9.94596E+01,1.00431E+02,1.00768E+02,9.86038E+01,1.02255E+02,9.91708E+01,9.70654E+01,1.00537E+02,1.00217E+02,1.00289E+02,9.91832E+01,9.91410E+01,9.87781E+01,1.01292E+02,1.02008E+02,9.92676E+01,1.01802E+02,9.72988E+01,9.99186E+01,9.92373E+01,9.93722E+01,9.53544E+01,1.00418E+02,1.00735E+02,9.84102E+01,9.88698E+01,1.02342E+02,9.95162E+01,1.00492E+02,1.01174E+02,1.01508E+02,1.00113E+02,9.93977E+01,1.02499E+02,9.84892E+01,1.01094E+02,9.90877E+01,1.01397E+02,9.96104E+01,1.01002E+02,1.00810E+02,9.97833E+01,9.80588E+01
2.20000E+00,1.00797E+02,1.01041E+02,9.96206E+01,1.00500E+02,1.00066E+02,9.92421E+01,9.99641E+01,1.00408E+02,9.84627E+01,9.80421E+01,1.02445E+02,1.00129E+02,1.00551E+02,1.01641E+02,9.67224E+01,1.00649E+02,9.68100E+01,9.95688E+01,9.97002E+01,9.91146E+01,9.74831E+01,1.00406E+02,1.00969E+02,9.94022E+01,1.01451E+02,1.01770E+02,1.00521E+02,1.00192E+02,1.03018E+02,9.78273E+01,9.87333E+01,9.84912E+01,1.00281E+02,1.00390E+02,1.00201E+02,9.83196E+01,9.84718E+01,1.00617E+02,9.95975E+01,1.00358E+02,1.00365E+02,1.00792E+02,9.97038E+01,1.02254E+02,1.00659E+02,9.79053E+01,9.97645E+01,1.00687E+02,9.98471E+01,9.83832E+01
2.30000E+00,9.78587E+01,9.93406E+01,1.00742E+02,1.00297E+02,1.00080E+02,1.00057E+02,1.00964E+02,1.00790E+02,9.98223E+01,9.80367E+01,1.00702E+02,1.02115E+02,1.00398E+02,1.01422E+02,9.89634E+01,9.96634E+01,1.00171E+02,1.00693E+02,1.00018E+02,1.01970E+02,9.95718E+01,9.86602E+01,1.02096E+02,9.88751E+01,1.02555E+02,1.01307E+02,1.00015E+02,1.04076E+02,9.91088E+01,9.85213E+01,1.01093E+02,9.86427E+01,1.01024E+02,9.93577E+01,9.91970E+01,1.02154E+02,9.90011E+01,1.00298E+02,1.00943E+02,9.76976E+01,1.00212E+02,1.00004E+02,9.84365E+01,1.00324E+02,9.87438E+01,1.00369E+02,1.00263E+02,9.95242E+01,1.02477E+02,1.01123E+02
2.40000E+00,9.86108E+01,1.01324E+02,1.01740E+02,9.95322E+01,9.91692E+01,9.87020E+01,1.00911E+02,1.00177E+02,1.02133E+02,9.78133E+01,1.00993E+02,9.91717E+01,9.77585E+01,1.01367E+02,9.82787E+01,9.90730E+01,9.85285E+01,1.00395E+02,9.82322E+01,9.94110E+01,1.01706E+02,9.88912E+01,1.03345E+02,9.83369E+01,1.02111E+02,9.99002E+01,1.01424E+02,9.98477E+01,9.87826E+01,1.02003E+02,1.00838E+02,1.00034E+02,1.01716E+02,1.00552E+02,9.88725E+01,9.95943E+01,1.00107E+02,9.83854E+01,1.00014E+02,9.87654E+01,9.93923E+01,9.89247E+01,9.94519E+01,9.92386E+01,1.00461E+02,1.00807E+02,1.00255E+02,1.01433E+02,1.02597E+02,1.00114E+02
2.50000E+00,9.91279E+01,9.99867E+01,1.00666E+02,9.93521E+01,1.01604E+02,1.00980E+02,9.85417E+01,9.81377E+01,1.01625E+02,9.73004E+01,1.00839E+02,1.00347E+02,1.01562E+02,1.01819E+02,9.88962E+01,1.00964E+02,1.05468E+02,9.83000E+01,9.94085E+01,1.01415E+02,1.00645E+02,1.01193E+02,1.02030E+02,9.80376E+01,9.97985E+01,1.02029E+02,9.92938E+01,9.86291E+01,1.01486E+02,1.00038E+02,9.99140E+01,1.02832E+02,1.04123E+02,9.88830E+01,1.00522E+02,9.95979E+01,1.02636E+02,9.91633E+01,9.90494E+01,1.01089E+02,9.98352E+01,9.82749E+01,1.01034E+02,9.79992E+01,1.00602E+02,9.98270E+01,1.01188E+02,1.01636E+02,1.00467E+02,9.84546E+01
2.60000E+00,9.91681E+01,9.92094E+01,9.77907E+01,9.78813E+01,9.77724E+01,9.75433E+01,9.86844E+01,9.89933E+01,1.00067E+02,9.79322E+01,9.99759E+01,9.94219E+01,9.72475E+01,1.00409E+02,1.00581E+02,1.02752E+02,1.00640E+02,9.85453E+01,1.00701E+02,9.91099E+01,1.00990E+02,1.00741E+02,9.87758E+01,1.00761E+02,1.00796E+02,9.89833E+01,1.01682E+02,9.87233E+01,1.00351E+02,1.00673E+02,1.02921E+02,1.00777E+02,1.01439E+02,9.99342E+01,1.01243E+02,9.86393E+01,1.01363E+02,9.91663E+01,9.95974E+01,1.01129E+02,1.00578E+02,9.90585E+01,1.00340E+02,9.93532E+01,1.01006E+02,9.91499E+01,1.01385E+02,9.94773E+01,9.89125E+01,1.01280E+02
2.70000E+00,9.96513E+01,9.86184E+01,9.99979E+01,1.01479E+02,1.01148E+02,9.76681E+01,9.87143E+01,9.83106E+01,9.70868E+01,9.83392E+01,1.02693E+02,9.71083E+01,9.90657E+01,1.00512E+02,1.00534E+02,9.99038E+01,1.01460E+02,9.99640E+01,1.01472E+02,9.79419E+01,1.03021E+02,9.93220E+01,9.99415E+01,1.02605E+02,9.93827E+01,1.00891E+02,9.78543E+01,9.87550E+01,1.00050E+02,9.97982E+01,9.86213E+01,9.90880E+01,9.98646E+01,9.81768E+01,9.96804E+01,9.80015E+01,9.98860E+01,9.77441E+01,1.00261E+02,9.96092E+01,9.98386E+01,9.84696E+01,1.02977E+02,9.98363E+01,1.02128E+02,9.91850E+01,9.89032E+01,1.00336E+02,1.01240E+02,9.98479E+01
2.80000E+00,9.91768E+01,9.89977E+01,9.71899E+01,9.72166E+01,9.82790E+01,9.96838E+01,9.87919E+01,9.88190E+01,9.80251E+01,1.01579E+02,1.00615E+02,9.92268E+01,1.00656E+02,9.83352E+01,9.99678E+01,9.98041E+01,9.97577E+01,1.01627E+02,9.87378E+01,9.99434E+01,1.01363E+02,1.01962E+02,9.94205E+01,1.01575E+02,9.71196E+01,1.02286E+02,9.92841E+01,9.98985E+01,9.98234E+01,1.01974E+02,1.01420E+02,1.00151E+02,9.92701E+01,1.00111E+02,9.97941E+01,1.00392E+02,9.89972E+01,1.01455E+02,1.01839E+02,1.00322E+02,1.01926E+02,9.95511E+01,9.75140E+01,1.00867E+02,9.86179E+01,9.96025E+01,1.01648E+02,9.76145E+01,9.99895E+01,9.98592E+01
2.90000E+00,9.79936E+01,9.92545E+01,1.00549E+02,1.01121E+02,1.00515E+02,1.03030E+02,9.98403E+01,1.00836E+02,9.77259E+01,1.01103E+02,9.86780E+01,9.87103E+01,1.01040E+02,1.01950E+02,1.02302E+02,1.01428E+02,9.72766E+01,9.95050E+01,9.97223E+01,1.00023E+02,1.00834E+02,1.01902E+02,9.89923E+01,1.01349E+02,9.88624E+01,9.98020E+01,1.00095E+02,9.90609E+01,1.02848E+02,9.83162E+01,1.02625E+02,1.00889E+02,9.97242E+01,9.96356E+01,9.74063E+01,9.78464E+01,1.00952E+02,9.83741E+01,9.78763E+01,1.00265E+02,9.91260E+01,9.99228E+01,1.01863E+02,1.03980E+02,9.94914E+01,9.95604E+01,1.00049E+02,9.91431E+01,1.00012E+02,9.89313E+01
3.00000E+00,1.00958E+02,9.86402E+01,9.73897E+01,9.94326E+01,9.84893E+01,1.01483E+02,1.02792E+02,1.01950E+02,9.98119E+01,9.90451E+01,1.01662E+02,1.00214E+02,1.01376E+02,9.83567E+01,9.91593E+01,9.79371E+01,1.00964E+02,1.00747E+02,9.88375E+01,1.02147E+02,9.90632E+01,1.00074E+02,1.02001E+02,9.91572E+01,9.63839E+01,9.92002E+01,1.00863E+02,9.78568E+01,9.92286E+01,9.93650E+01,9.97272E+01,1.00724E+02,1.01303E+02,1.01308E+02,9.72560E+01,9.82857E+01,1.00759E+02,1.00516E+02,1.02151E+02,1.02614E+02,9.88132E+01,1.00197E+02,1.02217E+02,9.98030E+01,1.00773E+02,1.00261E+02,1.00445E+02,1.00027E+02,1.00240E+02,9.78031E+01
3.10000E+00,1.00294E+02,9.92749E+01,9.96187E+01,1.00039E+02,1.00810E+02,1.01111E+02,9.96920E+01,9.78800E+01,9.86078E+01,1.01489E+02,9.79943E+01,9.82489E+01,9.92532E+01,9.93753E+01,1.00330E+02,9.93120E+01,9.99715E+01,1.00483E+02,1.01333E+02,1.00234E+02,9.81154E+01,9.95885E+01,9.72389E+01,1.01559E+02,9.95266E+01,1.00031E+02,1.00636E+02,9.91189E+01,1.02331E+02,9.95427E+01,1.00260E+02,1.01727E+02,1.00104E+02,9.90400E+01,1.00880E+02,1.00657E+02,9.86363E+01,9.99731E+01,1.01155E+02,1.01042E+02,1.00217E+02,9.86986E+01,9.87412E+01,9.90358E+01,9.92578E+01,9.80177E+01,9.82884E+01,9.85539E+01,9.94920E+01,9.96973E+01
