time,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_50
0.000E+00,1.044E+01,1.186E+01,9.911E+00,9.692E+00,1.105E+01,1.059E+01,9.177E+00,9.802E+00,1.055E+01,8.683E+00,8.022E+00,9.352E+00,9.308E+00,9.154E+00,8.795E+00,9.731E+00,8.289E+00,9.762E+00,9.534E+00,1.217E+01,1.095E+01,1.073E+01,9.255E+00,1.070E+01,7.205E+00,1.013E+01,9.479E+00,1.050E+01,1.112E+01,1.105E+01,1.063E+01,7.748E+00,1.152E+01,1.056E+01,1.022E+01,9.433E+00,1.171E+01,1.013E+01,7.910E+00,1.088E+01,1.148E+01,1.031E+01,1.020E+01,1.081E+01,9.025E+00,7.872E+00,1.186E+01,9.617E+00,9.323E+00,1.139E+01
5.00000E-02,1.00735E+01,1.11748E+01,9.84316E+00,9.32525E+00,1.10593E+01,1.01126E+01,9.38165E+00,9.90271E+00,1.04874E+01,8.82057E+00,8.60267E+00,9.84573E+00,9.47176E+00,9.56082E+00,9.23131E+00,9.73042E+00,8.83488E+00,9.84821E+00,1.00464E+01,1.08953E+01,1.04486E+01,1.06561E+01,9.66760E+00,9.97219E+00,8.13271E+00,1.00168E+01,9.92813E+00,1.02227E+01,1.05817E+01,1.04257E+01,1.05974E+01,8.54492E+00,1.06812E+01,1.04004E+01,9.95617E+00,9.39266E+00,1.06099E+01,9.82910E+00,9.02644E+00,1.05597E+01,1.07167E+01,1.02117E+01,1.01245E+01,1.01059E+01,9.27353E+00,8.52226E+00,1.08751E+01,9.64788E+00,9.26921E+00,1.06079E+01
1.00000E-01,9.89911E+00,1.03589E+01,9.92698E+00,9.43311E+00,1.05249E+01,1.00422E+01,9.61983E+00,9.85925E+00,1.02844E+01,9.22867E+00,9.20365E+00,9.82244E+00,9.46813E+00,9.71095E+00,9.56827E+00,9.54849E+00,9.39748E+00,1.01857E+01,1.00452E+01,1.07480E+01,9.98268E+00,1.04670E+01,9.53857E+00,9.94074E+00,8.62779E+00,1.00511E+01,9.57377E+00,1.01449E+01,1.05376E+01,1.04651E+01,1.03898E+01,8.97186E+00,1.05674E+01,1.02914E+01,1.00454E+01,9.59744E+00,1.02926E+01,9.96144E+00,9.53456E+00,1.03866E+01,1.04133E+01,9.98252E+00,1.01365E+01,9.94972E+00,9.57726E+00,9.47745E+00,1.02435E+01,1.01712E+01,9.73929E+00,1.02016E+01
1.50000E-01,9.80034E+00,1.02416E+01,9.78325E+00,1.00043E+01,1.01996E+01,1.00702E+01,9.95906E+00,9.71127E+00,9.95362E+00,9.47723E+00,9.47681E+00,9.89721E+00,9.61550E+00,9.77042E+00,9.78378E+00,9.44482E+00,9.67851E+00,1.00797E+01,1.01028E+01,1.07811E+01,1.01452E+01,1.01986E+01,9.91917E+00,9.90992E+00,9.11904E+00,1.01305E+01,9.70034E+00,1.01331E+01,1.03797E+01,1.02210E+01,1.01124E+01,9.37836E+00,1.00817E+01,9.75601E+00,9.90360E+00,9.54124E+00,1.00868E+01,9.62179E+00,9.88416E+00,1.00269E+01,1.03051E+01,9.96771E+00,1.00419E+01,9.93905E+00,9.73557E+00,9.81083E+00,1.02199E+01,1.00976E+01,9.86822E+00,9.93966E+00
2.00000E-01,9.53506E+00,1.04312E+01,9.85958E+00,1.02969E+01,1.00857E+01,1.02628E+01,1.01066E+01,9.62124E+00,9.99230E+00,9.73962E+00,9.88715E+00,9.92526E+00,9.84899E+00,1.02418E+01,1.00994E+01,9.62506E+00,9.72716E+00,9.95106E+00,9.74502E+00,1.01957E+01,1.02551E+01,1.01936E+01,9.87754E+00,1.00377E+01,9.53478E+00,1.00794E+01,1.00780E+01,1.01315E+01,1.04696E+01,1.03927E+01,1.00949E+01,9.73511E+00,1.00802E+01,9.69304E+00,1.00386E+01,9.80433E+00,9.73752E+00,9.63689E+00,9.82820E+00,1.00389E+01,9.96861E+00,9.85588E+00,9.98180E+00,1.00873E+01,9.50486E+00,9.82881E+00,9.88867E+00,1.02423E+01,9.91697E+00,1.04622E+01
2.50000E-01,9.73815E+00,1.05974E+01,1.00488E+01,1.02586E+01,1.00193E+01,9.99578E+00,9.64928E+00,9.70039E+00,9.89709E+00,9.68162E+00,9.98191E+00,9.69772E+00,9.85711E+00,1.01184E+01,1.00658E+01,9.61477E+00,1.02486E+01,9.92449E+00,9.61914E+00,1.02280E+01,1.01688E+01,1.02218E+01,9.68973E+00,1.01774E+01,1.00706E+01,9.82970E+00,9.84775E+00,1.00275E+01,1.02300E+01,1.06412E+01,1.04425E+01,1.02917E+01,1.00452E+01,9.97224E+00,9.92758E+00,1.00172E+01,9.74609E+00,9.77321E+00,9.94429E+00,9.64266E+00,9.78229E+00,1.03082E+01,9.99096E+00,1.01659E+01,9.78071E+00,9.92092E+00,9.79323E+00,9.86134E+00,9.50373E+00,1.03567E+01
3.00000E-01,9.79653E+00,1.02936E+01,9.97730E+00,1.05906E+01,1.02630E+01,1.01843E+01,9.74071E+00,1.00378E+01,9.90010E+00,9.75853E+00,9.93330E+00,9.92040E+00,9.75944E+00,9.98265E+00,9.80011E+00,9.80342E+00,9.83105E+00,1.00950E+01,9.88448E+00,1.01619E+01,9.98015E+00,9.99478E+00,9.93023E+00,9.80842E+00,1.01717E+01,1.01834E+01,9.96828E+00,9.95073E+00,9.98991E+00,1.00299E+01,1.01983E+01,1.01571E+01,9.98482E+00,9.76285E+00,1.03512E+01,1.03953E+01,9.72275E+00,9.79147E+00,1.00363E+01,1.00579E+01,9.92104E+00,1.00827E+01,1.00479E+01,1.01233E+01,9.65779E+00,9.92431E+00,9.94046E+00,1.00428E+01,9.64032E+00,9.92083E+00
3.50000E-01,1.00737E+01,9.76753E+00,1.00908E+01,1.04190E+01,1.02062E+01,1.02040E+01,9.96376E+00,9.97423E+00,1.01547E+01,9.74039E+00,1.00596E+01,1.00788E+01,9.70676E+00,9.97259E+00,9.59802E+00,9.77914E+00,1.00303E+01,1.00901E+01,9.87155E+00,1.02593E+01,1.00339E+01,1.01881E+01,9.54565E+00,9.70613E+00,1.00845E+01,9.94450E+00,1.01680E+01,1.03553E+01,1.00426E+01,9.76977E+00,1.02684E+01,1.04026E+01,1.02713E+01,1.00869E+01,1.04190E+01,1.04990E+01,9.74737E+00,9.77269E+00,1.00124E+01,9.88802E+00,9.93680E+00,1.00905E+01,1.01969E+01,9.89205E+00,9.70215E+00,9.73952E+00,9.86479E+00,1.04142E+01,9.98690E+00,1.01315E+01
4.00000E-01,1.01370E+01,9.73969E+00,9.92489E+00,1.03171E+01,1.03467E+01,1.01707E+01,1.03207E+01,1.04375E+01,9.90904E+00,9.94436E+00,9.91100E+00,1.00197E+01,9.95584E+00,1.00327E+01,9.63995E+00,9.52718E+00,1.02081E+01,1.03063E+01,9.98335E+00,1.02130E+01,9.83774E+00,1.00177E+01,9.92945E+00,1.01941E+01,9.90963E+00,9.94424E+00,1.03656E+01,1.02456E+01,1.02295E+01,1.00320E+01,1.00827E+01,1.00930E+01,1.02159E+01,1.01652E+01,1.02621E+01,1.03864E+01,9.88975E+00,1.02337E+01,9.99962E+00,1.00772E+01,9.97705E+00,9.66616E+00,1.03767E+01,9.84813E+00,9.74250E+00,9.94222E+00,1.00929E+01,1.01827E+01,9.79292E+00,1.03138E+01
4.50000E-01,1.03843E+01,9.73906E+00,9.82520E+00,1.01617E+01,1.01015E+01,1.00767E+01,1.01227E+01,9.99695E+00,1.00481E+01,9.72495E+00,1.00681E+01,1.03735E+01,1.00835E+01,1.00059E+01,9.64273E+00,9.56928E+00,1.00023E+01,1.02632E+01,9.92418E+00,1.02116E+01,9.78963E+00,9.80415E+00,1.00796E+01,9.88305E+00,1.01459E+01,1.00701E+01,1.01426E+01,1.03000E+01,1.02753E+01,9.67761E+00,1.01329E+01,9.98013E+00,9.95263E+00,1.00319E+01,9.72620E+00,1.03918E+01,1.01358E+01,1.00794E+01,9.62051E+00,1.01312E+01,9.85024E+00,9.79207E+00,1.02983E+01,1.04804E+01,9.61200E+00,1.01778E+01,9.64221E+00,1.03204E+01,9.56939E+00,1.04926E+01
