time,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_50
0.000E+00,1.089E+02,3.123E+01,2.749E+01,2.259E+01,1.694E+01,1.637E+01,1.129E+01,5.434E+00,5.359E+00,3.932E+00,4.374E+00,3.853E+00,3.415E+00,3.416E+00,2.329E+00,1.996E+00,1.138E+00,1.011E+00,4.745E-01,4.989E-01,4.797E-01,3.462E-01,2.799E-01,2.416E-01,2.236E-01,1.451E-01,1.580E-01,1.255E-01,1.137E-01,8.579E-02,8.575E-02,7.913E-02,7.083E-02,6.583E-02,5.839E-02,5.632E-02,5.781E-02,5.077E-02,5.866E-02,5.518E-02,3.622E-02,4.755E-02,4.193E-02,4.550E-02,3.921E-02,3.471E-02,3.638E-02,3.252E-02,3.892E-02,3.813E-02
1.50000E+00,9.98668E+01,4.23759E+01,3.19957E+01,2.56629E+01,2.00799E+01,1.61733E+01,1.11083E+01,5.65392E+00,4.73937E+00,4.98275E+00,4.18248E+00,4.42694E+00,3.87576E+00,2.63577E+00,2.04110E+00,1.80315E+00,1.09164E+00,1.19233E+00,5.65127E-01,6.17557E-01,4.74987E-01,2.92098E-01,2.89299E-01,2.85959E-01,3.04976E-01,1.66944E-01,1.34120E-01,1.44827E-01,1.25409E-01,6.74614E-02,8.42791E-02,7.06787E-02,1.36590E-01,7.28337E-02,3.76560E-02,5.61688E-02,5.64052E-02,2.87495E-02,4.89798E-02,5.26846E-02,2.61709E-02,6.94317E-02,6.92535E-02,4.81882E-02,5.66327E-02,3.81085E-02,4.02136E-02,5.75372E-02,3.12020E-02,2.81591E-02
3.00000E+00,9.94647E+01,4.43843E+01,3.13923E+01,2.59962E+01,1.97540E+01,1.61987E+01,9.59843E+00,5.77033E+00,4.86173E+00,4.35595E+00,4.66404E+00,4.14471E+00,4.43335E+00,3.30569E+00,2.65105E+00,1.71690E+00,1.74398E+00,9.16804E-01,5.69379E-01,5.45499E-01,5.56597E-01,3.39507E-01,2.65300E-01,2.66900E-01,2.58612E-01,3.01594E-01,1.14309E-01,1.25377E-01,1.40201E-01,6.18223E-02,6.69009E-02,4.51217E-02,1.09042E-01,8.15727E-02,3.85580E-02,3.41066E-02,6.36138E-02,3.28741E-02,2.42251E-02,5.99690E-02,2.51305E-02,8.36043E-02,6.79629E-02,2.39987E-02,3.92040E-02,3.88314E-02,2.99464E-02,5.33624E-02,2.11107E-02,5.80931E-02
4.50000E+00,1.02942E+02,4.24376E+01,3.26746E+01,2.76786E+01,2.02997E+01,1.53440E+01,1.12768E+01,5.60580E+00,5.63525E+00,4.55186E+00,3.96775E+00,4.26784E+00,4.22105E+00,3.06158E+00,2.42644E+00,1.67039E+00,1.19573E+00,9.21396E-01,4.69944E-01,5.19152E-01,3.39343E-01,3.56919E-01,1.49282E-01,2.23648E-01,2.79674E-01,2.98613E-01,7.59058E-02,1.20521E-01,1.01038E-01,5.40370E-02,7.10280E-02,3.66677E-02,1.35297E-01,1.01653E-01,4.80650E-02,2.76021E-02,4.69128E-02,3.37145E-02,2.23149E-02,8.15520E-02,4.04623E-02,7.68377E-02,6.68592E-02,3.24593E-02,5.35911E-02,4.47891E-02,2.16953E-02,5.83132E-02,3.80750E-02,3.69110E-02
6.00000E+00,1.00796E+02,4.29820E+01,3.16152E+01,2.66086E+01,1.94368E+01,1.46420E+01,1.06039E+01,5.30434E+00,4.68140E+00,4.48155E+00,3.79757E+00,3.95865E+00,3.99397E+00,3.23599E+00,2.38749E+00,2.04200E+00,1.23958E+00,1.02504E+00,6.12015E-01,6.71295E-01,4.80106E-01,3.52049E-01,1.50770E-01,4.69887E-01,2.19723E-01,3.36539E-01,6.27771E-02,1.44663E-01,7.39112E-02,4.23796E-02,1.16914E-01,6.81487E-02,1.56928E-01,8.88470E-02,3.26871E-02,2.36019E-02,3.76830E-02,2.80628E-02,2.15486E-02,7.46420E-02,2.91182E-02,1.08132E-01,5.44681E-02,3.65895E-02,8.98140E-02,5.80589E-02,2.46145E-02,3.65516E-02,2.86400E-02,5.13803E-02
7.50000E+00,1.00228E+02,4.26213E+01,3.32182E+01,2.76831E+01,2.12315E+01,1.67446E+01,1.05510E+01,5.76579E+00,5.24278E+00,5.02902E+00,4.91328E+00,3.75184E+00,3.63014E+00,2.92502E+00,2.32278E+00,1.72345E+00,9.48149E-01,9.45232E-01,5.09434E-01,5.32492E-01,5.21546E-01,2.71067E-01,2.14512E-01,2.81859E-01,2.63493E-01,2.85095E-01,6.07534E-02,1.10395E-01,5.16367E-02,3.36578E-02,1.13332E-01,4.99293E-02,1.23704E-01,1.03023E-01,3.68067E-02,2.07648E-02,2.01026E-02,3.85502E-02,2.92519E-02,6.04078E-02,2.85417E-02,8.08286E-02,5.25144E-02,5.00603E-02,8.29360E-02,5.76464E-02,2.21799E-02,2.36959E-02,2.87162E-02,5.00653E-02
9.00000E+00,1.02175E+02,4.06901E+01,3.20809E+01,2.63694E+01,1.95291E+01,1.67994E+01,1.12150E+01,5.68243E+00,4.19401E+00,4.92930E+00,4.16043E+00,3.89418E+00,4.03651E+00,2.51152E+00,2.22869E+00,1.87702E+00,1.18367E+00,1.21123E+00,4.29339E-01,5.99380E-01,3.69879E-01,2.58192E-01,3.47571E-01,2.46298E-01,2.60492E-01,1.33807E-01,1.16987E-01,1.10080E-01,5.85879E-02,3.49257E-02,1.13105E-01,9.16231E-02,1.38244E-01,7.98030E-02,2.28559E-02,3.29490E-02,1.96698E-02,4.77118E-02,1.81095E-02,5.47194E-02,4.79142E-02,7.43236E-02,8.28336E-02,3.82039E-02,1.25578E-01,3.92486E-02,1.16750E-02,1.94830E-02,2.96238E-02,3.46927E-02
1.05000E+01,1.00124E+02,4.17812E+01,3.27806E+01,2.67602E+01,2.07252E+01,1.57235E+01,1.06480E+01,5.77039E+00,4.39822E+00,4.23003E+00,4.70827E+00,3.81733E+00,4.21553E+00,2.91896E+00,2.12955E+00,1.78676E+00,1.13497E+00,9.04007E-01,4.92774E-01,3.76618E-01,4.74504E-01,2.71190E-01,4.07719E-01,1.58317E-01,2.15777E-01,1.34866E-01,8.58635E-02,9.34346E-02,6.42193E-02,5.05559E-02,9.65766E-02,1.03641E-01,1.27736E-01,8.86105E-02,1.43433E-02,2.78631E-02,1.78121E-02,5.92207E-02,1.82862E-02,4.31044E-02,6.01355E-02,7.96437E-02,6.76615E-02,4.25881E-02,1.12645E-01,4.64310E-02,8.16054E-03,1.78717E-02,2.28825E-02,3.46388E-02
1.20000E+01,1.03874E+02,4.26696E+01,3.03487E+01,2.81508E+01,2.10892E+01,1.67425E+01,1.04596E+01,5.65528E+00,4.86517E+00,4.09076E+00,3.98126E+00,3.38353E+00,3.74706E+00,3.23901E+00,2.43725E+00,2.08696E+00,1.55939E+00,9.77116E-01,2.96417E-01,4.88351E-01,3.35500E-01,2.66976E-01,4.22320E-01,2.00608E-01,1.71418E-01,1.01270E-01,1.20412E-01,8.64606E-02,6.27691E-02,8.09552E-02,1.05369E-01,1.12656E-01,1.20157E-01,1.00147E-01,1.89338E-02,2.51411E-02,1.51080E-02,8.72256E-02,1.99734E-02,2.67930E-02,3.35560E-02,6.17312E-02,9.59715E-02,3.17130E-02,8.43435E-02,4.49287E-02,5.31857E-03,1.22445E-02,1.72790E-02,3.14687E-02
1.35000E+01,9.94817E+01,4.22469E+01,3.14069E+01,2.94160E+01,2.03383E+01,1.66911E+01,1.09966E+01,5.48320E+00,4.78644E+00,4.74838E+00,4.32161E+00,4.00185E+00,3.78573E+00,3.03326E+00,2.45235E+00,1.82040E+00,1.34923E+00,1.03999E+00,3.98817E-01,3.63353E-01,3.17937E-01,2.56457E-01,3.45420E-01,1.83906E-01,1.62370E-01,1.53679E-01,9.64576E-02,9.93853E-02,5.77605E-02,1.12960E-01,1.26672E-01,8.97714E-02,1.14782E-01,9.30339E-02,2.66527E-02,2.87695E-02,1.91320E-02,1.02176E-01,2.05469E-02,4.20185E-02,2.18888E-02,5.70226E-02,9.30158E-02,2.29084E-02,8.15727E-02,5.79429E-02,4.97093E-03,1.19305E-02,2.45458E-02,2.44264E-02
