time,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_50
0.0,99.11,84.68,109.8,106.4,119.8,88.44,93.24,95.59,105.5,106.9,92.66,99.62,103.0,93.66,109.9,98.68,114.6,99.1,110.0,110.7,94.2,85.89,105.6,101.9,90.57,83.43,87.35,98.99,91.18,100.9,76.52,124.2,93.86,117.7,95.1,99.99,106.4,101.8,97.55,99.53,92.28,103.3,90.79,120.2,96.69,111.0,97.97,93.41,99.09,93.38
0.05,106.006,102.887,100.04899999999999,99.2129,97.3146,98.6899,99.1825,99.3968,104.56700000000001,98.1591,102.005,99.0758,103.335,94.9484,97.5568,104.322,101.515,100.15,103.27,99.0804,99.7083,102.865,100.675,102.853,100.385,98.223,103.932,95.6655,95.8812,96.265,98.9783,100.346,104.02799999999999,101.51799999999999,98.3613,97.7959,99.9931,99.7978,100.015,101.08,96.5868,99.505,100.31299999999999,96.4849,96.0664,99.0797,101.294,101.175,100.449,98.5197
0.1,102.949,102.53399999999999,100.50200000000001,99.9544,98.7896,98.7244,103.67399999999999,99.7245,99.2474,99.0884,100.15299999999999,98.6984,98.3001,102.459,98.9174,97.8646,100.773,98.2999,101.01100000000001,99.6912,102.525,104.559,100.288,98.5992,103.21600000000001,96.3921,102.1,100.76899999999999,99.9893,98.2357,100.601,102.57,100.751,101.25200000000001,101.825,100.554,98.948,99.3034,100.583,100.75299999999999,99.9394,98.5159,98.5744,97.1144,97.7582,98.4393,103.161,101.973,97.801,101.33
0.15,99.6131,101.258,100.708,99.4944,99.8813,98.7485,98.4875,100.68299999999999,98.1908,99.4054,101.256,99.084,98.9066,100.374,100.15299999999999,100.605,100.846,102.027,100.715,99.4077,103.541,100.166,100.73,102.43700000000001,98.546,99.3508,101.865,100.458,99.3406,101.991,99.3464,100.86399999999999,101.137,100.348,102.304,101.44200000000001,100.79,101.24799999999999,101.64,99.1158,99.1585,98.6729,102.561,100.946,99.4183,100.29,101.39200000000001,98.1568,98.6906,101.59100000000001
0.2,98.198,99.8243,102.443,103.024,99.8361,98.9875,99.1931,100.285,100.806,102.61,99.8065,100.65,101.602,101.448,101.816,101.18299999999999,102.646,100.915,100.954,102.292,100.655,99.4912,101.12100000000001,100.105,99.2652,100.35799999999999,101.116,96.416,99.0839,99.7528,102.179,100.33,99.1106,100.544,97.9762,101.165,103.664,100.449,99.9833,99.0329,98.4606,95.6996,98.1758,98.8045,98.3296,99.5152,99.7176,100.969,96.3192,100.17200000000001
0.25,103.428,100.49600000000001,99.9982,96.9859,99.7847,100.311,99.9412,101.677,97.9115,98.0504,99.7273,101.42200000000001,99.415,99.8284,99.0448,99.8504,100.022,100.551,97.7013,97.3438,98.7536,102.87200000000001,99.4563,99.1825,98.2574,98.1824,98.4904,98.7815,100.869,101.209,103.801,98.9575,102.05799999999999,99.5972,99.8605,100.118,101.686,100.385,97.3795,100.39200000000001,101.43,99.5304,102.206,100.89299999999999,101.774,100.426,98.9479,101.545,99.6212,99.046
0.3,99.8925,101.12100000000001,99.5741,100.37200000000001,100.139,97.0942,100.156,97.9146,99.2901,99.8082,99.1532,99.1586,101.48299999999999,100.195,98.0035,101.492,99.7599,102.611,98.6645,101.51799999999999,98.3745,103.85,101.461,98.7325,101.96700000000001,97.1538,101.36,98.7437,99.7979,100.06200000000001,101.85,98.9734,102.005,99.6114,101.494,100.955,100.48299999999999,98.0251,102.071,98.2259,102.06,98.046,97.8522,100.875,98.3446,97.8533,100.62700000000001,97.6309,100.98100000000001,98.0052
0.35,101.095,100.145,102.027,99.52,99.5215,99.2549,101.95299999999999,99.9729,98.8479,99.0558,98.2095,100.23899999999999,100.90899999999999,98.024,100.148,98.5896,103.014,102.79299999999999,98.9436,101.912,102.10799999999999,98.68,101.663,101.726,99.5035,99.6115,100.71,98.7311,100.02,103.321,98.2371,100.62700000000001,99.239,101.37799999999999,101.97200000000001,100.05799999999999,101.86200000000001,97.9618,100.546,97.9162,98.1663,98.6613,98.9362,99.7915,103.384,102.296,98.9334,98.8736,101.48299999999999,100.98700000000001
0.4,101.363,102.007,99.2631,100.76,100.714,99.717,101.648,102.45100000000001,98.7409,99.6044,99.9165,99.1505,102.71799999999999,99.4569,100.484,101.779,99.6033,100.225,99.9398,100.387,100.39399999999999,97.8034,99.0808,99.6102,97.6855,97.5624,98.4665,99.5136,101.021,99.3706,100.2,101.161,99.6816,97.4036,101.154,100.204,100.006,100.756,98.9987,101.63799999999999,99.2817,98.2614,98.4248,99.9852,98.6019,101.266,100.33200000000001,102.319,102.697,97.5963
0.45,98.9607,100.65700000000001,99.532,100.605,98.9549,100.90100000000001,100.48100000000001,101.181,100.089,100.21799999999999,100.087,99.5174,98.8431,98.9279,101.611,97.8521,100.749,99.7466,101.84,100.45,100.23200000000001,100.53399999999999,96.6492,101.105,99.5918,101.7,101.48,98.8404,100.00200000000001,97.6857,99.1302,102.64200000000001,100.07600000000001,102.618,98.5261,97.2252,100.76899999999999,100.322,100.86399999999999,100.583,100.506,102.309,102.052,100.00399999999999,100.454,100.079,100.895,97.9824,100.885,99.3369
0.5,104.18700000000001,101.589,100.921,99.3735,98.3536,100.73299999999999,102.846,97.5345,103.45200000000001,99.0832,98.7887,99.4762,98.4525,99.9029,98.6769,98.97,97.2414,102.23,98.9428,98.6422,99.7926,100.12299999999999,99.4444,101.757,99.0672,99.3507,100.537,99.3188,98.7622,98.0173,98.7,99.559,101.20200000000001,100.786,102.15,98.8643,100.23899999999999,97.4535,102.741,100.148,99.6272,101.677,98.6958,98.0908,101.63600000000001,99.3149,101.49799999999999,100.029,102.027,100.84100000000001
0.55,99.8059,100.204,97.62,100.72399999999999,99.8519,100.01299999999999,100.012,98.8122,99.4251,100.79799999999999,100.314,101.396,99.0215,99.5341,101.0,101.2,100.962,98.3086,101.131,101.262,101.34,102.041,98.7373,100.896,98.0973,100.28399999999999,98.8015,98.5183,100.95299999999999,98.9879,99.3298,98.4252,102.05799999999999,98.5859,101.396,100.98,99.261,99.1909,101.21600000000001,99.8328,100.46799999999999,97.9365,98.5154,99.2602,100.501,101.338,99.4279,99.8215,103.8,98.7016
0.6,100.772,99.4445,101.551,100.693,101.625,100.29299999999999,98.7519,101.554,100.012,97.9428,99.6531,98.9803,101.34200000000001,98.7525,99.6258,100.436,99.9484,101.682,100.12799999999999,101.333,99.4012,99.6836,101.662,101.87,98.7932,99.9,100.206,99.7141,99.285,102.095,100.464,99.2415,99.6339,100.939,98.9924,100.463,101.35700000000001,99.829,101.06200000000001,98.9874,98.3156,100.021,98.0642,98.8229,99.4659,98.368,100.27799999999999,99.7519,98.9956,99.9903
0.65,99.5372,102.281,102.446,99.123,99.4339,100.964,103.941,98.4162,99.7291,99.2503,99.2807,101.29899999999999,102.714,100.471,101.259,98.601,100.07,102.802,100.78299999999999,104.398,97.9447,100.90100000000001,99.9939,99.8499,100.88600000000001,97.4959,101.59899999999999,100.17299999999999,102.941,98.3001,101.28200000000001,99.1396,101.904,98.9309,102.524,100.366,102.461,98.6949,102.639,100.64200000000001,100.012,98.5657,99.2905,100.399,98.0328,99.3512,101.678,100.436,98.1375,99.661
0.7,100.09700000000001,96.0525,101.509,98.6145,100.471,99.1546,101.91799999999999,98.7176,101.038,103.243,99.611,98.9605,100.595,99.4656,103.177,98.6785,101.126,100.596,99.6649,98.6109,97.2706,97.0995,99.3963,102.446,98.0989,100.212,98.5388,100.079,101.59200000000001,100.15899999999999,99.2704,100.779,99.5092,100.721,99.1106,99.9772,97.6819,101.26,98.4708,101.46600000000001,100.48,102.73,100.219,98.2516,100.1,101.12799999999999,98.326,99.0561,101.225,99.9797
0.75,99.0038,97.6286,100.413,98.4357,101.789,101.389,98.3792,99.2031,102.17200000000001,99.1135,100.37299999999999,100.11200000000001,99.5285,99.5719,100.85799999999999,99.6848,100.162,97.5061,98.1826,101.084,98.6177,100.30799999999999,100.73100000000001,100.30799999999999,101.00399999999999,101.571,98.4774,99.0105,98.062,99.6525,99.3034,97.4583,99.5237,99.7724,96.1231,99.2128,101.697,98.8914,99.951,99.3394,103.31200000000001,101.682,101.398,100.48,98.602,101.12899999999999,100.12799999999999,101.17299999999999,100.53299999999999,98.9354
0.8,99.9987,98.3878,100.34700000000001,99.7794,98.8735,100.82799999999999,100.48899999999999,98.3879,97.3286,101.92299999999999,99.9309,99.1738,98.4649,100.71700000000001,97.3533,101.74700000000001,98.8355,101.01899999999999,99.4697,99.4049,100.79299999999999,100.444,97.299,99.8994,100.404,100.944,100.51299999999999,100.13,99.1725,99.9012,100.78200000000001,98.7823,102.212,100.054,99.9876,96.9865,99.4197,101.355,102.92,102.02,97.0804,101.22200000000001,101.781,100.455,100.083,101.26700000000001,99.7982,98.8925,97.3669,99.4002
0.85,98.0694,99.5876,100.365,100.145,101.279,98.699,100.021,102.08200000000001,100.43299999999999,99.2556,98.9981,96.3272,99.7539,102.113,100.955,97.7244,98.7572,99.8308,102.37899999999999,103.292,99.3222,100.09299999999999,97.9066,102.898,99.6216,100.37700000000001,102.46700000000001,99.6692,100.648,99.975,100.77799999999999,100.825,101.04899999999999,100.90299999999999,97.4381,99.9069,99.0859,97.5688,102.54299999999999,101.84899999999999,98.2511,98.8882,101.906,100.65299999999999,98.7456,101.285,100.35799999999999,98.577,99.2372,100.57799999999999
0.9,101.795,101.12100000000001,101.292,101.07799999999999,99.4413,101.781,100.911,99.577,97.6901,100.25200000000001,101.57700000000001,100.90700000000001,97.4432,99.1958,99.4988,100.11200000000001,100.321,101.762,100.13799999999999,102.13,102.083,101.206,99.7889,99.2139,96.6738,99.778,101.676,101.60700000000001,99.3066,102.664,101.602,99.146,100.355,97.6894,101.792,97.9404,98.5977,99.628,99.4898,99.662,96.2929,99.8704,99.9907,100.40899999999999,99.0067,101.477,99.6811,101.603,99.7423,97.9021
0.95,99.2923,101.012,100.887,99.3068,99.5431,100.286,98.818,101.08,97.4649,99.5704,98.3439,99.2253,100.936,99.3163,99.4103,101.521,100.45100000000001,100.301,99.9631,101.618,98.214,99.1876,100.291,101.684,100.637,100.072,99.124,98.135,100.574,98.5019,100.235,98.4272,99.604,100.14,99.4289,100.441,99.2806,99.2821,99.2697,100.101,99.8591,100.95700000000001,100.76,99.7315,100.51799999999999,100.34700000000001,98.2066,97.6077,101.68700000000001,101.2
