time,species_1,species_2,species_3,species_4,species_5
0.000E+00,1.000E-01,1.000E-01,1.000E-01,1.000E-01,1.000E-01
1.00000E-02,1.00000E-01,9.99985E-02,1.00441E-01,1.00273E-01,1.03796E-01
2.00000E-02,1.00000E-01,1.00046E-01,9.95709E-02,1.00497E-01,1.03220E-01
3.00000E-02,1.00000E-01,1.00041E-01,9.96905E-02,1.00070E-01,1.00968E-01
4.00000E-02,1.00000E-01,1.00117E-01,1.00437E-01,9.98874E-02,1.08928E-01
5.00000E-02,1.00000E-01,1.00033E-01,9.98992E-02,9.98427E-02,1.07279E-01
6.00000E-02,1.00000E-01,9.98398E-02,1.00416E-01,1.01280E-01,1.06813E-01
7.00000E-02,1.00000E-01,9.98755E-02,1.00305E-01,1.01897E-01,9.82252E-02
8.00000E-02,1.00000E-01,9.97753E-02,1.00113E-01,1.02124E-01,9.36776E-02
9.00000E-02,1.00000E-01,9.97501E-02,9.94182E-02,1.01680E-01,9.32174E-02
1.00000E-01,1.00000E-01,9.96112E-02,9.87281E-02,1.02497E-01,8.95386E-02
1.10000E-01,1.00000E-01,9.94732E-02,9.86426E-02,1.03100E-01,9.27953E-02
1.20000E-01,1.00000E-01,9.93318E-02,9.87661E-02,1.02626E-01,9.19983E-02
1.30000E-01,1.00000E-01,9.92445E-02,9.88847E-02,1.00054E-01,9.52780E-02
1.40000E-01,1.00000E-01,9.95369E-02,9.83279E-02,9.95430E-02,9.26122E-02
1.50000E-01,1.00000E-01,9.95585E-02,9.85584E-02,1.00672E-01,9.06020E-02
1.60000E-01,1.00000E-01,9.96030E-02,9.94948E-02,9.99587E-02,8.49092E-02
1.70000E-01,1.00000E-01,9.96897E-02,9.90884E-02,9.76570E-02,8.62928E-02
1.80000E-01,1.00000E-01,9.96870E-02,9.89541E-02,9.94864E-02,7.80263E-02
1.90000E-01,1.00000E-01,9.98295E-02,9.88787E-02,9.91589E-02,7.85145E-02
2.00000E-01,1.00000E-01,9.97172E-02,9.91930E-02,9.86404E-02,8.13996E-02
2.10000E-01,1.00000E-01,9.98083E-02,9.91306E-02,9.82622E-02,8.24574E-02
2.20000E-01,1.00000E-01,9.98028E-02,9.93759E-02,9.79536E-02,8.83215E-02
2.30000E-01,1.00000E-01,9.98090E-02,9.94608E-02,9.78242E-02,8.52409E-02
2.40000E-01,1.00000E-01,9.98127E-02,9.96211E-02,9.92674E-02,8.64997E-02
2.50000E-01,1.00000E-01,9.98697E-02,9.97476E-02,9.99320E-02,8.43916E-02
2.60000E-01,1.00000E-01,9.99407E-02,9.96871E-02,1.00358E-01,8.09313E-02
2.70000E-01,1.00000E-01,9.99679E-02,1.00323E-01,9.89456E-02,7.88473E-02
2.80000E-01,1.00000E-01,1.00008E-01,1.00776E-01,9.90886E-02,7.64419E-02
2.90000E-01,1.00000E-01,1.00090E-01,1.01146E-01,9.97831E-02,7.79420E-02
3.00000E-01,1.00000E-01,1.00120E-01,1.00555E-01,9.94385E-02,7.57596E-02
3.10000E-01,1.00000E-01,1.00212E-01,1.01678E-01,1.00097E-01,7.76550E-02
3.20000E-01,1.00000E-01,1.00183E-01,1.02397E-01,1.01056E-01,7.74486E-02
3.30000E-01,1.00000E-01,1.00201E-01,1.02473E-01,9.98474E-02,7.85625E-02
3.40000E-01,1.00000E-01,1.00304E-01,1.03370E-01,1.00938E-01,7.74817E-02
3.50000E-01,1.00000E-01,1.00441E-01,1.03781E-01,1.00272E-01,8.21034E-02
3.60000E-01,1.00000E-01,1.00611E-01,1.03983E-01,1.00226E-01,8.20974E-02
3.70000E-01,1.00000E-01,1.00644E-01,1.04257E-01,1.00674E-01,8.31816E-02
3.80000E-01,1.00000E-01,1.00557E-01,1.04473E-01,1.00241E-01,7.87004E-02
3.90000E-01,1.00000E-01,1.00469E-01,1.04926E-01,9.92689E-02,7.93132E-02
4.00000E-01,1.00000E-01,1.00209E-01,1.05561E-01,9.97522E-02,7.33100E-02
4.10000E-01,1.00000E-01,1.00279E-01,1.05987E-01,9.91335E-02,7.52500E-02
4.20000E-01,1.00000E-01,1.00163E-01,1.05634E-01,9.88345E-02,7.44501E-02
4.30000E-01,1.00000E-01,1.00087E-01,1.05598E-01,9.87369E-02,7.25840E-02
4.40000E-01,1.00000E-01,1.00303E-01,1.05033E-01,9.94579E-02,7.16687E-02
4.50000E-01,1.00000E-01,1.00268E-01,1.05906E-01,9.95477E-02,7.69335E-02
4.60000E-01,1.00000E-01,1.00228E-01,1.06048E-01,1.00320E-01,7.45865E-02
4.70000E-01,1.00000E-01,1.00255E-01,1.05527E-01,1.01902E-01,7.86266E-02
4.80000E-01,1.00000E-01,1.00305E-01,1.04863E-01,1.04302E-01,7.86346E-02
4.90000E-01,1.00000E-01,1.00250E-01,1.04539E-01,1.04061E-01,8.13242E-02
5.00000E-01,1.00000E-01,1.00268E-01,1.04656E-01,1.03777E-01,8.24491E-02
5.10000E-01,1.00000E-01,1.00345E-01,1.04367E-01,1.04426E-01,7.76912E-02
5.20000E-01,1.00000E-01,1.00379E-01,1.04592E-01,1.04746E-01,7.57800E-02
5.30000E-01,1.00000E-01,1.00217E-01,1.04847E-01,1.04214E-01,7.01666E-02
5.40000E-01,1.00000E-01,1.00197E-01,1.04491E-01,1.03075E-01,7.34879E-02
5.50000E-01,1.00000E-01,1.00207E-01,1.05393E-01,1.01446E-01,7.58319E-02
5.60000E-01,1.00000E-01,1.00345E-01,1.05522E-01,1.00200E-01,7.90419E-02
5.70000E-01,1.00000E-01,1.00266E-01,1.05410E-01,9.76089E-02,8.21635E-02
5.80000E-01,1.00000E-01,1.00165E-01,1.05435E-01,9.72092E-02,8.14485E-02
5.90000E-01,1.00000E-01,1.00339E-01,1.05564E-01,9.74758E-02,8.37813E-02
6.00000E-01,1.00000E-01,1.00377E-01,1.05606E-01,9.59605E-02,8.48282E-02
