steady state,ts 2 slope,ts 2 std,ts 7 slope,ts 7 std,ts 3 slope,ts 3 std,ts 0 slope,ts 0 std,ts 1 slope,ts 1 std,ts 4 slope,ts 4 std,ts 5 slope,ts 5 std,ts 6 slope,ts 6 std,ts 8 slope,ts 8 std,ts 9 slope,ts 9 std,ts 10 slope,ts 10 std,ts 11 slope,ts 11 std,ts 12 slope,ts 12 std,ts 14 slope,ts 14 std,ts 13 slope,ts 13 std,ts 15 slope,ts 15 std,ts 16 slope,ts 16 std,ts 17 slope,ts 17 std,ts 18 slope,ts 18 std,ts 19 slope,ts 19 std
1.000E-03,-1.827E+00,6.342E-03,-1.827E+00,6.342E-03,-1.827E+00,6.342E-03,-1.827E+00,6.342E-03,-1.827E+00,6.342E-03,-1.827E+00,6.342E-03,-1.827E+00,6.342E-03,-1.827E+00,6.342E-03,-1.791E+00,6.434E-03,-1.791E+00,6.434E-03,-1.789E+00,6.562E-03,-1.789E+00,6.562E-03,-1.832E+00,6.456E-03,-1.764E+00,6.560E-03,-1.764E+00,6.560E-03,-1.764E+00,6.560E-03,-1.827E+00,5.818E-03,-1.827E+00,5.818E-03,-1.801E+00,6.462E-03,-1.796E+00,6.528E-03
1.023E-03,-1.796E+00,6.501E-03,-1.796E+00,6.501E-03,-1.796E+00,6.501E-03,-1.796E+00,6.501E-03,-1.796E+00,6.501E-03,-1.796E+00,6.501E-03,-1.796E+00,6.501E-03,-1.796E+00,6.501E-03,-1.820E+00,6.559E-03,-1.820E+00,6.559E-03,-1.812E+00,6.347E-03,-1.812E+00,6.347E-03,-1.837E+00,6.578E-03,-1.815E+00,6.510E-03,-1.815E+00,6.510E-03,-1.815E+00,6.510E-03,-1.800E+00,6.571E-03,-1.800E+00,6.571E-03,-1.825E+00,5.005E-03,-1.806E+00,6.368E-03
1.047E-03,-1.834E+00,6.381E-03,-1.834E+00,6.381E-03,-1.834E+00,6.381E-03,-1.834E+00,6.381E-03,-1.834E+00,6.381E-03,-1.834E+00,6.381E-03,-1.834E+00,6.381E-03,-1.834E+00,6.381E-03,-1.776E+00,3.469E-03,-1.776E+00,3.469E-03,-1.816E+00,6.539E-03,-1.816E+00,6.539E-03,-1.809E+00,4.394E-03,-1.753E+00,4.645E-03,-1.753E+00,4.645E-03,-1.753E+00,4.645E-03,-1.803E+00,6.565E-03,-1.803E+00,6.565E-03,-1.806E+00,6.307E-03,-1.804E+00,6.414E-03
1.072E-03,-1.808E+00,6.385E-03,-1.808E+00,6.385E-03,-1.808E+00,6.385E-03,-1.808E+00,6.385E-03,-1.808E+00,6.385E-03,-1.808E+00,6.385E-03,-1.808E+00,6.385E-03,-1.808E+00,6.385E-03,-1.796E+00,5.701E-03,-1.796E+00,5.701E-03,-1.783E+00,6.405E-03,-1.783E+00,6.405E-03,-1.779E+00,6.467E-03,-1.801E+00,6.190E-03,-1.801E+00,6.190E-03,-1.801E+00,6.190E-03,-1.785E+00,6.553E-03,-1.785E+00,6.553E-03,-1.818E+00,6.452E-03,-1.788E+00,4.455E-03
1.097E-03,-1.785E+00,6.607E-03,-1.785E+00,6.607E-03,-1.785E+00,6.607E-03,-1.785E+00,6.607E-03,-1.785E+00,6.607E-03,-1.785E+00,6.607E-03,-1.785E+00,6.607E-03,-1.785E+00,6.607E-03,-1.803E+00,6.555E-03,-1.803E+00,6.555E-03,-1.818E+00,6.055E-03,-1.818E+00,6.055E-03,-1.815E+00,6.195E-03,-1.788E+00,6.441E-03,-1.788E+00,6.441E-03,-1.788E+00,6.441E-03,-1.797E+00,6.541E-03,-1.797E+00,6.541E-03,-1.797E+00,5.593E-03,-1.803E+00,6.594E-03
1.122E-03,-1.807E+00,4.122E-03,-1.807E+00,4.122E-03,-1.807E+00,4.122E-03,-1.807E+00,4.122E-03,-1.807E+00,4.122E-03,-1.807E+00,4.122E-03,-1.807E+00,4.122E-03,-1.807E+00,4.122E-03,-1.806E+00,6.512E-03,-1.806E+00,6.512E-03,-1.808E+00,4.239E-03,-1.808E+00,4.239E-03,-1.805E+00,6.528E-03,-1.835E+00,3.141E-03,-1.835E+00,3.141E-03,-1.835E+00,3.141E-03,-1.787E+00,6.515E-03,-1.787E+00,6.515E-03,-1.801E+00,6.557E-03,-1.800E+00,6.533E-03
1.148E-03,-1.783E+00,4.399E-03,-1.783E+00,4.399E-03,-1.783E+00,4.399E-03,-1.783E+00,4.399E-03,-1.783E+00,4.399E-03,-1.783E+00,4.399E-03,-1.783E+00,4.399E-03,-1.783E+00,4.399E-03,-1.776E+00,6.030E-03,-1.776E+00,6.030E-03,-1.797E+00,6.118E-03,-1.797E+00,6.118E-03,-1.797E+00,6.378E-03,-1.807E+00,6.488E-03,-1.807E+00,6.488E-03,-1.807E+00,6.488E-03,-1.801E+00,6.312E-03,-1.801E+00,6.312E-03,-1.816E+00,4.549E-03,-1.796E+00,5.876E-03
1.175E-03,-1.809E+00,5.886E-03,-1.809E+00,5.886E-03,-1.809E+00,5.886E-03,-1.809E+00,5.886E-03,-1.809E+00,5.886E-03,-1.809E+00,5.886E-03,-1.809E+00,5.886E-03,-1.809E+00,5.886E-03,-1.805E+00,3.360E-03,-1.805E+00,3.360E-03,-1.806E+00,6.395E-03,-1.806E+00,6.395E-03,-1.802E+00,6.362E-03,-1.802E+00,5.941E-03,-1.802E+00,5.941E-03,-1.802E+00,5.941E-03,-1.784E+00,6.578E-03,-1.784E+00,6.578E-03,-1.804E+00,6.575E-03,-1.786E+00,4.555E-03
1.203E-03,-1.812E+00,6.539E-03,-1.812E+00,6.539E-03,-1.812E+00,6.539E-03,-1.812E+00,6.539E-03,-1.812E+00,6.539E-03,-1.812E+00,6.539E-03,-1.812E+00,6.539E-03,-1.812E+00,6.539E-03,-1.805E+00,6.414E-03,-1.805E+00,6.414E-03,-1.835E+00,5.158E-03,-1.835E+00,5.158E-03,-1.815E+00,6.352E-03,-1.796E+00,6.511E-03,-1.796E+00,6.511E-03,-1.796E+00,6.511E-03,-1.807E+00,6.511E-03,-1.807E+00,6.511E-03,-1.826E+00,6.496E-03,-1.799E+00,4.069E-03
1.231E-03,-1.769E+00,5.269E-03,-1.769E+00,5.269E-03,-1.769E+00,5.269E-03,-1.769E+00,5.269E-03,-1.769E+00,5.269E-03,-1.769E+00,5.269E-03,-1.769E+00,5.269E-03,-1.769E+00,5.269E-03,-1.785E+00,6.356E-03,-1.785E+00,6.356E-03,-1.814E+00,6.496E-03,-1.814E+00,6.496E-03,-1.785E+00,6.550E-03,-1.811E+00,5.098E-03,-1.811E+00,5.098E-03,-1.811E+00,5.098E-03,-1.817E+00,5.374E-03,-1.817E+00,5.374E-03,-1.807E+00,6.568E-03,-1.795E+00,6.558E-03
