steady state,ts 2 slope,ts 2 std,ts 7 slope,ts 7 std,ts 3 slope,ts 3 std,ts 1 slope,ts 1 std,ts 0 slope,ts 0 std,ts 4 slope,ts 4 std,ts 5 slope,ts 5 std,ts 6 slope,ts 6 std,ts 8 slope,ts 8 std,ts 9 slope,ts 9 std,ts 10 slope,ts 10 std,ts 11 slope,ts 11 std,ts 12 slope,ts 12 std,ts 14 slope,ts 14 std,ts 13 slope,ts 13 std,ts 15 slope,ts 15 std,ts 16 slope,ts 16 std,ts 17 slope,ts 17 std,ts 18 slope,ts 18 std,ts 19 slope,ts 19 std
1.000E-03,-1.379E+00,7.524E-02,-1.379E+00,7.524E-02,-1.379E+00,7.524E-02,-1.379E+00,7.524E-02,-1.379E+00,7.524E-02,-1.379E+00,7.524E-02,-1.379E+00,7.524E-02,-1.379E+00,7.524E-02,-1.754E+00,8.403E-02,-1.754E+00,8.403E-02,-1.711E+00,8.171E-02,-1.711E+00,8.171E-02,-1.700E+00,7.930E-02,-1.818E+00,7.465E-02,-1.818E+00,7.465E-02,-1.818E+00,7.465E-02,-1.753E+00,7.398E-02,-1.753E+00,7.398E-02,-1.878E+00,7.779E-02,-1.738E+00,7.950E-02
1.023E-03,-2.010E+00,8.073E-02,-2.010E+00,8.073E-02,-2.010E+00,8.073E-02,-2.010E+00,8.073E-02,-2.010E+00,8.073E-02,-2.010E+00,8.073E-02,-2.010E+00,8.073E-02,-2.010E+00,8.073E-02,-1.676E+00,7.271E-02,-1.676E+00,7.271E-02,-1.721E+00,7.823E-02,-1.721E+00,7.823E-02,-1.771E+00,8.631E-02,-1.813E+00,8.282E-02,-1.813E+00,8.282E-02,-1.813E+00,8.282E-02,-1.669E+00,8.546E-02,-1.669E+00,8.546E-02,-2.186E+00,5.311E-02,-1.847E+00,7.711E-02
1.047E-03,-1.568E+00,7.154E-02,-1.568E+00,7.154E-02,-1.568E+00,7.154E-02,-1.568E+00,7.154E-02,-1.568E+00,7.154E-02,-1.568E+00,7.154E-02,-1.568E+00,7.154E-02,-1.568E+00,7.154E-02,-1.560E+00,3.315E-02,-1.560E+00,3.315E-02,-1.567E+00,9.190E-02,-1.567E+00,9.190E-02,-1.597E+00,4.769E-02,-1.444E+00,5.278E-02,-1.444E+00,5.278E-02,-1.444E+00,5.278E-02,-1.676E+00,8.758E-02,-1.676E+00,8.758E-02,-1.489E+00,7.478E-02,-1.871E+00,7.454E-02
1.072E-03,-1.441E+00,8.467E-02,-1.441E+00,8.467E-02,-1.441E+00,8.467E-02,-1.441E+00,8.467E-02,-1.441E+00,8.467E-02,-1.441E+00,8.467E-02,-1.441E+00,8.467E-02,-1.441E+00,8.467E-02,-1.533E+00,7.579E-02,-1.533E+00,7.579E-02,-1.620E+00,8.783E-02,-1.620E+00,8.783E-02,-1.571E+00,7.727E-02,-1.771E+00,8.522E-02,-1.771E+00,8.522E-02,-1.771E+00,8.522E-02,-1.835E+00,8.429E-02,-1.835E+00,8.429E-02,-1.805E+00,7.777E-02,-1.519E+00,5.250E-02
1.097E-03,-1.517E+00,8.224E-02,-1.517E+00,8.224E-02,-1.517E+00,8.224E-02,-1.517E+00,8.224E-02,-1.517E+00,8.224E-02,-1.517E+00,8.224E-02,-1.517E+00,8.224E-02,-1.517E+00,8.224E-02,-1.943E+00,8.034E-02,-1.943E+00,8.034E-02,-1.676E+00,6.984E-02,-1.676E+00,6.984E-02,-1.779E+00,7.319E-02,-1.760E+00,8.784E-02,-1.760E+00,8.784E-02,-1.760E+00,8.784E-02,-1.666E+00,7.895E-02,-1.666E+00,7.895E-02,-1.592E+00,6.465E-02,-1.688E+00,7.837E-02
1.122E-03,-1.473E+00,5.439E-02,-1.473E+00,5.439E-02,-1.473E+00,5.439E-02,-1.473E+00,5.439E-02,-1.473E+00,5.439E-02,-1.473E+00,5.439E-02,-1.473E+00,5.439E-02,-1.473E+00,5.439E-02,-1.517E+00,7.824E-02,-1.517E+00,7.824E-02,-1.738E+00,5.626E-02,-1.738E+00,5.626E-02,-1.698E+00,7.871E-02,-1.543E+00,2.640E-02,-1.543E+00,2.640E-02,-1.543E+00,2.640E-02,-1.831E+00,7.738E-02,-1.831E+00,7.738E-02,-1.447E+00,7.839E-02,-1.576E+00,8.754E-02
1.148E-03,-1.523E+00,4.739E-02,-1.523E+00,4.739E-02,-1.523E+00,4.739E-02,-1.523E+00,4.739E-02,-1.523E+00,4.739E-02,-1.523E+00,4.739E-02,-1.523E+00,4.739E-02,-1.523E+00,4.739E-02,-1.489E+00,6.848E-02,-1.489E+00,6.848E-02,-2.089E+00,7.796E-02,-2.089E+00,7.796E-02,-1.741E+00,6.441E-02,-1.681E+00,9.746E-02,-1.681E+00,9.746E-02,-1.681E+00,9.746E-02,-1.983E+00,8.081E-02,-1.983E+00,8.081E-02,-1.659E+00,5.248E-02,-2.035E+00,6.732E-02
1.175E-03,-1.448E+00,7.485E-02,-1.448E+00,7.485E-02,-1.448E+00,7.485E-02,-1.448E+00,7.485E-02,-1.448E+00,7.485E-02,-1.448E+00,7.485E-02,-1.448E+00,7.485E-02,-1.448E+00,7.485E-02,-1.421E+00,3.167E-02,-1.421E+00,3.167E-02,-1.646E+00,7.547E-02,-1.646E+00,7.547E-02,-1.547E+00,7.822E-02,-1.848E+00,6.620E-02,-1.848E+00,6.620E-02,-1.848E+00,6.620E-02,-1.508E+00,8.578E-02,-1.508E+00,8.578E-02,-1.574E+00,7.586E-02,-1.738E+00,5.133E-02
1.203E-03,-1.773E+00,7.356E-02,-1.773E+00,7.356E-02,-1.773E+00,7.356E-02,-1.773E+00,7.356E-02,-1.773E+00,7.356E-02,-1.773E+00,7.356E-02,-1.773E+00,7.356E-02,-1.773E+00,7.356E-02,-1.557E+00,7.262E-02,-1.557E+00,7.262E-02,-1.922E+00,6.740E-02,-1.922E+00,6.740E-02,-1.696E+00,7.640E-02,-1.599E+00,8.401E-02,-1.599E+00,8.401E-02,-1.599E+00,8.401E-02,-1.636E+00,7.924E-02,-1.636E+00,7.924E-02,-1.802E+00,7.443E-02,-1.525E+00,4.874E-02
1.231E-03,-1.373E+00,6.591E-02,-1.373E+00,6.591E-02,-1.373E+00,6.591E-02,-1.373E+00,6.591E-02,-1.373E+00,6.591E-02,-1.373E+00,6.591E-02,-1.373E+00,6.591E-02,-1.373E+00,6.591E-02,-1.882E+00,7.606E-02,-1.882E+00,7.606E-02,-1.671E+00,8.232E-02,-1.671E+00,8.232E-02,-1.724E+00,7.812E-02,-1.736E+00,4.681E-02,-1.736E+00,4.681E-02,-1.736E+00,4.681E-02,-1.796E+00,6.453E-02,-1.796E+00,6.453E-02,-1.565E+00,8.229E-02,-1.617E+00,7.451E-02
