,steady state,ts 1 slope,ts 1 std,ts 2 slope,ts 2 std,ts 3 slope,ts 3 std,ts 4 slope,ts 4 std,ts 5 slope,ts 5 std,ts 6 slope,ts 6 std,ts 7 slope,ts 7 std,ts 8 slope,ts 8 std,ts 9 slope,ts 9 std,ts 10 slope,ts 10 std,ts 11 slope,ts 11 std,ts 12 slope,ts 12 std,ts 13 slope,ts 13 std,ts 14 slope,ts 14 std,ts 15 slope,ts 15 std,ts 16 slope,ts 16 std,ts 17 slope,ts 17 std,ts 18 slope,ts 18 std,ts 19 slope,ts 19 std,ts 20 slope,ts 20 std
species_1,0.001,-1.8523331200881141,0.002329305393745835,-1.770805218126126,0.002190389945375897,-1.7769827835699117,0.0019598971917677063,-1.7903203094964566,0.002455699286466369,-1.7861477318191805,0.002163414334579514,-1.8619979362191486,0.002477336613331317,-1.779298404435549,0.0021631604987119345,-1.7926205156227135,0.0021654300082866213,-1.808727142951188,0.0021733412352906143,-1.7829020425798443,0.002259465774190729,-1.7035017876828684,0.002003676135107383,-1.8007244973668295,0.002100756835616558,-1.7860641304280964,0.0022627354424150713,-1.7865706781665844,0.0021190587995335783,-1.6923937251331125,0.002162544111811502,-1.7685799635174264,0.0022023340048687207,-1.7615470558775148,0.002156621590169561,-1.7530749061595954,0.001987385004439741,-1.7447758231861037,0.0020605608784041774,-1.84479566283996,0.0022187580598599607
species_2,0.0010803315190764677,-1.7426794778650476,0.0022637887330776646,-1.7761821454391384,0.0024030462116536055,-1.7166223733306774,0.0020225998942197065,-1.802107135519097,0.0020915017650015985,-1.7762740747339827,0.0019328737099561103,-1.7804604463258147,0.002157586602903772,-1.8000766297081696,0.002528004166403496,-1.7952366776310886,0.001978717016115934,-1.7258135039210896,0.0021610921627376227,-1.781243404105083,0.0020546234276477234,-1.8472548450707091,0.0021206443123035247,-1.7951724072065662,0.0020304918191302013,-1.6922175572823432,0.0021894574146352408,-1.7477133804236997,0.0020384906535821337,-1.716182930912253,0.001845257179583581,-1.6965073463327744,0.002064824202551855,-1.693612676718051,0.002076062122132833,-1.7903801229704246,0.0019650347743177875,-1.734081009604116,0.0020319253232659986,-1.8079656182026524,0.001909114180591397
species_3,0.0011671161911100683,-1.77624283659648,0.0019974460787107926,-1.8035609461089832,0.0022197475820299405,-1.7589365720160635,0.0020576560934289665,-1.8559128837393115,0.00202710763422487,-1.7343405817066577,0.002020548123165663,-1.7674332858377257,0.002344805389981535,-1.8234500116490895,0.002187232243873456,-1.804112739605216,0.0022256452104438278,-1.7487401140894439,0.0024136249328815733,-1.7517234128297494,0.0017444235117203724,-1.8086278491418308,0.0021909336106222506,-1.7290377486133297,0.0021097106856315033,-1.789768787383883,0.0020947544534095897,-1.7589275957143156,0.0020970452171701058,-1.8542622151557577,0.0020671561252302386,-1.7592464599454214,0.0021541901862015956,-1.737138554846466,0.0023479919025978374,-1.8064815322101304,0.0019545323340503565,-1.7455916222555519,0.0020079277694866828,-1.7632404279312726,0.0021081459334362264
species_4,0.0012608724076806808,-1.791442527097584,0.0020846741280474194,-1.6757303131297223,0.0020494696272716157,-1.757427396035401,0.0022421395567609713,-1.8165609116976285,0.0022246246471165415,-1.8139754465610767,0.0023643752067654014,-1.7626986774906985,0.0018380619792551587,-1.8059606882714605,0.0021504864938652088,-1.6790124266119555,0.0021881370623623333,-1.7287086170150574,0.002225035389982813,-1.7912709937294162,0.0021662043345692496,-1.7901933371573542,0.002169161165915847,-1.7716224826826006,0.0020696730828037566,-1.7399135162437798,0.002244263509475229,-1.7645017548418516,0.0019174774527791452,-1.6311350214769242,0.002337030507713873,-1.7121116515954842,0.002290005161815207,-1.7789767115370438,0.002368247766125541,-1.7287626599384334,0.002223923281695252,-1.6963794880449197,0.0019671120623594132,-1.7879871214505783,0.0023617102122638314
species_5,0.0013621602035512718,-1.8137155137752432,0.002018086687410019,-1.704347401761268,0.0022061232023386427,-1.7966608954098546,0.002059206252766183,-1.6912318613981572,0.0023003610079526788,-1.7438980266257689,0.0021162759918824897,-1.7028960350711904,0.002138852562378902,-1.8670409843833728,0.0022153498097232317,-1.8364972493417993,0.0020680275990858166,-1.865323558109255,0.002038739375555039,-1.7068924734515145,0.0021290246326348293,-1.7213222839082187,0.002236702473512424,-1.8038246447090653,0.002258616747641102,-1.6685802621730066,0.002106501016014086,-1.7664459523510467,0.002055846133326304,-1.7748541134541178,0.002290568393724122,-1.8115351931888393,0.001940077874129222,-1.8018153506305918,0.001951489515056044,-1.7454680078066416,0.0021940715309116386,-1.6986838995696418,0.0020175320895780002,-1.8168746234498265,0.002409516790990767
species_6,0.0014715846019280557,-1.7481147550444422,0.0021629736280584775,-1.7655521588905811,0.002254318118333104,-1.7047968238826736,0.002213629964697679,-1.7995342059372317,0.0023043921950429347,-1.8071336600702939,0.0021626746362705504,-1.8469850224265434,0.002303328094605113,-1.7838825932397135,0.002302713766906978,-1.78161808235984,0.0020909938453411016,-1.8196640589254007,0.0019536038281421906,-1.7606910696728422,0.002112343853084739,-1.7992186338284173,0.0021324851776167854,-1.732393078635196,0.0020109243508401936,-1.7914373783488804,0.0021949255494558392,-1.6776756722567532,0.0021699805101642717,-1.7892464734940043,0.002380505838882246,-1.7744357674653097,0.0021104587998735077,-1.7287341674930008,0.0019009149178569995,-1.7461899576171507,0.0018406956180289555,-1.7644239320469126,0.0022258558843307875,-1.845756560529056,0.002243046687297816
species_7,0.0015897992284504754,-1.7238438629043678,0.002308165810280549,-1.7844816524331597,0.002119669981157567,-1.844739327145811,0.0022018866091348455,-1.8073550253413968,0.00210540233573505,-1.7172071720995605,0.0020530762747806466,-1.7499909782677747,0.0020951853197437313,-1.7787443480027387,0.0021239691002414686,-1.8110723963930597,0.002007348590433867,-1.8253873677529504,0.002260581814950066,-1.7935995016244013,0.002418107201845121,-1.7725362697786364,0.002138936301057247,-1.8248981349433584,0.002377184283278052,-1.7890699027250911,0.002197898046666628,-1.8775846735392812,0.002090997132433324,-1.7821344903292848,0.0021891066693747107,-1.7347313284042785,0.002408243892278592,-1.6854958664309838,0.002164412451990448,-1.7071493879328246,0.0024307485560767657,-1.8197149876019025,0.0020644555388136658,-1.7605823662405118,0.0022674245692909994
species_8,0.0017175102154984984,-1.699773687199747,0.0023988603679308646,-1.8212025521844633,0.0021014594116648866,-1.735309640537964,0.0022235560430417405,-1.8716707782670774,0.002189235286643401,-1.7184264185690705,0.001963943737079345,-1.7839147855750803,0.002256104540697474,-1.7414072852076459,0.002049133075013758,-1.6570695426366906,0.0020660165862742873,-1.7311224587281173,0.0024549681756724393,-1.7754847998646348,0.002008504606209457,-1.7150071095049924,0.0020766678679647282,-1.7674122975269109,0.0021178042363256947,-1.6950689597051998,0.0022766348318868598,-1.773291044260091,0.0019838276966092044,-1.7992205436686155,0.0021233863874416626,-1.8431655068378598,0.0021163026797233263,-1.7378656807945896,0.0022016466216400925,-1.7741646592561073,0.0019197828063343854,-1.810332832750912,0.0021726385746021195,-1.7392419925023908,0.0020284593908748913
species_9,0.001855480420138844,-1.7743497993524069,0.002013630423117325,-1.7482978203319295,0.002057658545769956,-1.7931869020918572,0.0023048028387224868,-1.7422715838707552,0.002018093114634936,-1.747715154021129,0.002238248268993135,-1.72393053090968,0.0020663651405078225,-1.7012376277863461,0.0020309923972050476,-1.8013514268728703,0.002186064008599395,-1.7290570541999273,0.002195139563979896,-1.7005856692965062,0.002215531877396394,-1.805596361275054,0.0018991215745653724,-1.7466820620035781,0.0020905084821221153,-1.7697870447421034,0.0022254711243742857,-1.8322053508212952,0.0025095310178792555,-1.6777518493426085,0.0022341403978712623,-1.8075430522092464,0.001979514644019728,-1.7105586948660099,0.0020517212114617455,-1.7730408926458103,0.001971326810355815,-1.7632340505284856,0.002049763846150552,-1.811339869700168,0.0022585334873331878
species_10,0.0020045339809052396,-1.788599200769097,0.002198718641189786,-1.708307735062873,0.001975663424455555,-1.7553699266409561,0.002029770818488038,-1.7850916002678017,0.002179045849216307,-1.7314122976117514,0.002167934662181359,-1.7158594311198376,0.001966847709792017,-1.7714041280805457,0.002064000180415272,-1.7876779373710197,0.002055698483112093,-1.792731580355108,0.0022550653205006,-1.7899603742973575,0.002132090354024752,-1.7771737873810594,0.0020726968524671144,-1.757805697043503,0.002250632638820405,-1.7282805150455955,0.002118303532327207,-1.8098352040377501,0.0019630549858762653,-1.817235759915056,0.002348425444878371,-1.8112913257478185,0.0022911182556487287,-1.8164134473701117,0.002108395520508111,-1.7793854524151058,0.002351746077923405,-1.6882974940106796,0.002186508047828971,-1.8482344115193128,0.002068689057152137
