time,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_50,species_51,species_52,species_53,species_54,species_55,species_56,species_57,species_58,species_59,species_60,species_61,species_62,species_63,species_64,species_65,species_66,species_67,species_68,species_69,species_70,species_71,species_72,species_73,species_74,species_75,species_76,species_77,species_78,species_79,species_80,species_81,species_82,species_83,species_84,species_85,species_86,species_87,species_88,species_89,species_90,species_91,species_92,species_93,species_94,species_95,species_96,species_97,species_98,species_99,species_100,species_101,species_102,species_103,species_104,species_105,species_106,species_107,species_108,species_109,species_110,species_111,species_112,species_113,species_114,species_115,species_116,species_117,species_118,species_119,species_120,species_121,species_122,species_123,species_124,species_125,species_126,species_127,species_128,species_129,species_130,species_131,species_132,species_133,species_134,species_135,species_136,species_137,species_138,species_139,species_140,species_141,species_142,species_143,species_144,species_145,species_146,species_147,species_148,species_149,species_150
0.000E+00,1.009E-03,1.260E-03,1.112E-03,1.188E-03,1.368E-03,1.745E-03,1.453E-03,1.663E-03,1.735E-03,1.878E-03,2.450E-03,2.733E-03,2.623E-03,2.700E-03,2.872E-03,3.414E-03,4.069E-03,3.584E-03,4.563E-03,4.026E-03,4.058E-03,4.704E-03,5.628E-03,5.803E-03,6.593E-03,5.848E-03,6.901E-03,6.808E-03,8.972E-03,1.043E-02,1.048E-02,1.047E-02,1.004E-02,1.182E-02,1.334E-02,1.285E-02,1.342E-02,1.823E-02,1.867E-02,1.808E-02,2.133E-02,2.260E-02,2.657E-02,2.878E-02,3.188E-02,2.588E-02,3.617E-02,4.207E-02,4.620E-02,4.370E-02,4.519E-02,5.904E-02,5.083E-02,5.273E-02,6.720E-02,6.704E-02,6.366E-02,7.147E-02,8.260E-02,9.815E-02,9.949E-02,1.308E-01,1.203E-01,1.225E-01,1.387E-01,1.458E-01,1.461E-01,1.646E-01,1.681E-01,2.302E-01,2.524E-01,1.906E-01,2.641E-01,2.487E-01,2.808E-01,3.627E-01,3.876E-01,3.800E-01,4.258E-01,5.358E-01,5.160E-01,5.943E-01,6.097E-01,6.026E-01,7.474E-01,6.697E-01,8.176E-01,9.147E-01,8.017E-01,8.543E-01,1.041E+00,1.176E+00,1.353E+00,1.253E+00,1.355E+00,1.171E+00,1.577E+00,2.143E+00,2.025E+00,2.268E+00,2.438E+00,2.536E+00,2.784E+00,2.950E+00,2.953E+00,3.650E+00,3.981E+00,3.696E+00,3.922E+00,4.789E+00,4.428E+00,5.238E+00,5.531E+00,6.576E+00,6.549E+00,6.444E+00,8.287E+00,8.192E+00,1.030E+01,8.375E+00,1.004E+01,1.190E+01,1.292E+01,1.275E+01,1.444E+01,1.352E+01,1.692E+01,2.111E+01,2.006E+01,1.977E+01,2.532E+01,2.450E+01,2.744E+01,2.873E+01,2.888E+01,3.761E+01,3.411E+01,4.091E+01,3.861E+01,4.684E+01,5.062E+01,4.830E+01,6.518E+01,5.608E+01,6.405E+01,6.439E+01,8.096E+01,1.006E+02,8.881E+01,1.065E+02
5.00000E-02,2.86185E-02,0.00000E+00,6.57650E-03,3.13239E-02,1.54690E-02,6.11478E-03,3.09948E-02,0.00000E+00,0.00000E+00,6.57378E-03,2.76368E-02,1.46173E-02,0.00000E+00,0.00000E+00,2.40044E-02,3.06398E-02,0.00000E+00,3.66234E-04,1.34088E-02,0.00000E+00,0.00000E+00,0.00000E+00,2.17045E-02,6.36259E-02,1.52690E-02,0.00000E+00,2.47340E-02,0.00000E+00,2.84083E-03,0.00000E+00,1.54205E-02,6.48674E-03,8.53883E-03,0.00000E+00,2.87601E-02,0.00000E+00,0.00000E+00,0.00000E+00,1.58257E-02,5.55531E-02,3.42441E-02,3.78273E-02,1.49868E-02,6.27560E-02,1.76083E-02,1.98501E-02,0.00000E+00,2.99065E-02,9.42483E-02,3.93553E-02,7.45072E-02,1.98306E-04,6.61611E-02,6.46727E-02,7.53860E-02,9.04309E-02,9.00624E-02,6.31965E-02,8.95178E-02,1.14998E-01,1.28125E-01,1.73271E-01,1.36696E-01,1.07334E-01,1.47738E-01,1.66020E-01,1.40490E-01,1.75331E-01,1.63266E-01,2.13495E-01,2.65114E-01,2.07622E-01,2.75158E-01,2.30733E-01,3.30748E-01,3.50834E-01,3.68718E-01,3.76375E-01,4.06050E-01,5.42531E-01,5.54543E-01,5.94300E-01,6.26286E-01,5.70581E-01,7.60949E-01,6.46821E-01,7.95206E-01,9.10791E-01,7.90071E-01,8.68370E-01,1.05832E+00,1.18103E+00,1.35833E+00,1.27863E+00,1.37273E+00,1.20641E+00,1.59282E+00,2.08210E+00,2.01617E+00,2.24584E+00,2.42708E+00,2.51923E+00,2.77170E+00,2.94180E+00,2.99109E+00,3.60516E+00,3.91684E+00,3.72717E+00,3.94756E+00,4.73190E+00,4.54711E+00,5.26282E+00,5.59104E+00,6.45727E+00,6.58141E+00,6.63345E+00,8.12338E+00,8.29100E+00,9.84890E+00,8.92738E+00,1.02685E+01,1.16955E+01,1.26671E+01,1.30716E+01,1.44435E+01,1.46441E+01,1.68963E+01,1.91879E+01,1.98375E+01,2.08118E+01,2.36192E+01,2.47768E+01,2.70064E+01,2.89744E+01,3.09657E+01,3.43509E+01,3.63625E+01,3.96923E+01,4.24477E+01,4.62173E+01,4.99104E+01,5.37435E+01,5.82906E+01,6.28508E+01,6.79335E+01,7.33830E+01,7.93244E+01,8.56643E+01,9.25278E+01,9.99863E+01
1.00000E-01,2.72762E-02,1.46348E-02,1.93647E-03,1.23462E-02,1.91755E-02,4.19355E-03,3.09383E-02,3.58207E-03,0.00000E+00,0.00000E+00,1.38525E-02,1.24578E-03,0.00000E+00,0.00000E+00,1.51655E-02,6.53332E-03,0.00000E+00,3.56457E-02,3.95216E-02,1.91246E-02,3.11329E-02,1.36613E-02,0.00000E+00,4.12970E-02,3.70754E-02,0.00000E+00,2.61639E-02,2.80055E-02,2.43252E-03,1.18032E-02,2.89159E-02,3.13405E-02,8.46257E-03,1.14311E-02,5.50711E-02,7.39378E-03,4.29840E-02,2.99370E-03,0.00000E+00,8.27295E-02,1.98456E-02,4.80516E-02,1.76020E-02,4.52913E-02,9.97884E-03,0.00000E+00,1.69920E-03,3.96134E-02,7.61286E-02,7.33179E-02,5.59910E-02,7.54258E-03,8.90012E-02,7.82891E-02,1.06267E-01,6.61306E-02,6.84915E-02,5.96006E-02,9.01506E-02,1.48262E-01,1.28909E-01,1.60105E-01,1.41111E-01,8.57228E-02,1.76008E-01,1.69705E-01,1.10479E-01,1.49552E-01,1.33036E-01,1.54335E-01,3.15494E-01,2.02419E-01,2.62013E-01,2.09023E-01,3.22216E-01,3.87443E-01,3.60356E-01,4.07412E-01,3.69195E-01,5.03997E-01,5.59346E-01,6.01567E-01,6.54929E-01,6.04391E-01,7.36423E-01,6.51004E-01,8.14853E-01,9.18251E-01,8.32144E-01,8.57768E-01,1.07765E+00,1.15425E+00,1.37970E+00,1.25887E+00,1.37468E+00,1.22147E+00,1.58146E+00,2.03412E+00,2.01705E+00,2.22807E+00,2.42153E+00,2.51321E+00,2.74286E+00,2.91212E+00,3.00800E+00,3.54439E+00,3.82904E+00,3.80104E+00,4.01297E+00,4.74389E+00,4.61287E+00,5.27905E+00,5.64532E+00,6.39442E+00,6.60135E+00,6.83959E+00,8.00796E+00,8.35767E+00,9.54565E+00,9.28444E+00,1.03985E+01,1.15814E+01,1.25443E+01,1.32320E+01,1.44451E+01,1.51768E+01,1.68919E+01,1.86030E+01,1.97544E+01,2.11636E+01,2.31757E+01,2.48451E+01,2.69230E+01,2.90145E+01,3.13107E+01,3.39745E+01,3.65878E+01,3.95922E+01,4.27292E+01,4.61790E+01,4.98958E+01,5.38813E+01,5.82146E+01,6.28943E+01,6.79646E+01,7.34035E+01,7.93383E+01,8.56789E+01,9.25599E+01,9.99920E+01
1.50000E-01,4.71969E-02,2.16919E-02,5.64210E-03,2.48856E-02,2.06961E-02,8.68975E-03,3.37071E-02,3.64383E-03,3.50121E-02,3.52615E-02,1.59269E-02,2.92929E-02,0.00000E+00,2.20743E-02,0.00000E+00,2.32223E-02,2.29007E-02,3.44578E-02,4.13062E-02,1.63278E-02,3.89045E-02,5.61842E-02,3.40732E-02,1.46762E-02,3.19069E-02,0.00000E+00,3.04370E-02,4.45842E-02,1.92856E-02,4.25911E-02,0.00000E+00,7.39812E-02,0.00000E+00,1.82819E-02,8.77889E-02,4.04149E-03,8.03859E-03,1.14003E-02,2.16361E-02,7.17177E-02,2.50029E-02,2.62474E-02,1.99794E-02,7.06641E-02,2.97354E-02,0.00000E+00,1.77341E-02,8.85071E-02,5.36754E-02,5.63268E-02,4.97659E-02,1.62003E-02,7.04764E-02,8.54542E-02,1.05381E-01,5.18386E-02,4.47363E-02,4.99521E-02,1.02878E-01,1.34715E-01,1.25120E-01,1.94899E-01,1.57447E-01,9.53128E-02,2.10329E-01,1.58667E-01,8.79391E-02,1.67257E-01,1.25071E-01,1.73096E-01,3.47494E-01,2.24130E-01,2.57488E-01,2.27735E-01,3.38251E-01,3.40362E-01,3.73196E-01,3.86155E-01,3.64953E-01,4.77580E-01,5.81090E-01,5.73308E-01,6.44448E-01,6.14274E-01,7.40431E-01,6.12337E-01,7.80228E-01,9.01345E-01,8.50804E-01,8.86076E-01,1.06157E+00,1.14838E+00,1.35273E+00,1.25432E+00,1.34873E+00,1.26388E+00,1.59451E+00,2.00453E+00,2.01536E+00,2.18771E+00,2.38348E+00,2.48570E+00,2.73580E+00,2.93661E+00,3.00558E+00,3.50144E+00,3.81709E+00,3.83402E+00,4.05162E+00,4.72165E+00,4.66259E+00,5.28308E+00,5.67523E+00,6.34216E+00,6.65625E+00,6.93222E+00,7.96991E+00,8.36202E+00,9.38231E+00,9.50533E+00,1.05264E+01,1.15268E+01,1.24607E+01,1.32920E+01,1.44812E+01,1.54509E+01,1.69067E+01,1.84087E+01,1.97830E+01,2.12565E+01,2.30720E+01,2.48940E+01,2.68904E+01,2.90535E+01,3.13401E+01,3.39070E+01,3.66160E+01,3.95581E+01,4.27501E+01,4.61591E+01,4.99281E+01,5.38830E+01,5.82187E+01,6.28975E+01,6.79659E+01,7.34245E+01,7.93104E+01,8.56908E+01,9.25704E+01,9.99977E+01
2.00000E-01,3.48318E-02,2.95991E-02,2.86401E-02,3.14957E-02,1.36039E-02,0.00000E+00,5.28695E-02,2.40271E-03,0.00000E+00,5.62606E-02,3.43571E-02,3.51639E-02,9.53830E-03,0.00000E+00,2.67513E-02,1.75421E-02,1.23742E-02,1.45255E-02,5.81830E-02,5.01971E-02,3.67992E-02,4.50671E-02,4.38474E-03,0.00000E+00,1.91244E-02,4.77416E-02,2.05146E-02,2.58686E-02,1.59587E-02,4.41704E-02,1.86296E-03,8.39766E-02,1.51323E-02,7.83561E-03,9.34468E-02,8.67800E-03,6.86749E-03,2.61263E-02,3.15487E-02,9.56896E-02,3.10210E-02,5.61301E-02,1.09982E-02,2.62207E-02,0.00000E+00,4.11012E-02,2.64158E-02,8.37195E-02,7.03999E-02,4.60324E-02,3.32878E-02,1.44044E-02,5.48071E-02,8.33626E-02,1.01343E-01,5.96507E-02,8.16111E-03,7.12563E-02,1.17104E-01,8.25426E-02,1.13041E-01,1.91019E-01,1.41478E-01,7.56384E-02,2.08147E-01,1.50689E-01,4.70577E-02,1.45466E-01,1.16303E-01,1.83598E-01,3.34551E-01,1.97181E-01,2.59382E-01,2.59299E-01,3.52286E-01,3.80843E-01,3.72344E-01,3.81314E-01,3.62377E-01,4.45625E-01,5.49923E-01,5.59802E-01,6.68259E-01,5.85085E-01,7.50123E-01,6.60349E-01,7.61220E-01,9.07374E-01,8.66757E-01,9.06063E-01,1.05610E+00,1.15764E+00,1.32272E+00,1.26677E+00,1.36229E+00,1.26315E+00,1.56851E+00,2.00040E+00,2.01640E+00,2.19303E+00,2.38349E+00,2.46918E+00,2.73877E+00,2.91242E+00,3.01526E+00,3.46325E+00,3.78996E+00,3.83931E+00,4.06944E+00,4.67220E+00,4.70996E+00,5.28141E+00,5.67106E+00,6.29086E+00,6.67420E+00,6.99056E+00,7.94880E+00,8.37550E+00,9.26042E+00,9.62420E+00,1.05959E+01,1.15032E+01,1.24511E+01,1.33380E+01,1.44893E+01,1.55660E+01,1.69006E+01,1.83078E+01,1.97361E+01,2.13028E+01,2.30349E+01,2.48942E+01,2.68588E+01,2.90567E+01,3.13607E+01,3.39067E+01,3.66143E+01,3.95674E+01,4.27377E+01,4.61823E+01,4.99002E+01,5.38954E+01,5.82286E+01,6.28894E+01,6.79554E+01,7.34221E+01,7.92955E+01,8.56745E+01,9.25515E+01,9.99908E+01
2.50000E-01,2.55959E-02,3.92809E-02,1.48900E-02,0.00000E+00,1.03526E-02,1.14179E-02,2.71623E-02,1.06014E-02,0.00000E+00,6.96556E-02,0.00000E+00,5.40406E-03,3.50310E-02,4.62028E-02,7.21016E-03,5.83077E-02,0.00000E+00,1.05922E-02,5.02841E-02,5.28148E-02,7.50637E-03,8.72054E-03,4.79819E-03,0.00000E+00,6.09779E-02,7.61822E-02,3.71737E-02,3.11713E-02,3.60527E-02,3.68913E-02,4.19068E-02,7.11160E-02,1.95931E-02,1.96135E-02,7.74810E-02,1.54295E-02,2.03796E-02,3.32896E-02,5.46351E-02,8.83104E-02,7.57611E-02,3.82136E-02,2.56659E-02,4.64113E-02,1.77637E-02,4.33637E-02,4.36853E-02,9.81376E-02,5.86475E-02,2.49460E-02,2.91016E-02,1.65317E-02,3.61374E-02,9.25532E-02,1.29857E-01,1.00546E-01,1.57780E-02,7.66694E-02,1.19668E-01,9.65697E-02,1.38354E-01,1.72436E-01,1.30995E-01,7.13690E-02,2.22793E-01,1.44691E-01,4.19463E-02,1.34159E-01,1.25234E-01,1.92917E-01,3.12344E-01,2.00430E-01,2.33310E-01,2.75122E-01,3.57412E-01,3.83934E-01,3.76112E-01,3.99867E-01,3.53180E-01,4.36126E-01,5.16579E-01,5.78400E-01,6.79412E-01,5.72621E-01,7.78367E-01,6.55215E-01,7.82104E-01,9.33765E-01,9.23995E-01,8.66244E-01,1.05745E+00,1.17358E+00,1.30936E+00,1.31113E+00,1.34924E+00,1.29800E+00,1.56795E+00,1.97569E+00,2.05517E+00,2.17714E+00,2.37316E+00,2.48198E+00,2.74294E+00,2.91603E+00,3.00150E+00,3.43707E+00,3.73687E+00,3.86994E+00,4.07955E+00,4.62663E+00,4.72859E+00,5.25868E+00,5.74639E+00,6.25192E+00,6.66902E+00,7.06036E+00,7.90016E+00,8.37474E+00,9.20017E+00,9.70839E+00,1.06123E+01,1.14844E+01,1.24226E+01,1.33824E+01,1.44735E+01,1.55695E+01,1.69173E+01,1.82806E+01,1.97459E+01,2.13418E+01,2.30408E+01,2.48941E+01,2.68622E+01,2.90609E+01,3.13867E+01,3.38735E+01,3.66289E+01,3.95957E+01,4.27425E+01,4.61799E+01,4.98804E+01,5.39013E+01,5.82384E+01,6.29004E+01,6.79582E+01,7.34184E+01,7.93070E+01,8.56850E+01,9.25707E+01,1.00003E+02
3.00000E-01,4.66799E-02,7.91942E-02,5.09198E-02,3.11938E-02,1.60837E-02,4.11164E-02,2.29867E-02,1.57530E-02,5.51537E-02,4.31301E-02,1.78277E-02,0.00000E+00,0.00000E+00,6.29210E-02,9.34074E-03,7.86125E-02,2.75949E-02,3.45343E-02,6.01492E-02,5.43714E-02,4.60039E-02,7.23513E-03,1.16635E-02,0.00000E+00,3.70484E-02,1.00203E-01,8.15700E-02,9.02116E-03,2.45456E-02,1.80673E-02,4.46428E-02,6.61298E-02,3.96635E-02,1.16371E-02,3.87565E-02,0.00000E+00,6.11355E-02,5.84435E-02,1.99813E-02,7.11505E-02,8.00409E-02,5.48222E-02,6.72251E-02,6.93691E-02,5.57532E-02,3.71482E-02,1.62695E-02,1.13464E-01,9.78081E-02,2.71190E-02,2.85206E-02,1.33771E-03,4.45502E-02,5.84066E-02,1.42709E-01,1.13325E-01,1.64444E-02,7.71873E-02,1.30569E-01,1.15910E-01,1.45412E-01,1.34640E-01,1.32489E-01,6.79453E-02,2.44981E-01,1.90737E-01,1.16711E-02,1.27693E-01,1.51733E-01,2.37230E-01,3.05638E-01,1.57166E-01,2.14444E-01,2.55913E-01,3.63025E-01,3.66335E-01,3.78498E-01,3.99481E-01,3.54784E-01,4.31370E-01,5.06843E-01,5.82423E-01,6.41409E-01,5.51572E-01,8.00348E-01,6.43093E-01,7.49672E-01,9.39498E-01,9.01058E-01,8.93476E-01,1.05858E+00,1.16034E+00,1.28140E+00,1.30243E+00,1.33356E+00,1.33466E+00,1.58782E+00,1.97389E+00,2.06098E+00,2.18724E+00,2.36542E+00,2.46748E+00,2.72570E+00,2.91937E+00,2.95886E+00,3.44943E+00,3.71676E+00,3.87371E+00,4.07626E+00,4.58881E+00,4.79932E+00,5.26458E+00,5.73850E+00,6.23157E+00,6.70982E+00,7.10655E+00,7.88004E+00,8.40533E+00,9.20929E+00,9.76416E+00,1.06168E+01,1.15287E+01,1.24564E+01,1.33786E+01,1.45133E+01,1.56261E+01,1.69433E+01,1.83082E+01,1.97599E+01,2.13339E+01,2.30264E+01,2.48801E+01,2.68945E+01,2.90511E+01,3.13847E+01,3.39272E+01,3.66248E+01,3.95658E+01,4.27435E+01,4.61796E+01,4.98838E+01,5.39058E+01,5.82338E+01,6.29108E+01,6.79551E+01,7.34076E+01,7.92992E+01,8.56904E+01,9.25554E+01,1.00002E+02
3.50000E-01,5.10461E-02,6.24244E-02,5.75281E-02,2.60980E-02,3.90278E-02,2.76024E-02,3.73419E-02,3.17721E-02,7.15376E-02,8.42636E-02,4.20001E-02,9.00516E-03,3.71553E-03,3.66910E-02,1.97207E-03,1.27193E-01,4.40187E-03,5.95707E-02,1.09101E-01,1.42031E-02,2.79373E-02,1.26037E-02,2.47923E-02,5.14180E-02,5.93641E-03,1.21238E-01,7.66109E-02,1.85276E-02,2.54846E-02,7.67112E-03,8.26238E-02,5.35266E-02,3.74029E-02,4.06800E-02,6.35892E-02,4.45752E-02,9.14752E-02,3.35819E-02,5.08951E-02,4.70816E-02,1.01719E-01,6.17575E-02,5.64209E-02,4.82834E-02,3.97061E-02,2.84595E-02,7.09944E-04,1.32022E-01,3.82201E-02,3.15125E-02,3.15937E-02,5.26538E-02,3.80141E-02,9.47757E-02,1.34982E-01,1.13763E-01,1.50990E-02,3.86087E-02,1.22434E-01,1.27895E-01,1.24763E-01,1.24301E-01,1.43688E-01,8.53355E-02,2.53870E-01,1.55612E-01,3.84271E-03,1.01713E-01,1.54670E-01,2.39103E-01,2.89983E-01,1.54928E-01,2.11854E-01,2.84322E-01,3.52438E-01,3.75172E-01,3.46975E-01,3.85045E-01,3.27695E-01,4.28437E-01,4.84142E-01,6.06007E-01,6.14879E-01,5.81006E-01,8.05973E-01,6.28733E-01,7.87586E-01,9.16276E-01,8.93241E-01,8.64188E-01,1.06756E+00,1.16390E+00,1.27723E+00,1.32591E+00,1.36903E+00,1.33552E+00,1.61323E+00,1.91315E+00,2.02821E+00,2.15697E+00,2.33002E+00,2.47082E+00,2.71857E+00,2.94896E+00,2.96634E+00,3.43813E+00,3.67255E+00,3.87341E+00,4.09982E+00,4.57830E+00,4.80587E+00,5.27722E+00,5.74644E+00,6.19412E+00,6.72380E+00,7.16073E+00,7.89571E+00,8.43662E+00,9.18141E+00,9.79066E+00,1.06388E+01,1.15355E+01,1.24491E+01,1.33905E+01,1.45084E+01,1.56521E+01,1.69179E+01,1.82831E+01,1.97757E+01,2.13143E+01,2.30381E+01,2.48683E+01,2.68875E+01,2.90349E+01,3.13627E+01,3.39280E+01,3.66236E+01,3.95649E+01,4.27356E+01,4.61598E+01,4.98918E+01,5.38941E+01,5.82132E+01,6.29100E+01,6.79525E+01,7.34168E+01,7.93146E+01,8.56805E+01,9.25679E+01,1.00008E+02
4.00000E-01,4.10636E-02,9.15137E-02,4.68663E-02,2.04072E-02,4.51647E-02,1.17672E-02,6.11013E-02,2.58319E-02,5.54120E-02,8.42186E-02,5.87335E-02,2.32355E-02,6.86030E-02,3.31178E-02,0.00000E+00,1.59628E-01,3.17558E-02,6.60829E-02,7.15293E-02,6.20598E-03,1.08381E-02,0.00000E+00,5.52666E-02,3.15150E-02,6.44414E-03,1.03443E-01,7.69891E-02,1.01705E-02,4.37876E-02,0.00000E+00,6.43339E-02,3.97273E-02,4.43042E-02,7.76848E-02,5.45598E-02,1.73202E-02,1.14053E-01,0.00000E+00,4.30771E-02,4.87442E-02,1.11202E-01,1.06045E-01,8.81295E-02,2.08762E-02,6.32150E-02,2.35788E-02,7.39676E-03,1.51498E-01,6.15534E-02,6.35773E-02,3.55651E-03,5.14342E-02,5.65547E-02,7.42032E-02,1.75831E-01,1.54534E-01,0.00000E+00,4.46525E-02,1.33187E-01,1.45821E-01,1.39904E-01,1.31015E-01,1.77384E-01,1.06369E-01,2.75332E-01,1.52742E-01,1.96366E-02,9.70042E-02,1.62575E-01,2.61271E-01,2.87065E-01,1.38199E-01,1.59736E-01,3.02546E-01,3.37639E-01,3.98958E-01,3.70707E-01,3.68094E-01,3.31759E-01,4.09429E-01,4.89387E-01,6.20343E-01,6.08913E-01,5.56786E-01,8.08718E-01,6.17013E-01,7.71281E-01,9.02385E-01,8.71832E-01,8.60840E-01,1.06275E+00,1.16431E+00,1.28950E+00,1.31092E+00,1.37470E+00,1.30348E+00,1.60761E+00,1.87386E+00,2.01861E+00,2.14008E+00,2.34566E+00,2.49581E+00,2.74905E+00,2.93070E+00,2.96167E+00,3.43309E+00,3.69887E+00,3.90978E+00,4.10713E+00,4.55484E+00,4.80919E+00,5.26927E+00,5.75081E+00,6.18632E+00,6.70494E+00,7.18642E+00,7.89845E+00,8.44672E+00,9.15576E+00,9.79009E+00,1.06237E+01,1.15282E+01,1.24630E+01,1.33894E+01,1.45024E+01,1.56456E+01,1.68924E+01,1.82826E+01,1.97378E+01,2.12925E+01,2.30495E+01,2.48655E+01,2.68840E+01,2.90114E+01,3.13599E+01,3.39075E+01,3.66446E+01,3.95774E+01,4.27599E+01,4.61834E+01,4.98847E+01,5.38999E+01,5.82079E+01,6.29028E+01,6.79578E+01,7.34184E+01,7.93118E+01,8.56761E+01,9.25620E+01,1.00011E+02
4.50000E-01,4.95888E-02,7.23372E-02,3.52181E-02,3.81130E-02,4.55295E-02,0.00000E+00,5.60471E-02,5.11562E-02,5.84147E-02,9.77161E-02,3.10210E-02,2.04412E-02,6.21046E-02,1.94065E-02,2.42957E-02,1.98035E-01,6.18713E-02,9.64538E-02,4.66368E-02,7.45941E-03,1.48167E-02,1.87622E-02,6.75669E-02,2.22366E-02,3.41320E-03,5.09447E-02,9.11934E-02,3.49030E-02,5.44878E-02,4.39968E-04,9.20632E-02,3.36951E-02,5.92747E-02,7.73845E-02,7.55372E-02,4.00415E-02,1.47546E-01,0.00000E+00,1.43672E-02,3.95653E-02,1.05967E-01,9.26090E-02,3.39721E-02,2.22601E-02,6.94168E-02,2.39904E-02,3.44977E-03,1.98717E-01,6.80676E-02,3.36924E-02,0.00000E+00,4.47838E-02,8.91015E-02,9.99866E-02,1.75578E-01,1.45759E-01,3.82304E-03,5.39391E-02,1.19998E-01,1.79057E-01,1.25484E-01,1.42711E-01,2.01201E-01,1.37267E-01,2.79882E-01,1.44103E-01,2.84288E-03,8.57758E-02,1.39661E-01,2.61871E-01,2.82571E-01,1.37155E-01,1.81481E-01,3.23173E-01,3.31871E-01,4.06079E-01,3.48567E-01,3.41635E-01,2.98796E-01,3.98622E-01,4.77608E-01,6.32845E-01,6.28819E-01,5.23859E-01,7.75838E-01,6.22819E-01,7.55277E-01,9.08292E-01,8.66217E-01,8.80322E-01,1.06069E+00,1.18744E+00,1.26231E+00,1.30160E+00,1.38404E+00,1.33710E+00,1.62094E+00,1.89043E+00,1.98595E+00,2.14111E+00,2.35490E+00,2.50966E+00,2.73733E+00,2.90395E+00,2.99717E+00,3.38705E+00,3.68961E+00,3.90768E+00,4.13235E+00,4.54265E+00,4.79780E+00,5.29162E+00,5.72807E+00,6.17550E+00,6.71949E+00,7.21727E+00,7.88211E+00,8.41764E+00,9.09986E+00,9.81573E+00,1.06414E+01,1.15009E+01,1.24578E+01,1.33841E+01,1.44791E+01,1.56462E+01,1.69061E+01,1.82697E+01,1.97575E+01,2.13194E+01,2.30409E+01,2.48755E+01,2.68670E+01,2.90303E+01,3.13784E+01,3.38944E+01,3.66238E+01,3.95775E+01,4.27490E+01,4.61867E+01,4.98830E+01,5.38718E+01,5.82327E+01,6.29123E+01,6.79572E+01,7.34213E+01,7.92804E+01,8.56686E+01,9.25807E+01,1.00001E+02
