time,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_50,species_51,species_52,species_53,species_54,species_55,species_56,species_57,species_58,species_59,species_60,species_61,species_62,species_63,species_64,species_65,species_66,species_67,species_68,species_69,species_70,species_71,species_72,species_73,species_74,species_75,species_76,species_77,species_78,species_79,species_80,species_81,species_82,species_83,species_84,species_85,species_86,species_87,species_88,species_89,species_90,species_91,species_92,species_93,species_94,species_95,species_96,species_97,species_98,species_99,species_100,species_101,species_102,species_103,species_104,species_105,species_106,species_107,species_108,species_109,species_110,species_111,species_112,species_113,species_114,species_115,species_116,species_117,species_118,species_119,species_120,species_121,species_122,species_123,species_124,species_125,species_126,species_127,species_128,species_129,species_130,species_131,species_132,species_133,species_134,species_135,species_136,species_137,species_138,species_139,species_140,species_141,species_142,species_143,species_144,species_145,species_146,species_147,species_148,species_149,species_150
0.000E+00,1.113E-03,1.177E-03,1.090E-03,1.337E-03,9.796E-04,1.466E-03,1.625E-03,2.032E-03,1.881E-03,1.810E-03,2.254E-03,2.386E-03,2.587E-03,2.909E-03,2.886E-03,3.075E-03,3.444E-03,3.493E-03,4.074E-03,4.249E-03,4.352E-03,4.588E-03,5.273E-03,4.831E-03,5.973E-03,7.735E-03,6.642E-03,7.613E-03,7.622E-03,1.027E-02,8.935E-03,1.098E-02,1.066E-02,1.406E-02,1.646E-02,1.391E-02,1.782E-02,1.763E-02,1.905E-02,2.078E-02,2.146E-02,2.931E-02,2.146E-02,3.036E-02,2.904E-02,3.445E-02,2.948E-02,3.659E-02,3.900E-02,4.403E-02,5.510E-02,4.999E-02,5.246E-02,5.468E-02,7.382E-02,6.378E-02,6.798E-02,7.813E-02,9.059E-02,9.970E-02,8.782E-02,1.054E-01,8.823E-02,1.325E-01,1.300E-01,1.663E-01,1.903E-01,1.707E-01,1.760E-01,1.794E-01,2.240E-01,2.458E-01,2.264E-01,2.958E-01,2.538E-01,3.449E-01,3.431E-01,3.781E-01,3.920E-01,4.631E-01,4.299E-01,4.770E-01,5.436E-01,6.872E-01,7.311E-01,8.309E-01,7.942E-01,6.538E-01,9.793E-01,1.082E+00,1.061E+00,1.349E+00,1.429E+00,1.273E+00,1.412E+00,1.584E+00,1.780E+00,1.938E+00,2.035E+00,1.850E+00,2.268E+00,2.795E+00,2.786E+00,2.513E+00,2.798E+00,3.325E+00,3.590E+00,3.259E+00,4.445E+00,4.768E+00,5.137E+00,4.516E+00,6.590E+00,6.738E+00,7.079E+00,6.365E+00,7.845E+00,7.500E+00,7.806E+00,1.032E+01,9.771E+00,1.156E+01,1.355E+01,1.327E+01,1.578E+01,1.336E+01,1.772E+01,1.970E+01,1.437E+01,2.354E+01,2.279E+01,2.025E+01,2.689E+01,2.733E+01,3.152E+01,3.481E+01,4.199E+01,3.867E+01,3.805E+01,4.638E+01,4.900E+01,5.959E+01,6.084E+01,5.430E+01,7.449E+01,5.332E+01,6.455E+01,9.707E+01,1.023E+02,1.110E+02
5.00000E-02,7.37910E-02,1.09033E-01,9.29007E-02,0.00000E+00,0.00000E+00,3.80243E-01,5.59869E-02,3.33154E-02,6.72695E-02,9.17234E-02,6.52874E-02,4.74049E-02,6.99450E-02,6.20886E-02,0.00000E+00,6.49915E-02,0.00000E+00,4.75795E-02,0.00000E+00,7.33364E-02,1.38256E-01,1.01081E-01,1.44406E-01,9.86898E-02,2.86245E-02,4.56302E-02,6.90947E-02,1.35589E-01,1.15392E-01,7.58895E-02,2.27310E-01,3.24448E-02,1.74683E-02,1.72792E-01,1.89998E-03,4.37151E-02,1.54626E-01,2.21359E-01,3.00870E-05,2.03894E-01,2.26170E-01,0.00000E+00,3.16200E-02,7.85805E-02,4.43088E-02,6.42968E-02,5.11132E-02,8.51873E-02,4.00688E-02,5.97779E-02,9.78026E-02,9.63562E-02,4.83333E-02,1.47315E-01,6.61003E-02,1.71765E-01,8.00876E-02,8.13088E-02,1.33882E-01,2.06607E-01,7.39312E-03,2.25233E-01,1.55816E-01,2.45347E-02,3.19802E-02,2.41569E-01,3.18422E-01,1.68716E-01,2.76228E-01,5.47870E-02,2.06710E-01,2.88455E-01,1.34742E-01,2.62727E-01,2.76955E-01,3.44557E-01,2.70290E-01,4.38506E-01,2.59177E-01,5.13515E-01,6.21697E-01,4.82197E-01,6.47801E-01,7.57535E-01,8.22493E-01,8.33219E-01,8.76157E-01,7.25246E-01,8.82279E-01,9.69652E-01,1.23364E+00,1.33908E+00,1.40122E+00,1.38348E+00,1.46267E+00,1.55207E+00,1.62082E+00,1.85041E+00,1.97090E+00,1.76380E+00,2.19232E+00,2.71649E+00,2.82762E+00,2.55095E+00,2.74790E+00,3.43404E+00,3.36500E+00,3.57447E+00,4.51799E+00,4.74068E+00,5.12450E+00,4.69719E+00,6.32686E+00,6.70944E+00,7.02158E+00,6.73447E+00,7.77334E+00,7.82603E+00,8.24903E+00,1.00036E+01,1.01855E+01,1.15653E+01,1.28454E+01,1.34393E+01,1.51423E+01,1.47273E+01,1.73793E+01,1.87492E+01,1.75668E+01,2.19609E+01,2.30741E+01,2.34454E+01,2.69540E+01,2.87233E+01,3.13403E+01,3.40292E+01,3.70426E+01,3.95903E+01,4.23389E+01,4.60403E+01,4.99237E+01,5.39042E+01,5.81587E+01,6.27706E+01,6.79604E+01,7.33830E+01,7.93269E+01,8.55843E+01,9.25422E+01,1.00002E+02
1.00000E-01,1.55186E-01,2.04779E-01,1.21307E-01,5.23436E-02,0.00000E+00,2.56030E-01,1.97137E-01,2.95585E-01,0.00000E+00,2.40375E-01,0.00000E+00,1.27637E-01,1.31666E-01,0.00000E+00,1.24015E-01,0.00000E+00,0.00000E+00,1.79167E-01,0.00000E+00,6.43683E-02,2.08391E-01,1.87381E-01,1.96523E-01,1.63279E-01,2.63492E-02,1.38020E-01,3.29192E-02,1.97522E-01,7.25572E-02,2.65590E-02,3.20112E-02,1.62466E-02,8.58013E-03,3.52241E-01,0.00000E+00,7.31390E-03,1.89519E-01,1.06078E-01,1.75357E-01,2.79213E-01,2.20766E-01,2.22393E-02,5.98216E-02,2.38156E-01,0.00000E+00,5.54477E-02,1.68898E-01,2.72818E-01,0.00000E+00,1.57489E-01,4.53302E-02,1.39452E-01,2.40783E-02,3.55037E-01,2.07682E-02,9.84734E-02,1.71902E-01,0.00000E+00,1.83064E-01,2.93090E-01,0.00000E+00,2.56353E-01,3.67959E-02,0.00000E+00,2.83823E-01,2.23208E-01,1.29016E-01,2.32770E-01,1.87512E-01,2.38868E-02,1.01164E-02,2.18483E-01,0.00000E+00,1.05290E-01,1.12244E-01,2.84975E-01,2.69462E-01,4.78586E-01,4.41495E-01,5.84317E-01,4.86835E-01,4.22618E-01,6.08298E-01,4.68439E-01,7.30080E-01,8.55487E-01,1.02564E+00,8.01699E-01,7.42077E-01,1.11641E+00,1.38800E+00,1.43001E+00,1.46607E+00,1.41497E+00,1.58753E+00,1.52203E+00,1.60149E+00,1.97993E+00,1.93546E+00,1.85606E+00,2.10853E+00,2.95832E+00,2.72292E+00,2.64283E+00,2.76781E+00,3.48884E+00,3.50242E+00,3.80773E+00,4.30744E+00,4.65042E+00,4.95346E+00,4.63889E+00,6.13415E+00,6.62476E+00,6.84367E+00,6.84304E+00,7.77220E+00,8.13010E+00,8.42544E+00,9.92767E+00,1.01751E+01,1.15203E+01,1.26064E+01,1.34533E+01,1.46474E+01,1.51194E+01,1.70587E+01,1.85054E+01,1.89163E+01,2.14332E+01,2.29739E+01,2.44491E+01,2.68834E+01,2.91089E+01,3.13850E+01,3.39519E+01,3.67503E+01,3.94209E+01,4.27668E+01,4.61589E+01,4.99875E+01,5.37719E+01,5.82192E+01,6.29952E+01,6.79132E+01,7.34909E+01,7.92836E+01,8.56252E+01,9.24521E+01,9.99688E+01
1.50000E-01,0.00000E+00,2.30332E-01,3.22468E-01,1.76424E-01,8.39060E-02,0.00000E+00,1.65991E-01,3.85563E-01,8.17573E-02,2.76657E-01,2.70902E-02,6.60382E-02,1.45813E-01,4.66520E-03,3.09287E-01,2.13713E-01,5.43147E-02,0.00000E+00,3.97195E-02,1.94081E-01,3.49088E-01,2.56811E-01,1.93284E-01,1.46696E-02,0.00000E+00,1.94860E-01,6.97891E-02,2.92305E-01,0.00000E+00,6.01870E-02,5.98506E-02,0.00000E+00,7.14632E-02,5.36148E-01,0.00000E+00,0.00000E+00,5.81953E-02,1.14276E-01,9.75492E-02,2.48769E-01,3.29294E-01,5.68696E-02,7.92352E-02,3.97538E-01,7.65369E-02,1.34989E-01,2.91108E-01,1.94029E-01,0.00000E+00,5.52336E-02,1.33321E-01,2.78933E-01,7.45134E-02,1.23621E-01,7.17043E-02,8.33975E-02,1.30408E-01,2.41971E-02,0.00000E+00,1.73954E-01,2.50389E-02,2.39908E-01,1.37733E-01,0.00000E+00,1.06954E-01,1.96907E-01,3.25463E-01,2.33070E-01,2.94143E-01,1.62738E-01,4.16223E-02,4.05435E-01,0.00000E+00,1.27516E-01,1.15520E-01,1.45480E-02,2.14284E-01,5.27424E-01,2.76806E-01,6.63039E-01,3.19452E-01,5.34138E-01,4.11057E-01,4.58624E-01,6.27341E-01,1.01980E+00,1.02340E+00,7.32219E-01,6.70922E-01,9.75346E-01,1.30571E+00,1.24977E+00,1.38240E+00,1.53350E+00,1.70434E+00,1.51435E+00,1.67184E+00,1.84643E+00,1.97802E+00,1.83575E+00,2.12348E+00,2.97723E+00,2.68551E+00,2.70172E+00,2.71524E+00,3.47971E+00,3.48807E+00,3.80488E+00,4.31309E+00,4.65461E+00,4.86330E+00,4.71040E+00,5.97594E+00,6.63760E+00,6.74919E+00,7.15205E+00,7.62739E+00,8.31066E+00,8.77804E+00,9.83387E+00,1.03613E+01,1.12028E+01,1.26143E+01,1.33752E+01,1.44559E+01,1.55312E+01,1.69458E+01,1.82651E+01,1.95349E+01,2.12556E+01,2.31889E+01,2.48314E+01,2.69619E+01,2.89206E+01,3.13981E+01,3.40165E+01,3.67339E+01,3.95100E+01,4.27212E+01,4.60108E+01,4.99106E+01,5.39024E+01,5.80976E+01,6.28938E+01,6.79418E+01,7.33132E+01,7.93935E+01,8.57052E+01,9.27009E+01,9.99305E+01
2.00000E-01,2.17282E-01,3.56667E-01,3.18606E-01,0.00000E+00,2.15972E-01,0.00000E+00,3.02793E-01,3.57743E-01,0.00000E+00,2.01825E-01,1.06387E-01,3.09933E-02,0.00000E+00,0.00000E+00,1.93756E-01,6.62762E-02,0.00000E+00,1.44145E-01,2.33581E-01,2.04182E-01,5.14325E-01,3.28360E-01,1.52031E-01,1.53808E-02,6.14053E-02,4.64691E-02,2.71569E-01,2.52925E-01,8.97769E-03,9.80690E-02,1.96757E-01,0.00000E+00,1.46202E-01,3.54116E-01,1.20468E-01,2.49488E-01,3.31859E-02,1.13182E-01,0.00000E+00,2.70447E-01,3.55257E-01,0.00000E+00,1.69428E-02,3.51192E-01,3.35600E-01,8.77268E-02,3.42093E-01,9.89773E-02,0.00000E+00,0.00000E+00,0.00000E+00,2.92061E-01,9.32476E-02,9.99673E-02,0.00000E+00,0.00000E+00,1.58194E-01,1.48759E-02,2.19638E-02,2.98885E-01,2.10365E-01,1.15715E-01,9.94127E-02,1.16864E-01,4.18638E-02,2.69378E-01,2.24746E-01,2.94254E-01,2.97751E-01,2.76934E-01,5.20578E-02,3.30542E-01,3.42682E-02,2.32499E-02,2.28495E-01,9.75681E-02,2.94260E-01,5.82917E-01,4.35857E-01,7.27539E-01,2.35092E-01,4.02806E-01,5.14896E-01,4.22789E-01,6.24104E-01,9.43220E-01,1.13587E+00,6.68987E-01,1.02229E+00,9.82934E-01,1.14076E+00,1.34341E+00,1.42375E+00,1.32926E+00,1.55839E+00,1.59701E+00,1.98877E+00,1.88352E+00,2.06669E+00,1.89042E+00,2.18030E+00,2.92807E+00,2.63269E+00,2.73189E+00,2.76303E+00,3.45279E+00,3.49304E+00,3.71226E+00,4.21136E+00,4.66664E+00,4.90691E+00,4.81561E+00,5.84940E+00,6.36399E+00,6.65936E+00,7.11897E+00,7.64060E+00,8.41306E+00,8.75444E+00,9.77742E+00,1.04308E+01,1.14056E+01,1.26380E+01,1.33317E+01,1.44866E+01,1.56870E+01,1.69263E+01,1.82362E+01,1.96842E+01,2.12976E+01,2.29408E+01,2.48963E+01,2.69704E+01,2.91079E+01,3.14401E+01,3.39142E+01,3.66109E+01,3.95173E+01,4.26989E+01,4.61705E+01,4.99867E+01,5.39360E+01,5.82383E+01,6.28143E+01,6.79637E+01,7.33551E+01,7.93876E+01,8.56646E+01,9.26598E+01,9.99801E+01
2.50000E-01,2.88768E-01,6.92839E-02,3.05000E-01,0.00000E+00,1.45812E-01,7.56790E-02,2.46104E-01,3.46618E-01,3.71386E-02,3.41055E-01,3.98952E-02,0.00000E+00,3.09977E-02,3.10222E-02,3.04660E-01,1.22114E-01,3.55203E-02,2.01918E-01,4.07355E-01,1.53641E-01,4.81508E-01,2.79169E-01,2.12035E-01,1.43348E-02,1.02408E-01,1.69902E-01,3.33535E-01,3.10918E-01,9.62529E-02,1.24874E-01,1.54359E-01,0.00000E+00,0.00000E+00,2.72873E-01,2.06254E-01,1.96518E-01,1.26021E-01,1.38692E-01,1.44521E-01,3.26782E-01,3.33521E-01,9.63958E-02,0.00000E+00,3.77942E-01,2.63506E-01,1.11944E-01,2.91848E-01,0.00000E+00,0.00000E+00,6.32327E-02,0.00000E+00,3.65117E-01,9.12727E-02,6.68987E-02,0.00000E+00,0.00000E+00,1.06465E-01,0.00000E+00,1.00744E-01,1.52855E-01,8.04804E-02,1.74965E-01,1.48007E-01,2.60910E-01,1.49919E-01,2.92893E-01,1.33604E-01,5.13779E-01,3.92535E-01,2.98169E-01,0.00000E+00,5.70602E-01,1.35004E-02,1.87537E-01,3.39731E-01,1.08850E-01,4.41508E-01,6.02917E-01,3.40171E-01,6.14184E-01,2.57319E-01,3.19403E-01,6.14117E-01,3.41395E-01,5.39776E-01,1.02158E+00,9.70959E-01,8.19278E-01,1.04412E+00,9.32265E-01,1.05901E+00,1.32748E+00,1.20842E+00,1.37091E+00,1.53775E+00,1.60301E+00,2.08944E+00,1.86688E+00,1.98043E+00,1.85273E+00,2.40479E+00,2.83307E+00,2.69777E+00,2.83551E+00,2.82205E+00,3.62823E+00,3.56789E+00,3.60343E+00,4.27505E+00,4.37858E+00,4.74228E+00,4.78228E+00,5.79874E+00,6.15464E+00,6.59681E+00,7.15946E+00,7.80087E+00,8.40008E+00,8.83614E+00,9.99039E+00,1.04654E+01,1.14106E+01,1.26606E+01,1.33672E+01,1.46082E+01,1.57561E+01,1.68655E+01,1.83334E+01,1.96940E+01,2.12757E+01,2.30084E+01,2.48798E+01,2.67397E+01,2.91222E+01,3.14786E+01,3.38802E+01,3.66239E+01,3.96123E+01,4.28136E+01,4.60910E+01,4.98651E+01,5.38855E+01,5.82522E+01,6.28378E+01,6.80093E+01,7.33805E+01,7.93383E+01,8.57271E+01,9.25890E+01,1.00035E+02
3.00000E-01,3.44604E-01,3.75024E-02,2.56845E-01,5.50305E-02,6.67992E-02,1.14199E-02,0.00000E+00,3.26080E-01,0.00000E+00,2.24053E-01,3.91705E-02,3.53975E-02,4.86240E-02,8.40260E-02,1.64684E-01,0.00000E+00,1.54404E-01,2.30970E-01,4.39140E-01,1.55319E-02,5.05907E-01,4.02269E-01,1.58672E-01,4.10885E-02,4.11450E-01,1.15745E-01,2.46289E-01,5.20202E-02,5.67182E-02,6.81793E-03,2.70502E-03,0.00000E+00,2.92380E-02,2.31751E-01,2.85487E-01,2.35025E-01,1.12677E-01,1.80613E-01,2.92661E-01,4.33268E-01,2.72628E-01,1.84540E-01,4.01502E-02,2.59372E-01,1.64494E-01,1.00642E-01,1.23548E-01,3.35215E-02,0.00000E+00,2.22536E-01,5.84966E-02,2.88348E-01,2.22379E-02,1.40363E-01,4.98704E-02,1.37382E-01,2.51926E-01,1.61405E-01,1.01682E-01,2.07554E-01,1.34579E-01,2.67203E-01,2.57110E-01,2.55662E-01,1.99379E-01,3.38471E-01,5.88731E-02,2.74278E-01,3.82358E-01,4.86374E-01,1.62541E-02,5.21970E-01,1.86798E-01,3.53966E-01,2.92733E-01,1.37578E-01,4.03415E-01,7.70673E-01,3.41912E-01,5.71262E-01,1.47594E-01,5.87281E-01,7.98145E-01,2.38525E-01,6.32592E-01,1.02612E+00,1.06360E+00,8.32673E-01,1.13272E+00,8.66605E-01,9.35470E-01,1.43651E+00,1.26862E+00,1.30395E+00,1.50926E+00,1.44292E+00,1.98120E+00,1.95341E+00,1.88286E+00,1.88830E+00,2.19587E+00,2.75389E+00,2.58225E+00,2.85307E+00,2.92161E+00,3.73740E+00,3.47614E+00,3.63331E+00,4.19587E+00,4.31940E+00,4.73312E+00,4.94428E+00,5.73730E+00,6.04340E+00,6.49863E+00,7.25722E+00,7.77320E+00,8.32803E+00,8.86833E+00,9.89484E+00,1.04964E+01,1.14455E+01,1.24823E+01,1.32656E+01,1.44720E+01,1.56371E+01,1.68352E+01,1.83329E+01,1.96810E+01,2.12873E+01,2.31776E+01,2.49558E+01,2.68763E+01,2.90957E+01,3.14941E+01,3.38163E+01,3.66919E+01,3.95337E+01,4.28102E+01,4.61518E+01,4.99117E+01,5.38312E+01,5.82607E+01,6.30004E+01,6.80167E+01,7.34283E+01,7.94003E+01,8.56655E+01,9.25209E+01,1.00021E+02
3.50000E-01,5.72711E-01,1.01989E-01,2.57364E-01,7.57809E-02,1.17824E-01,7.66439E-02,0.00000E+00,2.82765E-01,0.00000E+00,1.53745E-01,0.00000E+00,0.00000E+00,8.30479E-02,0.00000E+00,5.00863E-02,0.00000E+00,1.11038E-01,1.87293E-01,2.95394E-01,0.00000E+00,5.37313E-01,4.70270E-01,3.17033E-01,7.24928E-02,4.95805E-01,9.58729E-02,2.25625E-01,6.22833E-02,1.07701E-01,4.43376E-02,1.47694E-02,6.42756E-02,0.00000E+00,2.96168E-01,1.63020E-01,4.21775E-01,2.78941E-01,1.42350E-01,1.88601E-01,3.41939E-01,0.00000E+00,3.04736E-01,1.74237E-01,4.40157E-01,1.46366E-01,1.29196E-01,2.35885E-01,8.11362E-02,7.97411E-03,1.41328E-01,0.00000E+00,1.21456E-01,8.40457E-02,1.26354E-01,1.73974E-01,0.00000E+00,3.07960E-03,1.62716E-01,0.00000E+00,2.25856E-02,2.28391E-01,2.74393E-01,2.25212E-01,6.24840E-02,2.44713E-02,3.42793E-01,1.45624E-01,8.47212E-02,6.01153E-01,4.35471E-01,7.69281E-02,5.96014E-01,1.22796E-01,2.86481E-01,3.47744E-01,1.54225E-01,3.47714E-01,6.14927E-01,5.08463E-01,7.09134E-01,1.50749E-01,6.40153E-01,9.10899E-01,5.88527E-02,5.59321E-01,1.07113E+00,9.54633E-01,7.94992E-01,1.09333E+00,7.90582E-01,8.84565E-01,1.52324E+00,1.26539E+00,1.19545E+00,1.45423E+00,1.46591E+00,1.90877E+00,1.90659E+00,1.89965E+00,1.98103E+00,2.20185E+00,2.73859E+00,2.55950E+00,2.86103E+00,2.87893E+00,3.53433E+00,3.46166E+00,3.69797E+00,4.31720E+00,4.32808E+00,4.73500E+00,4.96684E+00,5.66966E+00,6.19192E+00,6.42113E+00,7.37297E+00,7.78894E+00,8.41256E+00,8.88797E+00,9.73129E+00,1.05476E+01,1.13795E+01,1.25606E+01,1.33562E+01,1.45609E+01,1.55291E+01,1.69702E+01,1.82712E+01,1.97925E+01,2.12633E+01,2.31099E+01,2.49275E+01,2.68724E+01,2.89711E+01,3.14477E+01,3.37487E+01,3.66356E+01,3.96568E+01,4.26634E+01,4.62428E+01,4.99799E+01,5.38286E+01,5.82113E+01,6.29297E+01,6.79667E+01,7.33602E+01,7.93301E+01,8.56190E+01,9.25346E+01,9.99236E+01
4.00000E-01,4.62367E-01,0.00000E+00,2.56311E-01,2.10251E-01,0.00000E+00,0.00000E+00,0.00000E+00,2.96016E-01,1.15014E-01,1.73714E-01,6.59525E-02,0.00000E+00,9.08877E-02,4.08489E-02,2.44794E-02,2.11953E-01,2.42225E-03,1.03059E-01,3.63551E-01,0.00000E+00,4.46244E-01,5.45945E-01,1.71824E-01,1.77911E-01,4.80151E-01,2.23091E-01,1.33317E-01,0.00000E+00,1.19554E-01,6.59990E-02,5.47929E-04,7.34088E-02,0.00000E+00,4.21999E-01,1.96704E-01,4.80348E-01,1.63463E-01,3.04692E-01,1.36726E-01,3.64874E-01,1.09654E-01,3.54115E-01,0.00000E+00,2.98332E-01,2.94661E-01,1.30142E-01,2.48924E-01,1.07239E-01,1.56770E-02,1.73807E-01,1.13198E-01,9.72409E-02,0.00000E+00,1.23948E-01,1.81392E-01,0.00000E+00,1.06223E-01,3.13816E-02,9.85634E-02,0.00000E+00,3.95030E-01,4.72842E-01,3.73395E-01,0.00000E+00,2.16104E-01,5.02147E-01,1.57589E-01,6.70101E-02,6.04937E-01,4.36100E-01,0.00000E+00,5.15870E-01,2.27703E-01,1.07993E-01,2.34316E-01,1.33550E-01,2.93483E-01,7.23772E-01,4.38251E-01,6.91769E-01,3.32518E-01,6.28395E-01,9.72459E-01,2.24696E-02,4.75830E-01,1.09220E+00,1.14207E+00,6.98327E-01,1.08495E+00,9.26474E-01,7.74407E-01,1.56881E+00,1.18869E+00,1.42633E+00,1.35705E+00,1.53867E+00,1.95984E+00,1.79405E+00,1.74918E+00,1.99006E+00,2.10289E+00,2.74528E+00,2.26041E+00,2.85891E+00,2.98480E+00,3.48600E+00,3.52949E+00,3.96639E+00,4.39898E+00,4.34441E+00,4.77549E+00,5.10687E+00,5.49264E+00,6.18198E+00,6.53919E+00,7.25676E+00,7.68586E+00,8.52775E+00,9.07203E+00,9.79597E+00,1.07128E+01,1.14283E+01,1.25632E+01,1.33153E+01,1.45735E+01,1.57409E+01,1.67988E+01,1.83686E+01,1.96618E+01,2.14645E+01,2.30862E+01,2.48891E+01,2.68918E+01,2.88857E+01,3.13974E+01,3.38360E+01,3.65898E+01,3.95325E+01,4.27748E+01,4.62362E+01,4.98093E+01,5.39648E+01,5.82399E+01,6.29438E+01,6.79819E+01,7.33013E+01,7.92086E+01,8.58025E+01,9.25720E+01,1.00102E+02
4.50000E-01,5.40406E-01,8.43156E-02,1.68697E-01,2.63146E-01,0.00000E+00,0.00000E+00,6.80496E-02,2.91377E-01,8.30934E-02,3.03845E-01,6.91455E-02,0.00000E+00,7.39208E-02,7.20596E-02,7.80908E-02,3.70848E-01,1.13043E-02,2.11082E-01,3.18823E-01,2.26329E-01,2.65573E-01,4.90513E-01,1.67139E-01,2.85018E-01,4.35156E-01,9.42874E-03,1.09834E-01,6.03163E-02,3.61054E-02,1.44615E-01,1.71631E-01,9.29350E-03,1.15479E-01,4.52802E-01,2.29587E-01,4.98743E-01,3.13488E-01,3.29732E-01,2.90264E-01,4.79868E-01,1.58794E-01,3.24509E-01,0.00000E+00,5.70978E-01,4.24844E-01,6.39798E-02,3.46526E-01,6.11921E-02,9.91033E-02,1.14317E-01,1.67492E-01,1.48318E-01,3.26839E-02,1.28074E-01,6.76217E-02,5.39678E-02,2.36548E-01,9.17649E-03,0.00000E+00,1.00900E-01,4.90296E-01,5.28533E-01,4.12643E-01,1.45967E-02,6.03147E-02,4.70289E-01,1.29171E-01,5.43714E-02,4.19616E-01,4.27931E-01,5.83439E-02,4.85323E-01,2.74611E-01,2.13319E-01,3.17859E-01,1.25432E-01,1.99433E-01,7.43041E-01,3.80278E-01,4.95597E-01,4.56374E-01,4.74000E-01,8.75399E-01,9.04321E-02,5.45983E-01,1.09493E+00,1.14562E+00,7.02250E-01,1.20645E+00,9.28835E-01,8.93104E-01,1.63351E+00,1.05083E+00,1.27121E+00,1.49787E+00,1.51286E+00,1.96685E+00,1.79201E+00,1.98600E+00,1.85981E+00,2.00154E+00,2.91230E+00,2.35134E+00,2.97443E+00,2.77710E+00,3.55590E+00,3.54359E+00,3.92099E+00,4.36833E+00,4.39889E+00,4.80618E+00,5.16672E+00,5.64261E+00,6.07802E+00,6.62636E+00,7.08973E+00,7.85649E+00,8.48327E+00,9.15384E+00,9.86861E+00,1.05909E+01,1.15810E+01,1.24770E+01,1.32962E+01,1.45388E+01,1.56274E+01,1.68303E+01,1.82958E+01,1.96667E+01,2.12435E+01,2.32174E+01,2.47525E+01,2.68702E+01,2.90607E+01,3.13746E+01,3.39239E+01,3.66671E+01,3.95157E+01,4.27617E+01,4.61189E+01,4.98439E+01,5.38652E+01,5.82049E+01,6.30221E+01,6.80006E+01,7.33986E+01,7.93710E+01,8.56622E+01,9.25088E+01,9.99959E+01
