time,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_50,species_51,species_52,species_53,species_54,species_55,species_56,species_57,species_58,species_59,species_60,species_61,species_62,species_63,species_64,species_65,species_66,species_67,species_68,species_69,species_70,species_71,species_72,species_73,species_74,species_75,species_76,species_77,species_78,species_79,species_80,species_81,species_82,species_83,species_84,species_85,species_86,species_87,species_88,species_89,species_90,species_91,species_92,species_93,species_94,species_95,species_96,species_97,species_98,species_99,species_100,species_101,species_102,species_103,species_104,species_105,species_106,species_107,species_108,species_109,species_110,species_111,species_112,species_113,species_114,species_115,species_116,species_117,species_118,species_119,species_120,species_121,species_122,species_123,species_124,species_125,species_126,species_127,species_128,species_129,species_130,species_131,species_132,species_133,species_134,species_135,species_136,species_137,species_138,species_139,species_140,species_141,species_142,species_143,species_144,species_145,species_146,species_147,species_148,species_149,species_150
0.000E+00,9.105E-04,1.254E-03,1.187E-03,1.479E-03,1.380E-03,1.483E-03,1.570E-03,1.656E-03,1.965E-03,1.773E-03,2.116E-03,2.509E-03,2.599E-03,2.314E-03,2.493E-03,2.667E-03,3.640E-03,4.030E-03,4.118E-03,4.216E-03,4.979E-03,5.524E-03,5.639E-03,5.876E-03,6.389E-03,6.974E-03,6.644E-03,9.415E-03,9.082E-03,8.364E-03,1.213E-02,1.179E-02,1.219E-02,1.271E-02,1.344E-02,1.353E-02,1.347E-02,1.728E-02,1.957E-02,2.141E-02,2.274E-02,2.263E-02,2.724E-02,2.728E-02,2.715E-02,3.272E-02,3.403E-02,3.530E-02,4.844E-02,4.690E-02,4.663E-02,5.982E-02,4.459E-02,6.354E-02,6.560E-02,7.696E-02,5.940E-02,7.944E-02,9.910E-02,8.896E-02,1.125E-01,1.195E-01,9.789E-02,1.314E-01,1.494E-01,1.238E-01,1.746E-01,1.935E-01,1.750E-01,1.855E-01,1.868E-01,2.774E-01,2.202E-01,2.787E-01,3.316E-01,3.210E-01,3.291E-01,4.193E-01,4.053E-01,5.212E-01,3.789E-01,5.350E-01,5.609E-01,4.930E-01,5.173E-01,7.595E-01,7.865E-01,7.667E-01,7.437E-01,1.014E+00,9.992E-01,1.236E+00,1.097E+00,1.409E+00,1.311E+00,1.378E+00,1.786E+00,1.567E+00,1.717E+00,1.976E+00,2.195E+00,2.511E+00,2.571E+00,2.661E+00,3.068E+00,3.024E+00,3.511E+00,3.777E+00,3.750E+00,4.570E+00,4.121E+00,5.369E+00,5.831E+00,6.697E+00,6.869E+00,7.561E+00,7.966E+00,1.016E+01,8.346E+00,1.015E+01,1.032E+01,1.223E+01,9.660E+00,1.328E+01,1.562E+01,1.543E+01,1.669E+01,1.823E+01,1.935E+01,2.198E+01,2.332E+01,2.806E+01,2.478E+01,3.560E+01,3.022E+01,2.980E+01,3.926E+01,3.605E+01,4.370E+01,4.852E+01,5.485E+01,5.072E+01,5.998E+01,7.112E+01,6.390E+01,7.488E+01,8.157E+01,7.122E+01,1.022E+02,9.959E+01
5.00000E-02,8.89599E-04,1.25410E-03,1.17505E-03,1.47367E-03,1.31668E-03,1.44772E-03,1.52542E-03,1.68592E-03,2.04587E-03,1.78344E-03,2.07308E-03,2.43096E-03,2.54106E-03,2.31910E-03,2.50984E-03,2.55444E-03,3.56689E-03,4.14435E-03,4.01078E-03,4.06253E-03,4.83469E-03,5.27319E-03,5.66156E-03,6.04877E-03,6.49549E-03,7.09758E-03,6.54748E-03,9.39467E-03,8.87272E-03,8.59283E-03,1.21919E-02,1.16472E-02,1.23073E-02,1.25292E-02,1.31481E-02,1.39756E-02,1.36859E-02,1.72253E-02,2.00913E-02,2.12131E-02,2.26737E-02,2.27650E-02,2.83560E-02,2.72327E-02,2.69727E-02,3.24308E-02,3.57916E-02,3.70030E-02,4.96108E-02,4.83253E-02,4.78401E-02,5.86281E-02,4.44634E-02,6.38003E-02,6.41176E-02,7.46894E-02,6.13904E-02,7.77375E-02,1.00214E-01,8.74287E-02,1.09291E-01,1.20310E-01,9.96509E-02,1.31258E-01,1.49659E-01,1.24408E-01,1.73401E-01,1.92804E-01,1.68835E-01,1.90075E-01,1.90644E-01,2.79183E-01,2.18319E-01,2.75791E-01,3.28734E-01,3.28122E-01,3.26293E-01,4.25436E-01,3.98251E-01,5.25976E-01,3.96468E-01,5.52997E-01,5.52617E-01,4.86604E-01,5.06062E-01,7.64212E-01,7.82962E-01,8.05991E-01,7.02831E-01,1.01502E+00,1.00971E+00,1.21075E+00,1.06497E+00,1.40917E+00,1.30174E+00,1.36202E+00,1.82122E+00,1.58326E+00,1.72523E+00,2.00470E+00,2.15444E+00,2.57749E+00,2.54555E+00,2.65299E+00,3.12103E+00,3.03681E+00,3.56504E+00,3.94105E+00,3.81243E+00,4.57324E+00,4.25777E+00,5.23734E+00,5.84738E+00,6.81959E+00,6.92010E+00,7.34392E+00,7.81694E+00,1.03165E+01,8.44658E+00,9.84311E+00,9.79200E+00,1.20365E+01,9.75637E+00,1.33943E+01,1.57759E+01,1.56310E+01,1.63236E+01,1.76086E+01,1.91018E+01,2.17798E+01,2.36440E+01,2.82746E+01,2.54841E+01,3.51767E+01,3.10340E+01,3.02206E+01,3.95487E+01,3.69087E+01,4.45768E+01,4.73243E+01,5.43247E+01,4.81067E+01,6.08340E+01,7.33714E+01,6.72892E+01,7.48016E+01,8.22998E+01,7.21132E+01,1.03313E+02,1.02334E+02
1.00000E-01,8.69288E-04,1.26132E-03,1.18215E-03,1.49554E-03,1.37796E-03,1.44031E-03,1.51133E-03,1.65855E-03,1.95962E-03,1.73230E-03,2.08188E-03,2.37810E-03,2.51444E-03,2.29975E-03,2.50512E-03,2.68838E-03,3.63551E-03,4.01002E-03,4.16071E-03,4.06592E-03,4.98025E-03,5.36470E-03,5.83283E-03,6.21555E-03,6.49845E-03,7.21909E-03,6.79380E-03,9.37135E-03,8.74416E-03,8.74756E-03,1.19909E-02,1.17686E-02,1.22764E-02,1.25014E-02,1.28644E-02,1.38855E-02,1.40369E-02,1.76463E-02,2.01271E-02,2.11950E-02,2.27553E-02,2.19220E-02,2.78760E-02,2.61857E-02,2.75598E-02,3.14962E-02,3.51583E-02,3.76439E-02,5.30544E-02,4.95597E-02,4.77862E-02,5.54190E-02,4.51376E-02,6.31859E-02,6.41163E-02,7.60125E-02,6.12261E-02,8.00614E-02,1.01816E-01,8.60703E-02,1.13290E-01,1.22639E-01,9.85005E-02,1.31443E-01,1.49991E-01,1.25439E-01,1.81132E-01,1.94150E-01,1.71490E-01,1.94357E-01,1.94937E-01,2.89542E-01,2.18583E-01,2.81893E-01,3.26747E-01,3.25130E-01,3.34581E-01,4.51132E-01,3.96583E-01,5.14994E-01,3.99144E-01,5.54936E-01,5.48712E-01,4.86643E-01,5.18807E-01,7.60585E-01,7.92326E-01,7.93981E-01,6.76216E-01,1.03038E+00,1.02709E+00,1.21687E+00,1.07994E+00,1.37494E+00,1.31477E+00,1.35381E+00,1.77230E+00,1.65270E+00,1.72729E+00,1.97520E+00,2.18408E+00,2.62180E+00,2.55192E+00,2.70108E+00,3.33730E+00,3.00293E+00,3.56215E+00,3.90207E+00,3.90011E+00,4.57575E+00,4.23531E+00,5.14647E+00,5.78622E+00,6.80201E+00,7.03294E+00,7.29923E+00,7.94166E+00,1.00560E+01,8.63271E+00,9.45625E+00,1.00273E+01,1.17510E+01,9.62883E+00,1.37237E+01,1.60330E+01,1.51760E+01,1.60401E+01,1.83773E+01,1.89688E+01,2.24644E+01,2.34877E+01,2.80530E+01,2.59392E+01,3.56510E+01,3.25334E+01,3.09449E+01,3.82462E+01,3.56519E+01,4.41787E+01,4.77262E+01,5.52031E+01,4.73974E+01,6.14207E+01,7.36390E+01,6.47652E+01,7.43511E+01,8.11542E+01,7.15710E+01,1.00632E+02,9.56731E+01
1.50000E-01,8.81633E-04,1.29776E-03,1.18386E-03,1.46111E-03,1.38931E-03,1.39358E-03,1.49129E-03,1.77456E-03,1.96794E-03,1.76356E-03,2.03571E-03,2.32106E-03,2.47764E-03,2.27241E-03,2.49948E-03,2.59419E-03,3.57698E-03,4.05736E-03,4.21127E-03,3.96937E-03,4.83998E-03,5.32509E-03,6.08518E-03,6.08426E-03,6.41771E-03,7.10348E-03,6.84532E-03,9.50255E-03,8.69627E-03,8.61798E-03,1.20030E-02,1.21972E-02,1.21419E-02,1.26743E-02,1.32051E-02,1.43059E-02,1.37554E-02,1.71431E-02,1.98485E-02,2.08079E-02,2.30405E-02,2.16955E-02,2.83359E-02,2.72413E-02,2.86302E-02,3.13616E-02,3.47823E-02,3.65775E-02,5.08561E-02,4.80728E-02,4.86772E-02,5.37314E-02,4.37968E-02,6.32960E-02,6.70659E-02,7.64455E-02,6.08038E-02,8.12709E-02,1.02671E-01,8.44330E-02,1.11695E-01,1.19684E-01,9.94917E-02,1.32816E-01,1.48395E-01,1.26410E-01,1.86996E-01,1.85585E-01,1.61592E-01,2.10590E-01,1.92212E-01,2.86725E-01,2.17975E-01,2.76532E-01,3.16824E-01,3.17372E-01,3.46749E-01,4.56158E-01,3.97961E-01,5.37276E-01,3.79805E-01,5.56601E-01,5.43651E-01,4.85107E-01,5.21475E-01,7.64792E-01,7.96710E-01,7.98283E-01,6.70857E-01,1.07170E+00,1.01304E+00,1.21150E+00,1.11058E+00,1.35269E+00,1.27249E+00,1.35364E+00,1.76489E+00,1.65957E+00,1.74590E+00,2.00912E+00,2.20204E+00,2.67301E+00,2.53804E+00,2.64710E+00,3.35447E+00,2.97252E+00,3.62156E+00,3.81809E+00,3.82538E+00,4.44315E+00,4.29996E+00,5.08396E+00,5.78690E+00,7.04077E+00,7.08092E+00,7.25683E+00,7.71799E+00,9.88936E+00,9.03541E+00,9.11468E+00,1.01811E+01,1.16657E+01,9.68100E+00,1.37019E+01,1.55189E+01,1.48535E+01,1.59987E+01,1.79245E+01,1.88171E+01,2.30431E+01,2.34995E+01,2.76603E+01,2.65387E+01,3.45739E+01,3.47147E+01,3.00789E+01,3.98893E+01,3.71718E+01,4.59918E+01,4.73225E+01,5.54197E+01,4.88446E+01,5.89725E+01,7.44259E+01,6.61623E+01,7.61610E+01,8.57583E+01,7.20437E+01,1.00683E+02,9.15875E+01
2.00000E-01,8.93952E-04,1.28896E-03,1.14492E-03,1.47166E-03,1.38537E-03,1.37423E-03,1.49969E-03,1.68600E-03,2.00896E-03,1.66026E-03,2.02066E-03,2.28316E-03,2.45022E-03,2.27340E-03,2.54839E-03,2.58995E-03,3.52486E-03,3.97517E-03,4.15533E-03,3.79746E-03,4.70768E-03,5.32242E-03,6.13315E-03,5.94462E-03,6.50006E-03,7.34480E-03,6.89459E-03,9.35051E-03,8.63919E-03,8.79999E-03,1.24503E-02,1.21641E-02,1.21907E-02,1.29496E-02,1.31388E-02,1.42442E-02,1.34894E-02,1.78143E-02,1.91919E-02,2.06714E-02,2.30508E-02,2.09296E-02,2.82698E-02,2.80180E-02,2.83250E-02,3.12491E-02,3.42975E-02,3.60426E-02,4.93459E-02,4.73316E-02,4.95349E-02,5.33921E-02,4.49035E-02,6.35845E-02,6.70795E-02,7.52894E-02,6.21687E-02,8.07382E-02,1.00927E-01,8.59080E-02,1.13110E-01,1.21691E-01,9.72257E-02,1.33362E-01,1.48028E-01,1.28989E-01,1.84714E-01,1.91800E-01,1.64778E-01,2.17806E-01,1.94433E-01,2.86872E-01,2.14534E-01,2.78335E-01,3.07186E-01,3.07684E-01,3.42721E-01,4.52035E-01,4.02541E-01,5.36983E-01,3.79051E-01,5.48284E-01,5.36768E-01,4.94477E-01,5.16870E-01,7.58713E-01,8.01187E-01,8.04674E-01,6.70822E-01,1.06647E+00,1.02196E+00,1.18028E+00,1.11163E+00,1.39381E+00,1.28235E+00,1.31355E+00,1.75958E+00,1.64823E+00,1.73000E+00,2.03518E+00,2.11768E+00,2.70969E+00,2.60413E+00,2.67470E+00,3.28528E+00,2.89951E+00,3.45982E+00,3.81304E+00,3.96111E+00,4.39175E+00,4.33563E+00,5.39089E+00,5.70235E+00,7.43245E+00,7.06323E+00,7.17391E+00,7.56095E+00,9.69681E+00,8.75532E+00,9.19587E+00,1.01563E+01,1.17179E+01,9.93927E+00,1.37566E+01,1.51108E+01,1.49984E+01,1.58378E+01,1.79777E+01,1.85648E+01,2.26326E+01,2.38985E+01,2.71009E+01,2.65344E+01,3.59251E+01,3.30729E+01,3.05029E+01,3.99372E+01,3.79364E+01,4.85203E+01,4.77618E+01,5.61502E+01,5.04421E+01,5.77487E+01,7.20662E+01,6.74659E+01,7.52659E+01,8.65974E+01,7.34079E+01,9.73966E+01,9.51512E+01
2.50000E-01,9.14118E-04,1.31010E-03,1.15521E-03,1.45842E-03,1.41009E-03,1.37845E-03,1.49606E-03,1.69696E-03,1.90711E-03,1.67381E-03,1.99603E-03,2.22892E-03,2.34660E-03,2.24701E-03,2.54408E-03,2.58460E-03,3.53056E-03,3.93404E-03,4.21088E-03,3.84287E-03,4.77991E-03,5.39854E-03,6.13670E-03,5.95289E-03,6.50742E-03,7.50849E-03,6.76487E-03,8.96045E-03,8.46241E-03,9.01419E-03,1.21328E-02,1.20525E-02,1.18195E-02,1.32501E-02,1.35130E-02,1.41808E-02,1.33936E-02,1.76949E-02,1.96773E-02,2.03017E-02,2.42506E-02,2.17987E-02,2.73214E-02,2.84888E-02,2.85668E-02,3.18504E-02,3.48716E-02,3.56724E-02,5.06077E-02,4.66845E-02,4.99400E-02,5.38640E-02,4.50115E-02,6.16904E-02,6.68812E-02,7.52217E-02,5.97713E-02,8.19519E-02,1.00374E-01,8.55785E-02,1.14445E-01,1.23913E-01,1.00352E-01,1.29050E-01,1.39496E-01,1.25285E-01,1.79015E-01,1.87838E-01,1.64879E-01,2.16589E-01,1.92198E-01,2.91393E-01,2.17924E-01,2.73829E-01,3.08245E-01,3.12190E-01,3.40450E-01,4.59436E-01,4.03995E-01,5.43832E-01,3.87988E-01,5.56461E-01,5.41798E-01,4.94229E-01,4.94199E-01,7.47610E-01,7.95880E-01,8.15619E-01,6.99326E-01,1.07344E+00,9.84203E-01,1.16261E+00,1.13447E+00,1.37136E+00,1.32744E+00,1.36589E+00,1.74028E+00,1.65955E+00,1.73811E+00,2.01673E+00,2.17193E+00,2.68454E+00,2.58996E+00,2.63314E+00,3.28613E+00,2.84491E+00,3.48720E+00,3.90443E+00,3.86314E+00,4.31036E+00,4.37907E+00,5.27532E+00,5.80645E+00,7.17056E+00,7.25567E+00,7.16674E+00,7.59360E+00,9.93095E+00,8.72153E+00,8.83330E+00,9.72858E+00,1.14873E+01,9.79703E+00,1.36422E+01,1.53441E+01,1.54376E+01,1.56503E+01,1.86251E+01,1.82936E+01,2.28282E+01,2.53231E+01,2.69228E+01,2.72127E+01,3.59267E+01,3.16489E+01,3.01334E+01,4.08945E+01,3.88882E+01,4.77557E+01,4.75706E+01,5.52552E+01,5.09146E+01,5.67643E+01,7.30253E+01,6.64914E+01,7.75462E+01,8.45895E+01,7.47353E+01,9.90892E+01,9.78390E+01
3.00000E-01,9.33061E-04,1.35285E-03,1.15409E-03,1.40778E-03,1.42616E-03,1.37214E-03,1.54718E-03,1.67542E-03,1.90746E-03,1.69032E-03,1.96349E-03,2.14461E-03,2.26879E-03,2.18826E-03,2.58133E-03,2.63872E-03,3.42587E-03,3.75379E-03,4.34680E-03,3.87715E-03,4.60241E-03,5.23146E-03,6.28667E-03,6.11430E-03,6.41570E-03,7.63928E-03,6.81268E-03,8.55693E-03,8.55544E-03,8.98279E-03,1.22595E-02,1.20263E-02,1.17780E-02,1.28794E-02,1.34320E-02,1.42747E-02,1.35780E-02,1.72967E-02,1.99413E-02,2.12206E-02,2.44331E-02,2.14243E-02,2.63510E-02,2.89089E-02,2.86637E-02,3.18013E-02,3.50701E-02,3.64357E-02,5.02334E-02,4.92672E-02,4.88346E-02,5.27657E-02,4.39235E-02,6.11651E-02,6.86802E-02,7.47490E-02,6.21880E-02,8.28630E-02,1.01282E-01,8.58831E-02,1.12765E-01,1.22189E-01,1.00876E-01,1.29856E-01,1.34252E-01,1.28013E-01,1.79369E-01,1.90945E-01,1.58842E-01,2.21180E-01,1.88106E-01,2.95627E-01,2.20881E-01,2.72865E-01,3.17178E-01,3.04763E-01,3.42206E-01,4.58522E-01,3.97570E-01,5.51036E-01,4.05679E-01,5.51328E-01,5.45659E-01,4.94196E-01,4.91820E-01,7.62451E-01,7.83403E-01,8.10540E-01,7.17601E-01,1.08226E+00,9.81597E-01,1.15901E+00,1.13256E+00,1.36555E+00,1.29785E+00,1.35434E+00,1.72472E+00,1.63223E+00,1.75585E+00,2.01957E+00,2.19056E+00,2.64490E+00,2.56769E+00,2.57974E+00,3.20221E+00,2.89572E+00,3.55384E+00,3.70118E+00,3.80220E+00,4.20003E+00,4.28386E+00,5.17825E+00,5.85834E+00,7.19580E+00,7.11114E+00,7.26827E+00,7.63728E+00,9.91213E+00,8.78184E+00,9.10312E+00,9.87957E+00,1.12694E+01,1.01473E+01,1.37933E+01,1.52683E+01,1.54868E+01,1.55567E+01,1.81208E+01,1.78802E+01,2.21091E+01,2.49123E+01,2.77506E+01,2.68574E+01,3.64041E+01,3.20917E+01,3.06434E+01,4.13992E+01,3.86031E+01,4.80159E+01,4.64371E+01,5.17743E+01,5.14376E+01,5.89483E+01,6.90121E+01,6.74795E+01,7.59877E+01,8.79655E+01,7.58255E+01,9.89878E+01,9.76943E+01
3.50000E-01,9.15182E-04,1.38275E-03,1.12784E-03,1.38214E-03,1.42067E-03,1.33066E-03,1.53405E-03,1.70834E-03,1.92761E-03,1.75041E-03,1.99770E-03,2.06396E-03,2.26329E-03,2.12895E-03,2.60209E-03,2.69839E-03,3.48113E-03,3.82742E-03,4.41598E-03,3.85263E-03,4.52576E-03,5.11029E-03,6.19065E-03,6.20234E-03,6.25270E-03,7.76504E-03,6.89383E-03,8.54988E-03,8.48805E-03,9.16142E-03,1.20657E-02,1.18210E-02,1.23242E-02,1.30702E-02,1.35974E-02,1.41295E-02,1.33752E-02,1.74243E-02,1.99112E-02,2.16500E-02,2.43119E-02,2.12475E-02,2.51921E-02,2.69718E-02,2.91961E-02,3.15058E-02,3.54324E-02,3.61065E-02,5.14645E-02,4.91436E-02,4.95359E-02,5.36934E-02,4.21540E-02,5.92760E-02,7.10864E-02,7.29522E-02,6.42050E-02,8.30244E-02,9.89349E-02,8.74870E-02,1.13519E-01,1.28813E-01,1.01155E-01,1.33163E-01,1.31735E-01,1.24698E-01,1.82937E-01,1.86967E-01,1.63524E-01,2.14283E-01,1.89511E-01,2.89681E-01,2.21102E-01,2.68079E-01,3.15012E-01,3.12491E-01,3.48814E-01,4.58410E-01,4.00517E-01,5.33946E-01,4.06718E-01,5.39975E-01,5.33982E-01,5.09077E-01,5.01537E-01,7.51161E-01,7.94930E-01,8.19934E-01,7.20805E-01,1.08406E+00,1.00077E+00,1.10446E+00,1.11370E+00,1.37371E+00,1.32945E+00,1.33797E+00,1.74759E+00,1.63794E+00,1.70948E+00,1.99771E+00,2.31087E+00,2.72009E+00,2.64684E+00,2.67844E+00,3.16828E+00,2.95322E+00,3.51481E+00,3.71623E+00,3.78582E+00,4.34792E+00,4.38256E+00,5.17101E+00,5.80371E+00,6.98818E+00,7.38173E+00,7.10885E+00,7.72990E+00,9.69017E+00,8.79880E+00,8.92819E+00,9.86713E+00,1.11660E+01,9.86765E+00,1.42191E+01,1.54384E+01,1.58075E+01,1.54213E+01,1.79200E+01,1.73321E+01,2.14092E+01,2.43161E+01,2.80838E+01,2.71564E+01,3.61726E+01,3.19699E+01,3.08684E+01,4.06907E+01,3.92725E+01,4.57039E+01,4.85176E+01,5.31254E+01,4.83750E+01,5.89462E+01,6.63688E+01,6.97484E+01,7.60457E+01,8.74084E+01,7.79655E+01,9.72394E+01,9.92299E+01
4.00000E-01,9.69103E-04,1.37044E-03,1.14943E-03,1.35511E-03,1.39157E-03,1.36313E-03,1.53585E-03,1.65888E-03,1.95802E-03,1.80156E-03,1.96834E-03,2.05511E-03,2.25764E-03,2.18512E-03,2.69880E-03,2.71643E-03,3.31437E-03,3.76558E-03,4.43126E-03,3.64466E-03,4.44350E-03,4.98309E-03,6.02672E-03,6.18775E-03,6.39568E-03,7.78105E-03,6.92616E-03,8.40542E-03,8.30309E-03,9.09310E-03,1.18501E-02,1.21031E-02,1.23243E-02,1.29516E-02,1.35501E-02,1.38402E-02,1.34874E-02,1.72225E-02,1.91521E-02,2.14522E-02,2.47200E-02,2.11521E-02,2.51558E-02,2.69115E-02,2.92647E-02,3.10861E-02,3.62278E-02,3.56820E-02,5.07433E-02,4.88449E-02,4.99227E-02,5.34581E-02,4.17598E-02,5.94668E-02,7.17292E-02,6.93550E-02,6.35864E-02,8.39338E-02,1.02120E-01,8.73242E-02,1.10493E-01,1.26125E-01,1.04892E-01,1.35645E-01,1.29258E-01,1.25536E-01,1.80420E-01,1.86458E-01,1.70332E-01,2.16478E-01,2.01745E-01,2.88045E-01,2.24667E-01,2.66923E-01,3.14380E-01,3.09729E-01,3.43145E-01,4.41214E-01,4.06943E-01,5.55004E-01,4.16824E-01,5.28169E-01,5.33105E-01,5.01844E-01,5.08216E-01,7.58371E-01,7.89849E-01,8.13584E-01,7.34098E-01,1.05023E+00,9.79728E-01,1.07437E+00,1.15544E+00,1.38231E+00,1.34273E+00,1.34457E+00,1.75725E+00,1.58921E+00,1.66415E+00,2.00658E+00,2.25418E+00,2.75502E+00,2.62486E+00,2.66620E+00,3.20493E+00,2.94027E+00,3.49812E+00,3.78709E+00,3.76695E+00,4.25130E+00,4.28528E+00,5.06200E+00,5.96198E+00,6.64590E+00,7.47447E+00,6.91059E+00,7.71425E+00,9.72162E+00,8.73011E+00,9.31911E+00,9.76154E+00,1.16044E+01,9.63331E+00,1.39194E+01,1.57547E+01,1.62698E+01,1.54893E+01,1.81230E+01,1.73625E+01,2.12385E+01,2.47591E+01,2.75559E+01,2.75447E+01,3.59273E+01,3.20964E+01,3.07634E+01,4.06461E+01,3.85049E+01,4.72701E+01,4.78336E+01,5.31339E+01,5.07854E+01,5.96686E+01,6.90899E+01,7.08382E+01,7.54554E+01,8.61519E+01,7.86024E+01,9.94525E+01,9.93290E+01
4.50000E-01,9.38331E-04,1.31373E-03,1.11810E-03,1.34433E-03,1.33880E-03,1.38499E-03,1.51723E-03,1.65177E-03,1.99106E-03,1.85594E-03,1.91791E-03,2.11173E-03,2.24845E-03,2.17001E-03,2.73722E-03,2.74735E-03,3.37538E-03,3.75166E-03,4.45245E-03,3.73043E-03,4.35470E-03,4.93116E-03,5.93763E-03,6.16798E-03,6.33741E-03,7.78290E-03,6.88533E-03,8.50380E-03,8.17285E-03,9.04060E-03,1.19896E-02,1.22382E-02,1.23835E-02,1.31380E-02,1.35704E-02,1.37614E-02,1.36914E-02,1.76627E-02,1.96518E-02,2.14527E-02,2.51922E-02,2.12945E-02,2.48098E-02,2.76430E-02,2.86206E-02,3.06049E-02,3.58316E-02,3.64844E-02,5.06549E-02,4.78935E-02,4.94980E-02,5.46066E-02,4.23465E-02,5.89517E-02,7.32654E-02,6.52267E-02,6.45314E-02,8.15545E-02,1.00980E-01,8.50197E-02,1.14452E-01,1.31802E-01,1.02948E-01,1.38590E-01,1.26395E-01,1.29187E-01,1.74165E-01,1.86464E-01,1.63869E-01,2.20226E-01,2.01164E-01,2.83788E-01,2.18399E-01,2.58164E-01,3.08287E-01,3.06666E-01,3.35703E-01,4.32737E-01,4.01252E-01,5.51584E-01,4.09381E-01,5.35378E-01,5.34695E-01,4.75874E-01,5.16511E-01,7.33708E-01,8.00237E-01,8.15233E-01,7.65128E-01,1.03155E+00,9.62049E-01,1.08793E+00,1.14213E+00,1.38615E+00,1.29087E+00,1.32586E+00,1.74228E+00,1.54993E+00,1.65024E+00,2.02763E+00,2.24080E+00,2.70706E+00,2.59564E+00,2.59701E+00,3.16859E+00,3.11663E+00,3.52874E+00,3.75958E+00,3.73636E+00,4.16200E+00,4.27877E+00,5.05981E+00,6.23636E+00,6.73176E+00,7.58378E+00,7.14329E+00,7.99890E+00,9.75765E+00,8.89700E+00,9.10225E+00,9.69846E+00,1.13406E+01,9.68728E+00,1.36828E+01,1.55972E+01,1.62019E+01,1.52960E+01,1.82613E+01,1.76430E+01,2.11772E+01,2.39579E+01,2.70589E+01,2.64521E+01,3.47969E+01,3.20548E+01,3.19180E+01,4.03154E+01,3.72150E+01,4.60805E+01,4.82585E+01,5.29488E+01,5.35847E+01,5.83681E+01,7.15649E+01,7.11291E+01,7.61165E+01,8.51989E+01,7.78129E+01,1.02630E+02,9.69545E+01
