time,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_50,species_51,species_52,species_53,species_54,species_55,species_56,species_57,species_58,species_59,species_60,species_61,species_62,species_63,species_64,species_65,species_66,species_67,species_68,species_69,species_70,species_71,species_72,species_73,species_74,species_75,species_76,species_77,species_78,species_79,species_80,species_81,species_82,species_83,species_84,species_85,species_86,species_87,species_88,species_89,species_90,species_91,species_92,species_93,species_94,species_95,species_96,species_97,species_98,species_99,species_100,species_101,species_102,species_103,species_104,species_105,species_106,species_107,species_108,species_109,species_110,species_111,species_112,species_113,species_114,species_115,species_116,species_117,species_118,species_119,species_120,species_121,species_122,species_123,species_124,species_125,species_126,species_127,species_128,species_129,species_130,species_131,species_132,species_133,species_134,species_135,species_136,species_137,species_138,species_139,species_140,species_141,species_142,species_143,species_144,species_145,species_146,species_147,species_148,species_149,species_150
0.000E+00,1.009E-03,1.260E-03,1.112E-03,1.188E-03,1.368E-03,1.745E-03,1.453E-03,1.663E-03,1.735E-03,1.878E-03,2.450E-03,2.733E-03,2.623E-03,2.700E-03,2.872E-03,3.414E-03,4.069E-03,3.584E-03,4.563E-03,4.026E-03,4.058E-03,4.704E-03,5.628E-03,5.803E-03,6.593E-03,5.848E-03,6.901E-03,6.808E-03,8.972E-03,1.043E-02,1.048E-02,1.047E-02,1.004E-02,1.182E-02,1.334E-02,1.285E-02,1.342E-02,1.823E-02,1.867E-02,1.808E-02,2.133E-02,2.260E-02,2.657E-02,2.878E-02,3.188E-02,2.588E-02,3.617E-02,4.207E-02,4.620E-02,4.370E-02,4.519E-02,5.904E-02,5.083E-02,5.273E-02,6.720E-02,6.704E-02,6.366E-02,7.147E-02,8.260E-02,9.815E-02,9.949E-02,1.308E-01,1.203E-01,1.225E-01,1.387E-01,1.458E-01,1.461E-01,1.646E-01,1.681E-01,2.302E-01,2.524E-01,1.906E-01,2.641E-01,2.487E-01,2.808E-01,3.627E-01,3.876E-01,3.800E-01,4.258E-01,5.358E-01,5.160E-01,5.943E-01,6.097E-01,6.026E-01,7.474E-01,6.697E-01,8.176E-01,9.147E-01,8.017E-01,8.543E-01,1.041E+00,1.176E+00,1.353E+00,1.253E+00,1.355E+00,1.171E+00,1.577E+00,2.143E+00,2.025E+00,2.268E+00,2.438E+00,2.536E+00,2.784E+00,2.950E+00,2.953E+00,3.650E+00,3.981E+00,3.696E+00,3.922E+00,4.789E+00,4.428E+00,5.238E+00,5.531E+00,6.576E+00,6.549E+00,6.444E+00,8.287E+00,8.192E+00,1.030E+01,8.375E+00,1.004E+01,1.190E+01,1.292E+01,1.275E+01,1.444E+01,1.352E+01,1.692E+01,2.111E+01,2.006E+01,1.977E+01,2.532E+01,2.450E+01,2.744E+01,2.873E+01,2.888E+01,3.761E+01,3.411E+01,4.091E+01,3.861E+01,4.684E+01,5.062E+01,4.830E+01,6.518E+01,5.608E+01,6.405E+01,6.439E+01,8.096E+01,1.006E+02,8.881E+01,1.065E+02
5.00000E-02,9.96571E-04,1.31416E-03,1.10294E-03,1.19333E-03,1.39988E-03,1.78202E-03,1.39059E-03,1.67313E-03,1.71927E-03,1.90096E-03,2.39746E-03,2.71167E-03,2.59283E-03,2.62353E-03,2.85883E-03,3.43796E-03,4.08473E-03,3.79559E-03,4.49147E-03,3.93176E-03,4.18152E-03,4.74988E-03,5.51105E-03,5.78380E-03,6.47090E-03,5.90627E-03,7.03383E-03,7.01381E-03,9.10444E-03,1.04831E-02,1.03381E-02,1.02908E-02,1.01935E-02,1.17354E-02,1.33563E-02,1.25264E-02,1.33759E-02,1.76806E-02,1.81198E-02,1.82009E-02,2.21030E-02,2.21762E-02,2.68514E-02,2.80366E-02,3.19137E-02,2.62763E-02,3.75111E-02,4.13278E-02,4.66513E-02,4.03347E-02,4.59637E-02,5.97021E-02,4.98657E-02,5.23748E-02,6.54035E-02,6.63377E-02,6.47772E-02,7.25754E-02,8.03713E-02,9.78261E-02,9.82216E-02,1.32535E-01,1.24152E-01,1.23700E-01,1.36722E-01,1.44075E-01,1.48833E-01,1.65277E-01,1.68629E-01,2.30639E-01,2.42111E-01,1.97579E-01,2.64995E-01,2.49444E-01,2.83993E-01,3.45845E-01,4.04459E-01,3.80415E-01,4.28771E-01,5.31714E-01,5.00571E-01,6.05268E-01,5.91355E-01,6.16865E-01,7.33516E-01,6.85995E-01,8.26335E-01,9.33779E-01,8.25649E-01,8.56027E-01,1.04593E+00,1.15296E+00,1.32276E+00,1.28095E+00,1.36490E+00,1.16628E+00,1.59508E+00,2.04543E+00,2.08266E+00,2.16086E+00,2.43907E+00,2.51718E+00,2.85874E+00,2.95312E+00,2.98928E+00,3.66189E+00,4.06797E+00,3.82420E+00,3.90795E+00,4.85291E+00,4.61266E+00,5.18615E+00,5.66288E+00,6.57755E+00,6.49598E+00,6.59682E+00,8.23330E+00,8.22378E+00,9.76848E+00,8.78837E+00,1.01819E+01,1.12996E+01,1.23462E+01,1.29775E+01,1.40750E+01,1.50168E+01,1.76173E+01,1.94840E+01,1.97438E+01,2.04715E+01,2.38220E+01,2.44784E+01,2.72430E+01,2.93161E+01,3.16110E+01,3.42828E+01,3.68903E+01,3.93910E+01,4.24890E+01,4.62355E+01,4.97314E+01,5.33762E+01,5.74905E+01,6.27416E+01,6.72573E+01,7.20471E+01,7.83150E+01,8.55097E+01,9.19292E+01,1.01577E+02
1.00000E-01,9.98305E-04,1.29678E-03,1.08402E-03,1.13614E-03,1.42489E-03,1.78307E-03,1.34905E-03,1.73320E-03,1.70521E-03,1.91157E-03,2.44766E-03,2.70100E-03,2.64706E-03,2.71080E-03,2.85297E-03,3.47176E-03,4.07682E-03,3.73196E-03,4.44510E-03,3.98768E-03,4.24027E-03,4.92524E-03,5.60391E-03,5.94064E-03,6.51232E-03,6.04284E-03,6.97940E-03,7.07846E-03,8.74093E-03,1.06474E-02,1.03468E-02,1.04126E-02,1.04282E-02,1.17074E-02,1.31974E-02,1.24621E-02,1.37045E-02,1.76878E-02,1.80447E-02,1.89589E-02,2.20779E-02,2.21867E-02,2.66404E-02,2.83140E-02,3.20989E-02,2.68954E-02,3.73467E-02,4.21306E-02,4.71230E-02,4.05770E-02,4.68612E-02,5.87344E-02,5.16906E-02,5.36636E-02,6.85258E-02,6.50281E-02,6.38915E-02,7.30883E-02,7.79207E-02,1.01915E-01,9.89463E-02,1.33386E-01,1.28090E-01,1.21707E-01,1.35456E-01,1.42339E-01,1.45898E-01,1.62220E-01,1.69200E-01,2.23820E-01,2.43312E-01,1.97273E-01,2.62073E-01,2.51861E-01,2.78346E-01,3.40986E-01,4.08272E-01,3.97433E-01,4.34799E-01,5.35393E-01,5.05570E-01,5.78572E-01,5.88953E-01,6.14732E-01,7.14422E-01,6.95825E-01,8.27370E-01,9.06190E-01,8.26599E-01,8.70794E-01,1.03311E+00,1.14983E+00,1.31633E+00,1.25353E+00,1.36761E+00,1.16362E+00,1.63963E+00,1.98873E+00,2.00818E+00,2.11711E+00,2.44064E+00,2.46340E+00,2.83793E+00,2.93459E+00,2.93230E+00,3.57416E+00,4.04797E+00,3.92202E+00,3.95471E+00,4.70069E+00,4.60398E+00,5.18138E+00,5.67992E+00,6.62028E+00,6.54863E+00,6.97978E+00,8.24136E+00,8.25855E+00,9.44238E+00,9.23458E+00,1.03742E+01,1.16069E+01,1.27664E+01,1.36322E+01,1.41917E+01,1.52551E+01,1.72238E+01,1.91058E+01,1.99914E+01,2.09674E+01,2.33191E+01,2.42203E+01,2.71528E+01,2.89940E+01,3.17002E+01,3.38324E+01,3.57446E+01,3.86791E+01,4.34548E+01,4.60908E+01,5.12870E+01,5.46420E+01,5.77443E+01,6.32577E+01,6.67401E+01,7.25282E+01,8.08565E+01,8.57696E+01,9.33394E+01,1.01443E+02
1.50000E-01,1.01891E-03,1.28038E-03,1.14573E-03,1.10997E-03,1.39266E-03,1.75363E-03,1.38760E-03,1.66306E-03,1.71227E-03,1.94058E-03,2.49833E-03,2.66611E-03,2.63502E-03,2.75504E-03,2.93923E-03,3.54188E-03,4.02815E-03,3.65288E-03,4.36363E-03,3.92181E-03,4.31011E-03,4.79583E-03,5.98521E-03,6.15691E-03,6.61281E-03,6.06000E-03,6.76784E-03,6.98444E-03,8.84871E-03,1.04510E-02,1.02945E-02,1.07449E-02,1.08471E-02,1.17125E-02,1.33341E-02,1.25686E-02,1.34162E-02,1.76668E-02,1.72837E-02,1.83163E-02,2.20661E-02,2.20974E-02,2.58123E-02,2.81984E-02,3.14497E-02,2.61173E-02,3.70669E-02,4.10629E-02,4.67908E-02,4.12899E-02,4.75551E-02,5.76852E-02,5.15211E-02,5.32680E-02,6.75139E-02,6.74420E-02,6.42331E-02,7.44792E-02,7.87617E-02,1.01482E-01,1.00301E-01,1.34870E-01,1.34227E-01,1.20200E-01,1.31811E-01,1.40192E-01,1.46557E-01,1.62438E-01,1.68992E-01,2.24556E-01,2.39668E-01,2.06206E-01,2.71854E-01,2.51569E-01,2.85000E-01,3.41756E-01,4.14794E-01,3.86677E-01,4.18558E-01,5.31949E-01,5.08046E-01,5.69223E-01,5.99302E-01,5.99398E-01,7.09690E-01,7.02931E-01,8.23390E-01,8.79581E-01,8.57736E-01,8.48635E-01,1.06929E+00,1.14703E+00,1.36081E+00,1.32029E+00,1.33016E+00,1.19692E+00,1.58160E+00,1.99010E+00,2.01007E+00,2.14222E+00,2.50424E+00,2.56261E+00,2.84095E+00,2.91455E+00,3.03267E+00,3.41897E+00,3.82979E+00,4.04437E+00,4.04039E+00,4.62755E+00,4.64202E+00,5.06939E+00,5.93105E+00,6.47714E+00,6.60638E+00,7.03753E+00,8.17178E+00,8.55855E+00,9.45824E+00,9.34123E+00,1.06658E+01,1.17265E+01,1.25912E+01,1.35753E+01,1.39648E+01,1.50072E+01,1.66247E+01,1.80737E+01,1.94792E+01,2.11754E+01,2.36780E+01,2.50578E+01,2.63983E+01,2.93908E+01,3.10726E+01,3.39064E+01,3.65149E+01,3.92067E+01,4.33481E+01,4.62594E+01,5.01633E+01,5.42524E+01,5.83342E+01,6.23283E+01,6.85604E+01,7.29508E+01,7.96926E+01,8.67635E+01,9.37044E+01,1.00992E+02
2.00000E-01,1.02375E-03,1.26557E-03,1.19251E-03,1.08717E-03,1.38114E-03,1.80307E-03,1.41230E-03,1.70002E-03,1.68477E-03,1.92690E-03,2.45956E-03,2.65124E-03,2.60963E-03,2.77100E-03,2.83546E-03,3.43822E-03,4.05950E-03,3.51734E-03,4.45115E-03,3.98165E-03,4.55480E-03,4.79533E-03,5.98412E-03,6.26624E-03,6.64771E-03,6.09821E-03,6.79116E-03,6.82975E-03,8.79174E-03,1.07138E-02,1.03783E-02,1.02232E-02,1.06714E-02,1.14873E-02,1.33495E-02,1.24334E-02,1.36425E-02,1.78815E-02,1.67301E-02,1.83053E-02,2.24351E-02,2.23561E-02,2.54033E-02,2.74325E-02,3.15445E-02,2.57971E-02,3.61075E-02,3.96849E-02,4.84286E-02,4.19837E-02,4.67152E-02,5.55404E-02,5.08631E-02,5.28647E-02,7.02914E-02,6.54571E-02,6.37140E-02,7.52437E-02,7.57923E-02,1.00967E-01,1.00320E-01,1.27122E-01,1.30087E-01,1.21486E-01,1.36877E-01,1.37563E-01,1.45136E-01,1.62844E-01,1.72448E-01,2.19892E-01,2.39429E-01,2.06410E-01,2.77245E-01,2.50446E-01,2.83378E-01,3.37398E-01,4.25213E-01,3.82971E-01,4.12159E-01,5.26930E-01,4.92116E-01,5.68938E-01,6.05976E-01,6.08485E-01,7.25295E-01,6.97634E-01,8.60020E-01,8.45703E-01,8.51351E-01,8.67210E-01,1.03830E+00,1.16649E+00,1.38730E+00,1.30098E+00,1.29945E+00,1.21351E+00,1.63682E+00,2.02354E+00,2.02171E+00,2.06795E+00,2.49799E+00,2.53299E+00,2.78065E+00,2.94843E+00,3.00652E+00,3.30543E+00,3.76443E+00,4.08159E+00,4.04160E+00,4.66350E+00,4.98593E+00,5.09948E+00,5.84441E+00,6.38832E+00,6.66942E+00,7.28845E+00,8.29777E+00,8.64579E+00,9.40196E+00,9.35900E+00,1.06269E+01,1.18637E+01,1.26329E+01,1.35298E+01,1.45999E+01,1.55161E+01,1.69918E+01,1.85879E+01,1.95421E+01,2.11184E+01,2.31871E+01,2.47261E+01,2.69117E+01,2.95322E+01,3.16850E+01,3.41339E+01,3.54762E+01,3.97503E+01,4.25007E+01,4.71395E+01,4.94612E+01,5.43787E+01,5.80138E+01,6.41030E+01,6.82496E+01,7.31455E+01,7.81927E+01,8.49400E+01,9.30775E+01,1.00330E+02
2.50000E-01,1.02536E-03,1.24443E-03,1.14832E-03,1.06284E-03,1.38998E-03,1.85858E-03,1.43165E-03,1.71194E-03,1.68624E-03,1.93834E-03,2.53881E-03,2.65753E-03,2.64375E-03,2.82156E-03,2.77139E-03,3.40664E-03,4.03492E-03,3.65190E-03,4.32828E-03,4.05587E-03,4.53268E-03,4.73818E-03,5.83791E-03,6.31629E-03,6.86061E-03,6.09535E-03,6.46843E-03,6.79782E-03,8.95873E-03,1.05993E-02,1.04596E-02,1.01526E-02,1.03821E-02,1.16841E-02,1.32134E-02,1.24369E-02,1.44457E-02,1.76682E-02,1.69496E-02,1.81098E-02,2.16299E-02,2.24704E-02,2.53604E-02,2.69757E-02,3.11682E-02,2.56088E-02,3.68405E-02,3.87720E-02,4.84337E-02,4.31543E-02,4.65582E-02,5.36669E-02,5.04869E-02,5.39348E-02,7.30612E-02,6.44951E-02,6.36353E-02,7.47985E-02,7.60900E-02,1.04130E-01,9.92256E-02,1.27355E-01,1.38470E-01,1.22939E-01,1.36621E-01,1.31923E-01,1.47806E-01,1.62540E-01,1.71672E-01,2.21621E-01,2.42094E-01,2.07889E-01,2.67264E-01,2.54798E-01,2.87290E-01,3.32939E-01,4.26839E-01,3.85496E-01,4.30161E-01,5.29836E-01,4.98574E-01,5.57028E-01,6.10523E-01,5.87736E-01,7.12716E-01,6.87774E-01,8.50889E-01,8.39402E-01,8.60737E-01,8.68638E-01,1.08519E+00,1.15527E+00,1.38354E+00,1.24836E+00,1.29442E+00,1.25278E+00,1.58938E+00,2.02878E+00,2.03084E+00,2.05847E+00,2.43096E+00,2.60796E+00,2.77157E+00,2.94165E+00,2.91644E+00,3.22672E+00,3.89891E+00,4.00856E+00,4.08237E+00,4.54143E+00,4.94418E+00,5.05895E+00,5.83301E+00,6.27354E+00,6.59070E+00,7.49749E+00,7.96169E+00,8.64548E+00,9.37930E+00,9.68286E+00,1.06864E+01,1.14578E+01,1.25080E+01,1.34325E+01,1.45691E+01,1.54999E+01,1.68778E+01,1.79304E+01,2.02127E+01,2.17292E+01,2.34507E+01,2.49550E+01,2.62574E+01,2.92701E+01,3.11675E+01,3.38006E+01,3.69658E+01,4.05102E+01,4.27265E+01,4.67872E+01,5.05095E+01,5.27090E+01,5.85899E+01,6.37039E+01,6.69916E+01,7.39117E+01,7.87718E+01,8.52427E+01,9.16621E+01,9.91889E+01
3.00000E-01,1.04859E-03,1.22707E-03,1.09627E-03,1.09163E-03,1.41644E-03,1.90458E-03,1.38217E-03,1.70256E-03,1.69755E-03,1.84755E-03,2.61466E-03,2.71630E-03,2.67781E-03,2.80080E-03,2.68847E-03,3.47463E-03,4.07352E-03,3.80051E-03,4.29986E-03,4.03011E-03,4.72211E-03,4.80956E-03,5.94205E-03,6.46383E-03,6.97672E-03,6.14532E-03,6.70615E-03,6.84338E-03,9.07836E-03,1.08989E-02,1.07299E-02,1.04369E-02,1.04965E-02,1.16149E-02,1.32703E-02,1.26873E-02,1.47758E-02,1.76500E-02,1.68289E-02,1.81457E-02,2.21031E-02,2.23145E-02,2.60923E-02,2.72275E-02,3.12359E-02,2.58190E-02,3.65911E-02,3.80616E-02,4.79108E-02,4.29219E-02,4.47966E-02,5.14713E-02,5.13515E-02,5.56969E-02,7.18198E-02,6.36882E-02,6.50321E-02,7.55766E-02,7.69291E-02,1.07485E-01,1.02127E-01,1.24171E-01,1.38504E-01,1.22740E-01,1.35666E-01,1.25862E-01,1.45689E-01,1.65403E-01,1.76066E-01,2.23056E-01,2.45075E-01,2.12750E-01,2.67737E-01,2.55956E-01,2.93772E-01,3.29037E-01,4.33153E-01,3.93062E-01,4.20366E-01,5.43331E-01,5.05121E-01,5.45793E-01,5.91693E-01,6.19133E-01,7.11560E-01,7.04921E-01,8.42042E-01,8.41210E-01,8.68886E-01,8.65569E-01,1.10753E+00,1.18797E+00,1.36574E+00,1.24983E+00,1.35046E+00,1.25346E+00,1.58514E+00,1.96441E+00,2.02841E+00,2.08353E+00,2.34207E+00,2.60549E+00,2.78227E+00,2.88351E+00,2.86165E+00,3.16934E+00,3.90117E+00,4.09513E+00,4.15064E+00,4.37989E+00,5.01116E+00,4.96812E+00,5.68988E+00,6.46841E+00,6.56337E+00,7.48353E+00,8.02415E+00,8.55733E+00,9.40776E+00,9.90789E+00,1.07461E+01,1.14453E+01,1.24430E+01,1.34208E+01,1.45238E+01,1.55661E+01,1.63993E+01,1.78328E+01,1.97048E+01,2.14362E+01,2.40665E+01,2.45260E+01,2.63890E+01,2.86665E+01,3.13241E+01,3.36041E+01,3.58980E+01,3.96219E+01,4.27035E+01,4.53138E+01,4.92173E+01,5.42364E+01,5.86438E+01,6.18784E+01,6.76950E+01,7.45127E+01,7.77042E+01,8.39221E+01,9.22697E+01,9.99513E+01
3.50000E-01,1.07345E-03,1.28924E-03,1.12805E-03,1.06263E-03,1.41961E-03,1.87116E-03,1.42299E-03,1.69195E-03,1.70797E-03,1.81571E-03,2.64025E-03,2.78924E-03,2.67483E-03,2.73108E-03,2.65064E-03,3.41298E-03,4.09410E-03,3.88100E-03,4.29955E-03,4.01655E-03,4.78790E-03,4.76181E-03,6.12510E-03,6.62516E-03,7.27420E-03,6.39762E-03,6.85363E-03,6.97862E-03,9.34941E-03,1.08912E-02,1.04448E-02,1.01340E-02,1.02467E-02,1.13972E-02,1.31905E-02,1.30665E-02,1.45482E-02,1.81339E-02,1.74426E-02,1.79523E-02,2.24848E-02,2.27114E-02,2.59186E-02,2.69860E-02,3.12260E-02,2.53156E-02,3.75105E-02,3.68520E-02,4.65701E-02,4.35283E-02,4.43967E-02,5.04237E-02,5.41705E-02,5.30100E-02,7.29185E-02,6.25908E-02,6.16887E-02,7.84046E-02,7.45420E-02,1.05932E-01,1.01325E-01,1.26117E-01,1.36352E-01,1.22886E-01,1.41683E-01,1.23378E-01,1.42375E-01,1.67394E-01,1.70192E-01,2.23587E-01,2.47244E-01,2.13834E-01,2.67536E-01,2.53213E-01,3.01929E-01,3.40393E-01,4.38498E-01,4.01613E-01,4.31541E-01,5.55449E-01,4.96306E-01,5.58233E-01,5.71926E-01,6.16956E-01,7.31090E-01,7.08621E-01,8.26792E-01,8.30940E-01,8.49846E-01,8.79551E-01,1.08726E+00,1.18019E+00,1.32340E+00,1.24679E+00,1.36364E+00,1.25937E+00,1.63656E+00,1.93214E+00,2.00788E+00,2.08079E+00,2.27049E+00,2.69005E+00,2.72928E+00,2.95753E+00,2.90924E+00,3.21088E+00,3.87306E+00,4.03297E+00,4.21082E+00,4.37199E+00,5.11502E+00,5.07984E+00,5.69529E+00,6.37859E+00,6.60458E+00,7.46619E+00,7.92049E+00,8.39456E+00,9.46430E+00,9.69892E+00,1.04735E+01,1.17440E+01,1.27461E+01,1.34059E+01,1.49760E+01,1.52678E+01,1.65881E+01,1.73892E+01,1.97921E+01,2.19426E+01,2.30682E+01,2.48230E+01,2.69242E+01,2.89426E+01,3.18857E+01,3.33821E+01,3.76957E+01,3.92121E+01,4.24541E+01,4.66512E+01,5.05144E+01,5.37693E+01,5.90995E+01,6.30683E+01,6.63292E+01,7.27158E+01,7.94399E+01,8.54552E+01,9.29006E+01,1.00341E+02
4.00000E-01,1.06794E-03,1.29226E-03,1.10849E-03,1.07345E-03,1.45708E-03,1.94238E-03,1.44847E-03,1.72373E-03,1.62646E-03,1.90160E-03,2.59790E-03,2.77721E-03,2.73657E-03,2.79396E-03,2.65432E-03,3.47983E-03,4.12068E-03,3.93521E-03,4.32690E-03,4.15653E-03,5.09391E-03,4.78049E-03,6.24371E-03,6.85482E-03,7.22346E-03,6.50033E-03,7.06174E-03,6.83219E-03,9.32932E-03,1.13166E-02,1.03148E-02,1.04009E-02,9.84328E-03,1.15014E-02,1.31999E-02,1.32443E-02,1.49015E-02,1.76936E-02,1.79937E-02,1.81938E-02,2.22228E-02,2.32163E-02,2.56400E-02,2.73091E-02,3.22907E-02,2.45008E-02,3.85803E-02,3.70796E-02,4.71502E-02,4.45580E-02,4.58142E-02,5.03571E-02,5.47920E-02,5.27631E-02,7.15400E-02,6.32623E-02,6.15859E-02,7.77965E-02,7.50776E-02,1.05116E-01,9.96104E-02,1.24976E-01,1.35946E-01,1.22010E-01,1.47126E-01,1.29787E-01,1.43059E-01,1.67057E-01,1.69283E-01,2.23193E-01,2.41600E-01,2.14974E-01,2.69511E-01,2.51828E-01,3.12431E-01,3.42921E-01,4.52196E-01,4.06039E-01,4.32866E-01,5.43692E-01,4.95094E-01,5.74758E-01,5.77726E-01,6.30180E-01,7.36530E-01,7.21862E-01,8.44076E-01,8.38546E-01,8.49997E-01,8.84472E-01,1.10226E+00,1.14050E+00,1.37997E+00,1.23054E+00,1.30301E+00,1.30411E+00,1.61601E+00,1.80275E+00,2.02060E+00,2.07621E+00,2.24715E+00,2.73080E+00,2.78824E+00,3.01638E+00,2.81135E+00,3.28611E+00,4.02378E+00,4.04505E+00,4.24389E+00,4.40030E+00,5.11374E+00,5.10438E+00,5.71694E+00,6.50636E+00,6.66818E+00,7.45494E+00,7.82688E+00,8.55147E+00,9.33223E+00,9.49187E+00,1.08339E+01,1.14205E+01,1.28256E+01,1.30615E+01,1.41307E+01,1.53120E+01,1.71906E+01,1.77685E+01,1.95019E+01,2.14511E+01,2.31588E+01,2.48560E+01,2.67506E+01,2.93200E+01,3.12755E+01,3.40692E+01,3.62505E+01,3.89999E+01,4.32662E+01,4.59841E+01,5.03884E+01,5.32520E+01,5.86522E+01,6.32921E+01,6.79050E+01,7.37510E+01,7.99867E+01,8.54024E+01,9.17249E+01,1.01374E+02
4.50000E-01,1.12756E-03,1.26050E-03,1.09851E-03,1.06548E-03,1.48146E-03,1.94261E-03,1.49727E-03,1.76259E-03,1.65641E-03,1.86694E-03,2.61411E-03,2.79856E-03,2.75599E-03,2.84349E-03,2.67757E-03,3.45570E-03,3.98901E-03,3.87960E-03,4.47531E-03,4.02445E-03,5.11428E-03,4.76055E-03,6.01358E-03,6.71299E-03,7.12512E-03,6.44171E-03,7.31313E-03,6.71641E-03,9.59715E-03,1.13332E-02,1.01776E-02,1.04118E-02,9.85849E-03,1.12710E-02,1.29516E-02,1.34641E-02,1.48271E-02,1.76106E-02,1.79903E-02,1.80359E-02,2.23837E-02,2.33757E-02,2.61824E-02,2.69354E-02,3.21809E-02,2.51055E-02,3.92783E-02,3.83489E-02,4.85998E-02,4.49278E-02,4.49888E-02,5.13813E-02,5.53814E-02,5.37433E-02,7.22805E-02,6.43814E-02,6.28895E-02,7.70192E-02,7.49301E-02,1.02825E-01,9.90848E-02,1.28144E-01,1.39133E-01,1.17751E-01,1.45094E-01,1.36210E-01,1.45111E-01,1.70190E-01,1.70189E-01,2.21853E-01,2.41977E-01,2.15852E-01,2.74648E-01,2.57515E-01,3.07137E-01,3.34945E-01,4.29514E-01,4.14423E-01,4.39999E-01,5.44488E-01,4.99759E-01,5.76119E-01,5.96351E-01,6.03151E-01,7.40871E-01,7.31610E-01,8.19274E-01,8.56237E-01,8.13585E-01,8.77756E-01,1.11694E+00,1.19256E+00,1.35520E+00,1.23164E+00,1.34005E+00,1.32750E+00,1.53525E+00,1.76567E+00,1.97187E+00,1.98380E+00,2.12668E+00,2.79628E+00,2.81903E+00,2.94501E+00,2.79785E+00,3.25665E+00,3.80509E+00,4.11072E+00,4.37988E+00,4.41302E+00,4.93629E+00,5.24532E+00,5.67145E+00,6.14533E+00,6.75750E+00,7.39252E+00,7.81918E+00,8.59333E+00,9.18840E+00,9.92656E+00,1.07534E+01,1.17602E+01,1.30266E+01,1.32107E+01,1.37105E+01,1.54029E+01,1.71025E+01,1.86940E+01,1.97247E+01,2.09904E+01,2.29969E+01,2.46847E+01,2.71714E+01,2.96228E+01,3.13432E+01,3.39546E+01,3.67342E+01,3.88984E+01,4.30170E+01,4.64460E+01,5.05090E+01,5.45359E+01,5.89203E+01,6.31090E+01,6.64870E+01,7.44903E+01,7.84586E+01,8.55734E+01,9.29614E+01,9.90622E+01
