time,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_50,species_51,species_52,species_53,species_54,species_55,species_56,species_57,species_58,species_59,species_60,species_61,species_62,species_63,species_64,species_65,species_66,species_67,species_68,species_69,species_70,species_71,species_72,species_73,species_74,species_75,species_76,species_77,species_78,species_79,species_80,species_81,species_82,species_83,species_84,species_85,species_86,species_87,species_88,species_89,species_90,species_91,species_92,species_93,species_94,species_95,species_96,species_97,species_98,species_99,species_100,species_101,species_102,species_103,species_104,species_105,species_106,species_107,species_108,species_109,species_110,species_111,species_112,species_113,species_114,species_115,species_116,species_117,species_118,species_119,species_120,species_121,species_122,species_123,species_124,species_125,species_126,species_127,species_128,species_129,species_130,species_131,species_132,species_133,species_134,species_135,species_136,species_137,species_138,species_139,species_140,species_141,species_142,species_143,species_144,species_145,species_146,species_147,species_148,species_149,species_150
0.000E+00,9.465E-04,1.177E-03,1.036E-03,1.335E-03,1.212E-03,1.241E-03,1.537E-03,1.741E-03,2.335E-03,1.796E-03,2.352E-03,2.430E-03,2.755E-03,3.158E-03,2.741E-03,2.831E-03,3.608E-03,3.859E-03,3.866E-03,4.710E-03,4.015E-03,5.741E-03,5.565E-03,5.376E-03,6.559E-03,5.628E-03,7.541E-03,7.046E-03,1.008E-02,8.178E-03,9.539E-03,1.046E-02,1.183E-02,9.683E-03,1.451E-02,1.542E-02,1.718E-02,1.993E-02,1.896E-02,1.803E-02,1.913E-02,2.535E-02,2.514E-02,2.945E-02,3.398E-02,2.984E-02,3.453E-02,3.857E-02,3.663E-02,4.065E-02,4.929E-02,5.405E-02,5.529E-02,6.508E-02,5.892E-02,6.653E-02,7.182E-02,6.856E-02,1.087E-01,9.872E-02,1.007E-01,9.718E-02,1.367E-01,1.365E-01,1.610E-01,1.486E-01,1.652E-01,1.907E-01,2.060E-01,2.233E-01,2.436E-01,2.099E-01,2.405E-01,3.235E-01,2.814E-01,3.199E-01,4.186E-01,3.966E-01,4.376E-01,5.227E-01,5.070E-01,4.907E-01,5.080E-01,5.158E-01,7.010E-01,6.554E-01,8.101E-01,8.260E-01,9.589E-01,1.005E+00,1.188E+00,9.930E-01,1.333E+00,1.304E+00,1.638E+00,1.566E+00,1.845E+00,1.915E+00,1.746E+00,2.202E+00,2.237E+00,2.402E+00,2.451E+00,2.588E+00,2.894E+00,3.004E+00,3.415E+00,3.699E+00,5.069E+00,4.142E+00,4.093E+00,5.212E+00,6.131E+00,6.286E+00,7.035E+00,7.177E+00,8.329E+00,8.822E+00,8.143E+00,1.081E+01,1.136E+01,9.779E+00,1.413E+01,1.558E+01,1.675E+01,1.739E+01,1.615E+01,1.677E+01,1.777E+01,2.141E+01,2.000E+01,2.762E+01,2.783E+01,3.178E+01,3.567E+01,3.060E+01,2.924E+01,3.744E+01,3.604E+01,4.427E+01,4.284E+01,5.236E+01,5.672E+01,6.515E+01,7.458E+01,8.617E+01,8.491E+01,8.816E+01,9.030E+01,8.840E+01
1.00000E-01,9.73034E-04,1.15561E-03,1.02671E-03,1.28915E-03,1.20133E-03,1.23461E-03,1.52522E-03,1.63414E-03,2.14986E-03,1.84874E-03,2.41225E-03,2.47884E-03,2.75668E-03,3.09202E-03,2.80427E-03,2.70230E-03,3.63930E-03,3.89786E-03,3.68550E-03,4.90582E-03,3.86738E-03,5.39349E-03,5.89874E-03,5.18634E-03,6.60312E-03,5.85969E-03,7.40239E-03,6.84190E-03,9.79268E-03,8.15089E-03,9.42120E-03,9.94064E-03,1.20980E-02,9.96022E-03,1.40516E-02,1.59821E-02,1.70467E-02,1.98343E-02,1.90763E-02,1.83705E-02,1.85873E-02,2.51444E-02,2.45499E-02,3.03233E-02,3.61278E-02,2.92311E-02,3.44483E-02,3.60869E-02,3.79881E-02,4.21332E-02,5.16322E-02,5.36790E-02,5.37103E-02,6.57204E-02,5.95931E-02,6.44269E-02,6.92466E-02,6.79140E-02,1.03631E-01,9.54257E-02,9.74439E-02,9.84385E-02,1.38769E-01,1.39672E-01,1.56725E-01,1.37822E-01,1.70598E-01,1.94042E-01,2.08886E-01,2.22838E-01,2.33643E-01,2.20079E-01,2.29984E-01,3.31465E-01,2.75649E-01,3.24708E-01,4.05797E-01,3.82056E-01,4.39936E-01,5.17117E-01,5.22292E-01,4.86085E-01,4.73747E-01,5.07979E-01,6.99440E-01,6.58739E-01,7.88652E-01,8.26446E-01,9.58835E-01,1.02682E+00,1.14925E+00,1.01491E+00,1.26096E+00,1.28161E+00,1.75279E+00,1.52400E+00,1.85530E+00,1.87578E+00,1.73512E+00,2.20141E+00,2.30792E+00,2.33356E+00,2.54994E+00,2.71279E+00,2.95876E+00,3.15355E+00,3.58525E+00,3.68671E+00,4.68030E+00,4.11061E+00,4.43587E+00,5.06565E+00,5.71530E+00,5.92798E+00,6.64527E+00,7.41471E+00,7.91761E+00,8.45460E+00,8.50060E+00,9.90069E+00,1.10466E+01,1.08056E+01,1.26777E+01,1.38680E+01,1.49544E+01,1.59119E+01,1.63794E+01,1.79670E+01,1.96178E+01,2.07917E+01,2.29784E+01,2.51712E+01,2.62707E+01,2.87046E+01,3.11401E+01,3.37253E+01,3.59420E+01,3.88675E+01,4.31273E+01,4.53873E+01,5.01145E+01,5.46666E+01,5.77818E+01,6.27637E+01,6.70191E+01,7.32759E+01,7.93649E+01,8.55707E+01,9.24855E+01,1.01439E+02
2.00000E-01,1.00901E-03,1.22586E-03,9.68640E-04,1.36851E-03,1.19867E-03,1.27178E-03,1.44945E-03,1.78208E-03,2.12039E-03,1.83500E-03,2.45811E-03,2.56182E-03,2.67348E-03,3.05937E-03,2.77432E-03,2.60233E-03,3.69413E-03,3.97482E-03,3.69694E-03,4.96078E-03,3.86846E-03,5.45099E-03,5.91786E-03,5.33437E-03,6.79393E-03,5.76271E-03,7.36979E-03,6.76949E-03,9.98689E-03,8.43737E-03,8.92021E-03,1.01132E-02,1.15795E-02,9.74637E-03,1.36134E-02,1.58775E-02,1.76862E-02,1.87858E-02,1.92887E-02,1.81132E-02,1.77783E-02,2.57025E-02,2.48288E-02,2.75486E-02,3.59876E-02,3.00903E-02,3.61853E-02,3.71026E-02,3.61569E-02,4.05019E-02,5.04350E-02,5.34535E-02,5.36565E-02,7.29749E-02,5.89806E-02,6.50879E-02,7.17226E-02,6.74854E-02,1.06193E-01,9.78185E-02,1.00647E-01,1.00136E-01,1.42979E-01,1.46148E-01,1.55414E-01,1.45262E-01,1.55739E-01,1.86573E-01,1.98845E-01,2.11867E-01,2.37158E-01,2.21998E-01,2.12904E-01,3.29048E-01,2.57198E-01,3.20683E-01,4.08772E-01,3.62578E-01,4.22981E-01,4.95920E-01,5.02659E-01,4.71149E-01,4.96671E-01,5.19462E-01,6.92297E-01,6.75630E-01,7.56884E-01,8.80130E-01,9.87003E-01,1.02977E+00,1.14206E+00,1.00636E+00,1.27457E+00,1.22397E+00,1.67294E+00,1.58871E+00,1.79609E+00,1.80930E+00,1.74410E+00,2.18230E+00,2.42899E+00,2.38508E+00,2.62966E+00,2.71672E+00,3.16575E+00,3.27030E+00,3.58187E+00,3.72799E+00,4.62206E+00,4.22872E+00,4.64454E+00,5.38361E+00,5.80635E+00,6.17283E+00,6.51380E+00,7.28623E+00,7.67413E+00,8.19133E+00,8.86956E+00,9.69876E+00,1.07029E+01,1.12797E+01,1.27679E+01,1.31399E+01,1.43212E+01,1.53866E+01,1.67032E+01,1.83222E+01,1.96407E+01,2.10008E+01,2.35457E+01,2.50098E+01,2.64515E+01,2.86729E+01,3.10104E+01,3.37974E+01,3.64758E+01,3.93796E+01,4.28608E+01,4.57563E+01,5.00088E+01,5.36255E+01,5.78196E+01,6.26282E+01,6.77294E+01,7.46456E+01,8.01369E+01,8.56721E+01,9.18771E+01,9.89124E+01
3.00000E-01,9.69912E-04,1.22294E-03,1.00395E-03,1.32070E-03,1.23769E-03,1.30420E-03,1.46633E-03,1.81130E-03,2.08358E-03,1.92144E-03,2.44839E-03,2.58632E-03,2.65079E-03,3.22555E-03,2.72632E-03,2.68300E-03,3.50830E-03,4.11066E-03,3.91880E-03,5.10906E-03,3.77044E-03,5.34283E-03,6.04684E-03,5.23288E-03,6.57143E-03,5.60747E-03,7.63080E-03,6.33576E-03,1.01012E-02,8.46207E-03,9.06181E-03,9.50610E-03,1.13372E-02,1.00056E-02,1.38121E-02,1.54953E-02,1.74435E-02,1.88758E-02,1.91119E-02,1.79434E-02,1.88278E-02,2.58271E-02,2.34274E-02,2.71183E-02,3.58373E-02,3.05127E-02,3.57836E-02,3.78068E-02,3.60112E-02,4.11961E-02,5.18216E-02,5.26835E-02,5.22634E-02,7.47607E-02,6.04459E-02,6.62812E-02,7.42242E-02,6.88284E-02,1.13176E-01,1.00602E-01,1.01355E-01,1.01668E-01,1.39788E-01,1.46778E-01,1.56503E-01,1.51180E-01,1.52752E-01,1.89338E-01,2.02693E-01,2.19446E-01,2.35243E-01,2.15294E-01,2.11196E-01,3.21900E-01,2.48336E-01,3.15987E-01,4.11409E-01,3.50170E-01,4.42989E-01,4.99819E-01,4.98969E-01,4.59606E-01,4.93833E-01,5.48984E-01,7.00134E-01,6.32800E-01,7.73552E-01,8.85745E-01,9.68697E-01,9.93181E-01,1.13307E+00,9.29482E-01,1.29456E+00,1.22342E+00,1.68786E+00,1.58269E+00,1.74812E+00,1.79445E+00,1.88079E+00,2.22630E+00,2.42117E+00,2.39265E+00,2.65190E+00,2.74016E+00,3.13417E+00,3.28152E+00,3.51315E+00,3.82865E+00,4.49338E+00,4.36222E+00,4.82811E+00,5.31654E+00,5.89785E+00,6.24723E+00,6.60099E+00,7.25468E+00,7.90557E+00,8.32666E+00,9.03883E+00,1.00185E+01,1.06609E+01,1.15160E+01,1.28820E+01,1.36529E+01,1.43734E+01,1.49007E+01,1.64822E+01,1.84950E+01,1.94691E+01,2.15017E+01,2.23746E+01,2.50882E+01,2.63643E+01,2.85479E+01,3.12496E+01,3.40398E+01,3.64535E+01,3.87906E+01,4.22062E+01,4.60154E+01,4.86134E+01,5.40044E+01,5.71587E+01,6.30906E+01,6.90160E+01,7.27644E+01,7.97573E+01,8.58604E+01,9.30200E+01,1.00768E+02
4.00000E-01,9.52719E-04,1.22671E-03,1.00547E-03,1.34495E-03,1.27903E-03,1.30346E-03,1.42107E-03,1.84707E-03,2.19607E-03,1.96202E-03,2.45203E-03,2.56575E-03,2.84478E-03,3.01232E-03,2.63848E-03,2.50575E-03,3.52491E-03,4.02444E-03,3.72285E-03,5.26930E-03,3.99560E-03,5.02262E-03,5.70916E-03,5.29195E-03,6.33647E-03,5.63441E-03,7.12084E-03,6.46642E-03,9.69045E-03,8.13941E-03,9.27628E-03,9.19487E-03,1.16610E-02,9.83895E-03,1.44033E-02,1.49047E-02,1.82108E-02,1.79946E-02,2.04568E-02,1.84191E-02,1.88728E-02,2.72132E-02,2.31185E-02,2.80932E-02,3.51972E-02,3.00160E-02,3.55507E-02,3.72801E-02,3.67476E-02,4.22730E-02,5.06603E-02,5.35475E-02,5.43639E-02,7.54624E-02,6.24914E-02,6.79350E-02,7.82120E-02,7.08036E-02,1.08927E-01,9.71403E-02,1.01560E-01,9.37511E-02,1.47815E-01,1.38387E-01,1.62341E-01,1.46653E-01,1.59050E-01,1.90979E-01,2.08471E-01,2.18769E-01,2.41073E-01,2.14101E-01,2.08469E-01,3.10273E-01,2.48896E-01,3.17173E-01,3.92983E-01,3.57657E-01,4.32312E-01,4.95779E-01,5.05854E-01,4.83283E-01,4.79315E-01,5.59800E-01,6.79485E-01,6.31803E-01,7.78074E-01,8.78908E-01,1.00698E+00,9.80160E-01,1.07259E+00,9.56772E-01,1.31469E+00,1.23024E+00,1.69530E+00,1.48778E+00,1.59984E+00,1.84504E+00,1.86756E+00,2.26483E+00,2.32461E+00,2.31786E+00,2.63767E+00,2.83757E+00,3.07315E+00,3.38206E+00,3.49958E+00,4.08833E+00,4.52883E+00,4.44983E+00,4.87217E+00,5.20393E+00,5.68348E+00,6.20155E+00,6.62323E+00,6.64039E+00,7.85438E+00,8.22961E+00,8.89671E+00,9.86995E+00,1.03288E+01,1.16934E+01,1.23987E+01,1.33516E+01,1.40523E+01,1.55764E+01,1.61441E+01,1.87463E+01,1.92602E+01,2.20623E+01,2.25992E+01,2.45327E+01,2.69523E+01,2.94143E+01,3.15420E+01,3.35259E+01,3.59306E+01,3.89536E+01,4.39765E+01,4.63220E+01,5.05443E+01,5.42881E+01,5.81281E+01,6.22827E+01,6.75791E+01,7.29073E+01,7.98271E+01,8.47822E+01,9.26468E+01,9.90426E+01
5.00000E-01,9.98302E-04,1.23946E-03,1.03834E-03,1.32020E-03,1.27715E-03,1.30972E-03,1.39553E-03,1.83890E-03,2.13736E-03,1.87612E-03,2.39405E-03,2.52327E-03,2.81057E-03,2.99153E-03,2.71053E-03,2.47506E-03,3.32552E-03,4.06109E-03,3.73413E-03,5.27211E-03,4.18287E-03,5.21658E-03,5.94910E-03,5.46203E-03,6.59524E-03,5.82966E-03,7.24281E-03,6.44312E-03,9.96811E-03,8.37145E-03,9.30993E-03,9.03386E-03,1.20142E-02,1.02768E-02,1.44446E-02,1.59259E-02,1.78301E-02,1.75080E-02,2.04848E-02,1.87386E-02,1.86969E-02,2.54490E-02,2.44680E-02,2.74948E-02,3.54259E-02,2.99409E-02,3.69541E-02,3.69312E-02,3.56119E-02,4.29621E-02,5.12077E-02,5.46226E-02,5.26964E-02,7.63581E-02,6.34032E-02,6.55019E-02,7.57438E-02,7.12142E-02,1.13590E-01,9.70246E-02,9.88620E-02,9.40072E-02,1.43620E-01,1.36205E-01,1.70805E-01,1.45622E-01,1.54229E-01,1.96848E-01,2.01147E-01,2.11775E-01,2.46853E-01,2.21101E-01,1.98980E-01,3.08804E-01,2.42466E-01,3.29060E-01,4.11814E-01,3.37143E-01,4.34687E-01,4.88567E-01,5.06928E-01,4.69233E-01,4.65920E-01,5.49614E-01,6.95873E-01,6.11546E-01,7.71481E-01,8.32364E-01,1.01683E+00,1.01847E+00,1.07063E+00,9.27486E-01,1.26857E+00,1.29803E+00,1.68314E+00,1.58911E+00,1.59500E+00,1.84911E+00,1.85726E+00,2.22447E+00,2.37410E+00,2.24149E+00,2.65502E+00,2.81127E+00,3.13549E+00,3.48050E+00,3.40975E+00,3.85282E+00,4.63342E+00,4.59286E+00,4.84761E+00,5.13900E+00,5.58014E+00,6.06458E+00,6.70612E+00,6.96732E+00,7.72938E+00,8.22103E+00,8.96168E+00,9.67691E+00,1.04782E+01,1.13673E+01,1.22960E+01,1.32392E+01,1.43897E+01,1.58819E+01,1.69571E+01,1.88642E+01,1.98465E+01,2.12840E+01,2.33345E+01,2.48551E+01,2.66416E+01,2.87995E+01,3.16555E+01,3.42508E+01,3.68388E+01,3.92292E+01,4.37143E+01,4.60062E+01,5.03689E+01,5.37076E+01,5.87051E+01,6.34298E+01,6.92808E+01,7.52515E+01,8.12538E+01,8.54902E+01,9.23382E+01,1.00374E+02
6.00000E-01,1.02773E-03,1.21444E-03,1.07524E-03,1.25036E-03,1.31771E-03,1.30970E-03,1.40662E-03,1.83427E-03,2.21449E-03,1.88059E-03,2.44060E-03,2.58150E-03,2.76648E-03,3.06166E-03,2.88338E-03,2.41744E-03,3.21406E-03,4.13363E-03,3.72032E-03,5.35826E-03,4.13028E-03,5.09967E-03,6.29783E-03,5.20681E-03,6.30003E-03,5.64787E-03,7.20689E-03,6.59224E-03,9.79095E-03,8.77209E-03,9.27429E-03,9.49658E-03,1.11444E-02,1.03625E-02,1.38280E-02,1.57084E-02,1.80985E-02,1.73679E-02,1.97144E-02,1.92426E-02,1.95667E-02,2.57046E-02,2.34151E-02,2.70646E-02,3.57017E-02,2.94607E-02,3.71456E-02,3.58458E-02,3.63311E-02,4.32327E-02,5.12307E-02,5.68060E-02,5.15800E-02,7.54368E-02,6.36945E-02,6.58829E-02,7.37674E-02,7.22213E-02,1.10320E-01,9.97326E-02,9.73202E-02,9.77021E-02,1.46911E-01,1.33618E-01,1.70736E-01,1.42048E-01,1.55391E-01,1.96957E-01,1.99218E-01,2.09140E-01,2.49781E-01,2.27010E-01,2.02403E-01,3.07462E-01,2.42030E-01,3.27102E-01,4.16438E-01,3.50708E-01,4.08500E-01,5.03136E-01,5.09366E-01,4.85234E-01,4.73162E-01,5.55336E-01,7.12478E-01,6.42324E-01,8.06230E-01,8.47533E-01,9.78627E-01,1.02630E+00,1.10972E+00,9.62802E-01,1.25068E+00,1.33677E+00,1.65626E+00,1.55851E+00,1.59408E+00,1.70594E+00,1.88552E+00,2.12677E+00,2.26378E+00,2.25861E+00,2.62332E+00,2.72477E+00,2.98801E+00,3.55172E+00,3.43336E+00,3.91363E+00,4.47918E+00,4.53435E+00,4.77475E+00,5.08967E+00,5.91125E+00,6.13865E+00,6.56678E+00,7.04400E+00,7.77824E+00,8.48677E+00,9.15902E+00,1.00104E+01,1.05846E+01,1.14482E+01,1.16683E+01,1.34962E+01,1.44178E+01,1.53686E+01,1.72604E+01,1.83800E+01,1.99554E+01,2.19083E+01,2.32098E+01,2.46472E+01,2.69173E+01,2.90960E+01,3.14310E+01,3.34288E+01,3.67489E+01,3.91128E+01,4.25454E+01,4.58594E+01,5.00540E+01,5.35809E+01,5.83306E+01,6.17974E+01,6.81904E+01,7.36335E+01,8.02671E+01,8.58458E+01,9.33711E+01,1.00746E+02
7.00000E-01,1.06387E-03,1.19338E-03,1.09756E-03,1.19576E-03,1.32280E-03,1.31895E-03,1.41015E-03,1.81291E-03,2.19343E-03,1.82803E-03,2.36796E-03,2.54749E-03,2.83352E-03,3.13187E-03,2.86494E-03,2.45855E-03,3.23098E-03,4.41542E-03,3.63952E-03,5.57625E-03,4.28005E-03,5.23393E-03,6.33610E-03,5.21168E-03,6.38180E-03,5.94487E-03,7.09677E-03,6.79731E-03,9.89021E-03,8.53199E-03,9.36127E-03,9.15353E-03,1.13279E-02,1.06388E-02,1.42137E-02,1.50600E-02,1.80988E-02,1.69699E-02,2.00188E-02,1.88791E-02,1.99640E-02,2.57065E-02,2.38792E-02,2.69948E-02,3.60719E-02,2.90665E-02,3.72298E-02,3.37185E-02,3.53507E-02,4.30910E-02,5.04226E-02,5.71841E-02,5.49604E-02,7.37127E-02,6.20794E-02,6.54010E-02,7.17185E-02,7.05726E-02,1.12409E-01,9.86674E-02,1.04305E-01,9.65707E-02,1.49632E-01,1.30723E-01,1.69233E-01,1.45545E-01,1.57628E-01,1.96815E-01,2.00969E-01,2.00372E-01,2.64098E-01,2.33000E-01,1.99717E-01,3.02929E-01,2.29082E-01,3.24948E-01,4.06078E-01,3.63041E-01,4.18974E-01,4.97516E-01,5.23491E-01,4.98437E-01,4.86838E-01,5.44189E-01,6.87192E-01,6.67467E-01,7.78038E-01,8.34936E-01,9.72411E-01,9.99392E-01,1.15659E+00,9.63946E-01,1.24491E+00,1.38162E+00,1.64814E+00,1.59352E+00,1.52792E+00,1.71985E+00,1.92933E+00,2.10868E+00,2.24646E+00,2.33262E+00,2.66449E+00,2.74067E+00,3.04775E+00,3.56006E+00,3.37010E+00,3.97282E+00,4.31119E+00,4.60331E+00,5.07452E+00,4.89919E+00,5.81385E+00,6.14068E+00,6.34285E+00,6.91585E+00,7.84721E+00,8.55429E+00,9.38963E+00,1.00130E+01,1.09329E+01,1.16367E+01,1.20924E+01,1.37480E+01,1.42828E+01,1.52497E+01,1.71204E+01,1.77364E+01,1.91773E+01,2.11419E+01,2.31544E+01,2.52972E+01,2.68376E+01,2.91088E+01,3.09038E+01,3.36855E+01,3.66669E+01,3.87555E+01,4.28206E+01,4.64256E+01,4.98144E+01,5.37005E+01,5.80497E+01,6.25872E+01,6.78775E+01,7.40587E+01,7.94765E+01,8.68770E+01,9.24553E+01,9.92949E+01
8.00000E-01,1.07629E-03,1.22879E-03,1.08233E-03,1.23372E-03,1.33214E-03,1.31472E-03,1.46427E-03,1.78232E-03,2.14757E-03,1.81597E-03,2.42297E-03,2.60110E-03,2.75446E-03,3.00615E-03,2.78123E-03,2.37649E-03,3.26533E-03,4.72477E-03,3.73684E-03,5.85803E-03,4.46529E-03,5.09909E-03,6.23674E-03,5.13102E-03,6.19681E-03,5.84218E-03,6.96566E-03,7.08833E-03,1.01447E-02,8.68946E-03,9.56520E-03,9.01129E-03,1.20800E-02,1.06194E-02,1.44520E-02,1.51347E-02,1.72582E-02,1.63860E-02,1.97115E-02,1.89634E-02,2.00500E-02,2.55138E-02,2.56529E-02,2.56329E-02,3.67839E-02,3.05400E-02,3.51603E-02,3.44070E-02,3.65531E-02,4.17535E-02,4.95226E-02,5.82205E-02,5.58876E-02,7.37402E-02,5.92844E-02,6.24676E-02,7.17090E-02,7.08916E-02,1.11032E-01,1.03870E-01,1.03234E-01,9.87683E-02,1.47077E-01,1.26822E-01,1.76752E-01,1.56300E-01,1.61661E-01,2.03122E-01,1.99478E-01,2.03375E-01,2.74593E-01,2.35163E-01,2.06296E-01,3.11512E-01,2.33429E-01,3.20795E-01,4.08493E-01,3.67195E-01,4.27853E-01,5.13382E-01,4.90100E-01,5.05546E-01,4.87328E-01,5.39340E-01,6.89164E-01,6.74989E-01,7.61117E-01,8.58055E-01,9.78235E-01,9.92173E-01,1.10514E+00,9.49219E-01,1.21634E+00,1.35496E+00,1.65239E+00,1.60999E+00,1.55893E+00,1.76446E+00,1.90471E+00,2.16568E+00,2.32687E+00,2.41784E+00,2.74888E+00,2.58553E+00,2.91454E+00,3.45433E+00,3.41759E+00,3.85235E+00,4.23315E+00,4.46624E+00,4.92390E+00,5.10146E+00,5.75919E+00,6.47890E+00,6.39506E+00,7.24718E+00,8.02975E+00,8.40052E+00,9.09513E+00,1.02595E+01,1.08978E+01,1.19149E+01,1.21750E+01,1.32687E+01,1.46591E+01,1.56800E+01,1.71963E+01,1.77478E+01,1.96241E+01,2.12958E+01,2.32014E+01,2.49226E+01,2.68699E+01,2.88434E+01,3.12734E+01,3.36377E+01,3.59619E+01,3.93134E+01,4.26655E+01,4.59146E+01,5.01798E+01,5.39075E+01,5.73696E+01,6.28159E+01,6.89083E+01,7.41116E+01,7.92295E+01,8.64026E+01,9.22368E+01,9.98609E+01
9.00000E-01,1.06883E-03,1.23338E-03,1.08862E-03,1.29017E-03,1.35325E-03,1.27647E-03,1.35582E-03,1.88070E-03,2.18098E-03,1.73077E-03,2.56203E-03,2.50163E-03,2.66406E-03,3.02574E-03,2.74381E-03,2.28433E-03,3.33310E-03,4.58454E-03,3.88281E-03,6.07678E-03,4.40432E-03,5.23272E-03,5.92041E-03,5.09878E-03,6.19840E-03,5.54393E-03,7.30025E-03,6.95209E-03,1.05414E-02,9.20705E-03,9.65360E-03,9.34376E-03,1.20983E-02,1.04364E-02,1.37013E-02,1.47689E-02,1.73978E-02,1.68916E-02,1.98011E-02,1.88208E-02,2.04606E-02,2.53126E-02,2.53682E-02,2.66685E-02,3.57424E-02,3.12882E-02,3.47125E-02,3.39932E-02,3.66458E-02,4.32637E-02,4.83656E-02,5.74631E-02,5.92962E-02,6.95654E-02,6.01568E-02,6.38970E-02,7.28668E-02,6.89300E-02,1.08221E-01,1.02968E-01,1.07326E-01,9.58769E-02,1.46742E-01,1.30431E-01,1.68787E-01,1.55504E-01,1.60797E-01,2.00706E-01,2.08201E-01,1.99245E-01,2.62739E-01,2.32393E-01,2.07531E-01,3.09640E-01,2.35280E-01,3.29116E-01,4.07788E-01,3.56316E-01,3.98653E-01,5.09890E-01,4.99503E-01,5.30076E-01,4.58618E-01,5.44202E-01,6.69642E-01,6.80743E-01,7.59319E-01,8.53042E-01,1.00751E+00,1.00181E+00,1.08300E+00,1.02934E+00,1.17191E+00,1.28523E+00,1.64292E+00,1.61935E+00,1.56953E+00,1.81949E+00,1.88343E+00,2.16544E+00,2.47696E+00,2.35735E+00,2.85726E+00,2.74056E+00,3.05483E+00,3.42500E+00,3.58318E+00,3.89939E+00,4.16631E+00,4.62407E+00,4.81884E+00,5.39842E+00,5.84096E+00,6.18741E+00,6.52398E+00,7.48146E+00,8.23858E+00,8.38618E+00,8.93171E+00,1.00006E+01,1.10510E+01,1.15748E+01,1.27992E+01,1.37621E+01,1.44076E+01,1.58120E+01,1.73482E+01,1.83203E+01,2.06564E+01,2.16364E+01,2.32307E+01,2.51360E+01,2.73276E+01,2.82887E+01,3.09976E+01,3.39145E+01,3.57308E+01,3.90594E+01,4.32307E+01,4.58964E+01,4.95710E+01,5.47459E+01,5.78867E+01,6.29988E+01,6.82677E+01,7.31933E+01,7.88291E+01,8.51029E+01,9.42650E+01,9.98650E+01
