time,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_50,species_51,species_52,species_53,species_54,species_55,species_56,species_57,species_58,species_59,species_60,species_61,species_62,species_63,species_64,species_65,species_66,species_67,species_68,species_69,species_70,species_71,species_72,species_73,species_74,species_75,species_76,species_77,species_78,species_79,species_80,species_81,species_82,species_83,species_84,species_85,species_86,species_87,species_88,species_89,species_90,species_91,species_92,species_93,species_94,species_95,species_96,species_97,species_98,species_99,species_100,species_101,species_102,species_103,species_104,species_105,species_106,species_107,species_108,species_109,species_110,species_111,species_112,species_113,species_114,species_115,species_116,species_117,species_118,species_119,species_120,species_121,species_122,species_123,species_124,species_125,species_126,species_127,species_128,species_129,species_130,species_131,species_132,species_133,species_134,species_135,species_136,species_137,species_138,species_139,species_140,species_141,species_142,species_143,species_144,species_145,species_146,species_147,species_148,species_149,species_150
0.0,0.0010199999999999999,0.001101,0.001254,0.0013369999999999999,0.001309,0.0016690000000000001,0.001485,0.001947,0.0017640000000000002,0.001968,0.002438,0.00245,0.002436,0.002726,0.003037,0.002978,0.003743,0.003978,0.004318,0.004606,0.004634,0.004849,0.005823,0.007174,0.006423000000000001,0.007142,0.007905,0.009066,0.006984000000000001,0.009511,0.009588,0.011590000000000001,0.011940000000000001,0.013219999999999999,0.01402,0.01679,0.0135,0.01712,0.02071,0.02061,0.01906,0.023280000000000002,0.02314,0.031689999999999996,0.0337,0.028739999999999998,0.029939999999999998,0.04576,0.03862,0.04844,0.054360000000000006,0.04618,0.058839999999999996,0.05715,0.07126,0.07343999999999999,0.08036,0.07679,0.08052999999999999,0.07957,0.1101,0.1145,0.1246,0.1229,0.1261,0.1557,0.1635,0.1775,0.2073,0.2251,0.2,0.2543,0.2821,0.2249,0.336,0.3414,0.3193,0.3952,0.4213,0.4372,0.3782,0.5477,0.5388,0.5518,0.5814,0.7852,0.8669,0.8373,0.9938,0.9867,1.043,1.068,1.271,1.357,1.5,1.3880000000000001,1.482,1.693,1.96,1.757,2.0709999999999997,2.504,2.681,3.096,3.161,3.1319999999999997,3.807,3.9789999999999996,3.93,4.502,5.4639999999999995,5.15,4.868,6.257000000000001,6.459,7.107,7.06,7.153,9.189,11.03,12.16,10.62,13.46,14.02,13.11,13.67,18.42,16.83,19.45,17.06,21.78,25.85,30.4,31.97,27.96,29.59,38.12,43.63,46.79,45.48,44.41,50.0,61.18,59.09,57.8,79.81,81.12,84.15,91.99,100.5
0.05,0.00104911,0.00114264,0.00129784,0.00134218,0.00127135,0.00170137,0.00145774,0.00201079,0.00180005,0.00196272,0.00248937,0.00248365,0.00249482,0.00260015,0.00306603,0.00284689,0.00370669,0.00392001,0.00450802,0.00453473,0.00469525,0.00490383,0.00568417,0.00729686,0.00633563,0.00719,0.00757495,0.00917885,0.00677631,0.00961859,0.00947949,0.011054099999999999,0.0119527,0.0134374,0.013954499999999998,0.016756200000000002,0.0136585,0.0172446,0.0211608,0.0206789,0.018557,0.023005,0.024090900000000002,0.031798200000000006,0.0339394,0.028887599999999996,0.029230799999999998,0.0441111,0.0383465,0.0468069,0.0544409,0.0449241,0.0591474,0.057122400000000004,0.07112260000000001,0.0723862,0.0804063,0.0783712,0.080712,0.0786694,0.10953299999999999,0.11786600000000001,0.129551,0.124024,0.126366,0.15768900000000002,0.16131199999999998,0.174654,0.21155700000000002,0.224604,0.20795999999999998,0.262441,0.278942,0.23243200000000003,0.3283,0.328273,0.322286,0.38810500000000003,0.431479,0.43153400000000003,0.38457600000000003,0.544946,0.526027,0.574563,0.584066,0.8005359999999999,0.865952,0.8337120000000001,0.9599530000000001,0.9873,1.0527600000000001,1.05931,1.25594,1.3338,1.51347,1.4203,1.44941,1.75449,1.96061,1.83355,2.1479,2.57721,2.6627400000000003,2.98959,3.1056,3.26472,3.8292,4.02663,3.9771699999999996,4.4957,5.18192,5.27423,5.07659,6.28446,6.54439,7.21775,7.18915,7.55397,9.16637,10.7434,11.6863,11.2081,12.5075,14.0321,13.9374,15.0273,17.7326,17.7725,19.5744,19.9338,22.6042,25.6949,27.2273,29.8748,30.1815,33.4118,36.4212,39.9089,43.8333,45.9316,49.1396,53.5885,58.0543,63.2699,67.4125,73.9726,78.726,85.8143,92.8511,101.01899999999999
0.1,0.00103923,0.00115064,0.00129946,0.00133194,0.00129567,0.00172329,0.00145702,0.00196347,0.0018317,0.00199769,0.00247327,0.00252365,0.00248433,0.00265319,0.00309054,0.00288112,0.00375918,0.00387663,0.00464574,0.0044866,0.0049558,0.00489244,0.0055468,0.00730276,0.00628896,0.00745568,0.00756654,0.00878572,0.00681478,0.00968816,0.00947577,0.011291299999999999,0.012083799999999999,0.013518,0.013870500000000001,0.017065,0.013778299999999999,0.0171919,0.0215035,0.0206297,0.0181275,0.0220669,0.023757,0.0320188,0.033176599999999994,0.028957,0.0297403,0.044752099999999996,0.037569099999999994,0.047794699999999996,0.055629099999999994,0.045651800000000006,0.058277300000000004,0.057753599999999995,0.07359700000000001,0.0700578,0.0772283,0.0792661,0.07947739999999999,0.0816337,0.112623,0.118072,0.132518,0.124998,0.126128,0.15669,0.156414,0.170518,0.21828499999999998,0.21998,0.207352,0.26424699999999995,0.279186,0.226411,0.327375,0.331871,0.305696,0.390125,0.424054,0.423363,0.397348,0.531382,0.508563,0.581051,0.6085189999999999,0.8089149999999999,0.859265,0.814184,0.944501,0.987383,1.06161,1.08631,1.22951,1.3204,1.48489,1.47155,1.4268100000000001,1.77128,2.03546,1.8086099999999998,2.15117,2.64993,2.5869,2.97879,3.07239,3.26871,3.78059,4.02992,4.04875,4.64391,5.1052599999999995,5.29074,5.15672,6.1692800000000005,6.68341,7.26319,7.496,7.7793600000000005,9.15858,10.1906,11.1848,11.866,12.4133,13.4441,14.1474,15.814,17.541,18.42,19.7167,20.9866,22.9895,25.103,27.1031,29.3209,30.9624,33.1108,37.0222,39.6539,42.4434,46.0868,49.384,53.8728,57.6555,63.2021,66.8428,72.8744,79.5174,85.0312,92.0646,98.8507
0.15,0.00103633,0.00110013,0.00134753,0.00134093,0.00129514,0.00171584,0.00143865,0.00193311,0.00191045,0.0019912,0.00249524,0.00249018,0.00247695,0.00271513,0.00306242,0.0028531,0.00376723,0.00371523,0.00466245,0.00451214,0.00478316,0.00476398,0.00553904,0.00757094,0.00628165,0.00759116,0.00754543,0.00883259,0.00686263,0.00968766,0.00970215,0.0114925,0.0116449,0.013257900000000001,0.013904900000000001,0.0175351,0.0130612,0.0171482,0.022222,0.020459099999999997,0.0178249,0.0223647,0.0244208,0.031720599999999995,0.0327662,0.028530200000000002,0.029858600000000003,0.045570099999999995,0.0384295,0.0474437,0.0548382,0.046600800000000005,0.056941399999999996,0.05868330000000001,0.0697867,0.0711421,0.074808,0.07976180000000001,0.0764972,0.0808659,0.11030699999999999,0.117006,0.132633,0.12168399999999999,0.124174,0.150213,0.157129,0.17176,0.22136199999999998,0.217302,0.19844,0.26213600000000004,0.273852,0.235158,0.338769,0.327414,0.30633,0.40005,0.42650200000000005,0.42343800000000004,0.388745,0.528233,0.526516,0.576296,0.6159859999999999,0.830672,0.8621709999999999,0.840735,0.897291,0.9540139999999999,1.04711,1.08893,1.27789,1.28809,1.49461,1.43972,1.41232,1.7209599999999998,2.03932,1.79357,2.14453,2.65285,2.62015,3.01193,3.1855,3.3027800000000003,3.7316300000000004,3.8699,3.8987,4.54661,4.96061,5.37001,5.34048,6.40071,6.79545,7.07165,7.60912,8.03115,9.2563,10.0175,10.8312,12.0589,12.2939,13.6345,14.3239,15.7106,17.33,18.4571,19.9521,20.6042,23.2558,25.1377,27.064,28.7776,32.1915,32.902,36.3272,39.3381,43.5837,46.2685,49.8314,54.2438,57.0742,62.8568,67.9214,74.1577,79.568,86.4258,92.1099,99.9302
0.2,0.00106481,0.00111207,0.00130301,0.00139919,0.00126413,0.00172212,0.00138868,0.00193361,0.00191538,0.00200216,0.00247392,0.00247949,0.00240899,0.00273518,0.00306252,0.00291113,0.0038729,0.00366427,0.00446166,0.00454574,0.00480299,0.00468502,0.00530904,0.00764231,0.00609885,0.00758883,0.00731025,0.00848393,0.00688933,0.0100502,0.00954861,0.0118593,0.0112031,0.013108100000000001,0.013178200000000001,0.017350599999999997,0.0126153,0.017221700000000003,0.0216766,0.0198663,0.0175898,0.0222232,0.024259700000000002,0.0315103,0.031601,0.028658600000000003,0.0304753,0.045804000000000004,0.0391715,0.0473106,0.0536904,0.0467214,0.05815880000000001,0.057446500000000005,0.0695188,0.0705511,0.07572849999999999,0.08009169999999999,0.0767043,0.08100589999999999,0.111522,0.112495,0.13707,0.12393599999999999,0.127173,0.146894,0.16892200000000002,0.169258,0.231239,0.215193,0.19683399999999998,0.260157,0.26407800000000003,0.236871,0.334819,0.320495,0.308924,0.4021,0.42684700000000003,0.419687,0.382749,0.536669,0.516185,0.575212,0.626506,0.836829,0.8290360000000001,0.845086,0.9025299999999999,0.950156,1.07408,1.1169,1.2435,1.2749700000000002,1.47862,1.50898,1.45604,1.7086700000000001,2.01811,1.82634,2.08232,2.51796,2.58069,3.0074099999999997,3.22753,3.3681900000000002,3.5852199999999996,3.89949,4.10826,4.57911,4.98871,5.55949,5.50465,6.34326,6.786160000000001,7.1049,7.7755,8.18454,9.36679,9.801630000000001,10.878,11.7411,12.5512,13.9154,14.6035,15.9092,16.6755,18.2806,19.8288,20.2156,23.192,25.3994,27.2726,29.1167,31.6818,33.3295,37.4244,39.36,43.1097,47.2821,49.9445,54.3532,58.3596,63.7761,68.9822,73.1368,78.6417,86.6167,92.7619,101.04700000000001
0.25,0.00107261,0.00109351,0.00131596,0.00138352,0.00129531,0.00173213,0.0013378,0.00194603,0.00192378,0.00189643,0.00254649,0.00242571,0.002437,0.00267235,0.00318337,0.00283696,0.00397668,0.00368421,0.00441682,0.00462698,0.00467586,0.00460355,0.00548001,0.00751297,0.00609844,0.00771981,0.00715363,0.00827749,0.00682996,0.00970904,0.00960886,0.0119984,0.0115451,0.0126743,0.0133858,0.0179967,0.0126404,0.017768799999999998,0.0210374,0.019344999999999998,0.0169933,0.023094,0.024522400000000003,0.0324964,0.0317249,0.028043799999999997,0.029800200000000002,0.04480069999999999,0.038881599999999995,0.0454399,0.053527,0.0458913,0.0591701,0.0595414,0.0701326,0.0698822,0.0749183,0.0788074,0.07405700000000001,0.0828772,0.110299,0.11208199999999999,0.13556400000000002,0.125851,0.126138,0.143148,0.176145,0.16984000000000002,0.233238,0.217718,0.194552,0.260469,0.266133,0.240423,0.340341,0.318979,0.32115,0.39327199999999995,0.41843,0.42160600000000004,0.376985,0.5487810000000001,0.514808,0.572561,0.630551,0.834493,0.810036,0.871509,0.8985190000000001,0.9423229999999999,1.08475,1.08886,1.29508,1.31644,1.46089,1.53138,1.4498799999999998,1.7261799999999998,2.09858,1.8414599999999999,2.1211,2.50275,2.70681,3.00985,3.2560700000000002,3.37713,3.51421,3.8622099999999997,4.17491,4.68384,5.0854,5.53655,5.48374,6.31485,6.56768,7.093319999999999,7.7395,8.3579,9.11619,9.67457,10.8441,11.8597,12.3282,14.1789,14.5919,15.7882,17.4119,18.2829,19.7724,21.44,23.2449,24.8946,27.0767,28.8018,30.8606,33.7371,36.5395,39.6183,41.7162,46.4427,49.925,53.7396,58.373,63.2678,68.3146,72.9367,78.939,84.9778,91.1732,99.88
0.3,0.00106934,0.0011148,0.00134258,0.00132568,0.00127068,0.00169667,0.00130321,0.00196369,0.00188635,0.00187883,0.00242503,0.00249573,0.00248361,0.00256918,0.00327714,0.00285765,0.00406528,0.00374743,0.00442834,0.00470425,0.00469231,0.00460471,0.00539969,0.00746664,0.00629189,0.00790209,0.00690793,0.00876683,0.00676302,0.010103299999999999,0.00953745,0.012137899999999998,0.011903299999999999,0.0127676,0.0130862,0.017572499999999998,0.0124736,0.018225799999999997,0.021780400000000002,0.020784200000000003,0.0164479,0.023086900000000004,0.0248332,0.030868200000000002,0.030811599999999998,0.027295099999999996,0.0307779,0.046428,0.037969499999999996,0.046611099999999996,0.052904999999999994,0.043697,0.0585832,0.06027869999999999,0.0689093,0.0690918,0.0763154,0.0764616,0.06980089999999999,0.0824836,0.108839,0.113061,0.134701,0.12346800000000001,0.123358,0.14163299999999998,0.171997,0.171512,0.230857,0.223065,0.18473499999999998,0.263432,0.268783,0.23440100000000003,0.336179,0.316764,0.32874000000000003,0.387081,0.41844799999999993,0.41920100000000005,0.37606100000000003,0.5603279999999999,0.536315,0.5753699999999999,0.630104,0.803488,0.8050390000000001,0.848901,0.868734,0.950493,1.07625,1.0701,1.27785,1.34465,1.49611,1.47844,1.47823,1.72118,2.0758400000000004,1.7836299999999998,2.1827799999999997,2.51186,2.70254,2.9549,3.15185,3.3719699999999997,3.4017699999999995,3.75771,4.185569999999999,4.71842,5.03227,5.6066,5.5123,6.3053099999999995,6.51795,7.278560000000001,7.869610000000001,8.29071,9.33128,9.67451,10.5914,11.52,12.7985,14.1817,14.6477,15.7115,17.2465,18.504,19.8233,21.3046,23.2267,24.779,26.6977,29.2395,30.9602,34.0521,36.4597,39.4231,43.5208,46.1926,49.9935,53.5948,58.1294,62.9859,69.0066,73.9044,78.6456,86.9694,91.5307,100.928
0.35,0.00106917,0.0011463,0.00135561,0.00136311,0.00123191,0.00164876,0.0013002,0.00196275,0.00187934,0.00185006,0.00246118,0.00254179,0.0024586,0.00258324,0.00332378,0.00284133,0.00391587,0.0036612,0.00441133,0.00483202,0.00476847,0.00452843,0.00542339,0.00771297,0.00639347,0.00816355,0.00707802,0.00908397,0.00683685,0.00981516,0.00984375,0.012056299999999999,0.0118931,0.013007299999999998,0.0135858,0.017981099999999996,0.0118088,0.0186593,0.0231423,0.0207647,0.016618599999999997,0.0231935,0.024831,0.0305642,0.0318878,0.0282221,0.031999,0.0490298,0.0371138,0.046740699999999996,0.05406369999999999,0.0449125,0.05714400000000001,0.059086,0.06631060000000001,0.07108099999999999,0.07876010000000001,0.07795210000000001,0.06916130000000001,0.0827199,0.10993499999999999,0.11406,0.138353,0.12612,0.120949,0.138303,0.177503,0.17456300000000002,0.23976799999999998,0.22473600000000002,0.183134,0.26866,0.264117,0.23420700000000003,0.337515,0.3131,0.32711799999999996,0.383562,0.406368,0.425201,0.389604,0.542371,0.539142,0.567704,0.63374,0.792049,0.830549,0.861129,0.8581629999999999,0.963357,1.0797299999999999,1.06172,1.30603,1.30702,1.50291,1.56263,1.57178,1.74375,2.09246,1.84716,2.22895,2.54173,2.7298400000000003,2.8940200000000003,3.12284,3.44456,3.4028699999999996,3.9470699999999996,4.19959,4.692880000000001,4.99715,5.40825,5.66439,6.4709,6.459919999999999,7.171860000000001,7.74459,8.22391,9.00495,9.61945,10.7043,11.3167,12.4813,14.2098,14.7824,15.6366,17.2479,18.8317,19.6748,21.5482,22.8067,24.3417,27.4316,29.3259,30.7125,33.3457,36.7642,39.4693,43.639,46.5147,49.8432,53.658,58.3523,63.1277,67.9623,73.0162,78.7745,85.3063,92.3871,99.8554
0.4,0.00109819,0.00116553,0.0012885,0.00138265,0.00121223,0.00167108,0.00134029,0.00199983,0.00184779,0.00179442,0.00252211,0.00250033,0.00255135,0.00253276,0.00324907,0.00274788,0.00395479,0.00372187,0.00442403,0.00466198,0.00479057,0.00442763,0.00553123,0.00752411,0.0067013,0.00778855,0.00678656,0.00924893,0.00700564,0.0097729,0.00976841,0.012184299999999999,0.012104700000000001,0.012909100000000001,0.0136197,0.017524900000000003,0.011947,0.0182926,0.023029499999999998,0.020584599999999998,0.016593,0.0240742,0.0246854,0.0305471,0.0306033,0.028302499999999998,0.030458799999999998,0.0494059,0.039600800000000005,0.0456034,0.054213800000000006,0.04502009999999999,0.0576972,0.0584781,0.0666138,0.07075369999999999,0.0767452,0.0780318,0.0706066,0.080594,0.114808,0.112002,0.13751300000000002,0.12521300000000002,0.11929200000000001,0.137247,0.175628,0.17757699999999998,0.25453200000000004,0.22049899999999997,0.185302,0.26362800000000003,0.275289,0.22753299999999999,0.329411,0.30782600000000004,0.320805,0.397147,0.408362,0.442405,0.380484,0.536669,0.543716,0.5854739999999999,0.6354390000000001,0.7962899999999999,0.818902,0.8374440000000001,0.8519760000000001,0.960451,1.08438,1.06501,1.30443,1.28295,1.53318,1.5593700000000001,1.5975700000000002,1.76068,2.11039,1.92188,2.23368,2.45188,2.7225,2.84749,3.21412,3.3340199999999998,3.39667,4.0236,4.46628,4.5751,5.08977,5.54406,5.54071,6.34739,6.6577,7.3174399999999995,7.99023,8.52556,8.7369,9.81323,10.5488,11.4051,12.6289,14.1338,14.5397,15.4694,16.9765,18.348,19.3497,20.6551,22.8074,24.8164,27.5735,29.221,32.3432,34.1966,37.1521,39.1921,43.5341,46.247,49.4267,53.6217,57.5709,62.4076,67.3121,74.8086,79.3699,85.4361,93.1425,99.0303
0.45,0.00107844,0.00118631,0.00127949,0.00135023,0.00122201,0.00163149,0.00134378,0.00203018,0.00188085,0.00178131,0.00255147,0.00252783,0.00247568,0.00252025,0.00318714,0.00260022,0.00402997,0.00375225,0.00447124,0.0045688,0.00463761,0.00431906,0.00546439,0.00739083,0.00707589,0.00798148,0.00660486,0.0090617,0.00740491,0.00995698,0.00980192,0.012373299999999999,0.0121494,0.0127809,0.013918600000000001,0.017332,0.0116659,0.018905599999999998,0.023840599999999997,0.0199863,0.0167165,0.0240123,0.024463,0.030622000000000003,0.030115100000000002,0.0269397,0.030867500000000003,0.050100900000000004,0.0392934,0.0445519,0.053766499999999995,0.046633600000000004,0.059745299999999994,0.059757000000000005,0.0670451,0.0703712,0.0757086,0.07487560000000001,0.0720978,0.083579,0.11814200000000001,0.111427,0.137292,0.12663,0.11776700000000001,0.13489,0.167381,0.177229,0.268798,0.217202,0.190899,0.257988,0.274411,0.22916199999999998,0.32318,0.30329,0.326031,0.394098,0.419892,0.453502,0.383167,0.5369970000000001,0.542243,0.589539,0.635638,0.810707,0.800879,0.8567540000000001,0.8326620000000001,1.00845,1.06108,1.058,1.2711299999999999,1.26217,1.5209700000000002,1.58246,1.5596700000000001,1.77059,2.08305,1.96997,2.14914,2.37446,2.84459,2.9152099999999996,3.13088,3.4405099999999997,3.55114,3.9563599999999997,4.3973,4.46314,4.97391,5.42324,5.60752,6.14122,6.77774,7.18987,8.077580000000001,8.41273,8.85106,10.0822,10.5553,11.2657,12.4881,13.737,14.901,16.6746,16.9548,18.5626,19.5575,20.7441,22.8995,24.6402,26.7856,28.2933,31.6679,34.4165,37.0854,40.4265,42.615,46.493,49.2623,53.4594,58.5069,62.6822,67.8967,73.3663,78.3788,86.1367,93.1535,100.296
