time,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_50,species_51,species_52,species_53,species_54,species_55,species_56,species_57,species_58,species_59,species_60,species_61,species_62,species_63,species_64,species_65,species_66,species_67,species_68,species_69,species_70,species_71,species_72,species_73,species_74,species_75,species_76,species_77,species_78,species_79,species_80,species_81,species_82,species_83,species_84,species_85,species_86,species_87,species_88,species_89,species_90,species_91,species_92,species_93,species_94,species_95,species_96,species_97,species_98,species_99,species_100,species_101,species_102,species_103,species_104,species_105,species_106,species_107,species_108,species_109,species_110,species_111,species_112,species_113,species_114,species_115,species_116,species_117,species_118,species_119,species_120,species_121,species_122,species_123,species_124,species_125,species_126,species_127,species_128,species_129,species_130,species_131,species_132,species_133,species_134,species_135,species_136,species_137,species_138,species_139,species_140,species_141,species_142,species_143,species_144,species_145,species_146,species_147,species_148,species_149,species_150
0.000E+00,8.106E-04,1.091E-03,1.072E-03,1.113E-03,1.352E-03,1.529E-03,1.501E-03,1.714E-03,1.540E-03,2.103E-03,2.408E-03,2.423E-03,2.840E-03,2.532E-03,3.429E-03,2.846E-03,3.146E-03,3.287E-03,3.767E-03,4.597E-03,4.798E-03,4.816E-03,5.248E-03,5.775E-03,6.000E-03,5.936E-03,7.747E-03,7.510E-03,8.847E-03,1.051E-02,8.795E-03,1.189E-02,1.016E-02,1.245E-02,1.435E-02,1.689E-02,1.726E-02,1.726E-02,1.751E-02,2.464E-02,2.118E-02,2.124E-02,2.165E-02,2.384E-02,2.745E-02,3.009E-02,2.940E-02,3.780E-02,4.619E-02,4.816E-02,4.788E-02,6.380E-02,5.780E-02,6.808E-02,6.046E-02,7.423E-02,7.101E-02,7.198E-02,8.952E-02,9.672E-02,1.052E-01,1.066E-01,1.151E-01,1.344E-01,1.521E-01,1.380E-01,1.737E-01,1.501E-01,1.544E-01,2.050E-01,2.118E-01,2.423E-01,2.434E-01,3.170E-01,3.463E-01,3.621E-01,3.511E-01,3.993E-01,4.385E-01,4.889E-01,5.035E-01,5.185E-01,5.526E-01,5.647E-01,6.671E-01,6.153E-01,7.219E-01,7.323E-01,9.116E-01,1.117E+00,1.011E+00,1.140E+00,9.956E-01,1.127E+00,1.300E+00,1.630E+00,1.633E+00,1.762E+00,2.011E+00,1.955E+00,2.203E+00,2.640E+00,2.777E+00,2.325E+00,2.828E+00,3.407E+00,3.535E+00,3.412E+00,4.815E+00,4.964E+00,4.982E+00,5.531E+00,6.252E+00,6.280E+00,6.610E+00,8.696E+00,8.089E+00,8.343E+00,8.699E+00,9.799E+00,8.846E+00,1.059E+01,1.386E+01,1.418E+01,1.273E+01,1.620E+01,1.476E+01,2.000E+01,1.903E+01,2.258E+01,1.920E+01,2.709E+01,2.390E+01,3.040E+01,3.738E+01,3.305E+01,3.818E+01,4.050E+01,4.422E+01,4.275E+01,5.079E+01,5.747E+01,6.287E+01,6.262E+01,6.186E+01,6.752E+01,8.943E+01,7.538E+01,1.027E+02,1.095E+02
5.00000E-02,8.90646E-04,1.15954E-03,1.05816E-03,1.05368E-03,1.41150E-03,1.41729E-03,1.51189E-03,1.67783E-03,1.56168E-03,2.08457E-03,2.19090E-03,2.55029E-03,2.79497E-03,2.52572E-03,3.52377E-03,2.64704E-03,3.17381E-03,3.75538E-03,3.83023E-03,4.94602E-03,4.49387E-03,4.76358E-03,5.48060E-03,5.69262E-03,5.83358E-03,6.29421E-03,7.51577E-03,6.79072E-03,8.57914E-03,1.02020E-02,8.40583E-03,1.10460E-02,8.72086E-03,1.29832E-02,1.43049E-02,1.51531E-02,1.71360E-02,1.65994E-02,1.66958E-02,2.44922E-02,2.19938E-02,2.33960E-02,2.18065E-02,1.98389E-02,2.63945E-02,3.24366E-02,3.38598E-02,3.74363E-02,4.85193E-02,5.17189E-02,5.08445E-02,6.11574E-02,5.87835E-02,7.99125E-02,6.57094E-02,7.58035E-02,6.13386E-02,7.85968E-02,9.98961E-02,9.89992E-02,9.53295E-02,1.06373E-01,1.16869E-01,1.31774E-01,1.51680E-01,1.46817E-01,1.63768E-01,1.35237E-01,1.58113E-01,2.19537E-01,2.01918E-01,2.54403E-01,2.47234E-01,3.42675E-01,3.68543E-01,3.84700E-01,3.13190E-01,3.98269E-01,4.80755E-01,4.59283E-01,5.01840E-01,5.24871E-01,5.32179E-01,5.01696E-01,7.09309E-01,6.61522E-01,7.31095E-01,7.31143E-01,9.44689E-01,1.22329E+00,1.00012E+00,1.17997E+00,9.44776E-01,1.13999E+00,1.30178E+00,1.96412E+00,1.66033E+00,1.56356E+00,2.02677E+00,1.96438E+00,2.17450E+00,2.47075E+00,2.64149E+00,2.10446E+00,2.89742E+00,3.32073E+00,3.64637E+00,3.19172E+00,4.55491E+00,4.51649E+00,4.91621E+00,5.82269E+00,6.75100E+00,6.70418E+00,6.91306E+00,8.73102E+00,7.17364E+00,8.39081E+00,9.16397E+00,9.51448E+00,1.02446E+01,1.14206E+01,1.29500E+01,1.45190E+01,1.35660E+01,1.55442E+01,1.54769E+01,1.95847E+01,1.99233E+01,2.16549E+01,2.36467E+01,2.50644E+01,2.70617E+01,2.91849E+01,3.38015E+01,3.42611E+01,3.72661E+01,4.05397E+01,4.37980E+01,4.55696E+01,5.02756E+01,5.64668E+01,6.00290E+01,6.33182E+01,7.03245E+01,7.18997E+01,7.61229E+01,8.90828E+01,8.90966E+01,1.03805E+02
1.00000E-01,8.76717E-04,1.11294E-03,9.43062E-04,1.01665E-03,1.44519E-03,1.46918E-03,1.71290E-03,1.54261E-03,1.55465E-03,2.02069E-03,2.36753E-03,2.48131E-03,2.94008E-03,2.71607E-03,3.79210E-03,2.59928E-03,2.91483E-03,3.77643E-03,4.06969E-03,4.90723E-03,4.41013E-03,4.83084E-03,5.48914E-03,5.33767E-03,5.75410E-03,5.77327E-03,7.82832E-03,6.41992E-03,8.34591E-03,1.11301E-02,8.19352E-03,1.08985E-02,8.04536E-03,1.35599E-02,1.33423E-02,1.47967E-02,1.59005E-02,1.74637E-02,1.65620E-02,2.41320E-02,2.16140E-02,2.52849E-02,2.35757E-02,1.84836E-02,2.63148E-02,3.33517E-02,3.54399E-02,3.67492E-02,4.26314E-02,4.79864E-02,5.62640E-02,6.24470E-02,6.06509E-02,7.14756E-02,6.25279E-02,7.73905E-02,6.32555E-02,8.23105E-02,9.71840E-02,9.29254E-02,1.01337E-01,1.15704E-01,1.35235E-01,1.34667E-01,1.45260E-01,1.43987E-01,1.47283E-01,1.20701E-01,1.60896E-01,1.91927E-01,2.09812E-01,2.70323E-01,2.31205E-01,3.59239E-01,3.79896E-01,3.53540E-01,3.50115E-01,4.23803E-01,4.45359E-01,4.68184E-01,5.02641E-01,5.86797E-01,4.74607E-01,4.65375E-01,7.09327E-01,6.59727E-01,6.95835E-01,7.65978E-01,8.38819E-01,1.07580E+00,1.05385E+00,1.28437E+00,1.10593E+00,1.09491E+00,1.30681E+00,1.96281E+00,1.74783E+00,1.61891E+00,1.80543E+00,2.03538E+00,2.34077E+00,2.28633E+00,2.73348E+00,2.16889E+00,2.92104E+00,3.22520E+00,3.72363E+00,3.36589E+00,4.19357E+00,4.59924E+00,4.40941E+00,5.37516E+00,7.05124E+00,7.22332E+00,7.25658E+00,8.23890E+00,7.36314E+00,8.05257E+00,9.53342E+00,9.59889E+00,1.10981E+01,1.25654E+01,1.25455E+01,1.36131E+01,1.52808E+01,1.61493E+01,1.75017E+01,1.77607E+01,1.96221E+01,2.13533E+01,2.41113E+01,2.45259E+01,2.77980E+01,3.00662E+01,3.21542E+01,3.36613E+01,3.61320E+01,3.81417E+01,4.21366E+01,4.78923E+01,4.76282E+01,5.51900E+01,5.72542E+01,6.48416E+01,6.91168E+01,7.56699E+01,7.92738E+01,8.71719E+01,9.07589E+01,1.01226E+02
1.50000E-01,9.08544E-04,1.08781E-03,9.78906E-04,1.07054E-03,1.52288E-03,1.59230E-03,1.71783E-03,1.56605E-03,1.43214E-03,2.00085E-03,2.55057E-03,2.40434E-03,2.94625E-03,2.77458E-03,3.79990E-03,2.68456E-03,2.89629E-03,3.69295E-03,3.96356E-03,4.81707E-03,5.03502E-03,5.12737E-03,6.05477E-03,5.54349E-03,5.86588E-03,6.02741E-03,8.16670E-03,6.37777E-03,7.69325E-03,1.10789E-02,8.13242E-03,1.16134E-02,8.18829E-03,1.54660E-02,1.36425E-02,1.31474E-02,1.53756E-02,1.74647E-02,1.86521E-02,2.38549E-02,2.11041E-02,2.47149E-02,2.53348E-02,1.69317E-02,2.37395E-02,3.24554E-02,3.45329E-02,3.97815E-02,4.51727E-02,4.80098E-02,5.49884E-02,6.39756E-02,6.32555E-02,7.01488E-02,5.70106E-02,5.99662E-02,5.84929E-02,8.91202E-02,1.01421E-01,9.19198E-02,1.04128E-01,1.10690E-01,1.30962E-01,1.39461E-01,1.37390E-01,1.37459E-01,1.51782E-01,1.24013E-01,1.58793E-01,1.91859E-01,2.20097E-01,2.56429E-01,2.53080E-01,4.16478E-01,3.69128E-01,3.68051E-01,3.57652E-01,4.46423E-01,3.95580E-01,5.31111E-01,5.33794E-01,5.51902E-01,5.15427E-01,4.38447E-01,7.04328E-01,6.90667E-01,6.11432E-01,7.21087E-01,7.92116E-01,1.06805E+00,9.00445E-01,1.34731E+00,1.18134E+00,1.01897E+00,1.21552E+00,2.00227E+00,1.69338E+00,1.53508E+00,1.63563E+00,2.01689E+00,2.29472E+00,2.41741E+00,2.65686E+00,2.27705E+00,2.99734E+00,3.41356E+00,3.45493E+00,4.00773E+00,4.24050E+00,4.82423E+00,4.88851E+00,5.03698E+00,6.69233E+00,6.79119E+00,6.88964E+00,7.80037E+00,7.08969E+00,9.49137E+00,9.81709E+00,9.79378E+00,1.05469E+01,1.27188E+01,1.37548E+01,1.29714E+01,1.53590E+01,1.68411E+01,1.67183E+01,1.77214E+01,2.06125E+01,2.32748E+01,2.37419E+01,2.42407E+01,2.72782E+01,2.92676E+01,3.01722E+01,3.27928E+01,3.34407E+01,3.87874E+01,4.26187E+01,4.67383E+01,4.61628E+01,5.46184E+01,5.81158E+01,6.46580E+01,6.84835E+01,7.25947E+01,7.79906E+01,8.37648E+01,9.04736E+01,9.77216E+01
2.00000E-01,1.00245E-03,1.13408E-03,9.43660E-04,1.15871E-03,1.41027E-03,1.78030E-03,1.60163E-03,1.77013E-03,1.46581E-03,1.82595E-03,2.73438E-03,2.54318E-03,2.80644E-03,2.27592E-03,3.75418E-03,2.77926E-03,2.52356E-03,3.32849E-03,3.67158E-03,4.22622E-03,5.18657E-03,5.25279E-03,6.52909E-03,5.98086E-03,5.78711E-03,6.01572E-03,7.40590E-03,5.95783E-03,7.14061E-03,1.04379E-02,7.86027E-03,1.22313E-02,8.32666E-03,1.53160E-02,1.40187E-02,1.24392E-02,1.54056E-02,1.80564E-02,1.72285E-02,2.21893E-02,2.02309E-02,2.63241E-02,2.85571E-02,1.61310E-02,2.36673E-02,3.24239E-02,3.33034E-02,4.12104E-02,4.44849E-02,4.79271E-02,6.12453E-02,6.11601E-02,5.91178E-02,8.42461E-02,5.18632E-02,5.60721E-02,6.03090E-02,9.07404E-02,9.78944E-02,8.72946E-02,1.02262E-01,1.22841E-01,1.21207E-01,1.41004E-01,1.20095E-01,1.27269E-01,1.56504E-01,1.32385E-01,1.56113E-01,1.91910E-01,2.28508E-01,2.74001E-01,2.71070E-01,3.88347E-01,4.17482E-01,3.47872E-01,3.63980E-01,4.72964E-01,3.94086E-01,5.82815E-01,5.76668E-01,5.30095E-01,5.06302E-01,4.37764E-01,6.70042E-01,6.57844E-01,6.73565E-01,7.81022E-01,7.99485E-01,1.15301E+00,8.54826E-01,1.35256E+00,1.15783E+00,9.62473E-01,1.23222E+00,1.94781E+00,1.54201E+00,1.65398E+00,1.73684E+00,2.10786E+00,2.36223E+00,2.40978E+00,2.85420E+00,2.47079E+00,3.10793E+00,3.30314E+00,3.40846E+00,4.24871E+00,4.43830E+00,4.79301E+00,4.95140E+00,4.60787E+00,7.27540E+00,7.10757E+00,6.29126E+00,8.09328E+00,7.66396E+00,8.32208E+00,1.04111E+01,9.59697E+00,1.10269E+01,1.13154E+01,1.35482E+01,1.34681E+01,1.42200E+01,1.66780E+01,1.62819E+01,1.81143E+01,2.11732E+01,1.99526E+01,2.50358E+01,2.61332E+01,2.75444E+01,2.79644E+01,3.25397E+01,3.30285E+01,3.61158E+01,3.74385E+01,4.42508E+01,4.78668E+01,4.94109E+01,5.25740E+01,5.76048E+01,6.08874E+01,6.58620E+01,7.28116E+01,7.82590E+01,8.49669E+01,8.77253E+01,1.01935E+02
2.50000E-01,9.61966E-04,1.06299E-03,9.68749E-04,1.02195E-03,1.41681E-03,1.81677E-03,1.49099E-03,1.69898E-03,1.35784E-03,1.82054E-03,2.45266E-03,2.78155E-03,2.99034E-03,2.32296E-03,3.59389E-03,2.68757E-03,2.54120E-03,3.20083E-03,3.30498E-03,4.01707E-03,5.50217E-03,4.89223E-03,6.92191E-03,6.62789E-03,5.87246E-03,6.39021E-03,8.05237E-03,6.20500E-03,7.70750E-03,1.10106E-02,9.01094E-03,1.25492E-02,7.86524E-03,1.36000E-02,1.49930E-02,1.07599E-02,1.36519E-02,1.84789E-02,1.69592E-02,2.29082E-02,2.13766E-02,2.61449E-02,2.94145E-02,1.68568E-02,2.16402E-02,2.95572E-02,3.08121E-02,4.14814E-02,4.68578E-02,4.62685E-02,6.06573E-02,5.97929E-02,6.77623E-02,7.89059E-02,5.00692E-02,5.96268E-02,5.67073E-02,9.06140E-02,1.00170E-01,9.59592E-02,1.09073E-01,1.17902E-01,1.19022E-01,1.35571E-01,1.04964E-01,1.19139E-01,1.57985E-01,1.46381E-01,1.50179E-01,1.97955E-01,2.14645E-01,2.64055E-01,2.60107E-01,3.75357E-01,3.94973E-01,3.94278E-01,3.26095E-01,4.90565E-01,4.09748E-01,5.93235E-01,6.66159E-01,5.68091E-01,4.96420E-01,4.51860E-01,7.35709E-01,6.55859E-01,5.79147E-01,8.73421E-01,7.60154E-01,1.16019E+00,8.74409E-01,1.28472E+00,1.23723E+00,1.05493E+00,1.23836E+00,1.80885E+00,1.65867E+00,1.57801E+00,1.99181E+00,2.23111E+00,2.37420E+00,2.38562E+00,2.87337E+00,2.53531E+00,2.90857E+00,3.02848E+00,3.21007E+00,4.13161E+00,4.21161E+00,4.50127E+00,4.73578E+00,5.08254E+00,6.81649E+00,7.73967E+00,6.28075E+00,7.20176E+00,8.46116E+00,8.50801E+00,9.55997E+00,8.36277E+00,1.04357E+01,1.22624E+01,1.35226E+01,1.35905E+01,1.50024E+01,1.69487E+01,1.69923E+01,1.67065E+01,1.85056E+01,1.97327E+01,2.44926E+01,2.36094E+01,2.67639E+01,3.01590E+01,3.13260E+01,3.39888E+01,3.66992E+01,4.18670E+01,4.24005E+01,4.54156E+01,5.00434E+01,5.60844E+01,6.09387E+01,6.25782E+01,6.94012E+01,6.97299E+01,8.12476E+01,8.51327E+01,9.24581E+01,9.92525E+01
3.00000E-01,8.93495E-04,1.14831E-03,9.81268E-04,1.12955E-03,1.35528E-03,1.79710E-03,1.33393E-03,1.74218E-03,1.41772E-03,1.81358E-03,2.45823E-03,2.48493E-03,2.83103E-03,1.97509E-03,3.66039E-03,2.52195E-03,2.42976E-03,3.48518E-03,3.19566E-03,4.12276E-03,5.26334E-03,4.53392E-03,7.58688E-03,6.67903E-03,5.79862E-03,6.98632E-03,8.34737E-03,5.89058E-03,7.57679E-03,1.15025E-02,9.30148E-03,1.21694E-02,7.35485E-03,1.32662E-02,1.37786E-02,1.07707E-02,1.51111E-02,1.73818E-02,1.61500E-02,2.42014E-02,1.93357E-02,2.54433E-02,3.21761E-02,1.79138E-02,2.09942E-02,3.02355E-02,3.05741E-02,3.78038E-02,5.03125E-02,4.82568E-02,5.63416E-02,5.78012E-02,6.90555E-02,7.83411E-02,5.16313E-02,5.76104E-02,6.38533E-02,8.99346E-02,1.03197E-01,9.96710E-02,1.16262E-01,1.10955E-01,1.29607E-01,1.32569E-01,1.01567E-01,1.33563E-01,1.67413E-01,1.50784E-01,1.71939E-01,2.05270E-01,2.43462E-01,2.37674E-01,2.52626E-01,4.01228E-01,3.54250E-01,4.23919E-01,3.32381E-01,4.86144E-01,4.52855E-01,6.35011E-01,6.70734E-01,5.53563E-01,5.18088E-01,4.58900E-01,7.06927E-01,6.03712E-01,5.99516E-01,7.79301E-01,7.63269E-01,1.22801E+00,9.03791E-01,1.38907E+00,1.17312E+00,1.13766E+00,1.25863E+00,1.88416E+00,1.85632E+00,1.34749E+00,2.01659E+00,2.40121E+00,2.19024E+00,2.55142E+00,3.11571E+00,2.65442E+00,3.11031E+00,3.28026E+00,3.39305E+00,4.23222E+00,3.51388E+00,4.70706E+00,4.40767E+00,5.29005E+00,6.53985E+00,7.29429E+00,7.09945E+00,7.65171E+00,8.42388E+00,8.64488E+00,9.44852E+00,8.12741E+00,9.62971E+00,1.13202E+01,1.28942E+01,1.36914E+01,1.55542E+01,1.60563E+01,1.80189E+01,1.77149E+01,1.98195E+01,2.12709E+01,2.55043E+01,2.45523E+01,2.77760E+01,2.86541E+01,3.05754E+01,3.20433E+01,3.72067E+01,3.76548E+01,4.43536E+01,4.73538E+01,4.84036E+01,5.42501E+01,6.07464E+01,6.52008E+01,7.04024E+01,7.01344E+01,7.61286E+01,8.27648E+01,9.40025E+01,9.94778E+01
3.50000E-01,9.29108E-04,1.23113E-03,1.04587E-03,1.07949E-03,1.50891E-03,1.82463E-03,1.22010E-03,1.79281E-03,1.41310E-03,1.84521E-03,2.50114E-03,2.62977E-03,2.95876E-03,2.06595E-03,3.76100E-03,2.47869E-03,2.32035E-03,3.30914E-03,3.20880E-03,3.95548E-03,5.09657E-03,4.18556E-03,8.13228E-03,6.84466E-03,5.87841E-03,7.54564E-03,8.04086E-03,5.74663E-03,8.49355E-03,1.25357E-02,8.73448E-03,1.22479E-02,7.84559E-03,1.44106E-02,1.41298E-02,1.10154E-02,1.56328E-02,1.70904E-02,1.74638E-02,2.35648E-02,1.93086E-02,2.44170E-02,3.32433E-02,1.67250E-02,2.13469E-02,2.80642E-02,2.65004E-02,3.81363E-02,5.14499E-02,4.68601E-02,5.80722E-02,5.60523E-02,7.11073E-02,7.75154E-02,4.77867E-02,5.28133E-02,6.08544E-02,8.78986E-02,1.04064E-01,9.22988E-02,1.29592E-01,9.28571E-02,1.18576E-01,1.27417E-01,1.01482E-01,1.32484E-01,1.63402E-01,1.41183E-01,1.92057E-01,2.22874E-01,2.36284E-01,2.15068E-01,2.48898E-01,4.22593E-01,3.29751E-01,4.21640E-01,3.46618E-01,4.32029E-01,4.34266E-01,6.26487E-01,6.72917E-01,5.60852E-01,5.27772E-01,4.99336E-01,6.67736E-01,5.49561E-01,6.31704E-01,7.40655E-01,7.43544E-01,1.26777E+00,8.96452E-01,1.29950E+00,1.07600E+00,1.16664E+00,1.31566E+00,1.91281E+00,1.71217E+00,1.34941E+00,1.98925E+00,2.27812E+00,2.03997E+00,2.43274E+00,2.76558E+00,2.69104E+00,2.91569E+00,3.34797E+00,3.65648E+00,4.07715E+00,3.53140E+00,4.34174E+00,4.78214E+00,4.91315E+00,6.28068E+00,6.91670E+00,6.79317E+00,7.40457E+00,8.24993E+00,8.33128E+00,1.00909E+01,9.77225E+00,9.67545E+00,1.20326E+01,1.19710E+01,1.29483E+01,1.38878E+01,1.61319E+01,1.60977E+01,1.78990E+01,1.96124E+01,2.13585E+01,2.38766E+01,2.51777E+01,2.82306E+01,2.89544E+01,3.05933E+01,3.44683E+01,3.52442E+01,3.68015E+01,4.30430E+01,4.61037E+01,5.05738E+01,5.36180E+01,5.77340E+01,6.35403E+01,6.74055E+01,7.29637E+01,8.29507E+01,8.24884E+01,9.30806E+01,9.63982E+01
4.00000E-01,1.00527E-03,1.19177E-03,1.07138E-03,1.13122E-03,1.48516E-03,1.56869E-03,1.43387E-03,1.55244E-03,1.39528E-03,1.81750E-03,2.51892E-03,2.48829E-03,2.91759E-03,1.97148E-03,3.90280E-03,2.42562E-03,2.21203E-03,2.96387E-03,2.80714E-03,3.80842E-03,5.42819E-03,4.31373E-03,7.20393E-03,6.45336E-03,5.78524E-03,7.50940E-03,8.20865E-03,5.34313E-03,8.50343E-03,1.21311E-02,8.85544E-03,1.15475E-02,7.78747E-03,1.47989E-02,1.36894E-02,1.09133E-02,1.52030E-02,1.69478E-02,1.65839E-02,2.33756E-02,1.97026E-02,2.41172E-02,3.09428E-02,1.84541E-02,1.85378E-02,2.79410E-02,2.49431E-02,3.81003E-02,5.00059E-02,4.91759E-02,5.67842E-02,5.94314E-02,6.59392E-02,6.92647E-02,4.88656E-02,5.07248E-02,5.95295E-02,8.94694E-02,1.14425E-01,9.45912E-02,1.40840E-01,7.87589E-02,1.19010E-01,1.34593E-01,9.50809E-02,1.41975E-01,1.79610E-01,1.52640E-01,1.86142E-01,2.14243E-01,2.57157E-01,1.87779E-01,2.47785E-01,4.26326E-01,3.46482E-01,3.94334E-01,3.62170E-01,4.63002E-01,4.57026E-01,6.22121E-01,7.21197E-01,5.99376E-01,5.15762E-01,4.88841E-01,6.38934E-01,5.90190E-01,6.89803E-01,6.92794E-01,7.41166E-01,1.20516E+00,8.75818E-01,1.15963E+00,9.94402E-01,1.18788E+00,1.34915E+00,1.94944E+00,1.84585E+00,1.34338E+00,2.00954E+00,2.31184E+00,2.09964E+00,2.40559E+00,2.72533E+00,2.85005E+00,2.93798E+00,3.08010E+00,3.87005E+00,3.65500E+00,3.44863E+00,4.31260E+00,4.85332E+00,4.80648E+00,6.23399E+00,6.55010E+00,6.38378E+00,7.57274E+00,9.03491E+00,8.69680E+00,1.03577E+01,9.00481E+00,9.91019E+00,1.15338E+01,1.23008E+01,1.29719E+01,1.44943E+01,1.67211E+01,1.56191E+01,1.80781E+01,1.93027E+01,2.21573E+01,2.16169E+01,2.52313E+01,2.83234E+01,3.03309E+01,3.04583E+01,3.45898E+01,3.51804E+01,3.87216E+01,4.28384E+01,4.68669E+01,5.08275E+01,5.80897E+01,5.62160E+01,6.43677E+01,6.85747E+01,7.04899E+01,7.65175E+01,8.42449E+01,8.56612E+01,9.53451E+01
4.50000E-01,1.03924E-03,1.27388E-03,9.07837E-04,1.13303E-03,1.38617E-03,1.45998E-03,1.60262E-03,1.54518E-03,1.44194E-03,1.91758E-03,2.55186E-03,2.51081E-03,2.72955E-03,1.91746E-03,3.89618E-03,2.66127E-03,2.00459E-03,2.86095E-03,2.73751E-03,3.45235E-03,5.75088E-03,4.85513E-03,6.07929E-03,6.17014E-03,5.31015E-03,7.20172E-03,8.48851E-03,5.97673E-03,8.39606E-03,1.06892E-02,8.76040E-03,1.14743E-02,8.49591E-03,1.51864E-02,1.57103E-02,1.19737E-02,1.47857E-02,1.69211E-02,1.63370E-02,2.46211E-02,1.73979E-02,2.41876E-02,2.85856E-02,1.85663E-02,1.77398E-02,2.47265E-02,2.50482E-02,3.58915E-02,5.41636E-02,5.04529E-02,5.07385E-02,5.78567E-02,6.92739E-02,6.86690E-02,4.43554E-02,4.88516E-02,6.39782E-02,8.81140E-02,1.13864E-01,9.71215E-02,1.42592E-01,8.40158E-02,1.16546E-01,1.31660E-01,9.59795E-02,1.46280E-01,1.56101E-01,1.54775E-01,1.89444E-01,2.26367E-01,2.64254E-01,1.77153E-01,2.87772E-01,4.01611E-01,3.72822E-01,4.64940E-01,3.54873E-01,4.89354E-01,4.56631E-01,6.91824E-01,6.52461E-01,6.10033E-01,4.90675E-01,4.56859E-01,6.40969E-01,6.10317E-01,7.25443E-01,7.70795E-01,7.17854E-01,9.61127E-01,1.01900E+00,1.16963E+00,1.01159E+00,1.20598E+00,1.49055E+00,1.88504E+00,1.95813E+00,1.35760E+00,1.89402E+00,2.12324E+00,2.04295E+00,2.39377E+00,2.84116E+00,2.67189E+00,3.05046E+00,3.09098E+00,4.23064E+00,3.52871E+00,3.42649E+00,4.69858E+00,4.50389E+00,4.76201E+00,5.75978E+00,6.53889E+00,6.17958E+00,7.11813E+00,8.41381E+00,8.45011E+00,1.00074E+01,1.06807E+01,1.11277E+01,1.01761E+01,1.23726E+01,1.23539E+01,1.40513E+01,1.68056E+01,1.46425E+01,1.81437E+01,1.85218E+01,2.14343E+01,2.45040E+01,2.46354E+01,3.00473E+01,2.68625E+01,3.27999E+01,3.31936E+01,3.84948E+01,3.77256E+01,4.16066E+01,4.57529E+01,4.96963E+01,5.58951E+01,5.59003E+01,6.24611E+01,7.02378E+01,7.29112E+01,7.61510E+01,8.19540E+01,9.07266E+01,9.66268E+01
