time,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_50,species_51,species_52,species_53,species_54,species_55,species_56,species_57,species_58,species_59,species_60,species_61,species_62,species_63,species_64,species_65,species_66,species_67,species_68,species_69,species_70,species_71,species_72,species_73,species_74,species_75,species_76,species_77,species_78,species_79,species_80,species_81,species_82,species_83,species_84,species_85,species_86,species_87,species_88,species_89,species_90,species_91,species_92,species_93,species_94,species_95,species_96,species_97,species_98,species_99,species_100,species_101,species_102,species_103,species_104,species_105,species_106,species_107,species_108,species_109,species_110,species_111,species_112,species_113,species_114,species_115,species_116,species_117,species_118,species_119,species_120,species_121,species_122,species_123,species_124,species_125,species_126,species_127,species_128,species_129,species_130,species_131,species_132,species_133,species_134,species_135,species_136,species_137,species_138,species_139,species_140,species_141,species_142,species_143,species_144,species_145,species_146,species_147,species_148,species_149,species_150
0.000E+00,1.009E-03,1.260E-03,1.112E-03,1.188E-03,1.368E-03,1.745E-03,1.453E-03,1.663E-03,1.735E-03,1.878E-03,2.450E-03,2.733E-03,2.623E-03,2.700E-03,2.872E-03,3.414E-03,4.069E-03,3.584E-03,4.563E-03,4.026E-03,4.058E-03,4.704E-03,5.628E-03,5.803E-03,6.593E-03,5.848E-03,6.901E-03,6.808E-03,8.972E-03,1.043E-02,1.048E-02,1.047E-02,1.004E-02,1.182E-02,1.334E-02,1.285E-02,1.342E-02,1.823E-02,1.867E-02,1.808E-02,2.133E-02,2.260E-02,2.657E-02,2.878E-02,3.188E-02,2.588E-02,3.617E-02,4.207E-02,4.620E-02,4.370E-02,4.519E-02,5.904E-02,5.083E-02,5.273E-02,6.720E-02,6.704E-02,6.366E-02,7.147E-02,8.260E-02,9.815E-02,9.949E-02,1.308E-01,1.203E-01,1.225E-01,1.387E-01,1.458E-01,1.461E-01,1.646E-01,1.681E-01,2.302E-01,2.524E-01,1.906E-01,2.641E-01,2.487E-01,2.808E-01,3.627E-01,3.876E-01,3.800E-01,4.258E-01,5.358E-01,5.160E-01,5.943E-01,6.097E-01,6.026E-01,7.474E-01,6.697E-01,8.176E-01,9.147E-01,8.017E-01,8.543E-01,1.041E+00,1.176E+00,1.353E+00,1.253E+00,1.355E+00,1.171E+00,1.577E+00,2.143E+00,2.025E+00,2.268E+00,2.438E+00,2.536E+00,2.784E+00,2.950E+00,2.953E+00,3.650E+00,3.981E+00,3.696E+00,3.922E+00,4.789E+00,4.428E+00,5.238E+00,5.531E+00,6.576E+00,6.549E+00,6.444E+00,8.287E+00,8.192E+00,1.030E+01,8.375E+00,1.004E+01,1.190E+01,1.292E+01,1.275E+01,1.444E+01,1.352E+01,1.692E+01,2.111E+01,2.006E+01,1.977E+01,2.532E+01,2.450E+01,2.744E+01,2.873E+01,2.888E+01,3.761E+01,3.411E+01,4.091E+01,3.861E+01,4.684E+01,5.062E+01,4.830E+01,6.518E+01,5.608E+01,6.405E+01,6.439E+01,8.096E+01,1.006E+02,8.881E+01,1.065E+02
5.00000E-02,1.98089E-03,1.25404E-03,7.52261E-04,2.30951E-04,1.40903E-03,9.30705E-04,3.45747E-03,3.52667E-04,1.37977E-03,1.40063E-03,1.19908E-03,1.69702E-03,2.19663E-03,3.71611E-03,4.52284E-03,3.09748E-03,2.30087E-03,4.60102E-03,4.20813E-03,4.09866E-03,3.51232E-03,5.86676E-03,6.80280E-03,8.05482E-03,8.60654E-03,5.61861E-03,6.16615E-03,8.39904E-03,8.55579E-03,9.77962E-03,1.33802E-02,1.68049E-02,9.68665E-03,1.43853E-02,1.30871E-02,1.27333E-02,1.30518E-02,2.19063E-02,1.77591E-02,1.88388E-02,1.63731E-02,2.60513E-02,2.44901E-02,2.74657E-02,2.81446E-02,3.34377E-02,4.28271E-02,3.87804E-02,5.19178E-02,3.47677E-02,3.93802E-02,5.82284E-02,4.47217E-02,4.97719E-02,6.78729E-02,6.43390E-02,5.94146E-02,7.35432E-02,8.78009E-02,8.68404E-02,1.13486E-01,1.13475E-01,1.20156E-01,1.29917E-01,1.39695E-01,1.45117E-01,1.38277E-01,1.77241E-01,1.84918E-01,2.20829E-01,2.50889E-01,1.85889E-01,2.61909E-01,2.57807E-01,2.82126E-01,3.93385E-01,3.90720E-01,3.87739E-01,4.07406E-01,5.72562E-01,5.09374E-01,5.65962E-01,5.87862E-01,5.76326E-01,7.42257E-01,6.97161E-01,7.89706E-01,9.14111E-01,7.82563E-01,8.76086E-01,1.10735E+00,1.18155E+00,1.37316E+00,1.29010E+00,1.37362E+00,1.19518E+00,1.59118E+00,2.11767E+00,2.04753E+00,2.23684E+00,2.42982E+00,2.42377E+00,2.98662E+00,3.04759E+00,3.00034E+00,3.56177E+00,3.84092E+00,3.81743E+00,3.97891E+00,4.80949E+00,4.55857E+00,5.19774E+00,5.48005E+00,6.49254E+00,6.80000E+00,6.78722E+00,8.05666E+00,8.31926E+00,9.84331E+00,9.11128E+00,9.88451E+00,1.21086E+01,1.28751E+01,1.31708E+01,1.43174E+01,1.44534E+01,1.67070E+01,1.90701E+01,2.02105E+01,1.99434E+01,2.34259E+01,2.50510E+01,2.66636E+01,2.89609E+01,3.12542E+01,3.42456E+01,3.64145E+01,3.94110E+01,4.21671E+01,4.69039E+01,4.99258E+01,5.41535E+01,5.85027E+01,6.15374E+01,6.80591E+01,7.29985E+01,7.91350E+01,8.57080E+01,9.30248E+01,1.00953E+02
1.00000E-01,8.99454E-04,1.98709E-03,1.87015E-03,0.00000E+00,2.64265E-04,3.22592E-04,3.05217E-03,2.99493E-05,1.92398E-03,0.00000E+00,1.57661E-03,1.76040E-03,1.39854E-03,4.14324E-03,4.06311E-03,4.36998E-03,2.99811E-03,4.99069E-03,4.12163E-03,5.32692E-03,4.04278E-03,5.46307E-03,7.85685E-03,7.95591E-03,6.22846E-03,4.36617E-03,1.13146E-02,9.86264E-03,1.15326E-02,1.08780E-02,1.68199E-02,1.41878E-02,7.61370E-03,1.18540E-02,8.31415E-03,1.45155E-02,1.79396E-02,2.55602E-02,1.46762E-02,1.80794E-02,1.34032E-02,2.34737E-02,2.45671E-02,2.42221E-02,2.50848E-02,3.37094E-02,4.01429E-02,3.07299E-02,6.10447E-02,3.80389E-02,3.94622E-02,5.29661E-02,4.56566E-02,5.00887E-02,6.07138E-02,6.50587E-02,6.33790E-02,8.32285E-02,8.37079E-02,8.39503E-02,1.21493E-01,1.00615E-01,1.15096E-01,1.39240E-01,1.34315E-01,1.44157E-01,1.29771E-01,1.65284E-01,1.75720E-01,2.18544E-01,2.44646E-01,1.77798E-01,2.55113E-01,2.35346E-01,2.74673E-01,4.25583E-01,4.23800E-01,3.94023E-01,3.86485E-01,5.86839E-01,5.18833E-01,5.86666E-01,6.04671E-01,5.59702E-01,7.35908E-01,6.93534E-01,8.09683E-01,9.29450E-01,7.44224E-01,8.72696E-01,1.15449E+00,1.11892E+00,1.31308E+00,1.28697E+00,1.34383E+00,1.27383E+00,1.55726E+00,2.15431E+00,1.97382E+00,2.27832E+00,2.35224E+00,2.43747E+00,2.88286E+00,2.92433E+00,3.04706E+00,3.53231E+00,3.70887E+00,3.88400E+00,4.01390E+00,4.66530E+00,4.53654E+00,5.15835E+00,5.62321E+00,6.46730E+00,6.84363E+00,7.03586E+00,7.72101E+00,8.34885E+00,9.56691E+00,9.60772E+00,1.00349E+01,1.17301E+01,1.27131E+01,1.30487E+01,1.42580E+01,1.44550E+01,1.73062E+01,1.85145E+01,2.00820E+01,2.07071E+01,2.32593E+01,2.52208E+01,2.65478E+01,2.89586E+01,3.16492E+01,3.39023E+01,3.64860E+01,3.97653E+01,4.25902E+01,4.64040E+01,4.85027E+01,5.37502E+01,5.79754E+01,6.39618E+01,6.77710E+01,7.27500E+01,7.91358E+01,8.47333E+01,9.09861E+01,1.00268E+02
1.50000E-01,9.16770E-04,2.70734E-03,1.36559E-03,0.00000E+00,1.22586E-04,3.88668E-04,4.35422E-03,6.74079E-05,1.00616E-03,0.00000E+00,1.26782E-03,1.89013E-03,8.09796E-04,2.99964E-03,3.33946E-03,2.17629E-03,4.24710E-03,7.32628E-03,4.41709E-03,5.71417E-03,5.18331E-03,4.69279E-03,9.09697E-03,6.09489E-03,7.14501E-03,6.25956E-03,1.00046E-02,1.00033E-02,1.53497E-02,1.00182E-02,2.07455E-02,1.47467E-02,6.64648E-03,1.17972E-02,6.87251E-03,1.51586E-02,2.05716E-02,2.39088E-02,1.45436E-02,1.70771E-02,1.58792E-02,2.42575E-02,2.54133E-02,1.60638E-02,2.24481E-02,3.16807E-02,3.25618E-02,2.99319E-02,6.21055E-02,3.98214E-02,3.49172E-02,5.10385E-02,5.27628E-02,5.22462E-02,6.00037E-02,5.47430E-02,6.76708E-02,8.78836E-02,8.30969E-02,7.34066E-02,1.16830E-01,1.00406E-01,1.22926E-01,1.53808E-01,1.31063E-01,1.34852E-01,1.23401E-01,1.75121E-01,1.80553E-01,2.16143E-01,2.47114E-01,1.88670E-01,2.84549E-01,2.60387E-01,2.64456E-01,4.06724E-01,4.34578E-01,4.15685E-01,4.07269E-01,5.73200E-01,4.88066E-01,5.61346E-01,5.89793E-01,5.86836E-01,6.66202E-01,6.95605E-01,7.75975E-01,9.48489E-01,7.31455E-01,8.64670E-01,1.18585E+00,1.12249E+00,1.31345E+00,1.35985E+00,1.41122E+00,1.27073E+00,1.55413E+00,2.15913E+00,1.94091E+00,2.30118E+00,2.32351E+00,2.37055E+00,2.81826E+00,2.88355E+00,3.12991E+00,3.48354E+00,3.63277E+00,3.83764E+00,3.99662E+00,4.52914E+00,4.56353E+00,5.06721E+00,5.68720E+00,6.33844E+00,6.85054E+00,7.04011E+00,7.79189E+00,8.44371E+00,9.28347E+00,9.74187E+00,1.07680E+01,1.14952E+01,1.26283E+01,1.32443E+01,1.45437E+01,1.47011E+01,1.67434E+01,1.82683E+01,2.00506E+01,2.10292E+01,2.28773E+01,2.47147E+01,2.61896E+01,2.87979E+01,2.99050E+01,3.42313E+01,3.54380E+01,3.95731E+01,4.25080E+01,4.69850E+01,4.99313E+01,5.40358E+01,5.82354E+01,6.23161E+01,6.61916E+01,7.25836E+01,8.00310E+01,8.60995E+01,9.31409E+01,9.90376E+01
2.00000E-01,1.50842E-03,3.50026E-03,1.98393E-03,0.00000E+00,0.00000E+00,3.79861E-04,5.12518E-03,4.80110E-05,2.37612E-03,0.00000E+00,7.41618E-04,2.51544E-03,1.76225E-03,5.02495E-03,4.02225E-03,2.50589E-03,3.74416E-03,1.09978E-02,3.07934E-03,5.77484E-03,3.99380E-03,3.72848E-03,6.12601E-03,5.23432E-03,5.66196E-03,9.98357E-03,1.02620E-02,6.94959E-03,1.49740E-02,8.60320E-03,2.30503E-02,1.71248E-02,5.38616E-03,1.29313E-02,6.38283E-03,1.17964E-02,2.45312E-02,1.96549E-02,1.51073E-02,1.41321E-02,1.78354E-02,2.86288E-02,2.14363E-02,1.35705E-02,2.28560E-02,3.80309E-02,3.15551E-02,3.00447E-02,7.15693E-02,4.12664E-02,4.24301E-02,4.87778E-02,5.22806E-02,5.31175E-02,5.54476E-02,4.71655E-02,6.29380E-02,9.82618E-02,9.10021E-02,7.66910E-02,1.29313E-01,9.95879E-02,1.21115E-01,1.39731E-01,1.19469E-01,1.37325E-01,1.09484E-01,1.86111E-01,1.75265E-01,2.18778E-01,2.42076E-01,1.89976E-01,2.80493E-01,2.60413E-01,2.72598E-01,4.02397E-01,4.30608E-01,4.12072E-01,4.13981E-01,5.57722E-01,4.70268E-01,5.45653E-01,5.95706E-01,5.74634E-01,6.80622E-01,6.87909E-01,7.99755E-01,9.00451E-01,7.31732E-01,9.21113E-01,1.24062E+00,1.11358E+00,1.31693E+00,1.28966E+00,1.44775E+00,1.30230E+00,1.64491E+00,2.12667E+00,2.02864E+00,2.28556E+00,2.30599E+00,2.33934E+00,2.72442E+00,2.93663E+00,3.26532E+00,3.37736E+00,3.72865E+00,4.06355E+00,4.00992E+00,4.54476E+00,4.53614E+00,5.11478E+00,5.51352E+00,6.28618E+00,6.81155E+00,7.22087E+00,7.60575E+00,8.35354E+00,9.05969E+00,9.53081E+00,1.06451E+01,1.09978E+01,1.22564E+01,1.33017E+01,1.48082E+01,1.54784E+01,1.66465E+01,1.83513E+01,1.98660E+01,2.10612E+01,2.28073E+01,2.52161E+01,2.65249E+01,2.91998E+01,3.15683E+01,3.32538E+01,3.61329E+01,3.92409E+01,4.27390E+01,4.59452E+01,5.05227E+01,5.31780E+01,5.80897E+01,6.34932E+01,6.66988E+01,7.31769E+01,7.82066E+01,8.62364E+01,9.30181E+01,9.92162E+01
2.50000E-01,7.06716E-04,4.73569E-03,9.65918E-04,0.00000E+00,0.00000E+00,1.04085E-03,6.55896E-03,0.00000E+00,1.89213E-03,0.00000E+00,5.83235E-04,1.39000E-03,1.19538E-03,5.60165E-03,4.04821E-03,3.10607E-03,5.92678E-03,1.60034E-02,3.61332E-03,5.93953E-03,1.53020E-03,3.53594E-03,5.85371E-03,3.81380E-03,8.49052E-03,7.96967E-03,7.98594E-03,7.38627E-03,2.22896E-02,7.93814E-03,2.20524E-02,1.50025E-02,3.19980E-03,1.67568E-02,8.20017E-03,6.62024E-03,2.98783E-02,1.92984E-02,1.92128E-02,1.38740E-02,2.59995E-02,3.27051E-02,2.39996E-02,1.10466E-02,2.28146E-02,3.26066E-02,2.85755E-02,2.83985E-02,8.12761E-02,3.81807E-02,4.13703E-02,4.89804E-02,5.44223E-02,5.08953E-02,5.24523E-02,4.31621E-02,5.66601E-02,1.14432E-01,9.25383E-02,7.84935E-02,1.22949E-01,9.51332E-02,1.25680E-01,1.46835E-01,1.14458E-01,1.40035E-01,1.05826E-01,1.91400E-01,1.84298E-01,2.25282E-01,2.41344E-01,1.86398E-01,2.80996E-01,2.36832E-01,2.64731E-01,4.16200E-01,4.07836E-01,3.85322E-01,4.47574E-01,5.80443E-01,4.86781E-01,5.60509E-01,5.99855E-01,5.70545E-01,7.07830E-01,6.99767E-01,7.88452E-01,8.82099E-01,7.14281E-01,9.09020E-01,1.24047E+00,1.08361E+00,1.31639E+00,1.29930E+00,1.44952E+00,1.26226E+00,1.66260E+00,2.14179E+00,1.99774E+00,2.28019E+00,2.31449E+00,2.42669E+00,2.73942E+00,2.95053E+00,3.14087E+00,3.39277E+00,3.61559E+00,4.15673E+00,4.11884E+00,4.52060E+00,4.70993E+00,5.33361E+00,5.51469E+00,6.32327E+00,6.58693E+00,7.37690E+00,7.75990E+00,8.41016E+00,9.13920E+00,9.94806E+00,1.00886E+01,1.12798E+01,1.29257E+01,1.34757E+01,1.46860E+01,1.58584E+01,1.67182E+01,1.82470E+01,1.97797E+01,2.16206E+01,2.33910E+01,2.56049E+01,2.69800E+01,2.93372E+01,3.19863E+01,3.40832E+01,3.66642E+01,3.99690E+01,4.23228E+01,4.73044E+01,5.01222E+01,5.40270E+01,5.77848E+01,6.36805E+01,6.88880E+01,7.37582E+01,8.11128E+01,8.59565E+01,9.01560E+01,9.86038E+01
3.00000E-01,2.09460E-03,4.87216E-03,2.11913E-03,0.00000E+00,0.00000E+00,2.04753E-03,4.58034E-03,0.00000E+00,3.26048E-03,0.00000E+00,1.07906E-03,1.36945E-03,2.11833E-04,5.76242E-03,2.08715E-03,1.66800E-03,9.56382E-03,1.27073E-02,4.20841E-03,6.58610E-03,2.98567E-04,5.25042E-03,4.69779E-03,4.78978E-03,7.04361E-03,8.67480E-03,9.99110E-03,5.14217E-03,2.53073E-02,9.09693E-03,1.90522E-02,1.61640E-02,3.54224E-03,1.55277E-02,7.24437E-03,6.19077E-03,2.80426E-02,1.88809E-02,1.35060E-02,1.69418E-02,1.99583E-02,3.65683E-02,2.33569E-02,7.55160E-03,2.12140E-02,2.91247E-02,3.54448E-02,2.62260E-02,7.46333E-02,4.25386E-02,3.36446E-02,4.18831E-02,5.38925E-02,5.33485E-02,4.71108E-02,4.47474E-02,6.42292E-02,1.04074E-01,1.00029E-01,8.29535E-02,1.21612E-01,1.03839E-01,1.40629E-01,1.40218E-01,1.20250E-01,1.50160E-01,1.08860E-01,1.96542E-01,1.82000E-01,2.25825E-01,2.20730E-01,1.84591E-01,2.95325E-01,2.19938E-01,2.61224E-01,4.09095E-01,3.98772E-01,3.88739E-01,4.46116E-01,5.65811E-01,4.55317E-01,5.48678E-01,6.05182E-01,5.99523E-01,6.75083E-01,6.83249E-01,7.50383E-01,9.03073E-01,7.69625E-01,8.77337E-01,1.21949E+00,1.09311E+00,1.28508E+00,1.27020E+00,1.49927E+00,1.28709E+00,1.66129E+00,2.18585E+00,2.09321E+00,2.22864E+00,2.27760E+00,2.33785E+00,2.67218E+00,2.90230E+00,3.03067E+00,3.38514E+00,3.61339E+00,3.90365E+00,4.10680E+00,4.41100E+00,4.67636E+00,5.16063E+00,5.49553E+00,6.31998E+00,6.78649E+00,7.60713E+00,7.79822E+00,8.29759E+00,9.29204E+00,9.55944E+00,1.03582E+01,1.17222E+01,1.23612E+01,1.35277E+01,1.45661E+01,1.60201E+01,1.66071E+01,1.82127E+01,1.96062E+01,2.11969E+01,2.33081E+01,2.51731E+01,2.69434E+01,2.90900E+01,3.12967E+01,3.38168E+01,3.65019E+01,3.98131E+01,4.26152E+01,4.64148E+01,5.06438E+01,5.46655E+01,5.81915E+01,6.27543E+01,6.66376E+01,7.31027E+01,7.96577E+01,8.53043E+01,9.29153E+01,1.01567E+02
3.50000E-01,2.33815E-03,3.50411E-03,8.88915E-04,0.00000E+00,0.00000E+00,2.35691E-03,4.59177E-03,0.00000E+00,2.61896E-03,0.00000E+00,2.86424E-03,1.09337E-03,0.00000E+00,5.16025E-03,1.79872E-03,1.77398E-03,7.40555E-03,1.39801E-02,5.00284E-03,6.07089E-03,2.23086E-04,6.75172E-03,3.86650E-03,3.28948E-03,5.37792E-03,7.18069E-03,1.21728E-02,5.43410E-03,2.46145E-02,7.93168E-03,2.15830E-02,1.40145E-02,3.85736E-03,1.62371E-02,9.07119E-03,4.16657E-03,2.36073E-02,1.31287E-02,1.49235E-02,2.15905E-02,1.66433E-02,3.36070E-02,2.39224E-02,6.66555E-03,2.50535E-02,2.99263E-02,4.04397E-02,2.72600E-02,7.39556E-02,4.60932E-02,3.52604E-02,4.35755E-02,6.01665E-02,4.58096E-02,5.25365E-02,4.60427E-02,6.54985E-02,1.05212E-01,9.20761E-02,8.77386E-02,1.17391E-01,1.12361E-01,1.36048E-01,1.34732E-01,1.10142E-01,1.56623E-01,1.13834E-01,2.17114E-01,1.85437E-01,2.03941E-01,2.31951E-01,1.81523E-01,3.02282E-01,2.06163E-01,2.63251E-01,3.94689E-01,4.03869E-01,3.98700E-01,4.77425E-01,5.29005E-01,4.73477E-01,5.47884E-01,5.51759E-01,5.91920E-01,6.37219E-01,7.05738E-01,7.76644E-01,9.64892E-01,8.07058E-01,8.96252E-01,1.24894E+00,1.09889E+00,1.32681E+00,1.21915E+00,1.51046E+00,1.33847E+00,1.67124E+00,2.13105E+00,2.06841E+00,2.18483E+00,2.27216E+00,2.31750E+00,2.59491E+00,2.90506E+00,2.94413E+00,3.47338E+00,3.71514E+00,3.99430E+00,4.12735E+00,4.35468E+00,4.93277E+00,5.17352E+00,5.60360E+00,6.28185E+00,6.39845E+00,7.60976E+00,7.85538E+00,8.20481E+00,9.09317E+00,9.33640E+00,1.09948E+01,1.17200E+01,1.25823E+01,1.31572E+01,1.42859E+01,1.54559E+01,1.68717E+01,1.78571E+01,1.94089E+01,2.15454E+01,2.29752E+01,2.54201E+01,2.69284E+01,2.93175E+01,3.27233E+01,3.29204E+01,3.68429E+01,3.98160E+01,4.20175E+01,4.60057E+01,5.01120E+01,5.46997E+01,5.80336E+01,6.26311E+01,6.80578E+01,7.31647E+01,7.83351E+01,8.59031E+01,9.27745E+01,9.94018E+01
4.00000E-01,1.76430E-03,1.76358E-03,2.75379E-04,0.00000E+00,0.00000E+00,1.81123E-03,6.02048E-03,0.00000E+00,2.64950E-03,0.00000E+00,2.81434E-03,1.02232E-03,0.00000E+00,4.72174E-03,2.10026E-03,1.32891E-03,5.11573E-03,1.39053E-02,5.66584E-03,6.10034E-03,2.11032E-04,1.00857E-02,4.79686E-03,2.67310E-03,6.41375E-03,4.23242E-03,1.11891E-02,6.95202E-03,2.37588E-02,8.43410E-03,2.61022E-02,1.59004E-02,4.18536E-03,1.73209E-02,7.34887E-03,4.61934E-03,2.43474E-02,1.15353E-02,1.96891E-02,1.84904E-02,1.59253E-02,2.97157E-02,2.39512E-02,9.43451E-03,2.61933E-02,3.11676E-02,4.41628E-02,2.89617E-02,7.82426E-02,5.19599E-02,3.77779E-02,4.36272E-02,5.62526E-02,4.43583E-02,4.83506E-02,4.76484E-02,6.51326E-02,1.05854E-01,8.95873E-02,9.23684E-02,1.13980E-01,9.39475E-02,1.35139E-01,1.35425E-01,1.10500E-01,1.65617E-01,1.10943E-01,2.06724E-01,1.79202E-01,1.94706E-01,2.25786E-01,1.77211E-01,2.99792E-01,2.00285E-01,2.55967E-01,4.01822E-01,3.95074E-01,3.98254E-01,4.77091E-01,5.44102E-01,4.91194E-01,5.21727E-01,5.61179E-01,6.11546E-01,6.58388E-01,6.97552E-01,7.94240E-01,9.05809E-01,7.61105E-01,8.85316E-01,1.23922E+00,1.07436E+00,1.34321E+00,1.23181E+00,1.55671E+00,1.33362E+00,1.73038E+00,2.04642E+00,2.06717E+00,2.12822E+00,2.30364E+00,2.31604E+00,2.63162E+00,2.89849E+00,2.93326E+00,3.50551E+00,3.69157E+00,3.90276E+00,4.05751E+00,4.18103E+00,4.87832E+00,5.28998E+00,5.67145E+00,6.39399E+00,6.35243E+00,7.28256E+00,7.71118E+00,8.39686E+00,8.87483E+00,9.31560E+00,1.11537E+01,1.14483E+01,1.23173E+01,1.30872E+01,1.47166E+01,1.60336E+01,1.70713E+01,1.83139E+01,1.97112E+01,2.13068E+01,2.26745E+01,2.51843E+01,2.72508E+01,2.98736E+01,3.15044E+01,3.35957E+01,3.70887E+01,3.87595E+01,4.22337E+01,4.52614E+01,4.93556E+01,5.41322E+01,5.79078E+01,6.22240E+01,6.77502E+01,7.41670E+01,7.96221E+01,8.63943E+01,9.18762E+01,1.00305E+02
4.50000E-01,1.80116E-03,5.53961E-03,7.89233E-04,0.00000E+00,0.00000E+00,7.56845E-04,6.23721E-03,0.00000E+00,3.87026E-03,0.00000E+00,2.22777E-03,6.16665E-04,0.00000E+00,5.26523E-03,1.83660E-03,8.67779E-04,5.81227E-03,1.38641E-02,5.36474E-03,6.24201E-03,0.00000E+00,6.91198E-03,2.06608E-03,2.99596E-03,8.01281E-03,5.18911E-03,1.15197E-02,5.98137E-03,1.99301E-02,7.44497E-03,2.78145E-02,1.05607E-02,4.40978E-03,1.57957E-02,1.00266E-02,8.09432E-03,2.40573E-02,1.38691E-02,1.68305E-02,1.71248E-02,2.04127E-02,3.02160E-02,2.12844E-02,6.35749E-03,2.04976E-02,2.77069E-02,4.54626E-02,2.78503E-02,6.90179E-02,5.69299E-02,3.91775E-02,4.67737E-02,6.98165E-02,5.30466E-02,4.80114E-02,4.41812E-02,7.00293E-02,1.14065E-01,9.83154E-02,8.23217E-02,1.12331E-01,8.94476E-02,1.40190E-01,1.36781E-01,1.04633E-01,1.60991E-01,1.09737E-01,2.08143E-01,1.50514E-01,2.08719E-01,2.29522E-01,1.96015E-01,3.05628E-01,2.01163E-01,2.54580E-01,4.10653E-01,4.11832E-01,4.26939E-01,4.57767E-01,5.52686E-01,5.15077E-01,5.42412E-01,5.51921E-01,6.30788E-01,6.72387E-01,6.54322E-01,7.87532E-01,9.59260E-01,7.30330E-01,9.28194E-01,1.25445E+00,1.04998E+00,1.31990E+00,1.25488E+00,1.56590E+00,1.26558E+00,1.69379E+00,2.06811E+00,2.03141E+00,2.09726E+00,2.32044E+00,2.41807E+00,2.54214E+00,2.88715E+00,3.00963E+00,3.58427E+00,3.63154E+00,3.79019E+00,4.13983E+00,4.18563E+00,4.83328E+00,5.40354E+00,5.69371E+00,6.22961E+00,6.51635E+00,7.18203E+00,7.80916E+00,8.27283E+00,8.89707E+00,9.43762E+00,1.09732E+01,1.16353E+01,1.25599E+01,1.32798E+01,1.41730E+01,1.61836E+01,1.72782E+01,1.86642E+01,1.98309E+01,2.15205E+01,2.31012E+01,2.47199E+01,2.70507E+01,2.97113E+01,3.08477E+01,3.38468E+01,3.64369E+01,3.96498E+01,4.28561E+01,4.62550E+01,4.97092E+01,5.38291E+01,5.81065E+01,6.28399E+01,6.69165E+01,7.42028E+01,7.86759E+01,8.65115E+01,9.34892E+01,9.94390E+01
