time,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_50,species_51,species_52,species_53,species_54,species_55,species_56,species_57,species_58,species_59,species_60,species_61,species_62,species_63,species_64,species_65,species_66,species_67,species_68,species_69,species_70,species_71,species_72,species_73,species_74,species_75,species_76,species_77,species_78,species_79,species_80,species_81,species_82,species_83,species_84,species_85,species_86,species_87,species_88,species_89,species_90,species_91,species_92,species_93,species_94,species_95,species_96,species_97,species_98,species_99,species_100,species_101,species_102,species_103,species_104,species_105,species_106,species_107,species_108,species_109,species_110,species_111,species_112,species_113,species_114,species_115,species_116,species_117,species_118,species_119,species_120,species_121,species_122,species_123,species_124,species_125,species_126,species_127,species_128,species_129,species_130,species_131,species_132,species_133,species_134,species_135,species_136,species_137,species_138,species_139,species_140,species_141,species_142,species_143,species_144,species_145,species_146,species_147,species_148,species_149,species_150
0.000E+00,1.009E-03,1.260E-03,1.112E-03,1.188E-03,1.368E-03,1.745E-03,1.453E-03,1.663E-03,1.735E-03,1.878E-03,2.450E-03,2.733E-03,2.623E-03,2.700E-03,2.872E-03,3.414E-03,4.069E-03,3.584E-03,4.563E-03,4.026E-03,4.058E-03,4.704E-03,5.628E-03,5.803E-03,6.593E-03,5.848E-03,6.901E-03,6.808E-03,8.972E-03,1.043E-02,1.048E-02,1.047E-02,1.004E-02,1.182E-02,1.334E-02,1.285E-02,1.342E-02,1.823E-02,1.867E-02,1.808E-02,2.133E-02,2.260E-02,2.657E-02,2.878E-02,3.188E-02,2.588E-02,3.617E-02,4.207E-02,4.620E-02,4.370E-02,4.519E-02,5.904E-02,5.083E-02,5.273E-02,6.720E-02,6.704E-02,6.366E-02,7.147E-02,8.260E-02,9.815E-02,9.949E-02,1.308E-01,1.203E-01,1.225E-01,1.387E-01,1.458E-01,1.461E-01,1.646E-01,1.681E-01,2.302E-01,2.524E-01,1.906E-01,2.641E-01,2.487E-01,2.808E-01,3.627E-01,3.876E-01,3.800E-01,4.258E-01,5.358E-01,5.160E-01,5.943E-01,6.097E-01,6.026E-01,7.474E-01,6.697E-01,8.176E-01,9.147E-01,8.017E-01,8.543E-01,1.041E+00,1.176E+00,1.353E+00,1.253E+00,1.355E+00,1.171E+00,1.577E+00,2.143E+00,2.025E+00,2.268E+00,2.438E+00,2.536E+00,2.784E+00,2.950E+00,2.953E+00,3.650E+00,3.981E+00,3.696E+00,3.922E+00,4.789E+00,4.428E+00,5.238E+00,5.531E+00,6.576E+00,6.549E+00,6.444E+00,8.287E+00,8.192E+00,1.030E+01,8.375E+00,1.004E+01,1.190E+01,1.292E+01,1.275E+01,1.444E+01,1.352E+01,1.692E+01,2.111E+01,2.006E+01,1.977E+01,2.532E+01,2.450E+01,2.744E+01,2.873E+01,2.888E+01,3.761E+01,3.411E+01,4.091E+01,3.861E+01,4.684E+01,5.062E+01,4.830E+01,6.518E+01,5.608E+01,6.405E+01,6.439E+01,8.096E+01,1.006E+02,8.881E+01,1.065E+02
5.00000E-02,2.93089E-03,1.60617E-03,1.21605E-03,1.51966E-03,1.72839E-03,1.12290E-03,3.94636E-05,8.22389E-04,4.79649E-04,1.11090E-03,3.88830E-03,2.03653E-03,2.80267E-03,1.98725E-03,3.93026E-03,4.08283E-03,4.27039E-03,5.22362E-03,4.88264E-03,5.15597E-03,4.28554E-03,8.22796E-03,3.95194E-03,5.30571E-03,8.03677E-03,5.77219E-03,6.76259E-03,5.74770E-03,6.35201E-03,8.37781E-03,1.10963E-02,7.18879E-03,8.81646E-03,9.96474E-03,1.52984E-02,1.26606E-02,1.47772E-02,1.43983E-02,2.61350E-02,1.85001E-02,2.02048E-02,2.87623E-02,2.54332E-02,3.22967E-02,4.00108E-02,2.67358E-02,3.31443E-02,3.57595E-02,4.66969E-02,4.09594E-02,4.99506E-02,5.18955E-02,5.07014E-02,5.37025E-02,6.76106E-02,6.00175E-02,6.73009E-02,7.13455E-02,7.05913E-02,9.43593E-02,9.66578E-02,1.28947E-01,1.04833E-01,1.23665E-01,1.45194E-01,1.55112E-01,1.37385E-01,1.72517E-01,1.64381E-01,2.19553E-01,2.63929E-01,1.79841E-01,2.60317E-01,2.50800E-01,3.04601E-01,3.68004E-01,3.91665E-01,3.65738E-01,4.23363E-01,5.36309E-01,5.49750E-01,6.00878E-01,6.21736E-01,6.10064E-01,7.08513E-01,6.69596E-01,8.01503E-01,9.43963E-01,8.07397E-01,8.25350E-01,1.03577E+00,1.15078E+00,1.42190E+00,1.21923E+00,1.37584E+00,1.21574E+00,1.55251E+00,2.15344E+00,2.03800E+00,2.21628E+00,2.41843E+00,2.49933E+00,2.73325E+00,2.96552E+00,2.96738E+00,3.53339E+00,3.88820E+00,3.73513E+00,3.95570E+00,4.80806E+00,4.61644E+00,5.27359E+00,5.61785E+00,6.48271E+00,6.69402E+00,6.75592E+00,8.16748E+00,8.35850E+00,9.70861E+00,8.89371E+00,1.03687E+01,1.18175E+01,1.26144E+01,1.31155E+01,1.45404E+01,1.46374E+01,1.68798E+01,1.91359E+01,1.98857E+01,2.07248E+01,2.35698E+01,2.47874E+01,2.68930E+01,2.89210E+01,3.11550E+01,3.42848E+01,3.62531E+01,3.96937E+01,4.24967E+01,4.62324E+01,4.98464E+01,5.38293E+01,5.83964E+01,6.28595E+01,6.78474E+01,7.34635E+01,7.91740E+01,8.58531E+01,9.24856E+01,9.98980E+01
1.00000E-01,5.10426E-03,2.87063E-03,1.96544E-03,5.51673E-04,1.47674E-03,4.07674E-05,0.00000E+00,8.61231E-04,1.05610E-04,1.03598E-04,2.80719E-03,5.41759E-03,4.37032E-03,1.15168E-03,4.56555E-03,3.05944E-03,4.11435E-03,4.61956E-03,2.34533E-03,6.28866E-03,3.41503E-03,5.81638E-03,3.20413E-03,6.31020E-03,8.06571E-03,4.20768E-03,4.20271E-03,5.22845E-03,3.84062E-03,7.61076E-03,1.06016E-02,7.27202E-03,8.14106E-03,6.76714E-03,1.28777E-02,1.31610E-02,9.83243E-03,1.47421E-02,2.21633E-02,2.09090E-02,1.92253E-02,3.31283E-02,1.87367E-02,3.47754E-02,4.05477E-02,2.85445E-02,2.62958E-02,3.25175E-02,4.74437E-02,4.37837E-02,5.22505E-02,5.14148E-02,5.53360E-02,6.33918E-02,7.23607E-02,6.13865E-02,7.07180E-02,7.45249E-02,6.85180E-02,1.01112E-01,9.62194E-02,1.28191E-01,1.18576E-01,1.33603E-01,1.45222E-01,1.59014E-01,1.33789E-01,1.66779E-01,1.65997E-01,2.30317E-01,2.56999E-01,1.84955E-01,2.37963E-01,2.53665E-01,2.94565E-01,3.57881E-01,3.85184E-01,3.69357E-01,4.44458E-01,5.38333E-01,5.46056E-01,5.73190E-01,6.03268E-01,6.06054E-01,7.14554E-01,6.57403E-01,8.06789E-01,9.41418E-01,7.99434E-01,8.04109E-01,1.03147E+00,1.15442E+00,1.39948E+00,1.20935E+00,1.38835E+00,1.26940E+00,1.55824E+00,2.13041E+00,2.07528E+00,2.15058E+00,2.41211E+00,2.49772E+00,2.77679E+00,2.90696E+00,2.98486E+00,3.46312E+00,3.86213E+00,3.84141E+00,3.95175E+00,4.82238E+00,4.62837E+00,5.20729E+00,5.70411E+00,6.40206E+00,6.74041E+00,6.90012E+00,8.00599E+00,8.44164E+00,9.48268E+00,9.32691E+00,1.05623E+01,1.15399E+01,1.24971E+01,1.33118E+01,1.45526E+01,1.51502E+01,1.69363E+01,1.86040E+01,1.98115E+01,2.11111E+01,2.31624E+01,2.48520E+01,2.67284E+01,2.90716E+01,3.13266E+01,3.39734E+01,3.64960E+01,3.95782E+01,4.27509E+01,4.61542E+01,4.98915E+01,5.39015E+01,5.81893E+01,6.29475E+01,6.79714E+01,7.34155E+01,7.92332E+01,8.56254E+01,9.25250E+01,1.00105E+02
1.50000E-01,4.93394E-03,3.26316E-03,6.19477E-04,7.16726E-04,2.53538E-04,1.54538E-04,0.00000E+00,1.22545E-04,4.39168E-04,1.05928E-04,4.18623E-03,4.59741E-03,3.07224E-03,9.71629E-04,3.98041E-03,4.65434E-03,3.51473E-03,5.38886E-03,1.53158E-03,9.20781E-03,2.90170E-03,5.08986E-03,3.26076E-03,9.10858E-03,8.90301E-03,5.97774E-03,6.52019E-03,4.24726E-03,6.04026E-03,1.27268E-02,1.17325E-02,6.95158E-03,7.02293E-03,7.23613E-03,1.03955E-02,8.45560E-03,9.84450E-03,1.48004E-02,2.28586E-02,2.37445E-02,2.27030E-02,2.35766E-02,1.39824E-02,2.93116E-02,4.51334E-02,2.81698E-02,2.18540E-02,2.98016E-02,5.20969E-02,4.51933E-02,4.03544E-02,5.62931E-02,5.48858E-02,6.38224E-02,6.98728E-02,5.13372E-02,8.65818E-02,7.78569E-02,7.05356E-02,1.00652E-01,8.89641E-02,1.14378E-01,1.15172E-01,1.38625E-01,1.40276E-01,1.39856E-01,1.34230E-01,1.55488E-01,1.63868E-01,2.32458E-01,2.58473E-01,1.81550E-01,2.40317E-01,2.59141E-01,2.97597E-01,3.58051E-01,3.88814E-01,3.42062E-01,4.62754E-01,5.49135E-01,5.50398E-01,5.89242E-01,5.61594E-01,6.07581E-01,7.28169E-01,6.62602E-01,8.10900E-01,9.05718E-01,7.92612E-01,8.18687E-01,1.04795E+00,1.17450E+00,1.33507E+00,1.20285E+00,1.32740E+00,1.25894E+00,1.56153E+00,2.14153E+00,2.07366E+00,2.13296E+00,2.34013E+00,2.53057E+00,2.77672E+00,2.85598E+00,3.01425E+00,3.40545E+00,3.74741E+00,3.85683E+00,4.01253E+00,4.70348E+00,4.74682E+00,5.18623E+00,5.72553E+00,6.36126E+00,6.83803E+00,6.98809E+00,7.98602E+00,8.48751E+00,9.35592E+00,9.47985E+00,1.06079E+01,1.15288E+01,1.24682E+01,1.32802E+01,1.44849E+01,1.54186E+01,1.70862E+01,1.84047E+01,1.96806E+01,2.12278E+01,2.30362E+01,2.47517E+01,2.67766E+01,2.90728E+01,3.14137E+01,3.38927E+01,3.66576E+01,3.94910E+01,4.29107E+01,4.61692E+01,5.02031E+01,5.39563E+01,5.81511E+01,6.29388E+01,6.80221E+01,7.36103E+01,7.93762E+01,8.56399E+01,9.25488E+01,1.00150E+02
2.00000E-01,3.01643E-03,3.43904E-03,3.88766E-04,4.53886E-04,8.79476E-05,1.42422E-04,0.00000E+00,0.00000E+00,7.92394E-05,5.80377E-04,2.58865E-03,5.62582E-03,4.00711E-03,1.09362E-03,3.85060E-03,6.33273E-03,3.74029E-03,3.71167E-03,1.20426E-03,1.08104E-02,4.78303E-03,3.38330E-03,1.80922E-03,1.23870E-02,7.82911E-03,6.93000E-03,6.13695E-03,5.24023E-03,6.93096E-03,1.13777E-02,1.26309E-02,6.58991E-03,6.70550E-03,5.94496E-03,9.27087E-03,9.59737E-03,1.07030E-02,1.66507E-02,2.63973E-02,2.63079E-02,2.20395E-02,2.48919E-02,9.02928E-03,2.81253E-02,5.73557E-02,2.95573E-02,2.01336E-02,3.71807E-02,4.54215E-02,4.72324E-02,4.39788E-02,5.51426E-02,4.95448E-02,5.47134E-02,6.90685E-02,4.20129E-02,8.99545E-02,7.73117E-02,7.94263E-02,9.72132E-02,7.92416E-02,1.19073E-01,1.17752E-01,1.44714E-01,1.25483E-01,1.42061E-01,1.25904E-01,1.61478E-01,1.42098E-01,2.25622E-01,2.73326E-01,1.86764E-01,2.39854E-01,2.54525E-01,3.15277E-01,3.43841E-01,3.89959E-01,3.44593E-01,4.62782E-01,5.69365E-01,5.31786E-01,6.02789E-01,5.68733E-01,5.91006E-01,7.04249E-01,6.53058E-01,8.08649E-01,9.20285E-01,8.14804E-01,8.19342E-01,1.02240E+00,1.16341E+00,1.29158E+00,1.17861E+00,1.34361E+00,1.25637E+00,1.57402E+00,2.09296E+00,2.05129E+00,2.09246E+00,2.29230E+00,2.48992E+00,2.78260E+00,2.88926E+00,3.08078E+00,3.34756E+00,3.74909E+00,3.83089E+00,4.04220E+00,4.70831E+00,4.83431E+00,5.23969E+00,5.75035E+00,6.38213E+00,6.88138E+00,7.13158E+00,7.95329E+00,8.48321E+00,9.25277E+00,9.67292E+00,1.06818E+01,1.14107E+01,1.24224E+01,1.32915E+01,1.43723E+01,1.54721E+01,1.71188E+01,1.83248E+01,1.96992E+01,2.12776E+01,2.29196E+01,2.48580E+01,2.68992E+01,2.91485E+01,3.14202E+01,3.38069E+01,3.66383E+01,3.95190E+01,4.28510E+01,4.63269E+01,4.98577E+01,5.38478E+01,5.81839E+01,6.29135E+01,6.81034E+01,7.32574E+01,7.90521E+01,8.55809E+01,9.24628E+01,9.98865E+01
2.50000E-01,2.97883E-03,3.63220E-03,6.67790E-04,1.28679E-03,3.44876E-04,1.18737E-04,0.00000E+00,0.00000E+00,6.81500E-04,0.00000E+00,3.07761E-03,6.41824E-03,2.80237E-03,6.70519E-04,4.12572E-03,4.20587E-03,4.00379E-03,2.69102E-03,1.20371E-03,1.20150E-02,4.34235E-03,3.57908E-03,2.99328E-03,1.68184E-02,5.81684E-03,7.26800E-03,3.89317E-03,4.55558E-03,5.68453E-03,1.32271E-02,9.40601E-03,9.68982E-03,4.12006E-03,5.18557E-03,8.35918E-03,1.01412E-02,7.59477E-03,2.00610E-02,2.76422E-02,2.38739E-02,2.92840E-02,2.16202E-02,9.06371E-03,2.50553E-02,5.63354E-02,3.11005E-02,2.79986E-02,3.46857E-02,4.64392E-02,4.89892E-02,5.02360E-02,5.95426E-02,5.43612E-02,5.85719E-02,6.26315E-02,3.75610E-02,9.49808E-02,7.74961E-02,8.56698E-02,8.44208E-02,7.53721E-02,1.09819E-01,1.31064E-01,1.45430E-01,1.30462E-01,1.63563E-01,1.15655E-01,1.58155E-01,1.40916E-01,2.39058E-01,2.64614E-01,1.74996E-01,2.36528E-01,2.70359E-01,3.40764E-01,3.51337E-01,3.87197E-01,3.23039E-01,4.42810E-01,5.41603E-01,5.44514E-01,6.11491E-01,5.76006E-01,5.94471E-01,6.87066E-01,6.59982E-01,7.69186E-01,9.31901E-01,8.12708E-01,8.16466E-01,1.02157E+00,1.12763E+00,1.32339E+00,1.21357E+00,1.36050E+00,1.29252E+00,1.52203E+00,2.05269E+00,2.04378E+00,2.06649E+00,2.32637E+00,2.46674E+00,2.83400E+00,2.91349E+00,3.07468E+00,3.34215E+00,3.76759E+00,3.81296E+00,4.14273E+00,4.66674E+00,4.83397E+00,5.22368E+00,5.70586E+00,6.28797E+00,6.76174E+00,7.18678E+00,7.90097E+00,8.49584E+00,9.22403E+00,9.83286E+00,1.06850E+01,1.14330E+01,1.23020E+01,1.33515E+01,1.44334E+01,1.56167E+01,1.69748E+01,1.83075E+01,1.96702E+01,2.13084E+01,2.30042E+01,2.48919E+01,2.69617E+01,2.90654E+01,3.13703E+01,3.39699E+01,3.66226E+01,3.95232E+01,4.26524E+01,4.61518E+01,4.98834E+01,5.38936E+01,5.82081E+01,6.28231E+01,6.79526E+01,7.34481E+01,7.94645E+01,8.57000E+01,9.26448E+01,1.00054E+02
3.00000E-01,2.73904E-03,2.89374E-03,4.30711E-04,3.12051E-04,9.48724E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.14435E-03,0.00000E+00,3.46569E-03,5.71562E-03,2.59222E-03,2.76311E-04,4.49980E-03,3.70621E-03,4.99425E-03,2.45313E-03,3.41473E-03,1.03704E-02,4.92201E-03,3.09244E-03,1.62175E-03,1.62992E-02,5.86326E-03,1.05850E-02,6.58876E-03,3.01543E-03,7.86200E-03,1.09688E-02,1.08060E-02,1.17138E-02,4.61153E-03,4.90189E-03,9.35353E-03,1.07830E-02,6.94687E-03,2.13374E-02,2.71316E-02,2.01401E-02,3.40190E-02,2.34363E-02,9.50180E-03,2.57508E-02,6.65571E-02,2.77098E-02,2.95671E-02,3.56305E-02,3.82428E-02,4.19871E-02,6.10209E-02,6.31955E-02,4.56278E-02,5.85761E-02,6.99535E-02,3.61581E-02,1.07017E-01,7.12151E-02,7.41222E-02,8.22215E-02,8.14063E-02,1.11984E-01,1.40604E-01,1.52582E-01,1.31637E-01,1.77969E-01,1.14808E-01,1.53948E-01,1.40187E-01,2.34739E-01,2.50423E-01,1.82944E-01,2.30406E-01,2.51374E-01,3.56274E-01,3.38270E-01,3.63586E-01,3.28518E-01,4.69228E-01,5.16764E-01,5.54267E-01,6.33573E-01,5.80318E-01,6.13137E-01,6.56944E-01,6.47068E-01,7.99965E-01,9.54993E-01,8.15995E-01,8.46705E-01,1.04592E+00,1.16419E+00,1.33706E+00,1.23475E+00,1.33480E+00,1.27078E+00,1.52754E+00,2.04816E+00,2.01997E+00,2.04707E+00,2.34670E+00,2.45174E+00,2.79676E+00,2.87748E+00,3.10873E+00,3.37454E+00,3.68475E+00,3.86415E+00,4.16623E+00,4.65937E+00,4.87305E+00,5.31395E+00,5.72278E+00,6.24362E+00,6.66895E+00,7.14383E+00,7.85928E+00,8.48048E+00,9.24599E+00,9.83701E+00,1.06354E+01,1.13725E+01,1.23670E+01,1.33794E+01,1.43127E+01,1.56208E+01,1.68560E+01,1.82346E+01,1.97942E+01,2.14092E+01,2.30197E+01,2.48808E+01,2.68265E+01,2.91881E+01,3.13357E+01,3.38629E+01,3.67319E+01,3.95456E+01,4.27898E+01,4.60849E+01,4.98744E+01,5.39423E+01,5.81888E+01,6.28406E+01,6.78647E+01,7.32175E+01,7.92714E+01,8.56721E+01,9.26637E+01,1.00140E+02
3.50000E-01,3.48742E-03,3.32693E-03,0.00000E+00,7.77229E-04,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,2.00213E-03,0.00000E+00,4.23814E-03,4.42656E-03,1.47354E-03,5.07464E-04,3.25035E-03,4.34983E-03,3.98298E-03,3.36296E-03,1.27935E-03,1.11120E-02,6.92190E-03,1.82019E-03,7.30359E-04,1.69645E-02,5.37945E-03,1.02906E-02,4.52870E-03,2.17086E-03,1.26461E-02,8.88982E-03,5.81099E-03,2.11211E-02,2.96449E-03,4.34061E-03,1.19782E-02,1.62196E-02,4.50165E-03,2.29384E-02,2.64605E-02,2.01323E-02,3.06698E-02,2.80606E-02,1.19066E-02,2.77956E-02,7.11126E-02,2.66174E-02,2.71252E-02,2.80192E-02,4.10988E-02,4.23880E-02,5.48346E-02,6.04469E-02,4.63096E-02,6.41895E-02,6.73167E-02,2.66925E-02,1.01545E-01,7.80132E-02,7.97236E-02,8.18146E-02,7.29151E-02,1.11436E-01,1.38824E-01,1.47550E-01,1.23180E-01,1.68219E-01,1.10952E-01,1.50759E-01,1.49356E-01,2.40114E-01,2.45749E-01,1.82257E-01,2.53318E-01,2.47419E-01,3.48328E-01,3.42297E-01,3.44107E-01,3.36999E-01,5.06160E-01,4.98235E-01,5.63185E-01,6.07720E-01,5.69876E-01,5.80035E-01,6.47757E-01,6.35785E-01,8.12698E-01,9.36968E-01,7.91865E-01,8.33792E-01,1.01477E+00,1.15959E+00,1.32228E+00,1.25128E+00,1.36053E+00,1.30158E+00,1.50826E+00,1.96432E+00,2.01662E+00,2.07994E+00,2.36181E+00,2.49052E+00,2.81534E+00,2.92047E+00,3.08155E+00,3.41360E+00,3.61863E+00,3.87047E+00,4.12419E+00,4.61313E+00,4.81825E+00,5.28507E+00,5.73886E+00,6.19962E+00,6.69401E+00,7.13899E+00,7.77926E+00,8.40112E+00,9.22599E+00,9.86316E+00,1.05892E+01,1.14096E+01,1.24412E+01,1.34564E+01,1.43150E+01,1.56299E+01,1.69140E+01,1.82307E+01,1.97318E+01,2.13848E+01,2.30916E+01,2.49124E+01,2.67092E+01,2.90729E+01,3.13285E+01,3.39001E+01,3.66034E+01,3.94983E+01,4.28213E+01,4.60793E+01,4.99823E+01,5.41127E+01,5.82644E+01,6.27103E+01,6.80296E+01,7.33316E+01,7.93115E+01,8.58395E+01,9.26553E+01,1.00141E+02
4.00000E-01,6.97353E-03,3.31428E-03,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.09751E-03,0.00000E+00,4.60462E-03,3.87491E-03,1.58974E-03,4.86697E-04,1.16039E-03,3.20367E-03,4.12195E-03,6.81576E-04,1.33584E-03,8.66241E-03,7.28480E-03,5.69762E-04,4.92651E-04,2.24076E-02,4.07532E-03,1.08832E-02,3.45736E-03,2.60405E-03,1.09741E-02,7.28120E-03,4.71763E-03,1.43887E-02,1.85308E-03,5.29647E-03,1.19292E-02,1.81760E-02,6.00424E-03,2.14748E-02,2.80025E-02,1.61503E-02,3.33435E-02,2.58967E-02,1.36182E-02,3.10853E-02,5.71761E-02,2.62714E-02,3.53910E-02,2.67903E-02,4.09384E-02,3.35261E-02,6.05795E-02,5.97123E-02,4.46095E-02,5.94374E-02,7.81325E-02,2.51625E-02,9.51398E-02,7.62725E-02,7.12229E-02,8.99224E-02,8.08093E-02,1.09513E-01,1.39089E-01,1.30931E-01,1.21705E-01,1.72410E-01,1.27165E-01,1.46273E-01,1.55954E-01,2.59332E-01,2.53660E-01,1.86961E-01,2.50313E-01,2.41106E-01,3.55464E-01,3.52809E-01,3.54749E-01,3.15702E-01,4.88355E-01,4.94596E-01,5.52106E-01,5.72431E-01,5.61489E-01,5.87303E-01,6.11850E-01,6.50420E-01,8.19157E-01,9.17639E-01,7.79515E-01,8.32826E-01,1.03259E+00,1.13353E+00,1.27478E+00,1.26892E+00,1.36486E+00,1.33604E+00,1.51020E+00,1.92224E+00,2.03514E+00,2.06811E+00,2.41293E+00,2.43533E+00,2.82564E+00,2.90227E+00,3.08418E+00,3.40404E+00,3.57836E+00,3.83515E+00,4.16894E+00,4.63974E+00,4.85995E+00,5.17915E+00,5.80579E+00,6.14383E+00,6.75906E+00,7.11631E+00,7.72835E+00,8.42538E+00,9.18983E+00,9.83383E+00,1.05868E+01,1.14744E+01,1.23882E+01,1.33963E+01,1.45065E+01,1.57032E+01,1.68857E+01,1.83126E+01,1.98752E+01,2.12848E+01,2.29095E+01,2.48518E+01,2.69224E+01,2.90155E+01,3.14013E+01,3.38386E+01,3.66797E+01,3.96061E+01,4.27378E+01,4.61517E+01,4.98607E+01,5.39677E+01,5.81911E+01,6.29333E+01,6.79477E+01,7.33571E+01,7.93402E+01,8.57242E+01,9.27416E+01,1.00001E+02
4.50000E-01,5.50769E-03,2.52948E-03,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.75852E-03,0.00000E+00,6.99259E-03,3.00082E-03,2.30467E-03,1.25647E-03,1.17556E-03,3.59690E-03,4.20855E-03,0.00000E+00,1.20226E-04,9.11700E-03,6.28217E-03,0.00000E+00,6.86947E-04,2.19489E-02,2.81306E-03,1.22206E-02,2.91103E-03,2.92366E-03,9.66315E-03,4.16824E-03,4.61127E-03,1.13863E-02,1.85386E-03,3.89205E-03,1.74772E-02,2.24532E-02,5.33726E-03,2.22714E-02,2.36096E-02,1.41057E-02,3.11028E-02,2.23233E-02,1.32181E-02,3.15709E-02,5.90721E-02,3.09099E-02,3.28696E-02,2.98793E-02,3.95524E-02,3.75540E-02,5.82892E-02,6.35677E-02,4.46877E-02,5.91251E-02,6.92279E-02,2.40009E-02,1.03206E-01,8.05976E-02,7.61911E-02,9.34186E-02,7.42852E-02,1.07769E-01,1.47326E-01,1.29924E-01,1.37998E-01,1.83913E-01,1.32957E-01,1.47187E-01,1.48792E-01,2.42459E-01,2.66542E-01,1.78961E-01,2.51840E-01,2.48367E-01,3.60722E-01,3.51061E-01,3.59527E-01,3.07817E-01,5.00405E-01,5.08569E-01,5.39513E-01,5.73873E-01,5.80082E-01,5.84211E-01,5.92388E-01,6.56217E-01,8.16604E-01,8.77490E-01,7.72817E-01,8.43701E-01,1.02478E+00,1.13495E+00,1.27133E+00,1.23477E+00,1.34531E+00,1.30002E+00,1.55984E+00,1.90594E+00,2.03771E+00,2.08936E+00,2.34331E+00,2.46469E+00,2.82831E+00,2.92915E+00,3.09510E+00,3.41838E+00,3.55873E+00,3.80583E+00,4.17192E+00,4.61755E+00,4.90438E+00,5.21129E+00,5.76471E+00,6.19735E+00,6.70483E+00,7.14025E+00,7.62048E+00,8.39688E+00,9.21549E+00,9.84021E+00,1.07530E+01,1.14612E+01,1.24266E+01,1.33604E+01,1.44845E+01,1.55847E+01,1.69947E+01,1.83782E+01,1.97170E+01,2.12809E+01,2.29540E+01,2.49790E+01,2.67761E+01,2.90020E+01,3.13816E+01,3.39032E+01,3.65888E+01,3.93891E+01,4.27049E+01,4.60907E+01,4.97243E+01,5.37955E+01,5.81940E+01,6.28717E+01,6.80698E+01,7.33340E+01,7.92781E+01,8.57332E+01,9.25847E+01,9.99907E+01
